coef,rank
-0.312,7239
0.157,2207
-0.289,9969
-0.127,6693
-0.571,9937
0.118,2069
0.0144,4394
-0.0486,6039
-0.0383,5733
-0.152,8472
-0.0615,7376
-0.139,9942
-0.151,9732
0.178,1553
-0.000251,4925
-0.414,8397
0.0139,4366
0.0285,3175
0.0525,3360
0.0916,2319
-0.0505,6200
-0.0309,5134
-0.108,8144
-0.0964,7890
-0.242,8397
-0.119,7566
0.00476,4928
-0.269,5787
0.0645,3655
0.299,82
-0.257,10213
-0.49,10144
-0.176,8925
-0.308,9242
-0.00747,5201
-0.0224,6222
-0.104,8626
-0.23,9058
0.116,2142
-0.106,7781
-0.0596,7383
-0.0253,7080
-0.164,8609
-0.143,9570
0.115,2406
-0.0945,7047
-0.0764,9125
-0.0219,6582
0.0771,3271
0.031,3968
-0.247,10021
-0.26,9744
0.0336,4177
0.0673,1878
-0.0469,6688
-0.0401,5977
-0.362,8786
0.315,564
0.0213,3973
0.122,1048
0.293,657
-0.00517,4996
-0.181,10283
0.0143,4321
-0.0382,6658
0.0163,4402
0.0612,2772
0.0386,3590
-0.0881,7562
-0.429,8517
0.124,854
-0.0728,7632
-0.0211,5582
-0.172,8857
-0.115,7634
0.0161,4648
0.208,318
0.0204,4207
-0.0386,6874
-0.0531,7122
-0.199,7024
-0.0918,6624
-0.00552,5491
0.129,1009
0.157,1122
0.144,2478
-0.0482,6890
0.276,1586
0.0203,3810
0.0236,3776
-0.295,10171
0.183,1353
0.334,713
0.262,895
0.263,713
-0.126,9581
-0.153,7726
-0.108,9253
-0.0157,5706
0.0154,4557
0.051,2899
0.128,1419
-0.0984,8675
-0.206,9022
0.168,2510
0.061,3788
-0.195,8424
0.119,2391
0.246,679
-0.124,8123
0.0559,4120
0.0987,2500
-0.0432,7222
0.0585,2024
-0.017,5688
-0.113,8590
-0.0908,8662
0.00048,4723
-0.215,9907
-0.111,9627
0.0592,2621
-0.0194,6078
-0.287,9351
-0.252,8344
0.00919,4672
-0.212,8878
-0.0414,5581
-0.000318,4878
-0.00702,5142
0.0598,3329
0.128,862
-0.0497,7065
0.0129,4705
-0.096,8503
-0.783,8894
-0.189,7971
0.076,2299
-0.0507,6958
-0.12,6464
-0.0332,6822
-0.031,5701
0.175,1358
-0.112,8214
-0.0591,7541
0.178,1505
-0.271,10002
-0.00898,5421
-0.0779,6645
0.0521,3409
-0.0294,6457
2.01,29
-0.0225,5880
0.0833,3411
-0.144,8945
-0.137,8687
0.197,587
-0.265,9462
-0.067,7225
-0.168,8866
0.0765,2889
0.389,205
-0.0127,5870
-0.147,8956
-0.176,9145
-0.0858,8558
0.0557,2903
-0.0303,6123
0.0325,3840
0.435,42
-0.263,9023
0.0184,4608
-0.033,6694
-0.0588,8939
-0.0348,6233
0.0715,2167
0.0324,3949
0.587,331
0.0378,2862
-0.0851,8359
-0.108,7631
0.00669,4941
-0.0955,8982
-0.0665,8460
0.0183,3656
0.00812,4925
0.0956,1675
-0.0432,6221
0.127,1188
-0.236,7824
0.0902,2089
-0.0518,6423
-0.0488,8423
-0.0833,7983
0.216,1079
-0.0446,5652
0.0726,2454
0.168,1153
0.219,1702
0.0435,2917
0.0801,3240
-0.2,9667
-0.363,10140
0.0814,1712
0.0805,3086
-0.00784,5231
-0.15,8172
-0.121,8507
0.00768,4711
0.0211,4092
-0.0981,8977
0.00881,4913
-0.242,9812
0.211,980
0.0775,2881
0.0119,4136
-0.0503,7246
-0.15,9201
-0.127,8524
0.0534,3993
-0.183,4423
-0.0539,6712
0.0837,1629
0.12,416
0.0699,3526
-0.128,6998
0.0719,3247
-0.0412,6512
-0.0747,8445
-0.0991,9599
-0.367,10285
-0.176,9551
-0.168,8201
0.202,1695
0.123,337
0.117,2213
0.422,89
0.0386,4209
-0.00141,4987
-0.0208,5325
-0.454,9850
0.218,2126
-0.0619,7595
0.143,1179
0.0846,2353
0.239,258
0.0122,4372
0.108,2885
0.0389,3703
-0.207,9435
-0.058,7479
-0.0772,9093
0.191,2010
0.0532,4019
0.00595,4732
-0.602,10379
-0.127,8988
-0.0143,5448
-0.0658,7451
-0.227,10079
0.00918,4954
-0.0562,6320
0.129,911
0.04,4039
0.00938,4605
0.11,1785
-0.0505,6253
-0.481,9949
-0.0198,5562
-0.0186,6593
-0.0107,5390
0.234,342
-0.115,7470
0.141,1412
-0.0969,8086
-0.0654,6590
-0.0926,8030
-0.0415,6296
-0.153,8411
-0.0344,6277
0.0413,3646
-0.00357,4928
0.406,114
-0.0539,6264
-0.0192,5439
-0.121,8258
-0.0503,7744
-0.13,8427
-0.0423,5997
-0.189,9064
0.263,893
0.0141,4674
-0.0166,6115
0.0575,3025
0.621,162
0.188,525
-0.0288,5859
0.193,2177
-0.0477,6654
-0.0704,7574
0.382,91
0.265,315
0.232,890
-0.297,8688
-0.0571,7721
0.28,892
-0.167,9967
-0.264,8347
-0.105,7188
0.218,161
-0.132,10173
-0.18,9973
0.104,2443
0.0417,4127
0.0697,3667
-0.00604,5224
-0.157,7786
0.00363,5092
0.23,1445
0.0711,2776
-0.065,6482
0.0378,4459
-0.0559,7859
0.104,1856
-0.0259,6293
0.048,3732
-0.0146,5751
-0.156,6158
0.0347,3747
0.0247,3996
-0.197,9003
0.0369,3999
0.303,603
-0.546,7480
0.152,662
0.0304,3783
-0.0387,6455
0.102,1408
0.0297,4062
0.0267,4412
0.00744,4694
-0.574,8438
0.212,1634
-0.0273,6770
0.016,4068
0.0206,4610
-0.0168,5865
0.265,416
-1.03,9327
-0.224,6741
-0.339,5613
-0.168,4635
-0.791,9965
-0.112,7430
-0.002,5065
-0.242,10200
-0.223,9544
-0.0698,8773
-0.0412,7540
-0.283,6605
0.13,2742
0.258,1012
-0.00752,4646
0.0874,2618
0.0222,3916
-0.437,9994
-0.134,7989
-0.0565,7214
0.148,999
-0.00247,5126
0.0527,2938
-0.0123,5377
-0.233,9520
-0.147,8714
0.0315,4211
-0.141,8268
0.0624,2866
0.00421,4890
0.0308,3458
0.0294,4286
-0.336,8151
-0.11,8906
-0.0235,5643
0.244,494
-0.24,10228
-0.149,7732
0.0521,3756
-0.0524,6905
0.00355,4905
-0.064,6996
0.0602,3906
-0.199,9951
0.0206,4516
0.203,1242
0.16,815
0.217,1960
0.0265,4190
0.212,1291
0.117,2015
-0.0864,7924
-0.118,9162
-0.11,8625
0.116,2725
0.0705,3374
-0.535,9643
-0.00816,6085
-0.0324,6521
-0.0207,5267
0.544,109
-0.0731,6833
-0.0278,5930
-0.06,7630
0.0214,3389
-0.0525,10256
-0.118,8751
-0.0676,6091
-0.00163,5017
0.294,789
-0.0491,7872
0.384,71
0.207,1158
-0.142,8873
0.487,113
-0.0497,5834
-0.0262,6240
-0.0885,7751
0.159,1966
-0.13,8173
0.146,1525
-0.0187,6120
0.441,1
-0.254,9955
-0.105,8237
0.216,1473
-0.0275,6300
0.0263,4149
0.0459,3429
-0.106,9887
0.226,2660
0.301,804
0.186,1699
-0.477,10162
0.015,4428
-0.0233,5660
-0.219,9334
0.127,3351
0.236,1172
0.0474,4049
0.144,818
-0.164,7843
-0.375,10028
-0.0906,7860
-0.116,7747
-0.136,8883
-0.0605,7498
-0.00717,5506
-0.0625,6517
0.0775,3078
-0.152,8773
-0.0582,7387
-0.131,9506
-0.052,6227
-0.171,8949
-0.13,7628
0.217,873
0.0484,3620
0.2,440
-0.0842,8134
-0.115,7894
-0.18,9180
0.0328,3668
-0.0591,6799
0.28,261
0.0676,3570
-0.0102,5683
-0.0601,5877
0.00288,4790
-0.0015,4973
0.0236,3932
0.0254,4554
0.109,1750
-0.115,7851
-0.111,7585
0.0657,3324
-0.0209,6074
-0.0824,8747
0.0151,4539
-0.0592,7482
0.0385,3637
0.173,1054
0.016,3595
0.037,3762
0.0494,3198
0.469,594
-0.158,7169
0.0295,3974
0.198,728
0.00267,5180
-0.117,8234
-0.126,8615
0.0441,4157
-0.00278,5231
0.123,335
-0.11,9080
0.0322,4381
0.241,377
-0.17,7373
0.659,65
0.0183,4587
-0.00681,5441
0.453,1163
0.353,726
0.465,307
-0.0556,5423
-0.134,10037
0.0804,2218
-0.131,9462
0.00692,4640
-0.0978,6855
-0.254,10102
0.18,255
0.306,140
0.507,523
-0.0127,5376
-0.0365,5848
0.102,3652
-0.0494,7612
0.228,396
0.409,98
-0.0499,6894
0.11,2077
-0.243,9869
-0.019,6125
0.095,743
-0.199,5555
-0.365,5933
1.13,236
0.27,431
-0.112,7475
0.027,4295
-0.176,8878
-0.0446,5913
-0.144,8877
0.135,1491
-0.0395,6100
0.278,331
0.226,474
0.377,1897
0.877,309
0.124,1063
0.0635,3505
-0.179,9926
-0.176,9157
0.423,79
0.155,1422
0.0336,4128
-0.0557,6467
-0.0327,6047
-0.0246,6121
-0.129,8304
-0.0512,6623
0.103,1486
0.0879,2104
0.0522,3234
-0.0287,5924
0.0193,4433
0.163,453
0.074,2522
-0.178,9117
-0.147,8885
0.359,56
0.0841,2690
0.168,1570
-0.0736,7392
0.00127,4907
0.103,3371
-0.0232,6009
-0.0383,5833
-0.178,7474
-0.0166,5765
-0.000542,4859
-0.125,7530
-0.038,6602
-0.0224,6215
0.0341,4321
0.0831,2028
0.142,1015
-0.0684,7194
0.048,3495
0.267,1000
-0.138,7172
-0.0231,6598
0.0214,4441
0.225,1046
-0.0692,6999
-0.0197,5828
-0.0585,7003
-0.0596,6973
-0.0222,6030
-0.383,10416
0.22,1571
0.0669,3153
-0.0797,6893
0.00501,4695
-0.0731,8407
-0.149,8104
0.108,1136
0.378,728
-0.131,7312
-0.0961,8162
-0.00435,5179
-0.103,7574
0.0463,3440
0.121,2445
-0.0985,7123
0.0373,3742
0.0566,2572
-0.0464,7417
-0.0359,6113
-0.125,8984
0.113,1959
0.0655,2496
-0.248,9845
-0.0748,8230
-0.4,7449
-0.0215,5070
0.0789,2364
-0.0613,7995
0.0597,1963
0.0332,3798
-0.0343,5346
0.0304,4282
-0.122,9696
0.0486,2226
-0.133,9611
-0.14,8382
-0.123,7187
-0.133,8012
-0.00764,5455
-0.0472,6122
0.0934,3584
-0.111,8308
0.418,417
-0.141,8275
0.0593,2763
-0.157,8805
2.68,205
0.000221,5307
-0.291,8726
0.219,1570
0.0138,4397
-0.0233,5442
-0.357,7300
-0.445,7673
-0.0193,5637
-0.233,8925
0.146,1274
-0.00997,5296
-0.0777,7526
0.0316,3130
-0.0118,5209
0.105,3165
-0.279,7588
-0.17,10116
0.107,1906
-0.00447,5288
0.0665,3587
-0.0934,8340
-0.0446,5827
-0.0914,8690
-0.244,10241
0.0236,4373
0.0295,4260
-0.0304,5455
0.306,475
0.517,38
-0.0933,9017
-0.0427,6813
0.0138,4656
-0.0013,5266
0.556,11
-0.191,8353
-0.011,5595
-0.067,6565
0.198,1441
-0.236,6779
0.0815,2801
0.264,950
-0.00783,4980
-0.0105,5351
0.117,2735
-0.346,10030
-0.127,8132
0.0933,3279
0.191,1634
-0.147,9075
0.144,1404
-0.679,10351
-0.0481,6259
0.0884,2486
0.111,1706
-0.0215,5557
-0.0652,7867
-0.118,7914
0.35,1228
1.89,126
0.0759,2156
0.0939,1480
-0.0959,9073
0.319,561
-0.0559,8078
-0.0867,5818
0.106,1918
-0.0195,5795
0.158,2508
0.132,2303
0.0794,2972
-0.123,8518
-0.283,10308
0.157,707
0.195,2577
0.116,2824
-0.135,5953
0.213,1892
-0.0673,8370
0.29,412
0.271,738
-0.0433,6732
-0.0743,7559
0.0626,3929
0.184,1036
0.139,1526
-0.41,10473
-0.0494,6979
0.115,3473
0.23,2890
-0.097,9090
-0.0633,8297
0.0469,3350
-0.216,9938
-0.147,8481
-0.0414,5918
-0.0769,8252
0.186,863
0.142,1893
0.181,2523
-0.135,8918
-0.0165,5820
0.0743,2517
0.155,826
0.0719,3019
0.12,3193
0.0583,2201
-0.0993,7919
0.554,91
0.0316,3626
0.0883,2580
0.113,2173
-0.104,8143
0.114,3235
-0.0811,7806
-0.271,10165
-0.0706,7007
-0.141,7279
-0.309,10110
0.0903,3161
0.073,1912
0.0691,3690
0.737,201
-0.0909,7261
0.0344,4111
0.265,697
-0.0757,7823
-0.129,8806
0.287,990
-0.0164,6170
-0.23,8338
