coef,rank
-0.45,8514
-0.0563,5965
-0.146,8056
0.394,998
-0.639,10144
0.0262,4198
-0.0903,8580
0.0405,3908
0.154,1883
0.148,1927
-0.0664,7558
0.109,1021
0.119,1424
-0.112,7905
0.0394,4302
-0.234,6139
-0.0863,9561
0.024,3427
-0.0515,6751
-0.14,9117
-0.337,10224
0.224,2408
-0.0694,7142
-0.157,9238
0.409,979
-0.0456,6058
-0.124,9289
0.822,1034
-0.193,8781
-0.179,9916
-0.0255,5901
-0.179,7424
0.023,4410
-0.269,8837
0.136,1090
0.0051,4788
-0.0173,5866
-0.22,8902
0.215,806
-0.13,8333
-0.104,8889
0.0168,4178
-0.223,9480
0.0267,4199
0.151,1798
0.00629,4685
0.051,2127
-0.046,8091
0.421,208
-0.0432,6489
0.186,993
0.189,1513
-0.174,9347
-0.0454,7469
0.0847,3049
-0.189,9033
-0.184,6599
0.371,319
-0.094,9375
0.104,1391
-0.0561,6175
0.0893,2512
0.00697,4868
0.0365,3047
-0.143,9747
-0.0821,8668
0.0543,3006
0.0588,2896
0.271,358
0.293,2323
0.129,768
-0.0423,6573
0.119,2057
-0.154,8556
-0.169,8634
-0.162,9661
-0.046,6939
-0.197,10135
-0.0234,6195
0.116,1774
0.24,2901
-0.328,9947
0.084,1528
-0.0744,8049
0.0897,2396
0.192,1838
0.00701,4905
-0.134,6934
-0.137,10128
-0.127,10209
0.00814,4905
0.0027,4999
-0.358,10198
0.229,1217
0.0156,4817
-0.0682,7926
0.172,2006
-0.0971,8965
-0.0937,8241
0.141,1617
0.011,4592
-0.088,8115
0.0305,3954
0.0379,4084
-0.0548,5864
0.172,1941
0.151,2367
0.314,367
0.139,1806
-0.19,9353
-0.386,9511
0.312,385
-0.0599,7998
0.159,147
0.078,3110
-0.0218,5857
-0.0232,5950
0.169,1502
-0.213,9877
0.0763,1584
-0.0745,8683
0.0854,1644
-0.154,7526
0.203,2501
-0.0776,8443
-0.315,9936
0.285,1056
0.0525,3437
0.295,363
0.234,582
0.0188,4174
0.0768,2973
0.0152,4662
-0.0562,7289
-0.452,6723
0.084,3559
-0.0986,8762
0.107,1742
0.0908,3343
0.0542,2691
0.0493,3902
-0.0644,6574
-0.00032,4885
0.0348,3864
0.19,1363
0.137,2240
0.0369,3465
0.123,2546
-0.0767,7465
0.0842,1867
-0.401,7980
-0.0712,7287
-0.179,7676
-0.274,10311
-0.154,9011
0.144,1279
0.271,1201
0.0164,4477
-0.114,7810
-0.118,8240
0.128,2275
-0.0278,6799
-0.15,9003
0.0831,3159
-0.0543,7457
-0.114,9554
-0.0662,7136
-0.0772,8427
0.0253,4204
0.307,1060
0.0402,3798
-0.00903,5608
0.127,155
-0.0253,5926
-0.0783,8283
0.0923,2615
0.146,2939
-0.00522,5492
-0.115,9173
0.124,2268
0.0807,2141
-0.066,8089
-0.0739,8740
0.0137,4012
-0.198,10204
0.037,3490
-0.176,9218
-0.0472,7126
-0.348,9133
0.107,1611
-0.224,10067
-0.0868,9843
-0.2,10120
0.231,935
-0.218,8571
-0.11,9178
-0.239,10119
-0.259,9468
0.0464,2784
0.103,2804
-0.117,8126
0.0981,3168
0.01,4497
0.0347,4073
-0.0914,7279
-0.209,9064
-0.064,6957
0.0913,2857
0.0439,3238
0.124,924
-0.0222,6171
-0.272,10028
0.0824,2827
-0.00907,5098
0.0922,674
0.0237,4045
-0.0477,6801
0.035,3963
-0.174,7883
-0.0125,3351
-0.186,9639
-0.0272,6445
-0.112,10063
0.221,1127
0.152,2775
-0.0556,6311
0.086,2303
0.103,990
-0.0543,8092
-0.0602,6078
-0.0547,6717
-0.207,8808
0.211,1607
0.0539,2035
-0.0474,6327
0.126,2110
-0.115,5923
-0.195,9445
-0.0448,5831
-0.178,7186
0.309,1333
0.0282,4017
0.103,1996
-0.0953,8246
-0.0417,6489
0.125,1717
-0.141,8316
-0.235,10350
0.1,2765
0.146,903
0.00167,5033
0.439,391
0.381,819
-0.141,7461
-0.064,5708
0.00711,4926
-0.131,9418
-0.0193,5782
-0.154,9165
0.00855,4970
-0.085,7113
0.0331,3523
0.00568,5038
-0.273,9626
0.0564,3132
-0.00624,5046
-0.0409,5098
-0.0503,6285
0.0618,1493
-0.000833,5100
-0.0745,7483
-0.0484,5881
-0.0604,7156
0.0231,4155
0.204,1381
0.29,194
-0.149,9057
-0.296,10059
-0.0103,5423
0.028,4084
0.253,901
-0.117,8059
0.344,394
-0.186,9186
0.0197,4398
-0.113,9777
-0.114,8060
0.0763,3180
0.0361,4067
0.00841,4627
0.0057,4804
0.0707,1980
-0.114,9400
-0.0619,6083
0.0537,3279
-0.0985,7436
-0.0375,5841
0.163,999
-0.00636,5184
-0.206,9718
0.046,3658
-0.228,9778
-0.566,10337
0.0665,1960
-0.187,8955
0.162,673
-0.0457,5355
-0.164,8357
-0.0869,8554
-0.00275,5373
-0.0783,7809
-0.101,7882
-0.192,8149
0.268,1175
-0.15,8813
0.0103,5006
0.0403,4240
-0.0394,5533
0.135,1423
-0.032,5739
-0.636,10425
-0.109,9585
0.00932,4890
-0.181,10150
-0.315,10380
-0.0775,8759
-0.177,6387
0.13,773
0.0166,4357
-0.135,7879
-0.0485,6188
0.251,934
0.109,2541
-0.0533,7496
-0.0917,8953
-0.0749,7592
-0.0883,8579
-0.0116,5701
-0.0567,5925
0.223,50
-0.42,6930
0.0545,3955
0.0297,3369
-0.00378,5224
0.276,744
0.0132,4357
-0.119,8278
-0.677,7860
1.43,104
0.0559,3077
-0.46,7128
-0.36,6960
0.0875,2975
0.0889,3396
-0.16,9424
-0.00502,4942
-0.0444,7694
-0.0666,8778
-0.296,6757
0.383,484
-0.226,9238
0.167,2944
-0.0787,7282
0.1,1066
-0.312,8943
0.241,1024
0.0477,3604
-0.0203,5712
-0.312,10170
0.028,3934
-0.0221,5682
0.0465,4145
-0.28,10249
0.127,2719
0.127,2097
0.0377,3723
0.171,1869
-0.0231,6724
0.247,647
-0.158,6099
-0.123,9184
-0.0618,7116
0.276,324
-0.226,10136
-0.0718,6318
-0.0399,6318
-0.195,9982
-0.172,9908
0.0715,2900
-0.0231,5464
0.0586,3248
0.305,998
-0.128,8227
-0.00406,5402
-0.00865,5111
-0.12,9030
0.12,2630
0.0171,4481
0.109,1946
0.106,1669
-0.0929,8199
-0.0626,6182
0.174,1641
-0.34,8185
-0.0116,6474
0.136,983
0.214,1367
-0.136,7842
-0.32,10296
-0.285,10116
0.0862,1696
0.0329,2711
0.0301,1277
0.228,437
-0.175,7903
0.051,3506
0.0503,3904
-0.0122,5967
-0.167,9233
-0.0787,6947
0.0772,3317
0.273,871
0.412,299
-0.233,10429
0.0203,4625
-0.18,8696
-0.0571,6542
-0.0455,6346
0.0417,3276
-0.0789,8342
0.0939,3116
0.144,1396
-0.12,7895
-0.0241,6166
