coef,rank
-0.427,8313
-0.295,9759
0.396,277
0.03,4453
0.392,1763
-0.0346,5820
0.0661,2459
0.116,2384
0.163,1752
-0.132,8074
0.00928,4877
-0.116,9581
-0.0223,6033
0.108,2714
-0.219,8332
-0.483,9103
0.119,385
-0.00754,5573
-0.223,10180
0.158,1095
-0.138,8081
-0.138,6483
-0.145,8996
0.269,243
0.175,2705
-0.18,8662
-0.00914,5485
0.57,1713
-0.093,6961
-0.056,7176
-0.185,9586
-0.131,6731
-0.0567,6425
-0.46,10218
-0.0655,7387
-0.0772,8671
0.396,11
0.363,600
0.094,2579
-0.0305,5758
0.116,1065
0.0237,3742
0.201,1450
-0.0138,5787
0.213,976
-0.269,9834
-0.0108,5593
0.022,3606
-0.0738,6479
0.00403,4874
-0.189,9381
0.0635,3522
0.157,1545
-0.0316,6774
0.0502,3908
0.0474,3921
-0.0691,5187
0.00877,4823
-0.0413,7404
-0.0425,6899
0.157,1965
0.037,3851
-0.0915,8811
-0.0665,8783
-0.0624,7585
0.189,240
-0.00708,5583
0.0652,2694
0.134,1830
-0.0893,5025
-0.0148,5859
-0.0182,5631
0.0108,4656
-0.0575,6359
-0.184,8827
0.332,89
-0.026,6158
0.14,1035
0.0597,2628
0.098,2213
-0.402,8967
0.0906,3068
0.0191,4243
-0.00351,5143
-0.0877,7856
-0.0565,6151
0.13,1511
-0.131,6874
-0.105,9663
0.0164,4168
-0.0806,7016
0.115,2418
0.0959,3235
0.128,2561
0.0306,4443
0.175,371
0.254,1159
0.18,299
0.126,1483
0.0602,3269
-0.178,10287
-0.0121,5519
0.0603,2915
-0.204,9000
0.153,2679
0.0593,3818
-0.269,9410
0.138,2077
0.0802,2883
0.0798,3035
0.657,329
-0.151,8328
-0.083,8871
0.0103,4521
0.178,1292
-0.0319,6205
-0.102,8980
-0.36,10387
0.156,1508
-0.065,8133
-0.0361,7095
0.0336,3550
-0.0518,5789
-0.316,9086
-0.00619,5365
-0.167,8175
0.0986,3102
0.25,499
0.242,658
0.105,2301
0.0192,4160
-0.019,6051
-0.163,8348
-0.0895,8318
-0.224,5026
-0.325,9563
-0.0724,7974
-0.159,9737
0.0777,3512
-0.00117,5232
0.0473,3946
-0.085,7087
-0.0899,7629
-0.074,8094
0.25,806
0.0247,4492
-0.111,9283
0.0866,3221
-0.0737,7373
0.101,1412
1.36,176
0.195,1090
-0.0706,5855
0.00983,4645
0.0766,2795
-0.231,10207
0.0839,3476
0.082,2644
-0.233,9753
-0.105,7926
-0.298,10271
-0.021,6382
-0.332,10428
-0.167,9014
-0.133,9672
-0.0774,8554
-0.0639,7080
-0.0935,8956
0.305,263
0.074,3422
0.00292,5219
0.0484,3204
-0.0301,7352
0.00481,4899
-0.0229,5977
0.0616,3273
0.664,216
0.0494,2267
-0.204,10316
-0.208,9439
0.0542,2963
-0.00245,5302
0.189,87
0.0417,2016
0.017,4599
-0.0937,8591
-0.234,9931
-0.1,8837
0.178,2739
0.112,1491
-0.07,7012
0.0278,3178
-0.263,10397
0.0878,2949
0.121,2981
0.0639,2709
-0.133,8780
0.178,2159
-0.0171,6189
-0.154,8082
0.122,1797
0.0577,3853
-0.024,6188
-0.154,8626
0.0634,3515
0.137,2425
-0.144,9007
-0.186,9055
-0.0387,6688
-0.0455,7235
0.0415,3591
0.116,2567
0.145,1802
-0.0905,7279
0.0131,4062
0.0405,3336
0.3,238
-0.0403,6192
-0.268,9138
-0.0354,3461
-0.0484,6564
0.00727,4741
0.0296,3454
-0.383,10430
0.176,2500
0.112,2459
0.0556,3122
-0.0708,8291
0.0542,2435
-0.373,10309
-0.0702,7151
0.101,2994
-0.0149,5457
-0.224,10473
0.0371,3965
-0.263,10058
-0.0457,5115
-0.0477,6272
0.0897,3100
-0.0572,5611
-0.28,9118
-0.0495,7115
-0.257,10410
-0.00501,5188
0.109,1690
0.141,1465
-0.0693,6815
-0.0781,7876
-0.0356,5881
-0.0427,6875
0.0613,1960
-0.0479,5830
-0.454,10270
-0.159,7799
-0.0188,5130
-0.00851,5450
-0.00317,4975
-0.119,9022
0.0379,3989
0.156,1579
-0.0467,6075
-0.0448,6821
0.262,411
-0.166,8186
-0.0707,7483
-0.00451,5008
0.101,3498
-0.00389,5207
0.149,60
-0.0901,7660
-0.131,8976
-0.269,9861
-0.212,10104
-0.0873,7788
-0.0638,6555
-0.0587,7008
-0.0085,5266
-0.104,7445
-0.136,9202
-0.185,9770
0.323,458
0.043,4009
-0.08,6812
-0.196,9358
0.0984,2483
0.0352,3370
-0.142,8650
0.0238,4346
0.242,862
0.167,1846
-0.00139,4926
-0.064,8402
0.218,185
-0.116,6991
-0.0389,6660
0.0434,4202
0.0217,4770
-0.0829,7722
-0.00237,5041
-0.0543,6516
0.0419,3763
-0.116,7983
0.39,1153
-0.159,10259
-0.123,7873
-0.017,5801
0.496,552
-0.0068,5005
0.0754,2186
-0.00785,5662
0.191,493
0.0242,4421
-0.169,7812
0.165,2226
-0.0424,6188
-0.118,7166
-0.3,10159
-0.0679,6067
-0.0441,6527
-0.065,6483
-0.199,7890
0.022,4096
0.221,282
0.192,381
0.167,1365
-0.0179,5939
0.014,4518
-0.0287,6764
0.071,2237
-0.0399,5903
-0.103,7547
-0.265,9788
2.17,699
-0.0325,6647
0.156,436
-0.0242,5936
-0.101,8949
0.0572,3080
-0.169,7844
0.0181,4125
-0.544,8165
0.429,289
0.00753,4667
0.0395,2863
0.109,2763
0.0633,2284
0.00776,4732
-1.44,10159
-0.307,7732
-0.118,3990
-0.543,7886
0.545,1851
0.0417,3889
-0.0862,6737
-0.0211,5831
0.0901,2748
-0.0238,6617
-0.0707,8961
0.258,2947
0.112,2994
0.103,2871
0.642,514
-0.0287,5797
0.0784,1622
-0.248,8120
-0.183,8897
0.0526,3427
-0.172,9791
0.0386,4195
-0.108,9283
-0.145,8867
0.0295,4504
-0.102,7778
0.0175,4449
0.149,1746
0.0571,3063
0.0993,2966
0.0516,2368
-0.0502,6543
-0.243,7102
-0.0266,6236
-0.0199,5500
-0.0813,7473
-0.0449,6484
0.458,327
-0.234,10086
0.125,1777
-0.045,6677
-0.0821,7526
-0.234,9051
0.146,1371
-0.123,7162
-0.0155,5568
-0.147,9655
0.374,812
0.0955,2159
0.00344,5108
0.0443,3747
-0.14,9162
-0.017,5798
-0.0905,8131
-0.257,9425
0.0652,3474
0.0983,3848
0.0181,3072
0.154,736
0.00464,4696
0.0556,3967
-0.0561,6442
-0.149,8599
-0.0277,6223
0.0391,2421
0.0121,3357
-0.0591,7155
-0.0812,6337
0.0486,3560
-0.00543,5060
-0.0643,8479
-0.107,8031
0.0305,4242
0.184,1342
0.454,164
0.145,2265
-0.0276,6308
-0.183,9589
0.0876,3160
0.306,484
-0.217,9894
0.124,831
0.0606,2955
0.22,1125
-0.155,9252
-0.0175,5699
0.316,65
-0.111,7498
0.0853,2261
0.0381,3044
0.534,1221
0.134,2503
-0.0684,6579
-0.114,6461
-0.039,6887
-0.0491,6486
-0.127,7722
0.304,1795
-0.053,6071
0.0789,3449
0.0629,2798
0.0924,3322
0.211,1868
-0.177,9490
-0.0764,6859
-0.127,8709
0.0841,2037
-0.0173,6133
-0.0168,5361
-0.269,10250
0.0454,3989
-0.00164,5531
-0.0439,6847
-0.0777,6862
-0.17,8926
-0.135,7723
0.117,2247
-0.135,8657
0.0201,4506
0.162,910
-0.00814,5047
-0.164,8928
0.00544,4811
0.117,1694
-0.053,6677
0.302,593
0.096,2158
-0.0849,6317
0.12,1686
0.0502,3456
0.0858,1749
-0.163,7725
0.0603,3096
-0.196,9271
0.218,1313
-0.139,9171
-0.129,9444
-0.141,10031
-0.0929,8680
0.0788,2124
-0.091,7954
-0.234,10098
0.0497,996
-0.162,9601
0.0422,3412
0.0192,4746
-0.303,9132
-0.031,6415
-0.000837,5236
0.0463,3573
-0.298,10356
0.0482,3783
0.398,385
-0.173,10032
-0.0282,6635
-0.0388,6758
-0.0394,5685
-0.13,8850
0.364,1145
-0.174,8292
0.173,1971
-0.0198,6084
0.374,1523
0.31,955
-0.0528,6052
-0.0322,5113
0.0741,1672
0.115,1289
-0.118,9185
0.0116,4501
0.0686,3503
-0.0186,5794
-0.00634,5312
-0.139,9045
-0.225,8262
0.54,40
0.102,2970
-0.283,8561
0.0855,1712
0.0287,4058
0.0406,4169
-0.159,9718
0.17,1093
-0.11,7728
0.023,4335
-0.0417,7784
-0.177,5364
-0.466,7155
-0.63,10003
-0.35,10448
-0.158,8397
0.0613,3124
-0.161,8635
-0.0394,5813
-0.0954,7779
-0.144,9397
-0.0678,6809
-0.0997,7872
0.0209,4578
-0.152,6137
0.396,1572
0.0645,2589
-0.0312,5670
-0.0634,7394
0.343,277
0.365,179
0.0611,3372
-0.106,8027
-0.0927,7438
0.161,1184
-0.0624,7551
0.146,1845
0.221,521
0.286,42
-0.0688,7547
-0.00279,5161
0.219,491
-0.313,10195
0.204,199
0.0417,3597
0.112,2622
0.164,1349
-0.0204,5528
0.0586,3337
0.0314,4261
-0.0169,5647
0.0486,2634
0.575,312
-0.0791,7855
-0.126,7564
-0.0623,5846
-0.0817,8235
0.165,1053
-0.224,9102
-0.125,9395
-0.0961,8939
-0.35,10168
0.112,1299
0.124,1336
0.0108,4789
0.141,1114
0.26,1055
-0.115,6831
0.00255,4917
-0.021,5712
-0.00565,5142
0.0184,4593
-0.0514,6760
-0.177,9824
-0.0412,6470
0.0576,2943
-0.0536,6484
-0.223,8917
0.231,571
0.228,1205
-0.142,9250
0.0863,1633
0.116,3065
-0.0492,7449
-0.53,10420
-0.0974,6628
-0.163,9659
0.0883,2086
0.253,802
0.0316,3969
0.00884,4754
-0.0805,6733
-0.0403,6418
-0.0776,8295
-0.117,9731
0.0404,3852
-0.0677,7479
-0.00314,5246
0.147,689
-0.0575,6482
-0.0634,7797
-0.512,8725
-0.332,8735
-0.0973,8588
-0.0833,8881
-0.0404,7269
0.0855,1958
0.0586,3537
-0.107,8020
0.252,43
0.0287,3312
0.00376,4822
-0.311,10291
0.0553,3776
-0.0761,6756
-0.0654,7379
-0.3,10286
-0.381,7025
-0.0205,5681
-0.0477,5769
-0.0409,5947
-0.23,10438
0.327,184
-0.648,7728
0.193,420
-0.516,10274
0.351,636
0.0381,3150
0.00756,4793
-0.083,4904
0.574,1883
0.22,1502
-0.132,7378
-0.037,6503
0.0786,3397
0.0955,2845
-0.0465,8132
-0.0666,6818
0.0619,3969
0.18,2793
0.115,1136
-0.134,9056
0.0321,3592
-0.306,10112
-0.199,10130
-0.379,10019
0.037,3573
-0.0277,5947
-0.0731,7673
-0.253,9787
-0.0143,5154
-0.078,7003
-0.214,9508
-0.0611,7889
0.0534,3415
-0.0607,6379
0.0423,3312
0.0127,5011
0.237,1487
-0.081,8179
-0.0806,6870
-0.162,8580
0.154,3251
-0.251,10257
0.0387,4242
-0.0328,5805
0.0412,3487
0.0281,4413
-0.135,7484
-0.228,9718
-0.0623,5633
-0.124,7320
0.0045,4952
-0.119,8661
-0.211,7214
0.132,2059
0.0724,2863
-0.016,5498
0.0948,2285
0.0202,4194
-0.134,8227
0.209,2429
0.705,1410
0.0187,4313
0.034,3610
-0.0695,8163
0.262,944
0.139,313
0.0724,3503
-0.16,9476
-0.0281,6200
-0.0685,6297
0.0695,3529
0.0463,3749
-0.164,9275
0.00952,4791
0.0797,2275
-0.276,8524
0.391,487
0.418,1791
-0.0951,6644
-0.072,8566
-0.0637,6661
-0.00718,5150
0.0153,4403
-0.185,9879
0.0721,3795
0.175,1155
0.00396,4989
-0.0141,5376
-0.0301,6230
-0.414,9835
0.167,3377
-0.145,9988
-0.132,10053
-0.115,8700
-0.0819,7567
-0.0449,6245
-0.187,8980
0.132,985
0.0195,4586
-0.0811,7145
0.244,1981
0.193,636
-0.0322,6525
-0.194,10135
0.0342,3717
-0.0266,5925
0.1,3467
0.07,1812
-0.0833,7506
0.000386,5060
0.0156,4436
0.0189,4282
-0.0606,6534
0.0674,3348
-0.167,7973
0.0705,3137
0.296,362
-0.0163,5514
0.329,1089
-0.0949,7163
0.216,1320
0.0336,3482
0.177,2124
-0.225,7765
-0.154,8653
-0.134,7380
-0.185,9000
-0.126,9159
-0.0846,7633
0.214,1642
0.032,3778
0.0639,3798
-0.0828,6525
0.173,1565
-0.0153,5807
-0.176,9382
-0.0896,7158
0.194,1195
-0.193,8924
-0.0122,5676
-0.0848,7314
0.0647,290
0.0404,304
-0.00828,6727
-0.00735,6910
0.0211,1398
-0.301,5072
-0.0425,5880
-1.28,9986
0.146,1123
-0.303,10372
-0.0212,5196
-0.264,9349
0.114,2771
-0.0446,6849
-0.231,9287
-0.0757,7492
-0.374,10090
0.132,233
-0.00881,5096
0.108,2022
-0.203,6809
0.0634,4139
-0.332,9365
-0.562,10013
-0.244,10030
-0.0313,5823
-0.438,9248
0.166,1727
0.000966,5120
-0.261,7929
-0.0603,7233
0.0159,4493
-0.198,7877
-0.0489,6532
-0.00717,5593
-0.143,9950
0.0451,4359
