coef,rank
1.54,275
-0.13,7389
-0.0414,5771
-0.542,10337
-0.474,9433
-0.079,7010
-0.0744,8063
-0.087,7024
0.0829,3055
-0.0665,6615
-0.167,9847
0.0611,2318
0.075,2559
-0.135,8377
0.109,3300
-0.127,5149
-0.0123,6047
-0.00592,5431
-0.0845,7792
0.0207,4378
-0.119,7694
-0.131,6399
0.0833,2672
-0.0445,6411
-0.3,9063
-0.104,7263
-0.00814,5447
0.332,2538
-0.334,10163
0.18,712
-0.0741,7331
-0.502,10188
0.12,2401
0.481,515
0.0147,4350
-0.0217,6176
-0.0447,6833
0.0395,4184
0.0515,3570
0.056,3327
-0.0529,7123
-0.00852,5953
0.0139,4754
-0.0265,6263
-0.125,8097
0.205,1297
0.105,533
-0.0397,7732
-0.175,8488
-0.103,8363
-0.117,7978
-0.00149,4910
-0.0888,7614
0.0212,3994
-0.152,9143
-0.00122,5036
0.0964,3409
-0.113,7596
-0.0255,6591
-0.136,9692
0.0846,3185
0.167,1218
0.0955,1593
-0.0741,9081
0.0825,2011
-0.104,9283
-0.106,9202
0.0383,3601
0.0239,4379
0.689,792
-0.0227,6221
-0.161,9783
0.276,366
0.211,1118
-0.0548,6372
-0.182,9918
0.242,148
0.199,409
-0.0295,6477
-0.145,9466
0.557,1141
0.297,805
-0.0913,9271
-0.077,8147
0.031,4056
-0.0278,5540
0.0591,3211
-0.128,6833
0.00134,4863
0.0056,4821
-0.154,8550
0.0862,2987
-0.261,9550
0.0409,4167
-0.0085,5439
0.0601,2569
0.0143,4422
0.0818,1864
0.153,1023
0.134,1723
-0.0393,6841
0.0712,2773
-0.136,9457
0.0274,4317
-0.365,9989
-0.142,8070
-0.11,7018
-0.0473,6273
0.117,2159
-0.0295,5781
-0.692,10453
0.192,1182
0.161,318
-0.0456,7674
0.133,1994
-0.0898,8035
-0.0451,6896
-0.158,8504
0.0104,4783
-0.0152,5733
-0.0599,8133
-0.0768,8547
-0.215,8475
-0.101,6285
0.056,2751
-0.0807,6564
0.0929,3182
0.054,3394
0.129,2068
-0.12,8337
0.112,1186
0.0372,4199
0.145,2251
-0.0474,6982
1.4,1026
0.0885,3487
0.197,289
0.0228,4255
0.333,1099
-0.0676,8365
-0.0949,7162
-0.081,6992
-0.094,7759
0.118,1404
0.166,1683
-0.112,7696
-0.0718,8097
0.0127,4680
-0.114,8458
-0.0508,7393
0.484,1697
-0.128,8636
0.508,266
0.33,139
-0.0307,5762
0.0637,3069
-0.0112,5237
0.0121,4610
0.142,1818
-0.123,8358
-0.128,8235
-0.0156,6047
-0.202,9760
-0.208,9587
-0.156,10015
-0.155,10144
0.123,2045
0.0927,1768
-0.144,8621
0.46,403
-0.113,9102
-0.0624,7866
0.0843,711
0.14,1275
0.123,969
0.166,1391
0.804,82
0.0535,2094
0.112,1360
-0.0258,5695
0.0796,2185
-0.0113,5730
0.00167,5064
-0.00424,5605
-0.128,9287
0.0799,2108
-0.0493,6386
-0.0422,6905
0.346,1451
-0.123,9356
-0.00815,4968
-0.0595,8937
-0.0882,8127
-0.00774,5140
-0.0775,6227
0.0791,2243
0.184,958
-0.256,9421
0.00529,4888
0.459,146
0.189,886
0.145,2492
0.0126,4374
0.0666,3394
-0.0191,5542
-0.153,8224
0.251,311
0.0539,3656
-0.139,9691
-0.113,9332
-0.104,9009
-0.485,10470
-0.0934,7189
0.394,77
0.00383,4693
-0.0594,7591
0.103,2495
0.109,2184
0.0384,4266
1.59,785
-0.159,9217
0.145,454
0.0572,2064
0.105,2806
0.0516,4078
0.00763,4716
0.154,964
0.217,48
0.0549,2411
0.107,2792
0.0792,2761
0.187,1802
-0.184,8670
0.0533,2053
-0.0623,6664
-0.218,9671
-0.000515,4631
0.096,2584
-0.183,8530
-0.557,10242
-0.085,6337
0.00345,4962
-0.0185,5978
0.00585,4812
-0.135,9262
0.0306,3852
-0.109,7697
-0.127,9166
-0.164,8770
-0.112,9134
0.0649,1833
-0.0562,5993
0.178,2364
-0.062,5993
-0.588,10358
-0.0258,6057
0.0695,2343
-0.00634,5248
-0.0516,6645
-0.143,8764
0.0978,2639
0.113,1210
0.00243,5161
0.256,1085
0.0734,2690
0.0876,2608
0.569,616
-0.135,8157
-0.0411,7989
-0.0878,7604
0.182,716
0.159,1761
-0.0548,7008
0.0391,3663
-0.064,6561
-0.187,9867
-0.233,10107
-0.141,8192
-0.08,7816
-0.0584,6882
-0.233,9340
-0.105,7807
-0.319,10175
0.0204,4391
-0.04,6125
0.0412,3071
0.0666,3166
-0.132,8100
0.107,2598
0.0582,3583
-0.245,8993
-0.0438,7489
-0.0506,7440
-0.137,7344
-0.113,8963
0.168,1864
0.0636,4011
-0.131,8949
0.0869,2098
-0.0265,5722
0.292,233
-0.141,8482
0.00372,4755
-0.0119,5495
-0.0965,7363
-0.109,8941
-0.32,9041
-0.0646,6311
0.0716,2296
0.0838,1363
-0.134,9234
-0.103,7923
0.179,2197
0.237,1437
-0.0837,7309
-0.262,9191
-0.0534,6484
0.0404,4022
-0.136,9086
0.016,4617
0.118,3360
0.0742,1989
-0.0246,6156
0.00626,4995
-0.205,9672
0.073,1582
0.54,1062
-0.0257,6605
0.132,790
-0.139,7992
-0.302,10251
-0.126,7724
-1.42,10415
-0.157,10001
0.0974,1429
0.00341,4971
0.161,523
-0.125,9351
0.0282,4388
-0.0689,8362
0.112,2857
-0.243,9371
-0.0262,6699
0.0559,2165
-0.0453,6161
-0.0435,7133
-0.182,9464
1.1,1307
0.127,3497
-0.47,6641
-0.196,4847
0.697,1418
-0.2,9031
-0.189,8535
-0.365,10462
-0.21,9387
-0.00329,5425
0.0338,2926
0.234,3071
0.144,2531
0.267,940
-0.506,10041
0.405,42
0.113,822
-0.0281,5042
-0.151,8324
-0.0739,7764
0.231,251
-0.161,8496
0.0545,2865
0.216,765
-0.0434,6093
-0.0654,6840
0.144,2513
0.153,1682
-0.158,9872
-0.192,8881
0.0578,2105
0.0254,4392
-0.217,6781
0.0781,2609
0.132,1041
-0.227,10031
0.244,434
-0.255,9282
0.0365,4153
-0.0715,7532
-0.00632,5273
-0.316,10442
-0.236,9079
-0.00825,5312
0.0368,4222
0.0639,3642
-0.109,8881
-0.123,7046
0.202,504
0.0109,4927
0.0735,3001
-0.0515,6843
0.0935,1949
-0.104,8485
0.0825,3305
-0.392,10393
0.573,1044
-0.0107,6386
-0.0499,7194
0.0125,4544
-0.122,7573
0.0425,4092
-0.16,8778
0.143,653
-0.0517,8344
0.0145,3043
0.0734,2903
-0.165,7729
-0.122,8622
0.119,2725
-0.0781,8987
0.0334,4069
-0.108,7657
-0.172,9380
-0.182,8727
-0.018,5174
0.0339,3577
-0.0647,7124
0.0195,4522
0.15,1925
-0.0315,5949
0.0451,3117
-0.207,10345
0.284,624
-0.0718,7376
-0.379,10355
-0.102,8584
-0.129,7866
-0.119,9070
-0.00125,5257
0.455,1528
-0.0565,5947
-0.569,10474
0.101,3467
0.0534,2875
0.0554,3376
-0.0282,5532
-0.311,8874
0.052,3842
-0.16,8230
-0.103,8906
0.0524,3976
0.0391,4168
0.222,793
-0.0706,6709
-0.0741,7384
-0.046,6963
0.056,1950
-0.0454,6088
-0.0321,6050
0.133,2163
-0.0496,7122
0.188,366
0.0696,3466
0.172,1410
-0.0707,6462
-0.000418,5093
0.0897,2611
-0.0442,6912
-0.226,10297
0.198,950
0.242,791
0.0531,2890
0.0147,4366
-0.0155,5549
-0.0937,7217
0.0887,2344
0.488,257
0.101,2077
0.0555,3331
-0.127,9586
0.252,1627
0.00537,5137
-0.0962,7404
0.279,781
-0.0585,7225
0.125,1332
0.0775,1970
0.00344,5027
0.106,1420
-0.18,9851
-0.0394,6219
-0.0267,8088
0.0158,4457
-0.137,9502
0.0888,3693
0.242,1797
0.0571,3022
-0.0616,7246
-0.144,9680
-0.0436,6240
