coef,rank
0.12,3663
0.225,1450
0.0201,4389
0.265,1868
0.193,2996
-0.0788,7001
-0.11,9130
-0.104,7471
0.0638,3451
-0.0882,7098
-0.184,10044
0.00985,4630
0.177,561
-0.158,8787
0.598,218
-0.532,9484
-0.0219,6609
-0.0822,9566
-0.137,9088
0.0921,2302
0.0504,3953
-0.0948,5919
0.298,193
-0.187,9714
-0.00335,4959
-0.107,7318
-0.0076,5430
-0.756,10074
-0.0439,5906
-0.0332,6360
0.0444,3846
-0.0041,5004
-0.35,10362
-0.284,9003
-0.0364,6274
0.0348,3305
0.00918,4867
-0.00523,5010
-0.282,10303
-0.0205,5472
0.11,1191
-0.0407,7981
-0.0838,7041
-0.00831,5556
-0.185,9166
0.0829,3094
-0.0178,6049
-0.0383,7662
-0.0688,6371
-0.132,9073
0.0463,3530
0.314,484
0.0128,4782
-0.0943,9358
0.2,1024
0.0112,4723
-0.0485,4944
-0.161,8491
-0.0501,7793
-0.0793,8286
0.00325,4872
0.235,538
0.0364,3637
0.0416,2800
-0.0805,8218
0.0649,2456
-0.0362,6818
-0.11,8967
-0.141,8812
0.859,488
-0.0602,7829
0.121,1266
0.125,1927
0.0821,3045
-0.148,8267
-0.19,10015
0.0378,3663
-0.0024,5023
0.0946,1625
-0.0109,5623
1.1,171
0.304,761
0.15,348
0.0883,1801
-0.149,9258
0.0681,3705
-0.107,8655
-0.147,7143
-0.171,10364
-0.0447,7787
-0.253,9883
-0.157,8882
-0.139,7829
0.0562,3860
-0.00404,5314
0.151,621
-0.22,8847
0.0459,3075
-0.145,9399
0.0374,3863
-0.0644,7889
-0.101,8430
0.167,724
-0.0493,5958
-0.0371,5545
-0.00373,5169
0.45,288
-0.0593,6561
-0.214,9569
-0.143,8530
0.0343,4377
-0.0872,6806
-0.0528,7663
-0.0156,6038
0.0921,2790
-0.05,6801
0.00532,4724
0.11,2372
-0.0876,7554
-0.139,10084
-0.116,9723
0.00564,4852
-0.281,9274
0.153,2969
-0.139,9927
0.154,2466
-0.0776,6271
-0.0331,5813
-0.0137,5340
-0.00322,5054
-0.126,9616
-0.0268,6328
0.179,1808
-0.00479,5440
-0.256,5262
0.116,3088
0.0259,4090
0.0599,3040
-0.465,10190
-0.105,9541
0.0173,4654
-0.0323,5742
-0.154,9137
-0.00635,5441
0.0966,2844
-0.104,7514
-0.098,8935
0.0437,4058
-0.0453,6483
-0.0251,6268
-0.0183,4322
0.0936,2772
-0.155,7261
-0.0128,5362
-0.197,9681
0.0723,2835
0.193,1936
-0.161,9442
-0.0204,5466
0.0638,3194
-0.0437,6229
0.0245,3550
-0.159,9153
-0.0847,7391
-0.135,9703
-0.0929,9042
0.325,192
0.0315,3890
0.0739,2943
-0.134,7053
-0.0886,8494
-0.076,8350
0.0737,1021
0.125,1523
-0.00598,5246
-0.0365,5714
0.0447,4260
0.0569,1949
-0.0966,8691
-0.245,9835
0.118,1159
0.0517,2936
0.053,2499
-0.00996,6120
0.127,1436
-0.084,8326
0.0152,4665
0.127,1183
-0.198,7322
0.0195,4458
-0.0647,6855
0.000851,5121
0.121,1506
0.216,1074
0.467,360
-0.0302,6456
-0.0131,5488
0.0326,4408
-0.0287,6837
-0.173,8429
-0.129,8454
0.00979,4697
0.0105,4480
-0.0347,5830
0.283,536
-0.106,7347
-0.171,9500
-0.00159,4944
0.00705,4676
-0.124,9542
-0.119,9367
0.124,2434
0.164,1533
-0.0473,6126
0.0677,1314
0.0258,3957
-0.0744,7551
-0.238,10069
-0.246,8898
-0.475,6975
-0.0624,6957
0.0504,2761
0.026,3650
-0.182,9001
-0.0521,5693
-0.231,9681
-0.132,9198
-0.115,9636
-0.0393,7401
0.0467,3838
0.0949,2359
0.0435,3998
-0.072,6649
-0.131,10289
-0.0374,6040
-0.292,10218
-0.299,8138
0.306,296
0.0771,3333
0.199,2647
-0.00375,5064
-0.103,8900
-0.0362,6620
-0.166,9706
-0.0157,5517
-0.0277,5546
0.199,1562
0.0967,1977
-0.006,5143
-0.0639,7695
0.0565,2157
0.208,1836
-0.355,9774
0.136,2556
0.355,1468
0.169,876
0.0939,1707
0.012,4517
-0.0553,6742
0.256,525
-0.0682,6672
-0.113,9103
-0.0563,6886
0.261,1029
0.04,3622
0.102,2302
-0.594,10326
0.0106,4875
0.0695,1218
-0.264,10251
-0.0118,5391
0.149,1889
0.0471,3690
0.00228,4822
0.00937,4833
0.0556,3334
0.0203,4393
0.0792,3438
-0.0812,7858
0.0537,3281
-0.048,5919
-0.207,9600
0.196,1488
-0.0566,6412
0.11,2229
0.107,939
-0.246,10038
-0.106,7516
-0.245,9753
-0.101,7035
-0.00512,4998
0.0467,2938
0.0745,2473
0.38,828
-0.108,8841
-0.268,9967
0.156,2645
0.00302,4926
0.0778,2326
0.0719,3097
-0.00532,5153
-0.137,8405
-0.363,9342
-0.00883,5332
-0.124,7897
-0.157,9855
-0.313,8959
-0.0476,5906
0.00768,4683
0.0559,2340
-0.167,9781
0.4,66
-0.239,8825
0.19,1915
0.191,1144
-0.0695,6368
-0.116,7887
-0.0761,6234
-0.136,9080
-0.0464,6054
0.273,1836
-0.0575,7942
-0.13,9311
-0.0676,7858
0.00205,4939
0.0909,1100
-0.171,6309
-0.0746,8640
-0.207,10382
0.172,1852
0.0238,4322
-0.17,8537
-0.469,6792
0.146,741
0.0977,1422
0.319,85
0.0393,3423
0.117,1474
0.215,1900
0.0338,3372
-0.554,8266
-0.125,7563
0.0291,3404
0.0356,3049
0.248,969
-0.00159,5150
0.285,321
-1.83,10415
-0.233,6878
-0.456,6520
0.194,2929
-0.65,9373
0.0604,3516
0.225,1508
-0.0682,7323
0.224,894
-0.0587,8311
0.00366,4656
0.218,3145
-0.215,8765
-0.191,8739
-0.351,8829
0.0252,4230
-0.0872,9081
0.0202,4355
0.154,1947
-0.17,9849
-0.0891,8026
0.23,1141
-0.187,10299
0.0915,2584
0.291,823
-0.0151,5379
-0.027,5298
0.304,365
-0.0403,6742
-0.245,9549
-0.00998,5932
-0.0273,5904
0.493,1281
0.00289,5122
0.195,384
-0.324,10425
0.148,1369
-0.204,8628
-0.0794,7430
-0.135,9132
0.0259,4029
0.0866,2512
0.365,621
0.0814,2638
0.0315,4305
-0.279,10146
