coef,rank
-0.475,8710
0.103,3024
0.243,1041
-0.283,8713
-0.327,8217
0.00972,4602
0.00373,4876
-0.00191,4907
0.0675,3373
0.0363,4126
-0.11,8844
-0.154,10145
-0.0687,7757
-0.227,9731
0.183,2412
-0.113,5055
-0.0968,9824
-0.034,7379
-0.0232,5847
0.155,1137
-0.179,8790
0.745,289
-0.0782,7353
0.327,97
0.282,1747
-0.195,8890
-0.0562,7331
-0.561,9119
-0.222,9203
-0.0377,6536
0.191,1030
0.149,3185
0.0486,3851
0.415,755
0.109,1586
0.122,675
0.132,1278
0.0923,3256
-0.0237,5682
-0.0677,6797
-0.0188,5606
-0.0151,6398
-0.192,9078
-0.0511,7161
0.0532,3656
0.0673,3392
-0.0268,6632
-0.00316,5298
-0.173,8474
0.0372,3760
-0.38,10451
0.209,1307
0.132,1971
-0.0565,7976
0.159,1587
-0.0212,5523
0.242,2173
-0.234,9487
-0.0738,8748
-0.0778,8228
-0.0118,5217
0.317,184
-0.144,9927
0.0706,1564
0.0241,4024
-0.128,9754
-0.0209,6168
0.0415,3476
-0.0621,6857
-0.534,9320
-0.0164,5944
0.00739,4615
0.161,1385
-0.208,9394
0.197,1716
-0.154,9550
0.0523,3150
0.0278,3945
0.0254,3969
0.259,245
-0.212,7145
-0.0486,5711
0.0736,1875
-0.0483,7003
0.076,2709
-0.135,7677
0.1,2118
0.579,354
-0.0539,7856
-0.0145,6030
-0.201,9302
0.0399,4050
0.066,3764
0.164,2021
-0.0694,6975
-0.0507,7258
0.0438,3897
-0.0918,8818
0.0681,2871
-0.0667,7000
-0.0877,8704
-0.052,6992
0.0397,3614
0.517,82
0.0339,4372
-0.0652,6502
0.069,3617
0.0303,4268
0.239,731
0.2,1120
0.0762,3907
0.106,2378
-0.0478,7437
0.107,654
-0.136,8708
0.00385,4952
0.111,1213
0.235,826
0.0804,2949
0.0725,1712
0.0195,4358
-0.0891,8963
-0.379,10051
-0.281,8717
0.0424,3280
-0.193,8581
-0.359,10023
0.147,1508
-0.0269,5667
0.0249,4307
0.172,356
0.0328,4337
0.176,1837
0.139,1226
0.912,1547
-0.169,7679
0.114,1347
0.021,4313
0.494,460
-0.0779,8744
0.177,1663
-0.0921,7256
-0.071,7126
-0.216,10362
-0.0431,5997
-0.154,8482
0.0479,3030
0.148,2171
-0.0162,5528
-0.0843,8659
-0.12,5136
-0.0688,7227
