coef,rank
1.31,437
-0.202,8642
-0.107,7260
0.0544,4120
0.56,1082
-0.195,9479
-0.101,8913
-0.231,9665
-0.128,7781
-0.122,7874
0.0238,4357
0.0162,4285
0.145,948
-0.134,8361
-0.131,6956
-0.441,8711
-0.0367,7435
-0.0132,5972
-0.0702,7373
-0.0354,6248
-0.0952,7201
-0.141,6536
-0.0968,7850
0.039,3873
-0.259,8585
-0.0218,5521
0.0849,2179
0.925,823
-0.157,8182
-0.0816,8005
-0.0227,5806
0.323,1652
0.289,581
-0.275,8904
0.00818,4598
0.118,730
-0.129,9209
0.0229,4485
-0.0123,5360
-0.0471,6238
-0.0978,8703
0.0154,4275
-0.267,9918
0.118,1627
-0.114,7862
0.133,2235
0.0123,4135
0.0513,2064
-0.119,7466
0.0937,2173
-0.216,9730
-0.407,10422
0.131,1974
0.093,1134
-0.07,7295
0.0101,4758
0.211,2395
-0.0341,5800
-0.147,10266
-0.126,9528
0.0987,2945
-0.0209,5495
0.0987,1520
0.0874,1060
0.0231,4060
0.0719,2204
0.133,942
0.00964,4736
-0.322,10412
-0.406,8288
-0.00647,5451
-0.211,10241
0.0497,3637
-0.000727,4924
-0.317,10112
0.0482,3601
-0.0445,6877
0.00101,4909
-0.184,10305
0.0598,3278
-0.509,9668
0.0237,4266
-0.0195,6249
-0.0155,5662
-0.0709,7367
-0.116,7344
0.0357,3950
-0.148,7174
-0.0523,7773
-0.00195,5289
0.115,2625
0.0159,4668
-0.0816,6747
0.484,103
-0.269,10095
-0.0489,7171
0.249,1198
-0.0936,8870
-0.0681,7464
0.032,4013
-0.0501,7315
-0.0547,7081
0.0164,4465
-0.25,9582
-0.153,7571
-0.254,9687
-0.182,8230
-0.218,9676
-0.0926,7284
-0.252,10054
-0.243,7944
-0.237,9641
-0.057,7848
0.0112,4454
0.473,23
-0.128,8948
0.201,225
0.133,1987
-0.0137,5477
-0.0196,5971
-0.0141,6003
-0.0779,8587
0.0128,4634
0.461,788
-0.0823,8606
0.157,2424
-0.0646,6029
0.00362,4755
0.213,914
-0.112,8179
0.00529,4767
-0.0376,6661
0.0556,3814
-0.0215,6049
0.449,2226
-0.224,8469
0.103,1585
0.0544,3221
0.0775,3515
0.103,1125
-0.21,9242
-0.0287,5626
0.00843,4631
0.0795,2358
-0.0451,6050
-0.0851,7088
0.131,809
0.154,2083
-0.03,5971
0.175,331
1,483
0.0728,3270
0.14,2626
0.184,973
-0.00485,5004
0.0745,2772
0.693,42
-0.16,9425
0.534,21
0.0747,2945
0.0784,3233
0.102,686
-0.232,10055
0.0103,4924
-0.0116,5704
0.0981,1507
0.145,1648
-0.00356,5405
0.151,1499
-0.186,7966
-0.0567,7499
0.165,484
-0.0488,8480
0.113,1744
-0.0562,7461
-0.0685,6554
-0.0427,5580
-0.0417,7801
0.16,620
-0.218,9560
-0.0449,7121
0.0321,3745
-0.0568,8046
0.062,1016
-0.132,9362
-0.0271,6170
0.283,376
0.0937,1865
0.251,2128
-0.0524,7374
-0.0716,7054
0.0562,1634
-0.0254,5998
0.236,885
-0.256,9097
0.0647,2680
-0.235,10082
-0.115,7285
0.146,311
-0.158,8167
0.00426,4667
-0.31,9788
-0.0265,6325
0.0807,3078
0.326,343
-0.0888,6967
0.0199,4166
0.0646,3418
0.18,402
-0.00276,5302
0.107,1636
-0.105,7633
-0.0302,5530
0.0353,3923
0.0813,938
-0.0272,6295
0.212,770
-0.0411,6216
-0.052,5818
0.224,2596
0.162,1378
-0.0571,7828
-0.04,7622
0.0673,3582
0.24,1905
-0.0874,7110
-0.0592,7139
-0.0757,8487
0.0255,3717
0.297,717
0.339,74
-0.302,9827
0.297,845
0.0763,1219
0.156,1577
0.0577,3528
0.499,968
0.123,2053
-0.307,9957
0.1,3684
-0.187,7969
-0.237,10410
-0.0267,6273
-0.0937,8194
-0.0326,6135
-0.0677,6767
-0.0643,6711
-0.111,8845
-0.139,8329
-0.0577,7472
-0.0489,7914
-0.126,7271
-0.206,8096
