coef,rank
-0.398,8071
-0.206,8701
0.325,500
-0.0813,6028
0.0411,4289
-0.319,10359
-0.0717,7960
-0.101,7398
0.0542,3630
0.12,2362
-0.0378,6563
0.0677,2119
0.0199,4437
-0.148,8634
0.166,2606
0.139,3584
0.0566,1995
-0.0387,7666
0.185,712
0.193,705
-0.142,8134
0.561,653
0.139,1553
-0.0584,6844
1.12,30
-0.0578,6337
0.106,1611
-0.383,7248
0.0604,3729
0.0491,3423
-0.205,9824
0.0721,4009
0.158,1798
-0.0468,5592
0.135,1117
-0.041,7165
0.107,1793
0.0362,4238
0.107,2323
0.1,2396
-0.193,10278
0.0147,4324
-0.0101,5283
0.101,2002
0.344,240
0.202,1326
0.00248,4758
0.0187,3801
0.222,1233
-0.084,7797
-0.292,10273
-0.153,8206
0.112,2342
-0.079,8899
0.0539,3827
-0.252,9802
-0.0867,5388
0.128,2453
-0.0345,7047
0.0368,3482
-0.0024,4996
0.0209,4285
0.144,674
-0.105,9921
-0.0582,7442
0.0181,4325
0.0333,3837
-0.00118,5111
0.154,1468
-0.64,9922
0.0278,3869
0.098,1732
0.0452,3761
-0.0101,5161
0.104,3144
0.0304,4183
0.0496,3249
-0.187,10043
0.0502,2978
-0.0544,7170
-0.202,7047
-0.0389,5509
0.0369,3396
-0.181,10212
-0.0929,8013
-0.017,5326
-0.0143,5674
0.223,2049
-0.0544,7880
-0.0196,6366
-0.0499,6350
-0.0475,6371
-0.384,10301
-0.0332,5901
-0.192,9354
0.0101,4598
0.106,2902
0.111,1172
0.024,4268
-0.161,9154
-0.0213,6053
0.0738,2698
-0.0551,7255
-0.0394,5751
-0.191,8164
0.187,1768
-0.188,8314
-0.154,8734
-0.0505,6216
-0.106,7743
-0.0821,5852
-0.104,7258
-0.192,10417
-0.0303,6872
-0.0734,7268
-0.115,8638
0.0355,3477
0.0795,2966
-0.074,7216
-0.0322,6611
0.0505,2987
-0.0427,7223
0.0605,3857
-0.151,6965
0.128,862
-0.221,8978
-0.262,9213
0.449,27
-0.096,7508
-0.0428,6273
0.000999,4974
0.144,1448
0.36,398
-0.0809,8046
-0.328,5781
0.209,2095
0.0431,3406
0.285,91
-0.106,6241
0.00668,4810
-0.347,10300
-0.168,8849
0.0231,4194
0.00251,5115
0.0136,4665
-0.0349,5887
-0.0144,5665
-0.298,9974
0.17,1045
0.0225,4067
0.576,1394
-0.0256,5958
-0.355,9708
0.106,2173
-0.109,7992
-0.0111,5490
0.0037,4949
