coef,rank
-0.064,4926
-0.0233,5314
0.11,2626
-0.00379,4924
-0.104,5766
-0.218,9752
0.0412,3315
-0.0819,6909
0.249,833
-0.281,10064
0.14,1195
-0.0915,8983
0.118,1451
0.263,717
0.0801,3713
-0.516,9359
-0.138,10343
-0.0121,5887
0.217,456
0.0298,4075
0.0521,3918
-0.0832,5779
-0.00469,5136
0.0338,4018
-0.192,7766
0.373,392
0.133,1085
-0.476,8334
0.00728,4811
0.121,1578
0.0353,4108
-0.0332,5403
-0.0583,6467
0.322,1213
0.0383,3530
-0.0486,7549
0.0944,2108
0.226,1510
0.0359,3988
-0.115,7996
-0.0493,6976
0.0926,770
0.174,1819
0.163,842
-0.00225,5015
-0.0707,6485
-0.0273,6676
0.0562,1848
0.39,265
-0.0579,6969
-0.361,10429
-0.0183,5336
-0.0737,7201
0.0116,4485
0.0379,4275
-0.317,10243
-0.519,9984
0.0189,4583
-0.0202,6284
-0.0277,6258
0.157,1970
0.185,989
0.0219,4224
-0.0692,8885
-0.172,10104
0.0584,2659
-0.018,6037
-0.0703,7784
0.0779,2961
-0.324,7428
-0.00609,5432
0.0124,4422
0.086,2765
-0.0302,5657
-0.28,9891
0.0867,2577
-0.0609,7480
0.159,773
0.127,950
-0.0416,6727
-0.27,7771
0.0417,3914
0.0303,3711
0.129,994
-0.233,10199
-0.0898,6855
0.00419,5009
0.00106,4755
-0.00143,5021
-0.0573,8361
0.149,2034
0.229,868
0.0358,4346
-0.111,7621
0.247,817
-0.0223,6049
0.0649,3520
0.054,2750
-0.0225,5921
-0.194,9631
-0.0039,5243
0.26,171
0.0895,2102
0.17,1855
0.23,1920
0.192,1703
0.064,3701
-0.133,8316
-0.266,10016
0.108,2462
-0.267,8267
0.0651,3122
-0.132,9985
0.0874,1082
-0.0148,5627
0.0669,2964
-0.0861,8502
0.0188,4308
0.0581,3519
0.078,1538
0.0309,3829
-0.053,7658
-0.0513,5782
0.0525,4177
0.141,665
0.0192,4632
-0.224,8738
0.0676,3043
0.076,3097
-0.118,8301
-0.165,10170
0.0861,2742
-0.287,9910
0.0573,3235
0.419,2289
-0.00823,5003
0.0396,3536
0.12,1473
0.212,1995
0.0781,1791
0.204,1338
0.0375,3898
0.127,1716
0.149,881
-0.122,7888
0.0862,3173
0.0506,2924
0.126,2501
0.269,281
-0.0971,9045
-0.628,9717
0.0559,3725
-0.435,10171
-0.185,9597
0.062,3141
0.0507,3439
-0.0943,6776
-0.02,5702
0.0982,2615
0.0896,2578
-0.103,7696
-0.101,9749
-0.0812,7414
-0.175,9128
-0.148,9906
0.0628,2646
-0.144,8997
-0.0341,6695
