coef,rank
-0.452,8524
-0.181,8295
0.182,1630
0.284,1734
0.0816,3926
0.0513,3549
-0.141,9748
0.134,2082
-0.151,8241
0.00288,4920
-0.0622,7400
-0.003,5235
0.0814,2369
-0.184,9180
-0.355,9790
0.561,1544
0.0449,2539
0.0621,1523
-0.227,10210
-0.101,8256
-0.213,9253
0.128,3286
0.0565,3340
0.0621,3207
0.652,319
0.194,1696
-0.00585,5363
-0.443,7969
0.105,2916
-0.00844,5443
-0.0723,7262
-0.184,7502
-0.189,9117
-0.311,9258
-0.0914,8222
-0.1,9397
0.167,769
0.346,681
-0.00521,5139
0.161,1363
-0.0434,6704
0.05,2189
0.0215,4574
-0.0516,7179
-0.0824,7069
0.325,400
0.0576,1876
-0.0122,5915
-0.117,7422
0.0394,3677
-0.231,9884
-0.0692,6479
0.0894,2787
0.0223,3937
0.0879,2969
-0.266,9935
-0.293,7998
-0.333,10216
0.0713,1797
-0.149,9917
0.0995,2934
-0.164,9151
0.181,302
-0.0498,8068
0.111,1312
-0.0666,8132
-0.0464,7248
-0.137,9564
-0.0902,7620
0.135,3331
-0.0932,8984
0.0258,3934
-0.197,9561
-0.0456,6025
-0.283,9916
-0.156,9585
0.0309,3927
0.241,211
-0.0802,8505
0.144,1253
-0.325,8298
0.119,2640
0.0786,1700
-0.0331,6375
-0.0154,5520
-0.183,8490
-0.029,6189
-0.25,8684
0.163,178
0.00321,4980
0.137,2213
0.0751,3226
-0.0914,6922
0.214,1388
0.274,627
-0.00661,5338
-0.00486,4782
0.156,521
0.198,531
-0.0804,7399
0.0428,3212
0.232,298
-0.152,9707
0.0879,3142
0.575,310
0.192,1691
-0.0515,5868
0.164,1650
0.0271,4157
0.0667,3312
0.144,3149
0.457,55
0.0591,2355
-0.00313,5277
-0.0523,6677
-0.0121,5515
0.0972,1519
-0.155,8449
0.00542,4929
-0.0492,7464
0.0283,3966
0.0552,2621
-0.0344,5476
0.211,2427
-0.00554,5339
-0.322,9980
-0.0207,5213
-0.205,9671
0.196,1093
-0.199,9754
0.0138,4397
-0.0247,6252
-0.139,7957
-0.0744,7857
-1.32,10298
-0.133,7062
0.0283,3996
-0.085,8113
-0.183,7522
-0.129,9951
-0.343,10287
-0.0893,7189
0.0152,4443
-0.0877,8477
0.195,1318
-0.219,9489
-0.0709,8069
-0.125,7623
0.079,2726
0.0469,3078
-0.633,9742
0.107,2503
0.236,1601
0.0578,3317
0.127,1779
0.0425,3694
-0.205,8666
0.106,2086
0.193,1165
-0.0515,6518
-0.126,8190
-0.00802,5579
-0.246,10152
-0.235,9862
-0.0313,6497
-0.0406,7147
0.113,2246
-0.091,8894
0.0113,4550
-0.084,6104
0.172,716
0.0726,2319
-0.0221,6805
-0.0886,8027
-0.0529,7313
-0.0762,6753
-0.418,10016
0.0728,1342
-0.0406,6685
-0.164,8778
0.111,1322
0.143,721
-0.0367,7108
0.0225,3334
-0.0883,8295
0.0403,3369
-0.0358,6033
-0.00646,5458
0.0654,3974
-0.128,9457
0.0863,2310
0.047,2056
-0.23,10270
0.139,2045
0.0637,3822
-0.0696,8027
-0.101,8019
0.0699,3731
0.0473,2747
-0.00568,4949
0.301,192
-0.264,9363
-0.0751,8441
-0.152,8586
0.0156,4646
-0.0508,6181
0.0885,2353
0.184,1411
0.0361,3533
-0.0599,7798
-0.158,10010
0.175,1662
-0.0829,6925
0.224,726
0.0556,1746
0.139,757
0.143,1696
0.162,1304
-0.0564,5872
-0.701,8741
0.0277,4349
0.031,3607
-0.0486,8083
0.112,2697
-0.116,6795
0.00262,4822
0.123,1444
-0.0315,6558
0.0615,2166
0.0339,4085
-0.271,10309
-0.137,7593
0.0222,4702
-0.0415,7688
0.183,1200
0.134,1964
-0.532,9998
-0.155,8755
-0.0434,5806
0.479,868
-0.268,8999
-0.000484,5143
-0.00916,5624
-0.0818,7836
-0.0637,7265
-0.0691,6813
-0.269,9970
0.174,646
-0.296,10213
0.0441,3362
0.0508,2419
0.0646,3802
-0.28,9048
-0.116,6987
0.375,1369
0.0101,4824
-0.000724,4862
0.0179,4315
0.0232,4386
-0.228,9957
-0.0565,6331
-0.104,8862
0.147,1609
0.575,72
0.111,1755
0.28,356
0.428,1140
-0.0973,7401
-0.0387,7858
0.174,1165
-0.122,8791
-0.0221,5283
0.0915,2439
-0.0985,8125
-0.115,7707
-0.216,10117
0.102,2212
-0.196,9047
-0.0465,6695
-0.0221,5709
-0.365,10296
-0.0361,6095
-0.317,10166
-0.0384,5935
-0.0945,7646
0.0131,4428
0.0111,4606
0.119,2332
-0.263,9929
-0.00521,4904
-0.306,9605
0.0586,2458
0.00278,5228
0.237,1885
-0.117,9082
-0.0412,6145
0.361,821
-0.0589,7003
-0.0705,7579
0.135,1865
0.061,3246
0.31,378
0.086,3740
-0.0662,8129
-0.218,9368
0.118,1376
-0.119,6383
0.00357,4784
-0.026,6179
-0.0215,6396
-0.0369,6404
0.0656,3333
-0.0623,5896
0.054,3968
0.0897,2784
0.0557,4292
-0.27,9997
0.0209,4362
-0.17,9670
0.124,2538
-0.179,7604
0.0267,3891
0.048,3480
-0.0713,7983
-0.00576,5150
-0.00877,5411
0.0381,4306
0.0448,3297
0.0769,2045
0.0121,4733
-0.389,10444
-0.228,9403
-0.433,6416
0.0736,2329
-0.0922,8969
-0.0792,7737
-0.0109,5540
-0.0793,8149
-0.016,5156
0.0772,1686
-0.827,9914
-0.101,7104
0.0102,4487
-0.0672,8626
0.09,3134
-0.0119,5637
0.00268,4891
0.801,1727
-0.223,6733
-1.16,10068
0.864,1463
-0.671,9484
-0.344,10279
0.757,9
-0.0171,5696
-0.379,10408
-0.0155,6116
0.0322,3003
-0.72,10007
0.267,1161
0.227,1293
0.283,2033
0.0107,4639
-0.0287,6656
0.299,1603
0.0658,3482
-0.0317,6318
0.0536,3109
0.0273,4437
-0.145,9938
-0.0361,6102
-0.252,9729
-0.0443,6248
-0.0449,5637
-0.0224,5436
0.218,246
-0.08,6843
0.0149,4385
-0.0922,7586
1.03,223
0.182,644
-0.0609,7081
0.0515,3653
0.167,1101
-0.0427,5771
0.101,2565
0.113,2006
0.21,311
0.123,1769
-0.153,7868
-0.00257,5121
-0.166,7905
0.101,2823
