coef,rank
-0.148,5662
0.0445,4000
0.234,1113
0.402,943
-0.471,9418
-0.204,9595
-0.144,9788
0.124,2258
0.165,1737
-0.0749,6788
-0.11,8834
-0.14,9964
-0.0936,8487
-0.133,8343
0.00684,4808
0.829,796
0.0187,4032
-0.0497,8281
0.052,3375
0.0474,3533
0.0255,4497
0.181,2764
-0.195,9773
-0.137,8813
0.689,265
0.154,2163
-0.0151,5720
-0.261,5693
0.208,1528
-0.193,10058
0.00336,5073
0.519,728
-0.206,9353
-0.11,6567
-0.197,10147
-0.0542,7792
0.129,1339
0.159,2277
-0.0485,6418
0.336,166
0.0402,3177
-0.0557,8702
0.187,1635
-0.0404,6770
0.251,686
-0.033,5626
0.0524,2073
0.0137,4107
0.182,1644
-0.0465,6616
0.0748,2854
0.439,118
0.645,0
0.0228,3902
0.198,1042
-0.198,9178
-0.314,8248
-0.0237,5567
0.188,92
0.101,1475
0.163,1884
-0.00497,4988
-0.0145,5847
0.0527,2273
-0.0666,7747
0.09,1719
-0.0435,7117
0.119,1333
0.0826,2842
-0.204,6123
-0.0251,6338
0.0408,3409
-0.126,8350
0.0709,3255
0.114,2934
0.156,1225
-0.0862,8296
0.0339,3712
-0.0332,6632
-0.104,8652
0.504,1375
0.000879,4712
0.0149,4435
-0.11,9109
-0.211,10046
0.464,224
-0.126,9091
0.175,2511
0.0191,3877
-0.0453,7820
0.112,2682
0.141,1955
-0.178,8462
0.282,758
0.273,632
0.012,4512
0.266,1054
0.0836,1807
0.135,1312
0.0548,3399
-0.0863,8653
-0.000399,5097
-0.145,9617
-0.0164,5269
-0.261,9118
0.159,2122
0.0318,4268
0.0724,3251
0.162,1506
-0.0915,7421
-0.286,8500
-0.125,7771
-0.0493,7492
-0.121,10052
0.18,1276
0.0923,2290
-0.177,10205
-0.0555,6157
-0.0729,7188
0.0774,1548
-0.119,9790
0.0479,2912
0.554,184
0.395,1076
-0.011,5584
-0.0142,5283
-0.158,7757
0.106,2173
-0.0093,5212
0.102,2366
0.0567,2670
-0.266,10378
0.182,1752
0.0436,3676
0.00812,3607
-0.144,7259
0.104,1545
0.0342,3877
-0.364,9653
0.00744,4765
-0.0171,5410
0.126,2049
0.0528,3354
-0.0364,6674
0.0239,4406
0.0562,3765
0.0345,3555
-0.129,7695
0.0368,3848
0.147,587
1.69,67
-0.142,8908
0.388,660
0.165,1220
0.0449,3537
-0.0155,5647
0.0383,4299
-0.0945,8007
-0.116,7845
-0.135,8638
0.373,248
0.199,28
0.046,3711
0.409,138
-0.00676,5472
0.151,588
-0.0607,6995
0.0796,2158
-0.0422,6038
-0.0216,4971
0.0617,3093
0.0556,2911
-0.0659,9199
-0.123,8898
0.16,488
-0.0606,6348
-0.213,8030
-0.0387,7640
-0.0099,5397
-0.151,8515
-0.0128,5778
-0.0416,7108
-0.0885,9209
-0.0751,9856
-0.124,9185
0.0421,3293
-0.0328,5945
-0.108,9052
0.0894,3672
0.0969,1890
0.0181,4124
-0.0488,8420
0.0865,2253
0.0196,4481
-0.29,9485
-0.067,7929
0.00321,4982
-0.106,7116
0.00567,4869
-0.0161,5180
0.00918,4533
0.23,1527
0.0516,2661
-0.234,9768
0.351,256
-0.128,7782
-0.0111,5210
-0.266,9974
-0.1,8844
0.101,1419
0.064,2827
-0.0935,7363
-0.0485,6015
0.0302,4065
0.0322,2889
0.0362,3504
-0.0149,5791
-0.0354,6042
-0.121,7009
-0.316,5505
0.0672,3311
-0.0812,8676
-0.0104,5881
-0.301,10202
0.107,3328
-0.117,7781
0.101,1932
-0.0562,7742
0.0494,2636
-0.148,7831
-0.115,8382
0.367,465
-0.136,7878
-0.0446,7851
0.0223,4335
0.00603,4804
0.344,1678
0.00392,4845
0.275,878
0.0723,3995
-0.33,9598
0.0317,3862
0.202,455
-0.173,9781
0.173,707
0.15,1337
0.159,2056
-0.127,9180
-0.146,8440
-0.0541,7350
-0.0864,9396
0.0182,4632
0.167,2473
0.245,1311
-0.296,8751
0.189,678
-0.00905,5205
-0.0133,5539
0.0065,4898
0.282,396
-0.0678,6660
-0.00755,5233
0.202,873
0.0382,4020
-0.0367,6353
0.0329,3970
-0.344,8872
0.0591,3776
0.0277,3202
-0.0657,6994
0.192,626
0.0247,4218
0.0354,4038
-0.102,8251
-0.0383,5929
0.0123,4717
-0.0605,6858
0.303,584
-0.0643,7306
0.117,1723
0.00307,4790
-0.251,10022
-0.231,9436
0.0564,3526
0.32,204
-0.0359,7022
-0.155,8903
-0.221,9533
0.122,2345
-0.191,8702
-0.177,8045
0.105,1008
-0.023,6340
-0.153,7626
0.122,1468
-0.306,10181
-0.255,9265
0.223,418
0.0532,3080
-0.134,8475
0.117,1907
-0.0411,6147
0.126,3265
0.0256,3639
0.00587,5089
-0.0731,7917
-0.235,7963
0.0407,4046
0.166,487
0.0339,3401
-0.0744,7675
-0.0678,6988
0.414,553
-0.0241,5407
-0.213,9766
-0.215,8608
0.266,820
0.166,2120
-0.137,9100
0.198,1543
-0.279,8868
0.0963,1367
-0.0184,5916
-0.0108,5684
0.0656,3324
-0.0983,9431
-0.0783,5414
0.0842,1841
0.0702,2258
-0.0161,5394
-0.128,8091
-0.0813,6793
-0.323,5314
-0.0348,6762
-0.0951,9045
0.379,25
0.165,479
-0.0549,7309
0.0467,4069
-0.0855,8998
-0.117,3731
-0.112,7302
-0.123,10170
-0.00399,5234
-0.0541,6348
-0.0316,6545
-0.00981,5270
-0.29,5614
-0.41,8861
-0.263,5028
-0.266,5426
-0.17,5136
-0.194,8936
-0.0541,6097
0.0175,4580
0.0804,2950
0.0235,3947
-0.0482,7919
0.675,1431
0.111,3019
0.242,1147
-0.178,6620
-0.183,9475
-0.105,9560
-0.364,9520
0.00375,4843
0.00348,5068
-0.00953,5314
-0.336,10287
-0.0545,7573
0.132,1817
0.35,488
-0.2,9574
0.274,1231
-0.158,8622
-0.0348,6514
0.0465,3998
0.00278,5159
-0.0252,5844
-0.237,7022
-0.0652,7613
-0.138,9341
0.133,1778
-0.0234,5826
0.0788,3577
-0.0798,7452
-0.0632,7268
0.114,1499
0.0462,3550
-0.241,9137
-0.0363,6201
-0.125,7198
0.0702,3501
-0.0645,7645
-0.227,8664
-0.0112,5549
0.0926,3128
-0.0276,5818
-0.0994,8260
-0.15,9762
-0.0786,7787
0.0633,3622
0.119,2452
-0.247,7269
-0.0361,8855
0.0411,3546
-0.359,10281
0.277,1048
0.189,1515
0.0134,4931
0.136,729
-0.00989,5581
-0.0379,9714
0.102,2241
0.184,2232
-0.0568,6825
-0.239,9318
-0.0577,8217
-0.245,10140
0.217,1052
0.0376,4305
0.0838,3322
0.728,11
-0.0805,8359
-0.228,10076
-0.332,10212
-0.0847,7185
-0.174,9338
0.0149,4474
0.0773,2385
-0.0579,6683
-0.0681,7261
0.154,2320
0.00576,5037
-0.278,9994
-0.061,7375
0.0818,1314
0.0698,3760
-0.269,9491
0.373,319
-0.104,6317
-0.0456,7150
0.00718,4773
0.124,2367
0.137,3244
-0.211,9091
-0.238,9326
-0.0376,6700
0.122,2873
-0.269,9142
-0.0615,7094
-0.0811,6976
-0.0293,6021
0.026,3957
0.0633,1657
-0.115,7820
0.113,2314
-0.129,8337
0.0834,2796
0.244,111
0.00384,4943
0.0536,3553
0.147,2420
-0.0472,6362
0.0534,3498
0.167,764
-0.0278,6277
-0.0139,5200
0.0142,4777
-0.0512,7208
-0.0685,7101
0.0662,3195
-0.132,8001
-0.156,9795
0.314,967
0.0491,3394
-0.128,8637
-0.0818,8439
0.244,1719
0.0559,3238
0.00708,4771
-0.18,8808
0.201,722
0.0465,3500
-0.0369,6938
-0.068,7878
0.0728,2296
-0.0416,6288
0.227,545
-0.02,7484
-0.221,10202
-0.0279,6204
0.377,967
-0.273,8785
-0.171,10031
0.102,2272
-0.0679,7797
-0.0918,7628
0.0823,2840
0.311,790
-0.192,10194
-0.0173,6004
-0.0494,7170
-0.173,8025
-0.163,9491
-0.13,6807
0.0785,3650
-0.163,8225
0.099,1347
-0.094,5780
0.354,720
-0.141,7714
0.0508,4049
-0.0999,9393
0.079,2276
0.0912,1973
-0.131,8663
-0.141,7691
0.138,2032
0.153,461
-0.0631,7115
0.416,884
-0.0586,6430
-0.17,8616
-0.25,8198
0.0264,3951
0.000334,5013
0.0636,3565
0.142,1126
0.133,1610
0.0531,3583
-0.067,7981
0.103,589
-0.391,7168
-0.154,3839
0.0267,4463
0.166,1375
-0.111,7444
-0.11,8922
-0.0186,5391
0.0342,4144
-0.114,8237
-0.166,9725
0.167,1647
-0.161,9221
0.0399,3948
-0.0882,5479
-0.172,6274
-0.237,10431
-0.187,8954
-0.0219,5909
