coef,rank
-0.326,7370
0.188,1833
0.171,1770
-0.242,8234
-0.315,8060
0.232,651
-0.0149,5678
0.0995,2693
-0.252,9712
-0.297,10155
-0.0621,7395
0.0591,2397
0.124,1295
0.139,2154
0.315,1263
-0.167,5495
0.0461,2478
-0.0973,9957
0.23,360
0.0371,3838
-0.0427,6017
0.132,3240
-0.194,9762
0.0502,3540
0.0338,4415
0.223,1385
-0.0435,6872
-0.264,5729
-0.217,9147
-0.101,8566
-0.0563,6824
0.155,3115
-0.144,8354
-0.253,8628
0.124,1285
0.0128,4401
-0.0699,7679
0.25,1296
0.154,1513
0.306,247
-0.122,9344
-0.0348,7652
-0.171,8731
0.0359,3894
-0.104,7622
0.0252,4245
0.0375,2737
0.0733,1192
0.0724,3365
-0.0841,7800
-0.198,9519
-0.285,9947
-0.121,8379
-0.0419,7299
0.00737,5113
0.0442,4007
0.00505,4364
0.0743,3429
-0.0805,8979
0.0112,4551
-0.208,9169
0.0508,3464
-0.0169,5957
-0.0522,8196
-0.142,9735
0.172,331
-0.11,9283
-0.0661,7634
-0.179,9466
0.31,2211
-0.0828,8633
0.167,634
0.0393,3914
-0.0223,5452
0.433,239
0.186,822
-0.161,9919
0.0143,4425
0.0128,4527
0.0552,3420
-0.0624,5559
0.0126,4457
0.00379,5002
0.174,447
0.0741,2760
0.0168,4659
-0.0817,7943
-0.249,8675
-0.0663,8381
-0.0652,8702
0.199,1402
-0.0912,7504
-0.0575,6261
-0.146,8307
-0.139,8497
-0.0249,6180
0.0349,4040
-0.119,9504
0.146,1125
-0.0683,7046
-0.0517,7386
0.335,45
-0.0614,7480
-0.207,9044
0.377,887
-0.302,10051
-0.285,9567
-0.098,7536
-0.0107,5139
-0.14,8466
-0.203,7434
-0.0846,6742
0.0167,4197
-0.0464,7716
-0.0123,5564
0.114,1781
-0.0602,7555
0.142,1855
-0.164,9243
-0.0377,6913
-0.0252,6579
-0.132,9895
0.173,2238
0.525,544
0.0665,2359
0.236,1585
-0.394,10196
-0.094,7510
-0.299,10285
-0.00979,5250
0.103,1366
-0.134,9191
0.0535,3850
0.0347,3974
-0.38,6168
-0.165,7607
-0.0762,8106
0.141,1096
-0.141,6808
-0.0971,9326
0.114,2604
0.126,2039
-0.0873,7565
-0.0766,8173
-0.0796,6901
0.16,1900
0.0162,4316
0.465,147
-0.0832,7641
0.0559,2725
-0.119,5132
0.224,796
-0.309,9313
0.0707,2998
0.0899,2475
-0.0748,7650
-0.323,9950
-0.00027,5031
0.144,1788
0.102,2326
0.134,2193
-0.0362,7305
-0.17,9339
-0.0804,7297
-0.0798,8359
0.132,833
-0.182,9592
-0.0805,8538
0.108,2247
-0.176,7791
0.175,688
-0.147,10003
0.0513,1940
0.21,500
-0.0532,7326
0.254,595
0.449,700
0.0194,3880
-0.228,10394
0.136,2074
-0.0603,7676
-0.0452,7256
-0.0368,7109
-0.0408,8559
-0.0773,7964
0.0487,3090
-0.00196,5111
-0.0552,7424
0.122,3312
0.153,800
-0.209,9935
-0.022,6782
0.0203,4318
0.166,1634
0.0172,4580
-0.0758,8227
-0.133,8786
0.15,2535
0.061,2146
-0.168,8331
-0.134,8560
-0.0373,5622
0.101,1208
-0.242,9848
0.155,1768
0.129,2542
-0.0441,6323
-0.172,8815
-0.039,6701
-0.0775,8390
-0.121,9424
-0.0565,6476
-0.311,10273
-0.0653,6619
-0.0367,7370
0.0329,3645
-0.152,9227
-0.0462,6370
0.203,2034
-0.107,3841
-0.0423,6387
-0.0761,8522
0.0561,2105
-0.0233,5677
-0.169,7642
0.0547,3664
0.00326,4913
0.057,2324
0.113,712
0.0654,3499
-0.215,10002
0.323,690
-0.167,8420
-0.0368,7394
0.0942,2648
-0.0758,7059
-0.232,7318
0.307,287
-0.17,8303
-0.0808,5910
0.052,4237
-0.0361,6582
-0.0388,6709
0.0225,4245
0.0319,3786
-0.00128,4729
0.178,1798
-0.0838,8062
-0.171,8888
0.159,716
-0.0836,9298
0.0288,4414
0.589,211
-0.259,9278
-0.0548,5570
-0.129,9030
-0.137,9530
-0.0623,7325
-0.0366,6225
0.174,1324
0.0344,4007
-0.00151,4963
-0.0575,6928
-0.236,9210
-0.155,9551
-0.138,8491
-0.0563,5277
-0.164,8673
0.0247,3421
-0.0443,6373
0.105,1913
-0.193,8990
0.139,1455
0.0882,2340
0.293,626
0.0536,3406
0.0806,2720
0.055,3927
0.00483,4910
0.238,342
-0.172,8477
-0.212,9670
-0.298,10056
0.295,437
0.223,713
-0.0861,9116
-0.09,7472
-0.325,10282
-0.254,9833
-0.0864,6680
-0.102,6782
0.0683,2069
-0.078,8447
0.169,2590
-0.0514,7150
0.505,67
-0.27,9422
0.0984,2133
-0.0802,7883
0.0129,4597
-0.22,10004
0.213,1079
-0.116,6409
-0.0281,6373
-0.282,9964
0.157,730
-0.0551,5488
-0.223,9218
-0.0711,8015
-0.0828,9177
-0.148,9504
-0.133,8586
-0.0595,5830
-0.0326,5590
0.137,1917
-0.238,8900
-0.179,9004
0.55,138
0.326,95
0.0125,4705
-0.0624,5924
-0.0594,8020
-0.0572,7329
-0.1,8809
-0.241,10011
-0.006,5277
-0.188,6519
-0.0742,8623
-0.0638,7848
-0.0625,6406
0.305,381
-0.202,9067
-0.0901,3388
0.0368,3644
0.116,1004
-0.0765,7650
0.0408,3365
-0.229,10374
-0.164,7762
0.00296,4922
-0.24,4741
0.146,2442
-0.0166,6116
-0.0703,8760
-0.0476,6208
0.0642,2252
0.132,1802
-0.0354,4141
-0.32,7879
-0.15,4199
0.513,2163
0.797,1211
-0.111,7400
0.043,4179
-0.181,9673
0.0485,3687
-0.0594,8336
0.0661,1497
-0.546,9152
0.233,1464
-0.0401,5726
0.698,407
0.0425,3751
-0.132,10058
-0.206,7529
0.425,187
0.184,685
-0.0822,7807
0.222,1242
-0.0857,8672
0.0188,4436
0.00165,5107
-0.0417,6162
0.238,1534
0.0137,4507
0.302,34
0.0417,4083
-0.0449,7882
0.122,2166
0.277,2408
0.198,489
0.177,539
-0.041,6397
0.246,410
0.101,3217
0.24,585
0.00381,5071
-0.0611,7265
-0.049,6537
0.299,996
0.108,2025
-0.147,7605
-0.105,7713
-0.146,9640
-0.375,9984
-0.129,9201
0.0583,3826
0.021,4371
0.0483,3549
0.0314,3957
0.121,1753
0.211,1540
-0.123,7721
-0.094,5665
0.00154,4946
-0.0399,6820
-0.116,7376
-0.21,9001
-0.146,8426
0.183,1589
0.0765,1947
0.0273,3042
-0.0424,9937
-0.101,8362
0.363,821
0.189,839
-0.24,9331
0.0331,3474
0.0121,4663
-0.152,8580
0.124,2366
0.0386,4162
-0.0631,6128
-0.0782,8285
0.0781,3080
0.223,1250
0.214,1135
-0.184,9499
-0.0612,8045
0.084,2175
0.339,350
-0.272,10355
0.0592,4025
0.0403,3769
0.0501,3597
-0.0529,7119
-0.143,10312
0.0359,4003
-0.201,8672
0.173,1894
0.204,2356
-0.0233,6220
0.0301,4100
0.0906,2983
0.123,3392
0.21,1446
0.488,160
0.0377,3673
0.118,2943
-0.163,7637
-0.146,9033
-0.0861,7081
0.434,15
-0.114,9199
-0.00275,5203
-0.0593,6442
-0.138,8707
0.224,952
0.272,246
-0.0175,5711
-0.186,8932
-0.196,9326
-0.144,7881
0.0824,2967
-0.2,9755
0.147,1013
0.0286,4160
0.0265,4070
0.0644,3511
0.123,1037
-0.252,10294
0.0282,4222
0.284,684
-0.0675,7745
-0.0159,5080
-0.0188,5440
0.132,1649
-0.00667,5294
0.147,2746
0.0729,2691
0.154,1878
0.302,644
0.173,1055
-0.0991,8750
-0.0508,7558
0.0548,3124
-0.0716,7960
0.0717,2647
0.0821,2680
-0.0368,8879
-0.103,8350
0.0709,2493
-0.0192,5360
0.794,63
-0.0835,8318
-0.115,8734
0.0671,2962
-0.0694,7000
-0.0367,6269
0.0455,4131
-0.0143,5667
-0.0944,9639
-0.0188,5946
0.232,1684
-0.0246,5841
-0.314,9170
0.581,113
0.404,328
-0.00208,5202
0.482,1022
-0.206,8476
0.326,909
0.143,3000
-0.00347,5092
0.0729,2499
-0.122,9259
0.0985,2109
-0.0616,6106
-0.0311,6129
-0.00449,5224
-0.14,9063
0.0696,4063
0.181,1643
-0.214,9240
-0.261,8330
-0.0633,8171
0.449,3
-0.162,9177
-0.176,9912
-0.0335,6298
-0.0685,6676
0.0342,3860
0.0227,3838
-0.446,7609
-0.159,3877
-0.134,5966
0.00877,4869
-0.0337,5727
0.00688,5017
0.46,71
0.241,958
0.098,2322
0.0519,3561
-0.0259,5777
0.172,1230
-0.0756,7785
-0.00528,4696
1.1,128
0.00993,4556
-0.276,9967
0.0723,2700
0.0255,4605
0.285,460
-0.0211,5840
0.242,542
-0.117,8088
0.0435,3677
0.105,1728
0.183,1308
0.132,1616
0.116,1202
0.106,1669
-0.0392,6509
0.0813,2498
-0.228,9511
-0.0116,5498
0.0245,4280
0.237,917
-0.00875,5299
-0.0113,5228
-0.0237,5890
0.109,2536
-0.122,8631
