coef,rank
-0.166,5830
-0.0406,5674
0.686,10
-0.163,7170
-0.242,7298
-0.194,9463
-0.0654,7730
-0.0618,6402
0.218,1130
-0.157,8562
0.134,1277
-0.0328,6650
0.0478,3403
-0.188,9243
-0.144,7176
0.55,1585
-0.0236,6694
-0.0835,9607
0.225,396
0.112,1863
-0.184,8849
0.0407,4276
0.077,2828
0.0732,2909
-0.243,8406
-0.167,8463
0.0443,3424
1.16,481
-0.267,9696
0.191,604
-0.00222,5216
0.281,1958
-0.11,7636
-0.224,8250
-0.148,9562
-0.00816,5472
0.158,872
0.0838,3398
-0.329,10411
-0.0929,7451
0.015,4115
-0.035,7665
0.0204,4596
-0.0499,7120
-0.234,9789
0.039,3966
-0.0109,5605
0.105,471
0.17,1824
-0.0866,7891
-0.0877,7250
0.143,2094
-0.197,9640
0.0329,3420
0.0212,4729
-0.0535,6251
0.548,715
0.0676,3555
-0.0798,8950
-0.0848,8462
-0.277,9898
-0.0881,7438
0.195,223
0.0782,1322
0.0264,3930
-0.158,10133
-0.0689,8110
0.0206,4306
-0.0867,7522
-0.466,8833
-0.0623,7902
-0.0384,6420
0.00539,4819
-0.0361,5805
-0.0289,5810
-0.178,9863
-0.191,10192
0.0681,2594
0.0841,1878
-0.0944,8394
1.21,99
0.129,2502
-0.0853,9117
0.0359,3498
-0.216,10082
0.263,1157
0.0208,4454
-0.238,8514
0.0347,3135
-0.0286,6901
-0.092,7274
0.0157,4676
-0.285,9786
-0.0595,6492
0.00757,5004
-0.0439,6972
0.0794,3295
-0.000567,5132
0.00687,4870
0.173,1162
0.0772,2026
-0.0508,6952
-0.234,10391
-0.224,9250
-0.0824,6346
-0.215,9209
0.000857,4863
-0.11,7821
0.181,1258
0.0305,4197
0.203,2555
0.116,2204
0.0238,3832
-0.0584,8293
0.133,1990
-0.162,9604
-0.113,9257
-0.0313,5545
-0.0666,7030
-0.0801,8741
-0.00875,5748
0.0996,1265
-0.00728,4987
-0.0403,5404
-0.117,9542
0.0932,3377
0.215,1647
-0.119,8101
0.000867,4914
0.17,1197
-0.00283,5162
0.0515,3722
0.264,919
-0.0845,8161
-0.0219,3754
-0.366,9917
-0.126,9459
-0.0498,6927
0.28,1437
-0.107,9586
-0.178,8784
0.289,405
0.224,535
-0.00626,5438
-0.156,8521
0.266,789
0.157,461
0.106,2862
-0.00403,5161
-0.113,9420
0.071,3746
-0.161,9247
-0.053,5519
0.0531,3439
0.429,38
0.0245,4260
0.12,2941
-0.173,9605
-0.147,8489
0.125,1908
0.138,2109
-0.00229,5203
-0.142,8843
-0.137,8539
-0.0561,7521
-0.0328,6805
0.101,2513
0.14,801
-0.154,8809
-0.0873,6167
-0.0614,7659
0.119,1164
-0.0536,8714
0.13,1446
0.0513,2854
0.102,2437
-0.303,9136
-0.0118,5946
-0.0859,8389
-0.0497,6286
-0.103,8994
-0.135,9777
0.133,428
0.00669,4590
-0.0344,6493
0.228,150
-0.0373,6074
-0.147,9760
0.0724,3888
0.0548,3140
0.0569,2993
-0.0325,7509
-0.112,8759
-0.044,6029
-0.219,8590
-0.0262,6269
0.029,4224
-0.144,7815
-0.0364,7237
-0.0268,5404
-0.114,8044
0.116,2934
-0.0515,7489
-0.231,9735
0.0393,4085
-0.213,9119
-0.0416,6237
-0.0812,6938
-0.0513,7202
0.092,1640
-0.0376,6791
0.105,2790
0.101,2467
-0.117,7939
0.0819,922
0.089,1754
-0.0786,7656
0.0717,2984
-0.19,8137
-0.18,4394
0.109,2287
-0.0732,8426
0.134,287
0.099,2923
-0.31,9507
0.14,2011
-0.0213,5812
-0.052,7545
-0.109,9807
-0.247,9406
0.148,1311
0.0991,3018
-0.188,8737
-0.0986,9852
-0.0368,6023
0.252,652
0.245,2305
-0.152,8713
-0.136,7713
-0.39,9441
-0.0973,6542
-0.058,7430
0.0834,2486
-0.0744,7621
0.152,966
0.0445,3455
0.235,1196
-0.181,10004
0.197,1374
0.19,415
0.0649,1834
-0.123,7219
-0.172,7587
-0.244,9118
0.0632,4025
0.0443,3696
-0.179,10109
-0.184,10053
-0.0623,6946
-0.119,8294
0.327,316
-0.0127,5440
0.283,312
-0.056,5949
-0.0365,6347
-0.0772,6983
0.462,1006
0.292,686
-0.00931,5923
-0.0604,6844
0.118,1633
-0.17,8574
-0.018,5798
0.242,302
0.292,631
0.0227,4389
-0.0246,5765
0.217,1288
0.126,1558
0.237,348
-0.0796,6610
-0.226,9818
0.283,720
0.0144,4543
0.265,420
0.0385,3198
0.0722,3025
-0.00851,5144
-0.16,8579
-0.26,9616
-0.165,7852
-0.0348,7067
0.0435,3561
-0.141,7423
0.155,906
0.0665,3727
0.237,1732
0.205,547
0.0011,4917
0.208,867
-0.0136,5398
0.137,2131
0.0851,3749
0.0562,2329
-0.0151,5550
-0.132,9441
-0.175,7165
-0.199,8905
0.13,961
-0.0144,5999
-0.0996,8452
0.258,508
0.213,1825
-0.178,8168
0.146,1776
-0.249,9030
-0.0583,6593
-0.1,6696
-0.184,9847
-0.0461,6053
0.427,907
0.00107,5120
0.0162,4641
-0.0253,6269
0.021,4442
0.0136,4178
0.879,334
-0.00955,5801
0.000957,5016
-0.181,8736
0.0467,3780
0.114,2595
-0.431,6406
-0.0616,7804
-0.0167,5975
0.114,1759
0.025,3989
-0.0167,5893
-0.0605,5989
-0.0456,7386
-0.278,5188
-0.305,9919
0.0506,2282
-0.0716,8811
0.0324,4330
0.044,2988
0.324,192
-0.501,6868
1.02,372
-0.268,5056
-0.258,5354
-0.259,5936
-0.041,5759
0.137,2593
0.149,1445
-0.0864,6979
-0.0169,6202
0.0823,1010
-0.308,6890
0.271,1127
-0.383,10345
-0.0921,5552
-0.195,9637
0.158,264
-0.152,6781
0.176,1644
-0.0305,6278
0.313,60
-0.0842,6984
0.0805,2032
-0.153,9015
0.0101,4921
-0.282,10253
0.304,1024
-0.218,9556
-0.00251,5185
-0.0257,5567
0.00785,4815
0.0414,3970
-0.473,9458
-0.116,9038
0.0935,1783
-0.161,9217
-0.00605,5284
-0.388,10227
-0.233,10082
-0.109,8582
0.071,2544
0.0157,4486
-0.388,10199
0.307,145
0.00728,4749
0.0861,3132
0.0466,3506
-0.177,7903
-0.0703,7600
-0.00548,5324
-0.167,9292
-0.00936,5408
0.0108,4701
-0.216,10173
0.284,921
-0.0305,5600
0.12,3677
0.0451,1075
-0.0232,6137
0.0363,4085
-0.0234,5570
0.173,1770
0.00763,5063
-0.0372,6650
-0.0865,9736
-0.0256,8695
0.375,36
-0.184,8073
0.0337,3968
0.146,2308
-0.0767,8941
0.00167,4975
-0.0195,5483
-0.103,8095
0.0818,3363
-0.198,8630
-0.181,10220
0.0496,3813
-0.129,7800
0.217,1112
-0.103,7947
-0.0794,8716
0.0411,3636
-0.153,8691
0.132,1610
-0.155,8552
0.0793,2606
0.0391,3854
-0.0129,5588
0.0384,3034
-0.127,5521
-0.31,9884
0.102,2954
-0.19,7565
0.141,690
-0.122,8387
-0.131,7819
-0.309,8838
0.123,2613
-0.00984,5213
-0.157,9909
-0.282,9430
0.23,1647
-0.144,9013
-0.0977,7359
-0.148,9146
-0.119,9308
0.0257,3429
-0.204,9470
-0.0606,6834
0.194,1272
-0.161,9670
-0.168,10034
-0.0638,6545
0.026,4189
-0.129,7610
-0.0534,6518
-0.133,8611
0.162,820
0.00843,4907
0.417,71
0.0122,4823
-0.0347,6574
-0.2,9925
0.0427,3815
0.205,1375
0.126,1500
0.363,667
-0.0437,6335
0.113,1983
-0.178,10248
-0.0603,6002
-0.109,8980
0.259,760
0.261,913
0.0251,4541
-0.133,9523
0.149,505
0.0748,2445
0.0206,4142
0.171,820
-0.0551,6673
0.00374,4869
-0.141,9228
-0.0631,7561
-0.414,10144
-0.139,6877
-0.11,9048
0.113,2022
-0.0703,7876
-0.165,9188
-0.0449,6501
0.128,2705
-0.00391,5275
-0.0734,8947
0.0524,3110
-0.0629,6081
0.0322,4013
-0.218,8071
-0.36,10187
0.221,1401
0.0195,4178
-0.172,6704
0.22,1742
-0.0887,6792
-0.279,8420
-0.048,7450
-0.03,6752
-0.147,9747
-0.03,5776
0.305,743
-0.0788,7432
0.0134,4396
0.151,1225
0.0333,4574
0.409,180
0.0357,4231
0.133,3308
0.0645,2406
-0.0057,5222
-0.202,9699
-0.126,9129
-0.0437,6619
-0.056,6332
0.0332,3908
0.0297,3398
-0.757,9539
-0.24,4538
0.573,1149
0.0628,3449
0.0931,3000
0.048,3558
0.481,58
-0.0355,5713
0.188,877
-0.0615,7382
0.0441,3988
-0.0686,7046
-0.0612,7328
0.488,1374
0.0081,4257
-0.0818,8230
0.0203,4441
0.0723,2703
0.0701,3508
-0.0916,7273
-0.287,10367
-0.249,10157
-0.178,9232
-0.138,8980
