coef,rank
0.484,1928
-0.176,8198
0.192,1522
-0.076,5937
0.135,3436
-0.123,8161
-0.268,10449
-0.0141,5212
0.255,787
0.267,677
0.0765,2621
-0.122,9689
-0.00925,5539
-0.0714,6979
-0.0703,5975
-0.15,5346
0.0814,1142
0.00941,4366
0.0101,4693
0.119,1740
-0.0488,6163
0.184,2732
-0.179,9561
-0.142,8916
-0.222,8160
0.0405,4175
-0.051,7156
-0.19,5046
-0.206,8972
-0.167,9755
0.0645,3320
0.196,2708
-0.0478,6195
-0.168,7457
-0.0369,6294
-0.0797,8754
-0.0664,7572
-0.042,5766
-0.122,8306
-0.175,9187
-0.149,9828
-0.00212,5493
0.139,2303
0.0723,2751
-0.0768,6927
0.113,2581
-0.0889,9537
-0.0124,5932
0.0997,2876
-0.16,9569
0.167,1224
-0.0497,6035
-0.349,10435
0.00232,4963
0.25,592
-0.252,9807
0.118,3199
0.132,2381
-0.0154,6045
-0.194,10312
-0.0284,5575
0.251,440
0.149,598
-0.137,10300
0.026,3944
0.179,289
0.0969,1683
-0.146,9724
-0.204,9788
-0.425,8473
0.106,1206
-0.192,10114
0.0525,3552
-0.0694,6664
0.134,2607
-0.0511,6962
0.25,122
0.064,2702
0.0383,3469
-0.117,8948
-0.695,10282
0.0423,3902
-0.0333,6950
-0.158,9975
0.15,1232
0.0407,4184
0.0449,3670
-0.332,9569
-0.0866,9146
-0.07,8899
-0.000332,5140
0.114,2428
-0.0174,5430
-0.00213,5154
-0.167,8980
-0.0549,7428
-0.00801,4844
0.137,737
-0.0795,7811
-0.168,9256
0.034,3582
0.128,1411
-0.0265,6166
0.156,2036
-0.0498,5779
0.262,960
-0.314,9801
0.327,321
0.174,1352
0.207,1059
-0.234,7825
-0.0131,4938
-0.018,5957
-0.0959,9578
0.124,2154
0.101,2080
0.0198,4082
0.119,2197
0.307,269
-0.144,10159
-0.0963,9319
-0.139,10012
-0.118,6932
0.568,453
-0.00493,5307
0.225,1713
0.0168,4503
0.0655,3102
0.0584,3451
-0.0567,6696
0.0148,4355
-0.0966,8355
-0.322,10147
0.0367,3908
-0.924,9494
-0.17,7688
-0.0627,7626
-0.056,7129
0.365,952
-0.143,10128
0.157,1927
0.249,665
-0.075,7241
-0.0188,5955
0.0356,4125
-0.0069,5235
0.0104,4583
-0.168,8429
0.0417,3698
0.3,15
0.269,2620
0.0113,4894
-0.155,7268
-0.209,9867
0.261,413
-0.0331,6281
-0.0339,5645
0.0778,2731
0.101,2570
0.000832,4950
0.0978,2833
-0.0534,8138
-0.153,9052
0.281,612
0.0152,4510
-0.208,10417
0.468,26
0.0613,2740
0.21,820
0.384,675
0.0109,4899
0.0529,3020
-0.0646,9154
-0.0588,7107
-0.0225,5961
0.0179,4278
0.0295,4495
0.0832,1043
-0.0411,6707
0.233,799
0.0624,2696
0.347,35
0.0266,3771
-0.0396,8475
0.126,1455
0.00167,4995
-0.119,8164
-0.0886,8491
0.0799,3793
0.0989,1831
-0.0135,5144
-0.00553,5575
-0.0513,6924
-0.0423,5991
-0.0915,6465
-0.0852,8543
-0.0024,5159
-0.186,8518
-0.0358,7201
-0.35,10253
-0.078,7067
-0.0517,5907
-0.195,10407
-0.28,10131
-0.148,8482
-0.0743,6653
-0.0832,7551
0.318,397
0.073,2298
-0.0564,7657
-0.00384,5432
0.0256,4486
-0.191,9156
-0.0686,6722
-0.00914,5591
-0.00117,5113
0.134,1847
-0.0933,7693
0.368,742
-0.909,9721
-0.0974,7888
0.0961,1301
-0.0548,8392
0.000792,5116
-0.299,9386
0.0228,4344
-0.0482,6753
0.195,98
-0.052,7993
-0.0162,5122
0.313,109
0.0901,3162
-0.101,7219
0.0367,2808
-0.00241,5055
-0.0583,6638
-0.225,7240
0.00775,4743
0.112,2732
0.46,942
-0.218,8389
-0.285,10459
-0.184,10080
0.0271,4093
-0.169,9776
-0.208,9766
-0.287,10090
-0.117,8959
-0.13,8153
0.159,712
-0.0232,6515
0.216,1764
-0.0575,5756
1.01,3
-0.338,9178
0.151,1131
-0.143,9664
-0.208,10219
-0.208,9910
0.00941,4944
0.0514,3618
0.0418,3227
-0.157,9295
-0.0534,5885
-0.0655,7307
0.0371,3856
1.37,10
-0.0843,7097
-0.128,10386
0.137,1728
-0.0175,5595
0.295,493
-0.0698,7467
0.11,1876
0.16,1912
-0.038,6414
0.0502,3533
-0.221,9377
0.164,941
-0.125,8706
0.152,1980
0.0793,3138
-0.324,10198
-0.17,8915
0.0218,4334
0.0212,3987
-0.346,10433
0.167,1610
-0.182,8961
0.019,4388
-0.343,9898
-0.128,10008
-0.0503,7430
0.166,2627
-0.105,8753
-0.19,9154
0.116,3208
0.0402,3690
-0.00296,5060
-0.0579,6589
-0.00394,5104
0.0232,4553
0.261,1993
-0.18,10383
0.0374,4444
0.0955,1904
-0.0944,6047
-0.115,7390
-0.154,9969
0.199,51
-0.101,8473
-0.215,9846
-0.333,9782
-0.137,7491
0.0184,4568
-0.126,7288
0.291,642
-0.156,7741
-0.24,10266
0.0514,3856
0.44,844
0.111,1038
-0.0553,7257
0.0574,3088
-0.0631,6769
0.000852,4895
-0.312,7908
0.161,351
0.00338,4899
-0.384,10364
0.0273,4242
0.0819,3176
-0.457,6661
-0.122,9530
0.118,978
-0.0678,7365
-0.0142,5675
0.222,237
-0.0384,5577
-0.00956,5572
-0.549,8203
0.272,1096
-0.035,7180
-0.0536,8025
-0.259,9856
-0.0335,6657
0.261,449
1.4,991
0.0382,4199
-0.193,4503
-1.08,10261
0.726,1352
-0.0682,6408
-0.344,10096
-0.0436,6567
0.0692,3192
-0.0538,8109
-0.103,9909
0.399,2343
0.104,3138
0.14,2279
-0.483,9927
-0.163,9197
-0.0205,6203
0.283,1701
-0.0741,6711
-0.0527,7086
0.0836,2272
-0.0394,5993
-0.0245,6308
0.0855,2728
-0.185,8881
0.182,1168
0.014,4508
-0.188,9137
0.0255,4144
-0.188,8816
-0.0763,9228
-0.0449,6407
-0.0907,5414
-0.219,10300
-0.0264,5752
-0.0126,5501
-0.0884,7756
-0.11,7025
-0.241,10134
0.0663,3178
-0.0281,6065
-0.0844,7604
0.12,2928
-0.2,9957
-0.391,10202
0.00634,4991
-0.131,9382
-0.254,8990
0.0218,4352
0.305,567
0.187,984
-0.139,9125
0.0237,4213
0.0569,3306
-0.191,8592
0.0542,3694
0.501,1306
-0.00891,6180
-0.00855,5500
0.0166,4466
-0.122,7577
0.0753,3398
0.19,1487
0.156,494
-0.0541,8456
0.0114,3453
0.0257,4307
0.0471,4122
-0.0128,5362
0.0446,4016
0.0292,3682
-0.306,10399
-0.231,9754
-0.0266,6064
-0.063,6421
-0.0247,5326
-0.168,10127
0.188,1019
0.184,1652
0.013,4817
0.036,3974
0.0135,4543
0.0321,4014
0.064,3773
0.196,744
-0.0241,5849
-0.0218,6070
0.0933,2734
0.0374,3718
0.0415,2892
-0.74,10216
-0.104,6895
-0.191,8973
0.384,1067
0.0399,3400
0.132,1658
0.114,2553
0.029,4552
-0.302,9964
-0.236,9305
-0.0821,8290
0.103,3157
0.503,313
0.361,150
0.159,1728
-0.0179,5663
0.0322,3712
-0.0095,5654
-0.423,10461
0.131,1945
0.0335,4275
0.0289,4499
0.267,60
0.000799,5005
-0.0152,5296
0.259,1209
-0.0215,5663
-0.0618,6773
0.0597,3112
-0.125,9115
0.0711,2971
0.292,459
-0.127,9495
-0.0571,6737
0.0166,4537
-0.292,10102
-0.207,10262
-0.202,8287
-0.306,10428
0.0614,3164
0.0636,2422
0.0481,4153
0.00924,4986
-0.176,8953
-0.0844,7008
0.22,563
0.103,1814
0.0726,2115
0.0992,1759
0.0647,2514
-0.0161,5431
-0.0974,7821
0.0223,2991
-0.11,8548
0.0668,2614
-0.0068,5152
-0.292,8997
-0.177,10091
0.434,15
-0.0438,6933
-0.0205,5562
0.216,730
-0.0393,5777
0.121,1385
-0.0621,8480
-0.136,9628
0.0848,3547
0.000697,5059
0.295,1559
-0.147,7834
0.0819,3411
-0.0275,6437
-0.152,6454
-0.309,9658
0.278,1283
0.0396,4193
-0.0522,7666
-0.0401,7160
-0.0622,7467
-0.0495,6422
0.126,2542
0.129,2218
-0.0734,8235
0.266,265
-0.648,10452
-0.134,8115
0.429,189
0.149,3119
-0.0397,7210
0.0924,2252
-0.0437,6486
0.04,3650
0.0759,2904
-0.102,7567
0.115,1385
-0.0653,8990
0.122,3480
-0.833,9808
-0.259,7258
0.0551,3615
0.0171,4589
-0.0694,7783
-0.0969,7325
0.0635,3482
-0.295,10365
0.19,708
0.169,1613
-0.0254,5839
-0.0454,6842
0.569,1070
-0.0236,4597
-0.0116,5428
-0.00904,5115
-0.22,10249
-0.15,8716
0.00504,4836
0.00327,5025
-0.0929,7704
-0.0294,5750
-0.325,10430
-0.0336,6472
-0.147,8664
-0.0267,5858
-0.194,10250
0.139,1058
0.0419,3588
0.123,1610
0.214,1133
0.0754,2066
-0.0107,5698
0.05,3813
-0.0402,6271
-0.12,8400
-0.0231,5868
0.0486,3829
0.0245,4327
-0.0677,8241
0.547,371
-0.0976,8379
0.184,1962
-0.205,7848
0.0283,3925
-0.25,10249
0.0171,4708
-0.14,9669
0.016,4483
-0.374,10251
0.00499,4888
-0.101,8679
0.147,1479
0.375,10
-0.19,8696
0.211,2312
0.0247,3543
-0.275,10336
-0.132,8035
0.0514,3716
-0.143,9012
0.15,942
0.0411,3955
0.108,1484
0.581,27
-0.0512,5881
0.446,23
0.336,450
0.146,1108
-0.0544,7642
-0.251,9467
-0.0452,7304
0.176,2362
-0.0797,6286
0.0733,2623
0.0206,4208
0.000309,5157
0.0659,2867
-0.174,8722
0.0129,4516
-0.204,10049
-0.177,10255
-0.00255,5125
-0.0431,6352
-0.302,10441
0.163,1131
-0.0273,6236
-0.282,10093
-0.156,10127
-0.233,5571
0.777,279
0.103,1772
0.128,534
-0.0329,6820
-0.142,9807
0.119,2563
-0.0537,6654
0.0866,1822
0.0559,1905
0.00588,4733
-0.22,9613
0.106,2892
-0.0682,6573
-0.0786,7760
-0.0459,6093
-0.948,10125
-0.201,9922
-0.289,9624
-0.238,9789
-0.00515,5468
-0.0872,7159
-1.42,10030
0.0273,4194
0.309,1456
0.123,2773
0.0166,4216
0.605,53
-0.138,5318
-0.462,7817
-0.167,8528
-0.345,9975
0.0942,2362
-0.128,7913
0.271,442
-0.0589,8705
0.0717,2991
-0.0293,5768
-0.237,7060
0.0836,1849
0.142,1240
0.0772,1911
-0.143,8086
-0.00995,5471
0.219,2110
0.144,784
-0.172,9548
0.027,4278
-0.136,8122
-0.548,10452
-0.329,10311
0.0218,4577
0.112,1149
0.12,1670
0.0263,4416
-0.0628,8062
0.22,1050
0.965,2
-0.248,10423
0.133,2490
0.167,1829
-0.514,9448
0.215,672
0.0788,3457
-0.0583,6646
-0.122,9022
0.036,4261
0.467,332
0.0122,4571
-0.0915,6149
0.0462,3814
0.543,4
0.000977,5114
-0.0865,5828
-0.152,8681
-0.255,10275
0.0187,4281
-0.0234,5624
0.142,698
-0.148,8527
0.134,3308
-0.351,7088
0.19,255
0.14,600
0.012,4519
-0.087,6887
-0.144,10262
-0.42,9957
0.0141,4406
-0.038,6626
0.0655,3898
0.448,120
-0.316,10367
-0.27,10272
-0.0387,6170
0.147,839
0.557,596
0.0286,4234
0.662,830
0.188,2173
-0.0668,8350
-0.0384,5968
0.314,500
-0.0375,6508
0.162,1222
-0.127,6688
0.0305,4321
-0.11,8445
0.0251,4168
0.0774,2335
0.0765,3899
0.77,493
-0.0882,8849
-0.0607,8182
0.0211,4205
-0.0545,6823
0.161,1865
0.0935,3106
0.106,1497
-0.281,10389
0.0667,3331
0.018,4533
-0.138,8991
0.226,136
0.168,756
0.159,782
0.0222,4363
0.526,243
-0.0438,7205
-0.241,10171
0.246,1324
-0.147,10131
-0.0632,6654
-0.0484,6193
