coef,rank
0.191,3272
-0.211,8776
0.126,2380
-0.434,9961
0.0235,4450
0.0127,4520
0.0748,2210
0.0672,3301
-0.0759,6607
0.275,624
0.0943,2135
0.126,770
-0.19,10155
0.238,925
-0.278,9075
-0.353,7640
-0.00707,5690
0.0601,1624
-0.104,8347
0.052,3390
-0.262,9785
0.507,821
0.0402,3784
-0.0425,6355
0.056,4123
-0.0932,7060
0.0475,3313
-0.289,6020
-0.178,8541
-0.0554,7159
-0.0818,7550
0.354,1467
-0.133,8116
-0.402,9983
-0.0337,6183
-0.0982,9334
0.0736,2654
-0.0462,5839
0.115,2161
0.0459,3597
0.0697,2173
-0.0439,8152
0.0266,4450
0.142,1178
0.199,1128
-0.0897,6925
-0.0221,6347
0.000646,5008
-0.282,9909
0.178,736
0.147,1497
-0.0223,5409
-0.131,8592
0.0216,3973
-0.0108,5657
0.325,456
0.00249,4387
-0.148,8250
-0.061,8270
0.0701,2304
0.375,323
0.0931,2434
-0.135,9777
-0.0153,6077
-0.024,6084
-0.0559,7706
-0.0797,8452
0.0925,1934
-0.153,9039
-0.243,6523
0.095,1479
-0.0147,5479
-0.162,9014
0.233,921
0.0729,3743
0.147,1370
0.0483,3302
0.0216,4154
-0.109,9314
-0.0358,6531
0.0423,4484
0.288,847
-0.0381,7183
0.196,274
-0.0928,8008
0.425,323
0.184,731
-0.153,7232
0.323,1
-0.0149,6058
0.118,2564
-0.16,8939
0.0544,3987
-0.208,9282
-0.153,8765
-0.0521,7315
-0.196,8490
0.174,340
-0.154,9553
-0.0677,7029
0.163,425
-0.0391,6547
0.103,1765
-0.0944,6929
0.0299,4438
-0.172,8574
0.3,887
0.179,1470
-0.1,7500
-0.0166,5420
-0.0778,5791
0.13,1999
-0.0184,5993
-0.0212,6365
-0.185,9549
-0.0342,6285
0.0712,2225
-0.0124,5066
0.357,138
-0.00685,5292
-0.0524,7827
0.0293,3751
-0.472,10346
-0.0975,6237
-0.00667,5388
-0.149,7858
0.0702,3561
-0.0754,7031
-0.117,7967
-0.213,9900
0.0413,3198
-0.185,9925
-0.158,8280
0.164,850
-0.285,5486
0.00759,4709
-0.0634,7652
0.207,384
-0.208,7887
-0.0712,8488
0.00256,4971
-0.192,9253
-0.0114,5227
0.0781,2390
-0.0351,5800
-0.178,8888
-0.0396,6786
0.0605,3737
0.0595,3199
-0.151,10058
-0.244,6361
-0.151,9067
-0.145,7093
-0.0763,7272
0.058,3230
-0.0337,6302
-0.267,9483
0.178,886
0.106,2467
-0.0321,5954
0.103,2751
-0.0561,8265
0.119,2049
-0.0343,6110
-0.103,9064
-0.075,8490
-0.0248,5966
-0.0195,6085
0.0425,3800
0.0585,3655
0.0537,3342
-0.00935,5624
-0.121,10301
-0.0151,5564
-0.00178,5068
-0.342,10377
0.103,3461
0.0246,3586
-0.0579,7376
0.0178,4572
-0.137,9694
-0.00479,5403
0.129,466
0.00791,4477
-0.0902,8342
0.0574,2792
-0.0577,6642
-0.0225,6143
0.231,2298
0.0944,1958
0.247,299
-0.0589,8904
-0.137,9293
0.0875,2956
0.343,819
0.0196,4323
-0.00378,5190
-0.295,9814
0.0139,4407
0.0491,3798
0.323,129
-0.0955,6768
-0.018,5885
0.0506,3718
-0.156,8633
-0.1,7208
-0.00604,5016
0.0682,3345
-0.0255,6110
-0.0458,7250
0.018,4524
-0.0916,7319
-0.0831,6932
-0.0709,6777
0.0459,2173
0.00924,4655
-0.173,9580
-0.0463,6373
0.112,3081
-0.443,6700
-0.0328,6110
0.0383,3287
-0.0796,9298
-0.0113,5385
-0.382,10027
0.133,2136
0.00315,4919
-0.00123,5055
-0.0837,9168
-0.0583,6038
0.0551,3400
-0.0715,6305
-0.0238,5651
-0.107,10012
0.336,170
-0.0804,7171
-0.159,6456
-0.0205,5496
0.116,2675
0.248,2228
0.0754,3883
-0.0978,8751
0.0023,5181
-0.197,10051
0.126,1402
0.0346,3735
-0.263,9934
0.117,1520
0.327,447
-0.0439,6935
-0.062,8514
-0.0487,5844
-0.263,8857
-0.345,10008
-0.0418,5411
0.128,1537
-0.136,9501
0.0694,2658
-0.134,8802
-0.105,7973
-0.0741,6839
-0.135,9583
-0.0718,7349
-0.058,5992
-0.0941,8193
0.247,527
-0.285,8180
-0.23,9590
-0.0479,8404
-0.00367,5176
0.112,1745
0.132,2167
0.0474,3679
0.0551,3198
-0.131,8063
-0.075,7527
0.0591,3289
-0.0553,6381
0.109,1925
0.0734,2744
-0.22,9194
0.237,778
0.16,1984
0.105,2558
0.0802,2900
-0.0305,6737
0.00696,4725
-0.0307,5717
-0.0209,5461
-0.000753,4815
0.097,3343
0.141,447
-0.222,10423
-0.209,8448
-0.00149,5296
-0.0581,6544
-0.22,8843
0.2,580
0.0223,4140
0.00808,4728
-0.0531,6595
0.0722,3367
0.278,1842
-0.0777,8587
0.00773,5041
-0.107,8896
-0.0704,5694
-0.0272,5464
0.00671,4713
-0.157,10361
0.137,1141
0.0201,4543
0.0633,3797
0.0479,4067
0.0556,3600
0.403,760
0.0268,4546
-0.000222,4775
-0.00332,5157
0.26,942
-0.209,8031
-0.13,9959
-0.167,9906
-0.0309,6481
-0.162,9090
-0.129,10060
-0.218,6845
0.029,4006
-0.000174,5074
0.219,1325
0.0298,4179
0.0543,3693
-0.266,4772
0.0284,3960
0.0227,4133
0.0934,2251
-0.169,10151
0.114,1533
-0.132,7228
0.136,526
1.89,417
-0.32,10019
0.0253,3603
-0.0946,9564
0.185,1631
0.166,264
0.0973,2470
0.22,3071
1.25,178
-0.0822,3773
-0.0543,3926
-0.622,9226
0.152,1933
-0.15,7886
0.145,1492
0.389,131
-0.019,6326
-0.0331,7066
-0.272,6485
-0.228,8921
0.0818,3246
-0.272,7846
0.227,626
0.0557,2436
-0.059,5474
-0.0362,5803
0.0823,2550
-0.0981,8287
0.077,3375
-0.0378,6880
0.216,771
-0.0342,5880
-0.0269,5732
0.417,476
-0.0376,5826
-0.205,10287
0.00204,4928
0.0587,2070
-0.0927,7596
0.33,2095
0.0828,2490
0.0161,4138
-0.164,9271
0.116,1931
0.146,2568
-0.167,9362
0.101,2260
0.0104,4629
0.0656,3048
-0.323,9870
-0.126,8805
0.712,43
-0.123,8131
0.00224,5155
0.566,206
-0.055,7145
-0.2,9300
0.128,1826
-0.0575,7043
-0.0172,5807
0.0977,2243
-0.307,9887
0.0312,4176
-0.778,10349
0.062,432
-0.0123,5671
-0.205,8982
-0.213,9049
-0.0621,6570
0.00415,5163
-0.0694,8007
-0.0168,6073
-0.0394,9800
0.00962,4836
-0.16,7641
0.0345,3941
0.0585,3743
-0.0533,8045
0.13,1854
0.166,1646
-0.0306,6173
0.198,1545
0.0597,3631
0.0887,1727
0.0539,3695
0.0396,4098
0.0223,4588
-0.161,9146
-0.00308,5348
-0.156,10009
-0.114,7972
0.0037,4934
-0.239,9629
-0.16,9741
-0.114,7550
-0.163,9842
0.0478,2624
-0.367,7983
-0.164,8020
0.0579,3798
-0.0924,6156
0.194,244
-0.0811,7426
0.0616,3547
0.227,2378
0.0278,4302
0.208,1569
-0.0221,6069
-0.0344,5610
0.228,1686
-0.056,6949
-0.12,7833
0.129,1784
-0.00376,5175
0.123,320
0.0945,2634
0.0344,4162
-0.145,8647
-0.0787,8012
-0.0277,6158
-0.103,7416
-0.0743,6879
0.143,2485
0.168,1399
-0.0505,6450
-0.0493,7111
-0.122,9072
0.0688,3034
0.4,132
0.135,857
-0.175,9601
-0.132,8729
0.214,1260
-0.208,10263
0.0536,3897
-0.169,9533
0.196,781
0.00537,4745
0.138,2865
-0.109,8989
0.00347,4873
-0.112,7598
0.0127,4911
0.0095,4862
0.0107,4642
-0.0977,8806
0.0214,4107
0.147,1117
0.622,3
-0.01,6390
-0.0293,6022
-0.14,9568
0.415,797
-0.0688,5829
-0.0229,6092
-0.182,9868
0.0316,4106
0.109,2183
0.206,827
-0.128,7511
0.0379,3694
-0.0573,8209
-0.0552,7418
0.631,95
0.00352,4951
0.255,1862
-0.298,9834
-0.125,7533
-0.133,9873
0.303,1973
-0.439,10292
0.208,1951
-0.0662,5569
0.13,480
-0.109,9364
0.0871,2080
0.159,1090
0.435,240
-0.0592,6933
-0.103,9175
0.00399,4940
-0.0172,5361
-0.0157,5443
0.763,3
-0.211,7722
-0.00579,5540
0.0426,3604
-0.00311,5390
-0.131,9236
0.00942,4911
-0.0171,5337
0.0158,4639
-0.00677,5616
1.59,302
-0.259,4743
0.0977,3892
0.158,1500
-0.0669,6495
-0.071,7825
0.109,2513
-0.179,8712
0.106,2143
-0.0855,8108
-0.387,10430
-0.0293,5961
-0.0457,6849
-0.0398,4989
-0.264,7385
0.0466,3188
-0.246,9712
-0.0967,8391
-0.155,8822
-0.014,5293
0.0132,4711
0.102,2438
0.0846,2784
-0.217,10048
-0.0643,7628
-0.0154,5534
