coef,rank
0.0805,3881
0.105,2973
-0.184,8746
0.201,2473
-0.664,10201
-0.00312,4955
0.0037,4878
0.287,519
-0.231,9492
0.0506,3792
-0.0231,6017
-0.0585,7779
-0.00372,5322
-0.0965,7559
0.0941,3519
-0.133,5192
-0.0736,9173
0.0334,2876
-0.0761,7561
-0.0116,5447
-0.0353,5832
-0.193,7186
-0.0689,7130
-0.142,8928
-0.121,6698
0.00482,4951
0.0125,4634
0.548,1773
0.0588,3756
0.114,1737
-0.196,9718
-0.02,5221
-0.297,10192
0.34,1099
-0.197,10145
0.00851,4626
0.104,1882
-0.251,9319
0.28,375
0.102,2339
-0.143,9730
-0.0033,5579
-0.0744,6828
0.016,4618
-0.108,7726
0.142,2095
0.0194,3692
-0.108,10094
-0.202,8908
-0.14,9227
-0.125,8165
-0.314,10159
0.121,2143
-0.0214,6234
0.229,756
0.00907,4790
-0.71,10419
-0.0783,6824
-0.0996,9517
0.101,1464
-0.167,8515
-0.0397,6074
-0.109,9315
-0.0761,9160
0.0529,2933
0.0388,3410
-0.009,5659
0.0891,2017
0.141,1706
0.178,3038
-0.0563,7683
-0.091,8228
-0.0936,7557
-0.223,9581
0.153,2319
-0.0971,8326
-0.014,5690
-0.0604,7205
0.0782,2037
-0.125,9107
-0.0261,5162
0.0286,4173
-0.0299,6774
-0.0548,7249
-0.0935,8024
-0.272,9591
0.139,1357
-0.0382,5334
-0.0316,6727
0.107,650
0.215,1231
0.0248,4435
-0.24,9322
-0.0534,6342
0.0198,4712
-0.0876,8604
0.215,1535
-0.00711,5414
-0.0168,5745
-0.197,9659
0.00451,4882
0.16,938
0.042,3532
-0.257,9670
-0.0567,5895
-0.224,9350
-0.113,7081
0.103,2672
-0.236,9774
0.177,1390
0.178,2809
0.189,1211
-0.014,5765
-0.12,10041
0.0737,3213
-0.0318,6203
0.0416,3236
0.0133,4441
-0.156,9091
0.0922,1171
0.0717,2139
0.147,482
-0.0826,6303
-0.0768,5933
0.0852,1775
-0.192,8565
-0.23,8826
-0.106,7804
-0.286,10227
-0.062,6827
-0.0485,7210
0.0979,2428
0.157,2072
-0.0512,7105
2.9,158
0.513,394
0.04,3521
-0.0901,8246
0.0576,3794
-0.17,10334
-0.166,8615
-0.208,9461
-0.218,9999
-0.00969,5566
0.206,1212
0.101,2874
0.139,667
-0.214,9152
-0.111,8396
-0.109,9348
0.142,3295
0.192,1114
-0.167,7458
-0.0276,5864
-0.0426,6107
-0.0754,7673
0.316,888
-0.0554,6837
0.0709,3213
0.0855,2650
-0.145,8592
0.0312,3192
-0.0965,7786
0.219,1106
-0.174,10187
-0.0434,7265
0.0905,2755
-0.0629,7878
-0.0734,6900
0.3,1105
0.0463,3582
0.0639,2610
-0.0297,7330
0.0574,3208
-0.069,7959
-0.00833,4958
0.248,1937
-0.0725,9170
0.266,65
0.005,4885
-0.155,9980
-0.0389,6960
-0.0918,9297
-0.0204,7035
-0.126,9223
0.162,577
0.0128,4739
0.000635,5168
0.0996,3566
0.0481,3363
-0.215,9997
-0.00485,5522
0.207,417
-0.301,10216
0.18,2221
-0.0378,6783
0.0574,3456
-0.0406,5812
-0.101,9667
-0.0469,5839
0.107,2078
-0.0171,5212
0.0398,3152
-0.0277,5654
-0.224,9621
0.185,1756
-0.0869,7662
0.0511,3717
0.0153,4338
-0.101,9038
0.0703,2639
0.182,1568
0.0643,3219
-0.0391,5918
0.03,3027
0.0247,4010
0.416,48
0.0283,4144
0.257,1487
-0.294,5331
-0.238,10131
-0.129,9855
-0.0303,7063
0.127,2427
-0.177,7774
0.0238,4323
0.034,3816
0.0417,2940
-0.00476,5451
-0.164,8124
0.157,1171
0.0142,4563
0.2,1724
-0.123,10208
0.172,1348
0.0844,2926
-0.258,7633
0.1,2489
0.065,3570
-0.288,8491
-0.257,8868
-0.0226,6061
-0.0762,7981
-0.0982,8326
0.14,1156
-0.0371,5832
-0.248,9821
0.0492,3383
-0.0669,6669
0.22,218
0.07,1643
0.313,945
-0.0585,5780
-0.0397,5593
0.348,1499
0.202,571
0.0835,1973
0.0385,3620
-0.0769,7355
0.0987,2657
0.0444,3773
0.00852,4504
-0.0962,8016
0.0332,4118
0.0889,2292
-0.119,8065
0.818,192
0.0167,4723
-0.0737,9490
-0.0527,6597
-0.115,8612
0.122,2345
0.136,1505
0.0176,4342
0.255,879
0.312,131
0.121,1846
0.0519,3995
0.0926,2272
0.171,878
0.145,2097
-0.151,8764
-0.25,9677
0.392,126
0.0889,2691
-0.122,9937
0.129,1890
-0.00824,5139
-0.0491,6135
-0.0537,5966
0.0513,4080
-0.0341,7035
-0.111,9333
-0.083,6420
-0.157,9777
-0.242,9735
0.177,2370
-0.0341,6224
0.0816,2235
-0.0798,7151
-0.053,6588
0.0587,3661
0.0232,4488
0.159,286
0.332,592
0.00784,4848
-0.122,6434
0.0102,4666
0.0171,4262
0.0542,2416
0.159,829
0.0545,3633
0.0383,4183
0.262,1219
-0.035,5991
-0.0905,6727
-0.0956,7437
0.231,1442
-0.0602,7074
0.0909,3131
0.0507,4241
-0.058,7962
-0.00726,5534
-0.212,10329
-0.0912,7543
-0.0346,6855
0.18,3079
0.118,993
-0.107,9217
0.0418,4106
-0.052,6279
-0.0831,6831
-0.102,3472
0.0404,3494
0.084,1795
0.0283,4088
-0.0602,7644
0.144,995
-0.397,10167
0.0519,2591
-0.117,3728
0.112,2945
-0.0112,5808
0.0443,2632
-0.141,8201
0.011,4479
-0.201,9706
0.569,2155
0.132,3449
-0.409,6173
-0.52,7700
-0.244,5795
-0.0658,6349
-0.154,7957
0.0178,4569
-0.181,8968
0.126,478
0.186,18
1.1,577
-0.229,8938
-0.105,7113
-0.264,7734
-0.191,9573
0.055,2472
0.104,3338
0.0565,3667
-0.0945,8344
-0.0927,8137
-0.208,9265
-0.00408,5368
-0.0093,5306
0.119,2848
0.0911,2669
0.123,2779
0.149,1740
0.109,1574
0.24,1090
-0.00588,5689
0.0884,2852
0.249,2584
0.0301,4109
0.122,1220
-0.047,6551
-0.0542,6767
-0.181,8268
-0.137,8807
-0.0773,7702
-0.141,9442
0.0144,4528
-0.0838,6628
0.0755,2797
0.0586,3873
0.372,181
0.0658,2903
0.0522,4103
0.179,721
0.0233,4647
-0.0491,6439
-0.137,9090
0.144,893
0.232,385
-0.227,9070
0.0323,4154
-0.118,5920
-0.0444,9405
0.0741,2413
-0.36,10285
0.0253,4578
0.239,992
0.0412,4276
0.0779,1910
-0.021,6391
0.000491,5121
-0.0165,5707
0.00198,4860
-0.162,9430
-0.242,9351
0.0287,3702
0.0911,2627
0.246,816
0.00636,5132
-0.0646,6454
0.606,44
-0.0565,7513
0.0146,4778
-0.124,7696
-0.111,7768
-0.151,8971
0.0935,1491
-0.00175,5385
0.249,868
0.36,62
0.0935,3336
-0.268,10415
-0.0318,5605
-0.0526,7102
0.015,4273
0.457,1520
0.278,967
-0.121,7753
0.259,1858
-0.0321,6589
-0.0978,7849
-0.103,7235
0.75,215
0.0473,3929
-0.0093,5206
0.123,1146
0.377,634
-0.277,9224
0.252,555
0.281,522
0.0745,2907
-0.0383,6628
-0.00219,5166
-0.0381,5908
0.00168,5077
0.0246,4486
0.101,2358
-0.073,7936
0.091,3013
-0.123,7979
0.143,2476
0.174,1321
-0.115,8213
0.23,241
0.206,477
-0.0263,5551
0.0717,3341
0.0757,2165
-0.00181,4883
-0.16,9250
-0.386,10409
-0.058,7439
-0.269,9172
-0.11,8318
0.11,2035
0.11,1171
-0.096,6646
-0.0237,6278
-0.0208,5501
0.269,852
0.221,550
-0.0599,7541
0.0135,4531
0.141,942
-0.00143,5070
0.0427,3502
0.274,286
-0.036,8834
0.0973,2129
-0.00368,5234
-0.0518,5874
-0.13,6745
-0.129,9436
0.00236,5118
-0.15,9768
-0.184,9498
0.371,88
-0.203,8743
-0.0815,8166
0.0133,4098
0.0688,2554
0.12,3027
0.163,1078
0.488,589
0.364,652
-0.116,7372
0.0165,4334
0.215,2668
-0.256,9129
-0.105,7108
0.0293,4333
-0.0111,5498
0.0794,2258
0.23,180
-0.133,8689
-0.185,8479
0.204,1122
0.0568,2540
0.0943,2338
-0.326,9380
-0.0696,6691
-0.265,9796
0.62,413
-0.0771,8652
-0.0698,7394
-0.0511,6696
-0.00104,5131
0.0567,3436
0.251,646
-0.0368,6865
0.0438,2617
0.755,1453
1.92,444
-0.211,6743
0.17,1320
-0.0133,5255
0.0665,2987
-0.193,9123
-0.204,9092
-0.252,10194
-0.0283,6308
0.0565,3710
-0.148,8990
-0.113,8779
0.369,1940
-0.405,8860
-0.232,10424
-0.0543,6250
-0.0932,8312
0.0681,3564
0.172,1466
-0.0824,7638
0.0563,3529
0.336,213
-0.0393,6266
-0.127,9328
-0.23,9810
0.118,1880
0.0301,3795
-0.00661,5216
0.0802,2381
0.173,918
0.17,1657
-0.00914,5391
0.202,341
0.13,2283
0.0506,3623
0.0373,3770
0.0506,3564
0.113,2467
-0.0354,6222
-0.0365,6825
0.425,751
-0.125,9060
-0.266,9578
0.224,2324
0.0861,2035
-0.0738,7182
0.193,1853
-0.00791,5384
0.162,476
0.14,2559
0.0342,3706
0.149,915
0.086,2723
-0.0294,6394
0.354,505
-0.424,10116
-0.0148,6046
0.0611,3378
0.0537,3743
-0.0714,7056
0.00351,5121
0.0221,4081
-0.0488,6677
-0.125,9356
0.0712,3510
-0.00282,4899
0.123,1899
-0.128,7879
0.263,214
0.127,752
0.219,1648
-0.0847,8779
-0.173,7969
-0.372,10109
0.0431,3514
0.113,1490
0.119,2511
0.352,28
-0.13,7909
-0.0988,7127
-0.108,8428
-0.0659,7843
-0.11,9583
-0.0629,6914
0.249,350
0.123,1762
-0.204,10338
0.0985,2738
0.145,612
-0.293,6198
-0.454,9707
0.0522,3167
-0.146,10138
-0.109,9801
0.0733,2327
0.106,2757
-0.0488,6512
-0.187,10332
-0.0533,8631
0.0554,2764
-0.145,8468
0.0925,3119
-0.131,7944
0.0479,3722
-0.179,9143
-0.0813,4529
-0.171,9533
-0.256,9239
0.164,1588
0.0313,3842
0.0351,3739
-0.832,8522
0.365,15
-0.0263,5031
0.328,759
-0.102,9597
-0.31,9997
-0.447,8121
-0.0677,4479
0.254,1160
-0.185,8246
-0.259,10369
0.0438,4097
-0.143,8978
0.0491,2224
-0.0575,6556
0.262,1188
-0.0938,5373
0.0778,2028
-0.212,10095
-0.0656,8065
0.351,409
-0.125,9096
-0.0263,5541
-0.0187,5931
-0.131,8813
-0.0127,5653
-0.113,7634
-0.128,7184
-0.0764,6970
0.352,298
0.122,956
0.0215,4442
-0.116,7539
-0.0658,8171
-0.162,8979
-0.0351,5567
0.035,3872
-0.00353,5165
-0.121,7807
0.668,835
-0.111,8363
-0.162,8460
0.0578,2963
-0.0715,7547
-0.043,6049
0.098,3362
0.0547,3500
-0.223,8316
0.296,695
-0.0714,7217
-0.202,9979
-0.234,7447
0.32,276
0.0957,2312
0.107,1775
0.129,1614
-0.047,7113
0.0474,3643
-0.179,7711
1.21,506
-0.0195,6007
0.256,29
-0.0952,9052
0.0969,3084
-0.0167,6058
0.228,1811
-0.0409,6275
-0.0202,5839
0.481,358
-0.143,8383
-0.09,7507
0.0946,2814
-0.0644,6913
-0.2,10274
0.371,1317
0.0528,3824
-0.331,8234
-0.0565,5995
-0.0784,8807
0.047,3748
-0.098,7231
-0.0125,5485
-0.116,8655
-0.275,8767
0.253,418
-0.171,9626
0.156,1328
-0.057,7273
-0.249,8302
-0.446,9316
0.0494,3239
0.0913,1408
0.105,1814
-0.166,9311
0.32,436
0.253,992
-0.089,8630
-0.0298,6149
-0.0426,6136
-0.161,7124
-0.0988,8017
-0.167,10125
-0.0993,8515
-0.0356,6287
-0.0481,6614
0.369,791
-0.0469,7358
0.0752,2862
0.08,3516
0.121,817
0.113,2107
-0.11,7849
0.233,675
0.0637,4032
-0.121,8782
-0.0148,5415
-0.0711,7016
0.251,1682
0.245,1066
0.672,8
-0.0375,7104
0.101,3169
1.09,15
-0.184,9161
0.276,1019
-0.0823,6924
0.107,1681
-0.0898,7789
0.0176,4549
-0.0672,8435
0.427,705
0.0328,4194
0.0457,3912
-0.0158,5828
-0.0431,6394
0.296,504
-0.183,9167
-0.0324,5735
-0.114,9213
0.0667,3095
-0.00312,5519
0.058,23
0.0276,1703
0.0204,1510
-0.0029,5880
-0.46,6593
-0.303,10022
-0.336,6026
0.0384,3771
0.0205,4320
-0.108,6544
0.0554,4127
0.00413,4814
-0.055,7248
-0.273,9726
-0.11,8454
0.0291,4509
-0.137,10346
-0.0651,6871
0.241,334
0.416,1685
-0.256,7346
0.0941,3511
-0.269,7188
0.00454,5084
0.0348,4109
0.786,485
-0.314,10181
0.0517,3999
-0.176,6884
0.183,840
