coef,rank
-0.661,9852
0.3,855
0.0792,3175
-0.121,6595
0.751,545
0.0707,3083
-0.00582,5281
-0.0854,6980
-0.0283,5505
-0.00058,4999
0.116,1623
-0.0369,6843
0.0312,3985
-0.0109,5458
0.591,226
-0.437,8657
0.0341,3114
-0.0431,7917
0.156,1060
0.0952,2226
0.00341,4954
-0.15,6666
0.105,2190
-0.133,8727
0.14,3079
-0.284,9902
-0.0323,6419
-0.482,8396
-0.0782,6633
0.00574,4932
0.128,1989
-0.35,9369
-0.127,7992
-0.318,9335
0.0288,3871
0.06,2243
0.0133,4715
0.181,2018
0.119,2097
0.085,2678
0.148,633
-0.0116,6174
0.0647,3643
0.0431,3669
-0.077,6935
0.26,754
-0.108,9971
-0.00939,5738
0.0117,4562
0.0173,4429
0.0908,2483
-0.192,8878
-0.0207,5766
-0.0491,7640
-0.0536,6863
-0.0622,6457
-0.0476,4935
-0.0132,5310
-0.0673,8526
-0.0268,6216
0.0978,2955
0.112,2052
-0.0659,8009
0.0183,4080
-0.195,10266
-0.0112,5690
0.094,1752
0.0511,3159
-0.109,8096
-0.373,7944
0.145,549
0.134,1057
0.318,207
0.359,254
-0.159,8463
0.335,84
-0.0191,5890
-0.0606,7208
-0.0252,6287
0.094,2311
0.558,1135
0.125,2566
-0.0371,7130
-0.061,7500
0.181,826
0.119,2834
0.0405,3798
0.151,2761
-0.00366,5165
-0.00681,5593
0.0336,4308
-0.0702,6974
0.176,2106
-0.0955,7322
0.0807,3221
-0.0953,8852
0.0465,3840
0.0549,2728
0.121,1559
-0.0293,5918
0.00272,4952
0.0411,3710
0.234,227
0.00894,4727
0.327,1160
0.242,1159
0.00196,4845
0.0879,2945
-0.31,10269
-0.0323,5850
-0.233,7804
0.0293,3967
0.0423,3005
-0.0312,6919
0.129,2072
-0.0785,7686
0.112,1185
-0.121,7702
-0.115,8247
0.0254,3645
0.0511,2965
0.0283,3814
-0.0305,5419
-0.244,8245
0.0924,1595
-0.106,7071
0.377,543
0.0732,2889
-0.00507,5092
-0.218,9942
0.0954,1543
0.0554,3604
-0.119,7584
-0.0616,7448
-0.231,5073
-0.238,8645
-0.0752,8069
0.451,1
0.357,994
0.0336,3555
-0.0324,5741
-0.175,8973
0.0965,2304
-0.165,9999
0.0431,3955
-0.305,10203
-0.068,7985
0.108,2805
0.298,182
0.153,519
-0.0722,4717
-0.032,6174
0.3,1123
0.204,750
-0.0573,6579
-0.00734,5350
0.0908,3369
0.024,4257
-0.0591,6457
-0.0815,7301
0.0357,4186
0.0324,3125
0.209,797
-0.0353,6139
0.16,567
-0.0779,8571
0.0334,4232
-0.0375,6826
0.25,518
0.141,2530
0.0327,4078
-0.0539,7548
-0.0384,7885
0.0902,2254
0.049,2927
0.145,1719
-0.176,7527
0.0852,993
0.0852,1972
-0.105,7575
0.00198,5148
0.0284,3905
0.00488,4922
-0.0681,9671
0.0817,2484
-0.023,6018
-0.0352,6015
0.164,652
-0.00643,4860
0.00961,4877
-0.0202,5355
0.0353,2720
0.14,1159
-0.048,6126
0.42,487
0.158,616
0.0321,4137
0.285,1133
-0.035,7156
0.389,276
-0.0725,6900
0.359,645
-0.0235,6172
0.212,1052
-0.162,8759
0.24,1154
-0.104,8101
-0.0173,5327
-0.0158,5691
-0.119,9445
0.0126,4762
0.184,1527
0.0238,4150
-0.0912,7297
0.00198,4828
0.0426,3264
-0.00623,5497
-0.00585,5212
0.385,662
-0.48,7039
0.0432,3955
0.0687,2098
0.0848,1118
0.204,1308
-0.286,9258
-0.155,8606
-0.198,10121
0.168,210
-0.125,10078
-0.342,10194
0.0299,4091
0.12,2706
-0.257,9616
-0.00192,5165
0.041,3857
-0.0778,7109
-0.183,6737
-0.194,9443
-0.145,7886
0.0488,4272
-0.211,8301
0.0911,1944
0.0657,2996
-0.0553,7027
0.0894,2112
-0.0237,5417
0.231,1234
-0.134,9313
-0.0429,6057
0.0461,3302
0.0628,1905
0.0431,4174
0.147,2701
-0.187,8286
-0.375,9476
-0.152,9477
0.0504,2958
0.0316,3852
-0.0716,7196
-0.0219,5822
-0.000453,4871
0.157,541
-0.00641,5431
0.0634,3509
-0.0792,7761
-0.219,9793
-0.519,10112
0.152,2146
0.0483,2095
0.212,758
-0.105,8367
-0.0257,5358
-0.139,9161
0.137,1374
0.166,1829
0.0853,2568
-0.18,9571
0.0364,4335
-0.152,9495
0.0836,2444
0.0504,3750
0.0594,3603
-0.0532,6247
0.106,2542
0.0887,2698
-0.0106,5701
-0.198,9550
0.0467,3817
0.107,2604
-0.0876,6708
-0.0376,5553
-0.0522,7909
0.0295,4105
-0.148,7554
0.12,1517
0.109,2857
-0.1,7015
-0.187,9892
0.271,92
0.0665,3233
-0.0955,7803
0.254,701
0.167,2802
-0.13,9945
0.0239,4720
-0.0639,7567
-0.427,9952
0.211,1469
-0.0744,8141
0.0385,3146
-0.0174,5693
0.186,1136
-0.246,8920
0.106,3059
0.375,126
-0.26,9167
0.16,1947
-0.176,8098
-0.224,10186
0.0659,3591
-0.182,7650
0.0945,1416
0.0586,3122
-0.0226,6154
-0.0579,6631
-0.0439,7333
0.139,3441
0.00233,5243
0.00934,4676
-0.146,8122
-0.0529,6303
0.152,2001
2.61,492
-0.0389,6929
0.0536,2810
0.0656,2994
-0.0702,7979
0.0463,3475
0.413,547
0.00781,4668
-0.537,8100
-0.14,7858
-0.0234,6533
0.0443,2633
0.271,780
-0.146,10071
-0.162,9169
0.701,1892
-0.0733,5124
-0.29,5218
-0.29,5634
-0.337,6740
-0.149,8156
-0.139,7719
0.0788,2876
-0.0648,6456
0.089,1257
0.123,297
0.317,2665
-0.222,8861
-0.0634,6249
-0.19,6795
-0.0553,6613
0.114,810
-0.236,7948
0.0104,4686
0.00281,5098
-0.0452,6572
0.0372,4226
-0.0706,8158
-0.0504,6519
0.198,1664
-0.084,7355
0.235,1561
-0.0764,6765
0.21,299
-0.0146,5329
0.0176,4229
0.124,2114
0.558,1051
-0.131,9348
-0.0182,5440
0.128,1860
0.0941,2391
0.0257,4516
0.0106,4922
-0.054,6959
0.033,3785
0.369,58
0.246,1436
0.198,713
-0.186,8209
-0.171,9013
0.299,60
0.0515,4119
0.18,699
0.233,1091
-0.153,9067
0.0168,4563
0.163,668
0.161,1067
0.16,2148
0.121,2413
-0.412,8816
0.0294,2083
0.131,1072
0.0259,4291
0.252,1242
-0.189,9144
0.061,3844
0.0389,3274
0.0443,2156
0.00215,4861
-0.114,8673
-0.402,10168
-0.0787,7481
-0.181,8473
0.0419,3083
-0.0373,6080
-0.0874,7160
0.161,1684
-0.186,8789
-0.0864,6608
-0.167,10119
0.0369,4174
-0.405,10408
0.0428,4062
0.00927,4742
0.0112,4660
-0.0712,8092
-0.0626,6784
-0.21,9993
0.498,98
-0.109,8766
0.00783,4593
-0.0185,5804
-0.0621,8536
0.0528,3896
0.205,1592
0.241,1108
-0.186,7524
0.0261,3964
-0.0165,5462
-0.1,7151
0.0238,4618
-0.0121,5142
0.213,1528
-0.0347,6591
0.131,2742
-0.0669,6004
0.0539,3788
-0.121,7848
-0.043,6452
0.0942,1775
0.00896,4434
-0.0274,5615
-0.189,9539
-0.068,6915
-0.115,8854
0.0366,3485
-0.223,9493
-0.128,8109
0.223,1535
-0.108,7922
-0.166,9259
-0.0352,6571
-0.0426,6800
-0.127,8163
-0.188,9302
0.0447,3189
-0.23,10188
-0.126,8621
0.106,2796
-0.048,7105
0.201,1882
-0.23,10161
-0.0112,5290
-0.0368,6656
-0.337,9767
-0.0594,7571
0.276,629
0.197,1549
-0.0294,6320
0.154,835
0.154,440
0.0818,2229
-0.126,9448
0.228,351
-0.102,7954
-0.00859,6240
0.0836,2446
0.278,60
0.408,828
-0.0566,5612
-0.063,7618
-0.144,9353
-0.0917,8543
-0.0626,6818
0.142,1681
-0.105,7115
-0.0025,5218
-0.0608,8409
-0.0286,6340
-0.209,8592
-0.271,10366
0.00465,4787
-0.119,7304
-0.147,7942
0.036,3441
-0.00466,4772
-0.464,10350
-0.101,7025
-0.177,7066
0.0994,997
0.131,946
-0.076,7961
-0.109,8102
-0.0653,6191
-0.0619,7002
-0.0558,7539
-0.0635,7131
-0.147,7273
0.00627,4898
-0.132,7969
-0.017,5113
-0.00307,5421
0.122,1641
-0.0327,6221
-0.0845,8076
-0.0442,6639
-0.179,9081
0.0806,2260
0.0313,3311
-0.427,7457
-0.303,5221
-0.103,5642
0.0598,3512
-0.101,7237
0.105,2010
0.234,945
-0.0248,5449
-0.0527,6573
-0.00816,5603
-0.0563,6515
0.012,4721
-0.0662,7491
-0.105,5627
-0.4,8809
0.0366,3570
-0.00115,4958
0.104,1910
-0.0544,6655
0.0296,4200
-0.0313,6150
-0.131,8589
-0.00727,5094
-0.181,9654
0.111,1587
-0.111,7922
0.103,2180
-0.184,10191
0.0331,3796
-0.0256,6017
-0.0413,6316
-0.145,8259
-0.0393,6773
-0.169,9986
0.0431,3975
-0.161,9145
-0.221,10034
0.00935,4875
-0.201,9539
0.188,821
-0.106,9485
0.327,1257
-0.0584,7227
0.062,3833
-0.303,8967
-0.0243,6067
0.0631,3019
-0.0991,7012
-0.0772,8098
0.0622,2642
-0.0326,5633
0.0464,3250
0.0129,4640
-0.022,5772
0.133,1234
-0.021,5326
-0.176,7723
0.0435,2534
0.0416,3879
0.00191,4956
0.00206,5023
0.238,521
0.0719,2546
-0.101,8122
-0.029,6303
0.0986,2931
0.331,717
-0.128,8595
-0.0483,6153
0.0299,3899
0.035,3468
-0.152,8166
-0.0803,8637
0.047,4126
-0.421,10299
0.00414,4805
-0.00966,5412
-0.115,7884
0.0223,4305
0.101,2808
0.197,1322
-0.0773,7622
0.0243,3844
-0.0106,5580
-0.159,9177
0.042,3842
0.154,1280
-0.125,9456
0.329,339
-0.0501,7227
-0.324,6585
0.402,1404
0.114,1533
-0.0675,8268
-0.0105,5558
0.0162,4550
0.0947,2913
-0.0882,7565
-0.154,10131
-0.019,6588
0.0113,4503
-0.00835,5246
-0.0702,6126
-0.044,5979
0.051,3632
0.0302,3926
-0.262,5970
-0.0406,6262
0.243,1387
0.0242,4281
0.0374,3622
-0.242,9962
0.978,1572
0.218,266
0.506,567
-0.0423,5797
-0.167,10362
0.0224,4491
-0.661,9514
0.841,1236
-0.0553,6370
0.0474,4142
-0.0933,8215
-0.298,10084
0.171,1424
-0.147,10423
-0.0768,7099
-0.0821,6831
-0.0418,4870
-0.125,9482
-0.0661,7192
-0.0154,5836
-0.182,8778
-0.11,8747
0.368,980
0.0443,3305
-0.0386,6327
-0.31,10457
0.11,2639
0.191,2121
-0.017,5539
0.116,2601
-0.166,10194
0.11,1878
-0.129,7796
0.0136,4557
0.306,417
-0.338,9996
0.281,86
0.121,2688
0.00941,4799
1.11,210
-0.124,8689
0.303,702
0.184,713
-0.00962,5317
0.0945,3095
0.28,1244
0.249,649
-0.468,10317
-0.082,6474
-0.116,8421
-0.078,7625
-0.0319,5269
-0.0489,6278
-0.158,9314
0.036,3678
-0.0352,6049
-0.0908,8732
-0.0139,5229
0.166,2912
-0.1,4596
0.0511,2967
-0.0442,7323
0.0937,1483
-0.379,10344
-0.155,10336
-0.168,7083
-0.0459,6442
0.23,97
-0.0074,5138
0.0176,4676
-0.202,9578
0.22,818
0.0671,3274
0.0307,3913
-0.278,8538
0.345,707
1.09,213
0.286,1264
0.0649,1978
0.0423,3859
0.178,1602
0.103,1567
0.213,645
0.212,2181
0.167,1261
-0.0643,7208
-0.0581,6708
0.0276,3958
-0.0874,6182
-0.0249,5114
-0.0101,5791
0.0619,2383
0.0504,3240
-0.0309,6167
0.34,346
-0.0593,6367
-0.0829,8443
0.44,18
-0.275,10157
0.195,2394
0.0868,2220
-0.0305,6440
-0.175,9951
0.0147,4421
0.166,1160
-0.146,7670
0.0748,1661
-0.107,8132
-0.0473,5987
-0.0271,6492
-0.145,8697
-0.0912,7366
0.127,2010
0.438,449
0.368,50
0.0535,3579
-0.119,8122
0.231,1855
0.0522,3942
-0.305,10177
0.00219,5029
0.22,1645
-0.177,7138
0.262,562
-0.201,8553
0.216,1088
0.0841,2278
-0.198,9913
-0.105,6904
0.000366,5332
0.187,2279
0.249,1219
-0.152,8697
0.0884,1500
0.109,2262
-0.111,7670
-0.236,9839
0.358,400
-0.17,10098
-0.143,8657
0.0483,817
-0.0133,8163
0.0199,2561
0.00261,4774
0.0166,2006
2.11,482
-0.241,9490
-0.148,4835
0.127,1447
-0.0149,5395
0.335,1186
0.00882,5008
-0.32,9977
-0.0414,6731
-0.0425,5937
0.0675,3099
-0.217,8686
0.0227,3795
0.0998,2200
-0.138,9205
0.207,2967
0.157,3381
-0.283,8812
-0.423,8959
-0.22,9800
0.121,2278
-0.0413,5155
-0.0498,5941
-0.284,10006
-0.323,8612
0.248,348
0.109,1857
0.423,811
-0.197,9660
0.0265,4187
-0.0822,8535
0.514,465
0.0801,3076
-0.0529,6664
0.0908,3417
-0.129,8225
-0.00704,5455
-0.00776,5795
-0.259,10127
0.0042,4933
-0.0205,5703
0.128,2640
0.257,538
-0.133,8856
0.0136,4591
0.0746,3080
0.056,3639
0.00768,4562
0.147,709
-0.0871,7658
0.242,289
-0.233,10448
-0.0501,5914
-0.247,8384
-0.108,8539
0.0628,3111
-0.00528,5258
-0.299,10437
-0.0684,6674
-0.0628,5992
-0.208,10247
0.0667,3224
-0.278,8943
0.202,225
-0.172,9187
-0.152,9609
-0.198,10246
0.0376,3772
-0.159,9893
-0.0153,5605
0.0866,2890
-0.0829,6568
-0.071,8509
0.00303,5202
-0.241,8012
-0.317,9842
0.00826,4699
-0.0975,7640
0.336,242
-0.0919,8949
0.127,1289
-0.263,7882
-0.0307,5863
0.00677,4999
0.274,2458
0.0508,3466
0.379,1940
0.13,454
0.151,987
-0.0401,6926
0.297,2599
0.0558,3795
0.486,780
-0.11,6524
0.18,1005
-0.266,8499
-0.0731,7383
0.0312,3922
0.0441,3829
-0.0316,6240
0.245,569
-0.00502,5400
-0.0943,7385
-0.0279,5898
0.209,543
0.0698,2542
0.291,833
-0.273,10451
-0.196,9115
0.254,884
0.21,993
-0.0705,7312
-0.225,5477
-0.868,8730
0.211,966
0.0116,4717
-0.299,9918
-0.305,10022
0.027,4430
0.00775,4911
0.0154,4511
0.0398,3439
-0.0161,5631
-0.0781,9842
-0.159,9087
-0.0086,5259
-0.0276,5734
-0.0236,6190
0.0524,3577
-0.0113,5834
-0.219,8107
0.516,51
-0.13,7133
0.263,696
0.000167,5136
-0.117,8518
0.0647,3944
0.0307,4158
0.0557,3488
-0.0553,6142
-0.052,7520
-0.126,8001
-0.0221,5053
0.121,1835
-0.127,8780
-0.215,8974
0.0356,3113
-0.16,10003
-0.318,6116
2.2,85
0.192,1826
-0.0612,7813
-0.188,8085
0.00971,4676
0.156,2637
-0.181,8433
-0.139,8969
-0.0994,6671
0.0394,3058
0.379,265
-0.37,6585
0.287,2170
-0.293,7319
0.0269,3982
-0.0261,5718
-0.163,9279
-0.236,8557
0.531,754
-0.306,7764
0.0749,2215
0.204,468
0.098,3354
0.0482,3692
-0.0297,5462
0.0746,2556
0.0972,1446
0.00628,4784
-0.034,7674
-0.00782,5218
-0.079,8515
0.0402,3219
0.0826,1864
-0.0866,8118
-0.115,8135
-0.0809,8151
0.0578,4012
-0.043,5262
-0.178,9422
