coef,rank
0.532,1753
0.219,1516
0.0367,4051
-0.024,5195
0.139,3411
0.0116,4555
-0.031,6354
0.0503,3678
-0.137,7998
-0.148,8388
0.00852,4901
-0.018,5975
0.0344,3874
0.346,344
-0.146,7223
0.638,1286
0.0142,4343
-0.0821,9563
0.0707,2850
-0.124,8826
-0.0657,6527
0.327,1660
0.357,72
-0.0296,5957
0.336,1362
-0.0962,7122
-0.0994,8689
-0.468,8238
0.189,1727
-0.107,8722
-0.009,5402
0.619,471
0.0706,3347
0.482,512
0.0356,3619
-0.0358,6913
-0.00182,5270
0.0706,3628
-0.108,7994
-0.0802,7125
0.0405,3167
-0.0256,7103
-0.0771,6880
0.118,1612
-0.202,9423
0.423,131
-0.00934,5501
-0.00882,5697
-0.148,8016
-0.0304,6059
-0.138,8485
-0.247,9603
-0.168,9253
-0.00775,5506
-0.0125,5702
0.285,680
-0.0732,5245
0.053,3839
0.153,255
-0.212,10385
-0.164,8451
0.0601,3225
-0.00286,5314
-0.0186,6261
-0.0495,7120
-0.1,9189
-0.0904,8795
0.0674,2634
0.113,2187
-0.0806,4960
-0.0905,8897
-0.0831,7985
0.21,822
0.065,3380
0.266,1019
-0.0911,8174
-0.103,8787
0.0735,2447
0.17,449
0.36,30
-0.806,10400
0.134,2434
-0.0423,7378
-0.0404,6672
-0.00339,5140
-0.22,8986
0.0718,2844
-0.198,7921
-0.087,9164
-0.0654,8709
-0.232,9650
0.0266,4382
0.0366,4332
-0.228,9528
0.374,196
-0.132,9703
-0.0723,6163
0.0711,2178
0.104,1938
-0.0961,7792
0.185,264
0.00552,4889
-0.045,6875
0.521,75
0.454,605
0.186,1779
0.149,2380
0.271,586
0.00741,4669
-0.078,7092
-0.231,7782
0.251,708
0.0649,2153
-0.0991,9643
-0.0981,7893
0.0724,2820
-0.0211,5857
0.274,545
0.202,960
0.07,1799
-0.00196,5412
-0.0431,7246
-0.0553,5839
0.272,1887
0.151,532
0.197,2001
0.398,467
0.0901,2510
-0.107,7761
-0.0266,5752
0.0285,3753
-0.215,10162
0.336,508
-0.133,9352
-0.805,8987
-0.253,8816
0.103,1569
0.132,1264
0.25,1675
-0.0741,8602
0.122,2463
-0.262,10029
-0.314,10416
0.226,178
0.0258,4370
-0.00426,5193
-0.0726,8131
-0.0326,5681
-0.0344,6114
0.00838,4703
-0.233,6243
0.208,948
-0.283,9083
0.133,1687
-0.0509,6369
-0.141,9249
0.12,2942
0.134,1555
0.00693,4782
-0.0304,5906
-0.112,7889
-0.00561,5430
-0.0345,6123
0.409,135
0.14,846
-0.072,8400
0.0569,3628
0.0549,2982
-0.02,5434
0.174,2156
-0.0119,5805
0.0497,3142
-0.0615,9029
0.125,1528
0.0821,1846
-0.214,9564
0.123,3231
-0.033,7306
-0.145,9760
-0.0088,5263
-0.0829,8425
-0.124,9587
0.0345,3363
-0.0359,8232
0.236,252
-0.171,10075
-0.124,8258
-0.0562,7470
-0.242,7890
-0.0232,6216
-0.0354,5870
0.0184,3802
-0.116,8852
-0.00121,4971
-0.28,9382
0.131,1007
0.127,1850
-0.194,8639
-0.0706,8758
-0.177,8481
-0.0246,5527
-0.231,8971
0.0186,4123
-0.025,5586
-0.048,6257
0.1,3046
0.0124,4407
-0.0558,6325
-0.166,10076
0.0016,5102
-0.14,9785
0.0462,4005
0.00727,4540
0.173,1272
0.0684,1293
0.0208,4176
-0.114,8497
-0.129,8564
-0.00488,4995
0.299,2439
-0.0668,7076
-0.182,10357
-0.0203,6502
-0.16,8646
-0.176,7740
-0.0865,7088
-0.0495,6799
-0.118,9717
-0.0525,8014
-0.0908,6725
0.0682,3047
-0.0283,5420
0.0958,3268
-0.0975,9834
0.0268,4228
0.115,2312
