coef,rank
-0.246,8821
0.0795,3576
-0.0942,8605
-0.357,9939
0.283,2842
1.05,549
-0.412,9394
0.105,2825
-0.0492,6879
-0.278,10304
-0.169,8771
-0.193,8715
0.0119,4888
-0.0119,5813
-0.0915,8162
0.139,2670
-0.237,7776
-0.127,6132
-0.055,7883
-0.0341,7548
0.024,4578
-0.0167,5813
0.611,353
0.682,257
-0.0494,6786
-0.051,6259
0.213,2088
-0.179,8657
0.409,8
-0.356,7889
-0.217,9612
-0.257,10779
0.0235,4889
-0.534,10615
-0.245,9874
0.151,2808
0.637,3
0.0265,4191
-0.168,9438
0.258,1858
-0.299,10411
0.243,1313
-0.00758,5579
-0.139,10732
0.415,252
-0.189,9759
0.0778,3851
0.0146,4640
0.137,634
0.00911,4897
0.031,4690
-0.212,10315
-0.247,9540
0.18,2128
0.151,2246
-0.0882,8708
-0.051,6631
-0.296,9514
0.03,4750
-0.00359,5130
-0.0501,7632
-0.0246,6478
-0.0251,5724
-0.143,8091
0.0569,3320
0.0012,5172
-0.00303,5362
-0.016,6134
-0.055,7153
0.0638,3215
-0.207,9793
-0.107,6047
-0.104,8353
-0.214,10362
0.126,2588
0.196,2128
-0.288,8761
0.0323,4389
0.0562,3682
-0.0628,7491
-0.0356,6709
0.0204,4739
-0.154,7177
0.00517,5047
-0.0479,7375
0.031,4287
0.0256,4815
-0.0421,6071
-0.31,10588
0.0256,4617
-0.141,10082
0.0708,2294
-0.0386,6116
-0.00562,5325
0.157,2809
0.044,4360
0.396,496
-0.183,10325
-0.0213,5381
-0.165,10568
-0.148,8804
0.303,737
-0.0492,7085
-0.0161,5817
-0.116,8561
0.0913,3450
-0.0747,6205
-0.124,7545
0.128,2848
-0.133,8334
-0.00375,5217
0.336,301
1.33,116
-0.46,10879
-0.142,9884
0.118,1256
0.047,4476
-0.0528,7038
0.054,3303
0.206,1751
-0.0916,7623
-0.0332,6637
-0.0786,8283
-0.0503,7319
0.166,2813
-0.0782,5868
0.13,1333
-0.269,10183
-0.214,9303
-0.123,8091
-0.111,7552
-0.118,7668
-0.145,9741
-0.246,10643
-0.0194,5460
0.0871,2514
-0.564,7996
0.972,103
0.168,824
-0.0192,6044
0.159,3069
-0.159,10414
-0.0685,6494
-0.0626,6966
0.0409,4219
0.0539,4044
-0.137,7477
0.012,4957
-0.0742,8138
-0.375,10461
0.152,1446
0.235,282
0.538,2505
0.0186,4662
-0.232,7950
0.098,3131
0.0419,4072
-0.0364,6442
-0.22,8761
-0.0878,7572
0.0204,4837
0.0482,3949
0.091,3400
-0.12,10244
0.111,2667
0.179,1880
-0.0138,5889
-0.193,10688
0.0525,4344
-0.194,10534
-0.0493,6553
1.01,50
0.308,84
0.0206,4375
0.0344,3345
-0.325,10961
-0.0252,6190
-0.262,10045
-0.152,6890
-0.0018,5371
0.184,1126
0.0117,5160
0.144,2149
0.0957,3038
-0.00595,5330
0.0479,2500
0.0654,3305
0.0618,3611
-0.246,9599
0.0123,5032
-0.239,7358
0.0991,2469
-0.0106,5806
-0.00028,5607
-0.184,10208
0.105,2990
-0.356,9862
0.0189,4775
-0.0404,6145
-0.031,5946
0.0991,2035
0.153,2503
-0.121,8413
-0.0292,5748
-0.0436,7049
0.0603,3771
0.0939,3370
-0.153,6881
0.0315,4615
0.191,1936
-0.0589,7203
0.0725,2550
0.027,4523
-0.0155,5621
0.465,358
0.0356,4287
-0.0681,9133
0.156,1313
0.0682,3627
-0.154,8761
-0.358,10227
-0.164,7698
-0.0622,6847
0.0906,2253
0.0191,4393
-0.264,9693
-0.278,9458
-0.049,6818
0.0181,4786
-0.121,9801
-0.00353,5625
0.585,91
0.145,2546
-0.342,10747
-0.225,8978
0.0313,3742
-0.19,9385
0.0431,4317
-0.0394,5824
0.225,1189
-0.544,11004
0.231,2884
0.263,2418
-0.227,10511
-0.0507,6405
0.176,2140
-0.00218,5369
-0.033,6316
-0.129,8152
-0.0714,7240
0.704,2093
0.831,49
0.0958,2022
-0.111,9601
0.328,1643
0.0217,4947
0.0157,4830
-0.404,9037
0.276,480
-0.117,8585
0.0467,4033
-0.0433,6713
