coef,rank
-0.192,8132
0.109,2980
0.0304,4377
-0.117,6908
0.00703,4131
0.477,2040
-0.355,8837
0.085,3246
0.225,383
-0.299,10463
-0.386,10877
-0.276,9820
0.141,1832
0.0402,3708
0.187,1170
-0.106,7759
-0.00748,5105
-0.166,6624
-0.0233,6560
-0.0587,8708
0.138,1914
-0.0522,7019
-0.109,6600
-0.336,9650
0.266,583
0.106,2976
0.481,449
-0.271,9937
-0.217,10800
0.386,2298
0.195,1704
0.0323,4322
-0.127,8036
-0.234,8040
0.334,548
0.26,1645
0.137,2064
-0.044,7213
0.0843,3117
-0.0288,5465
-0.12,7866
-0.00271,5235
-0.0156,5850
-0.0992,10078
0.415,251
0.381,104
-0.166,8547
-0.261,9044
-0.0281,6773
0.00712,5000
0.284,1261
-0.0537,7114
-0.0109,5450
-0.136,8015
-0.0751,6645
0.166,625
0.117,2198
-0.0275,5459
-0.215,7972
-0.193,8456
-0.0809,8791
0.0458,4032
0.687,50
-0.141,8040
0.0651,3032
-0.141,10399
0.351,251
-0.0508,7451
-0.213,10392
0.209,584
0.196,1400
0.378,1974
-0.274,10850
-0.0586,7064
-0.253,10397
1.11,1
0.692,352
0.104,2362
-0.0913,7996
0.0356,4282
0.0956,3071
-0.141,8853
0.0688,4416
-0.00944,5246
0.1,2076
-0.0314,6372
-0.177,9664
-0.232,9121
0.0589,3720
0.0803,3788
-0.00849,5819
0.00187,5312
0.127,2738
-0.169,8781
0.624,175
-0.137,7627
0.0697,3912
0.0417,3832
-0.371,10075
-0.125,9997
-0.132,8471
0.36,447
-0.19,10367
0.0578,3505
0.04,4048
0.286,901
-0.157,7412
0.059,4177
-0.0747,6852
-0.218,9807
-0.262,10010
0.202,1213
-0.313,7816
0.0665,4095
-0.00591,5781
-0.0201,6483
0.0156,5070
-0.0609,7265
0.105,1811
-0.0489,6384
0.00469,5258
0.0103,4831
-0.0337,6720
-0.0898,8653
-0.0557,6156
-0.000835,4979
-0.0279,6414
0.113,2880
0.141,2925
-0.0147,5444
0.219,1760
-0.189,8982
-0.0689,7726
0.011,5179
-0.388,10488
-0.0346,6549
-0.497,7546
-0.523,10513
-0.203,10613
-0.00566,5592
-0.228,9002
-0.0734,8380
-0.165,8156
-0.0194,5949
0.00572,5052
0.152,1775
-0.197,8433
-0.0895,7432
-0.0842,8429
0.149,2864
0.172,1172
-0.0989,8972
-0.514,7131
0.112,2805
0.445,1254
0.147,2258
0.0213,4736
-0.0541,6889
0.242,1950
-0.0328,6207
-0.0445,6633
-0.297,10916
-0.0396,6355
0.183,159
0.0965,2963
0.0474,4493
0.0107,5014
-0.111,9273
-0.0285,6196
0.124,1721
0.106,3084
0.138,3221
-0.245,10825
0.198,478
0.184,77
-0.0732,7376
-0.09,8346
0.543,133
-0.296,8471
0.0794,1992
0.112,2389
0.166,2161
-0.0424,6440
-0.105,8180
0.0164,4455
-0.00178,5284
-0.129,9342
0.21,972
-0.0732,6616
-0.179,10071
0.418,1761
-0.0528,7122
-0.064,7582
-0.096,9970
-0.0513,6940
-0.0882,7192
0.445,727
0.0269,4552
0.327,835
0.0288,4623
0.0819,2473
-0.079,6738
-0.138,8817
0.51,660
-0.0116,5697
-0.14,9128
0.2,1636
-0.14,6718
0.139,2356
0.288,978
0.0789,2941
0.1,1790
-0.0915,7894
-0.181,8707
0.37,706
0.00747,4858
0.0166,4641
-0.0466,7098
-0.218,9939
-0.15,8704
0.07,3869
0.399,852
0.0868,3509
0.028,4207
-0.146,10447
-0.213,9050
-0.0718,6283
0.241,998
-0.217,10740
0.0537,3343
-0.0966,9157
0.198,1735
0.0164,5196
0.0809,3717
-0.184,8391
0.0603,2407
-0.145,8589
-0.152,8374
0.923,70
-0.122,7711
-0.149,7955
-0.0744,4165
-0.0376,5667
0.0358,4308
-0.1,7694
-0.337,10715
-0.0638,7657
0.443,130
-0.219,9669
0.0886,3072
0.233,4033
0.132,3318
-0.17,10362
-0.0213,6372
0.106,3721
-0.137,7036
-0.0824,6187
-0.86,10959
-0.0552,7003
-0.152,9385
-0.109,8471
-0.0788,7699
0.252,1169
-0.091,7502
-0.194,10061
0.193,1530
-0.0531,5783
-0.23,10393
-0.00139,5559
0.324,1088
0.0235,5018
-0.0152,6203
-0.069,7127
-0.266,10312
0.201,2034
-0.0462,6499
0.00232,5066
0.174,2245
-0.188,9368
0.147,2309
-0.0531,6495
-0.0943,8123
-0.201,10063
0.116,3355
0.087,3415
-0.0813,6858
-0.232,9337
0.283,648
0.00343,5338
-0.0337,6276
-0.35,10706
0.682,88
0.0581,4220
0.298,1034
0.00721,5253
-0.023,6228
-0.305,9399
0.0546,3712
0.248,1884
0.0967,3503
0.153,1772
0.0789,2886
0.0311,4420
-0.0945,7175
0.0269,4687
0.0736,3892
-0.00529,5480
-0.372,10701
0.0429,4047
-0.386,10190
-0.221,8551
-0.116,8736
0.0549,3124
-0.0347,6397
-0.124,8736
-0.453,10197
0.154,2982
-0.0548,6583
0.451,498
0.0863,3822
0.0468,4489
-0.0493,6771
-0.0193,5419
-0.218,7635
0.0772,2544
-0.0323,6309
-0.0997,8394
0.175,1584
0.104,1563
-0.109,6745
-0.0778,8438
0.00704,5164
-0.216,8957
0.211,2021
0.00548,5181
0.221,2668
-0.0408,6630
-0.119,9440
-0.0471,7004
-0.106,8674
0.0168,4973
-0.241,9412
-0.154,10092
0.125,3445
-0.0616,5975
-0.0783,8845
-0.0456,7368
-0.0968,7232
0.139,1578
0.102,2839
-0.636,8821
