coef,rank
-0.279,9182
0.0928,3301
0.184,789
-0.0477,5800
-0.0491,4459
0.484,2013
-0.871,10995
-0.129,8649
-0.152,9841
0.0321,4291
-0.0326,5920
0.283,1282
0.0893,2795
0.0221,4437
0.0936,2865
-0.0923,7508
0.291,2296
0.836,368
0.0763,2406
-0.0366,7681
0.0201,4710
-0.0499,6956
0.277,1857
-0.204,8134
0.113,2554
0.15,2250
-0.15,7659
0.27,1028
-0.0432,7305
-0.512,9188
-0.0491,6438
0.114,2167
-0.183,9071
-0.253,8274
0.262,1024
-0.113,7313
-0.0032,5589
-0.229,10957
0.0913,2971
0.196,2468
-0.143,8332
-0.133,7956
-0.129,9352
0.0477,2839
-0.00278,5345
0.211,938
0.0399,4557
0.307,1300
0.0347,3490
-0.0647,8767
-0.161,8347
-0.167,9719
0.13,2904
0.131,2840
0.135,2446
0.0425,3602
0.0305,4217
-0.101,6653
-0.337,9391
-0.14,7640
0.0252,4174
-0.0641,7819
0.138,2909
0.25,1324
0.0777,2645
0.0352,3615
0.0373,4337
-0.0456,7256
8.5e-05,5470
-0.00888,5631
-0.139,8620
0.81,510
-0.0866,7853
0.287,284
0.0579,4028
-0.17,8358
0.0034,5098
0.231,518
0.0164,4772
0.121,1958
0.341,173
-0.0093,5527
0.126,3790
-0.0969,6600
-0.0233,6435
-0.0913,8312
-0.188,9836
0.663,115
0.0164,4691
0.0395,4405
0.105,1934
-0.0972,9576
-0.162,8634
-0.0286,5852
-0.08,6433
0.188,2330
0.142,2721
-0.0434,6869
-0.575,10908
-0.0187,6441
-0.181,9362
-0.0738,6978
-0.0331,6561
0.133,1677
-0.073,7362
0.0492,4278
-0.371,9960
-0.0801,6734
-0.329,10535
0.312,520
0.238,1286
-0.0761,7236
-0.279,7473
0.00333,5205
-0.0181,6212
0.000592,5508
-0.331,10273
0.0382,4459
-0.0631,7811
-0.132,8097
-0.111,8091
0.0112,4808
-0.104,9019
-0.191,10600
-0.12,7226
0.282,2375
-0.0899,8611
-0.329,10617
0.287,1249
0.18,1575
0.159,2527
0.0581,4125
0.0997,2269
-0.0323,6517
0.118,3282
0.00932,4973
-0.445,7200
0.664,521
-0.114,9089
-0.109,8670
-0.187,8433
-0.176,10607
0.0352,4616
-0.225,9982
0.242,897
0.01,5314
-0.189,8325
0.294,708
-0.0342,6832
0.126,3177
0.0141,4906
0.0661,3113
2.65,641
-0.0816,6917
0.278,2342
-0.202,9452
0.00553,5249
-0.0337,6364
0.217,2228
-0.13,8473
-0.255,10500
-0.0836,7927
-0.0314,6154
-0.00495,5608
0.168,1702
0.105,3214
0.0955,2359
-0.174,10471
-0.178,9214
0.0823,2681
-0.392,10936
0.0606,4177
0.00938,4867
-0.151,9936
-0.0488,8220
-0.0672,7199
0.145,1297
0.115,3165
-0.457,9895
-0.00256,5425
0.0772,3245
-0.135,8443
-0.0331,6198
0.171,1689
-0.045,6913
0.0268,3561
-0.0342,6494
-0.0499,6884
-0.214,9152
-0.172,9964
-0.412,9167
0.0127,4906
0.177,1026
0.0636,2370
-0.019,5890
-0.191,9176
0.044,4216
-0.0492,6976
0.0561,4192
0.00895,5067
-0.0434,7117
-0.0182,5501
0.0496,3638
-0.0151,5536
0.0825,2177
-0.00237,5499
-0.15,8676
1.24,25
0.112,2825
-0.0643,6835
-0.133,9274
0.0177,4593
0.15,1803
-0.063,6528
-0.0489,6183
0.0692,3635
0.169,182
-0.0397,6853
-0.312,10753
-0.0448,6439
0.235,1819
0.499,484
-0.2,9496
-0.167,10347
-0.00535,5508
-0.261,9670
-0.311,9789
0.0303,4788
0.108,2019
-0.0561,7822
-0.0851,8814
-0.136,8400
-0.0482,6753
0.0505,4303
0.469,457
0.132,570
-0.131,8282
0.209,1611
0.319,1631
-0.0943,7128
-0.135,7708
0.0937,3269
0.719,401
-0.0851,7918
-0.0654,6809
-0.00064,5479
-0.123,9314
0.0729,3734
-0.0539,6589
-0.0891,7733
1.07,1152
-0.00652,5349
0.0215,4458
0.0806,2288
-0.228,8559
-0.319,9346
0.0366,4569
-0.256,7439
-0.23,10460
0.405,38
0.112,2411
0.048,4042
-0.158,8969
-0.224,9864
0.088,2994
0.0138,4902
-0.162,7484
-0.136,8952
-0.0763,7518
-0.21,8727
-0.0726,7442
