coef,rank
0.712,118
0.402,255
0.0675,3180
-0.407,10269
-1.12,10343
-0.577,10069
-0.555,10304
-0.21,10023
0.108,1875
-0.0321,5739
-0.259,10063
-0.356,10463
0.133,1967
-0.0716,8134
-0.0226,6205
-0.0033,5486
0.0358,4591
0.0254,4497
0.088,2048
0.067,2207
-0.0365,6345
-0.0676,7476
0.227,2332
0.358,1376
0.244,763
-0.388,10874
-0.0381,5722
-0.0687,6475
-0.0304,6819
-0.547,9438
-0.239,9895
-0.202,10337
-0.0907,7310
-0.0889,6125
-0.0687,6604
0.261,1638
0.0978,2876
-0.0924,9030
-0.156,9246
-0.258,9072
-0.197,9242
-0.337,10587
-0.26,10880
-0.0178,6490
-0.000448,5292
0.0262,4449
0.294,1051
-0.309,9631
-0.0693,8649
0.00963,4871
-0.252,9663
-0.0161,6110
0.275,1180
-0.08,6929
-0.144,8053
0.0481,3404
-0.0244,5824
-0.121,6965
0.91,145
0.015,4822
0.0536,2984
-0.249,10890
0.0467,4405
-0.0177,5498
0.057,3315
-0.0542,7823
-0.23,10238
0.0295,4341
-0.0932,8190
-0.106,8801
0.442,92
-0.39,8985
-0.328,10998
0.233,574
0.103,3051
-0.236,9335
0.00935,5033
0.0599,3532
0.33,186
0.0186,4827
0.353,141
-0.296,10731
-0.383,9601
0.0327,4629
0.177,725
-0.0779,7932
-0.19,9863
0.00726,5209
-0.02,5531
-0.268,9166
-0.228,10911
-0.0446,7609
-0.319,10528
-0.22,9578
0.2,2273
-0.0578,6222
-0.0831,6871
0.222,414
0.388,1118
-0.0279,6875
0.0668,3592
0.0194,4825
0.124,1904
-0.0229,6055
-0.217,10340
0.219,1531
0.0736,4002
-0.305,9972
0.0112,5012
0.401,215
-0.0856,6987
-0.216,10013
-0.00537,4863
-0.294,9906
-0.0238,6436
0.102,1676
0.049,4442
-0.00615,5693
0.0246,4402
-0.142,8297
-0.163,9201
-0.0745,8298
-0.0668,7918
0.00938,5129
0.00812,5090
-0.48,10072
0.0901,2245
0.18,1858
-0.255,9803
-0.0751,6940
0.166,2433
-0.16,8483
0.137,1503
-0.202,10247
-0.0509,6035
0.0785,2731
0.302,2945
-0.395,9698
0.157,953
-0.111,8722
-0.55,10929
0.0834,2518
0.228,1908
0.236,1251
0.186,1492
-0.00425,5732
-0.336,10147
-0.213,9739
-0.0469,7261
5.77e-05,5196
0.0134,4932
-0.143,9970
0.507,2595
0.246,1103
0.492,1046
0.0164,4861
0.0258,4593
0.269,704
-0.334,10087
-0.195,9639
-0.133,8824
-0.0481,6921
-0.263,10352
0.0599,2527
0.235,895
-0.186,9660
0.139,1452
-0.173,10455
0.037,4684
-0.227,10767
-0.0641,6902
0.123,3414
0.000838,5178
-0.0916,8522
0.0665,1859
0.0802,2834
0.0399,3921
-0.176,8864
-0.385,9319
-0.0423,7272
0.239,570
0.288,907
0.0468,4101
0.206,1218
-0.0602,7482
-0.135,10714
-0.146,9701
-0.102,8403
-0.186,8687
0.0119,5048
0.667,828
0.0613,3456
0.117,2021
-0.0315,7374
0.0547,3540
0.151,2283
0.218,2220
0.0276,4534
-0.32,10467
0.371,423
0.136,1259
-0.0561,6285
-0.00211,5046
0.206,2659
-0.106,9288
0.062,3719
0.0167,5010
0.134,3541
-0.382,10951
0.491,155
-0.183,10184
-0.0683,8142
-0.288,10785
0.0289,4701
-0.0656,6502
0.0351,4302
-0.0898,9868
-0.0553,7350
-0.0539,6687
0.0992,3308
-0.327,9976
-0.33,9871
-0.0669,6955
-0.0862,8568
0.0291,3933
-0.127,7617
-0.0618,6104
0.165,1911
0.15,1232
-0.0529,7686
-0.0766,8550
-0.193,9425
0.167,2123
0.245,1265
0.312,1195
-0.0753,9206
-0.0815,7092
0.0338,4538
0.463,847
-0.00441,5014
-0.145,7885
-0.298,6042
-0.257,8590
-0.101,8312
-0.0264,5775
0.24,1331
0.0652,3094
-0.154,9116
0.102,3307
