coef,rank
0.0458,4459
-0.129,8267
-0.00998,5824
0.0126,4870
-0.348,6411
-0.403,8627
-0.0705,5762
0.105,2821
0.202,539
-0.155,8556
0.0348,4379
0.141,2835
-0.207,10117
0.0327,3998
0.0492,4049
-0.316,10632
-0.325,8737
-0.509,10120
-0.086,9080
-0.0152,6473
0.102,2654
-0.0538,7063
-0.0785,6131
0.0227,4960
-0.0317,6295
0.245,1132
-0.112,7018
-0.195,8940
-0.0579,7821
0.439,2073
0.099,3209
0.0397,4090
-0.167,8818
0.369,1478
-0.142,8178
0.372,860
-0.12,8793
0.0094,4884
0.143,1989
0.285,1610
0.0715,3820
-0.328,10515
0.152,1262
-0.118,10471
0.192,1773
0.108,2491
-0.206,9181
0.0804,3628
-0.0443,7541
0.0524,2776
-0.269,9827
-0.0467,6940
-0.0876,6954
-0.157,8379
-0.0803,6763
-0.118,9549
-0.0332,6098
0.0106,4798
0.556,760
-0.0599,6136
-0.0297,6721
-0.0497,7353
-0.146,8045
-0.197,9009
0.00888,5063
0.0498,3038
0.316,378
-0.12,9538
0.249,614
-0.039,6726
-0.0607,6777
0.266,2705
0.0476,3717
0.0217,4660
-0.0471,6665
0.0213,4794
0.105,3850
0.0804,2958
0.0891,2858
-0.0439,6895
0.0292,4811
0.0107,5020
0.355,1832
-0.0561,5979
0.0809,2638
0.224,487
0.386,170
-0.242,9264
0.139,2253
0.122,3233
-0.0874,8786
-0.0825,9125
0.247,1208
0.0344,4477
-0.104,6840
-0.0391,5851
0.818,15
0.136,1447
0.113,3536
-0.0322,7037
0.127,2426
0.0153,4915
-0.0902,8370
0.0286,4380
-0.14,9125
0.234,1351
0.0265,4685
-0.15,7981
0.0707,3820
-0.127,8187
0.182,1916
-0.318,10819
0.497,1630
0.368,898
0.0889,2541
0.241,107
-0.0443,6218
-0.29,10833
0.0317,4130
-0.189,9090
-0.161,9173
0.0795,2394
-0.122,9438
0.103,2009
-0.00379,5297
0.249,2633
0.0486,3532
-0.132,8197
-0.253,9785
0.204,1303
0.414,486
-0.0223,5691
-0.0208,6127
-0.161,9690
0.273,1550
0.0668,3067
-0.248,5808
-0.0554,5909
0.0209,4438
-0.0267,6285
-0.168,8153
0.219,333
0.125,3199
-0.194,9573
0.0499,4024
0.0228,4937
-0.233,8950
-0.205,9638
-0.0825,8379
-0.141,7644
0.015,4877
0.00268,5334
-0.0956,4927
-0.114,7634
-0.135,6763
0.114,2843
0.053,3707
0.0231,4850
-0.337,10109
0.0219,4795
-0.166,9432
0.0641,3489
-0.0661,7010
-0.066,8623
-0.278,10542
-0.105,8167
0.175,907
-0.12,9483
-0.169,9063
-0.099,8728
-0.231,9990
0.312,1630
-0.114,8983
-0.0174,5851
-0.0422,7835
-0.035,6241
-0.0659,7570
0.296,1005
0.117,4078
-0.036,6984
-0.204,10363
-0.146,8664
-0.0535,6730
-0.105,8154
0.0323,3848
0.0971,858
-0.134,9466
-0.173,9825
-0.305,10211
0.00837,5165
-0.0486,5311
0.0179,4736
-0.113,8952
-0.101,10080
-0.0084,5523
0.123,2698
0.0911,3569
0.0941,2651
-0.17,8691
-0.0147,5582
-0.0395,6960
0.00511,5036
-0.0189,5530
-0.489,10686
-0.0386,6844
-0.114,8571
-0.0386,6262
0.863,222
-0.0391,6344
0.209,1723
-0.0583,7182
-0.0853,8731
0.0315,4406
-0.471,10971
0.0415,4475
-0.14,8026
0.014,4776
0.0479,3878
-0.0758,7219
0.0402,4512
-0.293,9636
0.134,3137
0.0918,3421
0.175,650
-0.139,10346
0.0462,4338
-0.224,8780
0.152,2125
-0.0402,6864
-0.119,9770
-0.0477,7472
0.0622,3940
0.146,2534
0.272,1045
0.0468,4423
0.0916,1390
0.327,454
0.145,2447
0.806,134
0.0109,4662
0.102,3271
-0.139,4597
-0.289,8960
0.0617,3611
-0.015,5486
-0.202,9529
-0.0205,6111
0.0341,4628
0.479,179
0.29,450
-0.0335,5503
-0.0103,5411
0.0502,3409
0.0598,2984
0.533,636
-0.0963,6507
-0.172,7508
-0.283,7762
0.0717,3426
-0.248,10640
-0.243,10612
0.133,2172
-0.209,9731
-0.0236,5946
-0.0559,7024
-0.0978,7618
0.395,894
0.0843,3326
-0.106,8236
0.509,314
-0.0534,6966
0.0188,4533
-0.0608,6862
-0.0165,5568
0.209,1942
-0.113,8209
-0.0549,6619
0.39,489
0.0603,4046
0.0524,4075
0.125,3217
-0.125,8835
-0.0948,7961
-0.255,9927
-0.0341,6058
0.0625,4113
-0.221,9189
0.215,1275
-0.242,10980
0.21,1173
-0.0341,5785
-0.332,10213
0.561,134
-0.0769,6789
0.152,897
-0.219,10725
0.225,2435
-0.13,8537
-0.221,8715
-0.42,10473
-0.143,8949
-0.233,10627
0.207,982
0.171,1945
-0.197,9602
0.0768,3848
0.0444,3214
0.12,2807
-0.196,10129
0.108,3690
-0.344,10057
0.0212,4326
-0.0167,5966
0.256,542
-0.122,8681
0.347,1755
-0.0238,5813
-0.235,9772
-0.0469,5940
0.101,3623
0.122,3393
-0.0669,7205
-0.165,8009
0.271,2656
0.0721,2679
-0.134,8904
0.169,1166
-0.156,8952
0.0151,4545
0.0514,4519
-0.0204,6141
0.0866,2775
-0.134,7664
-0.284,9746
-0.0769,7649
-0.103,6322
-0.194,10419
-0.0273,6466
0.0529,3648
-0.0402,6687
-0.0484,6851
-0.37,10595
-0.179,10468
-0.296,9278
0.403,918
-0.0508,7728
-0.041,7181
-0.378,10808
-0.121,8967
0.173,1639
-0.0248,4643
-0.288,7751
0.0272,3431
-0.533,8784
0.4,1380
0.66,1332
0.416,647
0.0587,4223
-0.135,8718
-0.232,10075
-0.141,10440
0.0617,2221
1.49,383
0.361,638
0.432,318
0.0977,3638
0.136,2580
0.0728,2506
-0.337,9002
0.171,2090
0.0354,4642
-0.216,9702
-0.0241,5649
-0.143,9663
-0.121,8254
-0.141,7476
-0.0723,6272
-0.369,9028
0.0145,5026
0.0178,4740
0.46,596
0.0923,1537
0.126,2887
0.0936,4144
0.222,734
0.0774,3158
-0.181,9754
-0.0967,7412
-0.332,8471
-0.294,10216
-0.0326,6363
0.286,378
0.0645,3936
-0.181,7712
-0.229,9974
-0.224,8071
0.0638,3788
0.255,259
-0.228,8117
-0.19,9957
0.421,297
0.0239,4658
-0.0201,5806
-0.187,10081
0.51,87
0.288,1033
0.369,626
0.295,2422
-0.0391,9060
-0.15,9514
-0.0837,7102
-0.149,7965
-0.141,8120
-0.0989,7193
-0.0859,8517
-0.0131,6232
-0.0323,9255
-0.284,10532
-0.282,8705
-0.14,8668
-0.186,7526
0.0362,3726
-0.0115,5434
-0.144,8151
-0.0479,6023
0.431,1514
0.295,1048
-0.0712,8023
0.284,572
-0.0238,5710
0.629,73
0.0123,5205
0.0171,4402
0.0794,3036
-0.0753,7191
0.217,1220
0.144,2779
0.0815,3045
-0.0662,6333
-0.158,10012
-0.0244,6550
-0.384,6904
0.0272,4943
0.0482,4305
-0.0108,5322
0.0477,3727
0.00674,5382
0.0058,5261
-0.152,6739
-0.0689,6406
-0.131,6885
0.128,2108
-0.159,7366
-0.0395,5990
-0.0247,5977
-0.113,6998
-0.0993,7785
0.0756,2354
0.0239,4323
-0.0279,5961
-0.0354,6059
0.0211,4949
0.117,2145
-0.0474,7208
-0.339,10129
-0.0222,5712
0.455,519
-0.17,9337
-0.302,10025
-0.096,7832
0.269,372
-0.273,9902
0.177,1956
-0.118,9012
-0.0562,6773
0.076,3173
0.114,2896
0.0616,3422
-0.15,7674
-0.127,8733
-0.135,8927
-0.0398,6770
0.215,2154
0.137,1572
-0.138,8040
0.101,3665
0.0611,3600
-0.138,9388
-0.13,9505
0.106,2323
-0.126,9108
-0.219,10067
0.225,956
0.059,1019
-0.171,9631
0.0139,4914
0.133,3484
0.736,306
-0.02,6208
-0.116,8803
-0.0503,7272
-0.0928,7445
0.17,1908
-0.277,7965
-0.208,9861
0.0617,2412
0.112,1626
0.758,225
-0.14,8656
-0.495,10110
0.0147,5044
-0.136,7300
-0.174,10556
0.46,1373
-0.219,7581
-0.145,7118
-0.469,10440
-0.125,9758
0.241,340
0.171,1052
0.13,1452
0.101,3595
0.234,1082
0.201,470
0.0979,3157
-0.237,7274
0.116,3405
-0.257,9335
-0.118,5692
0.0847,2558
-0.0934,8097
0.0564,3796
-0.146,8814
-0.00386,5290
0.523,372
-0.0412,6592
0.000466,5475
0.864,1526
-0.269,7092
-0.99,10895
-0.428,8436
-0.0561,7128
-0.157,7992
-0.0952,8139
-0.12,7856
-0.00453,5265
-0.121,8324
-0.0928,7900
-0.0733,7043
-0.0793,7547
-0.228,10221
0.374,1851
0.268,3126
0.0369,4124
-0.0398,6029
-0.226,9671
-0.178,9181
0.21,1437
0.149,2250
0.0756,3377
-0.186,8806
-0.103,8046
0.17,1157
0.0145,4833
0.0228,4877
0.0268,4523
0.00584,5211
0.0509,4110
-0.125,8793
0.0931,3702
0.145,1087
0.00999,5147
0.253,1676
-0.301,10628
-0.27,10380
0.0683,3658
-0.145,8565
0.0299,4463
0.0341,3806
-0.223,7860
-0.174,9462
0.122,2823
0.683,1108
-0.043,6776
-0.0126,5589
0.487,579
-0.105,8819
0.00662,5174
0.226,1413
-0.176,10076
0.224,603
0.0618,3885
-0.105,8697
0.712,213
-0.305,9412
-0.0467,7885
0.359,499
0.156,2656
-0.0694,7168
-0.0293,5901
0.196,1265
-0.0345,6429
-0.0359,6448
-0.218,9245
0.492,417
0.223,1158
0.085,3973
0.0247,4437
-0.0627,7709
-0.259,8720
0.218,167
-0.11,6566
0.644,934
-0.0455,6833
-0.0977,8432
-0.0983,7547
0.00403,4989
-0.0602,5943
-0.0452,6315
0.194,1109
0.112,1966
-0.0739,8622
-0.0617,7372
0.125,2570
0.118,2696
-0.289,10895
0.244,1808
0.00287,5029
0.251,2017
-0.506,9031
0.258,452
0.0159,4592
0.117,1167
0.221,598
0.11,3433
0.247,1334
0.149,994
0.017,4501
-0.0897,8078
-0.357,10427
-0.144,7922
0.0224,4630
-0.25,9957
-0.299,10471
0.191,2354
0.216,1204
-0.0028,5227
0.0388,4117
0.194,512
-0.16,9751
-0.348,5933
-0.0836,8467
-0.36,9828
-0.195,8571
-0.00881,6099
0.219,3008
1.02,754
-0.31,5651
-0.336,9136
0.884,496
-0.251,8975
0.0265,4897
0.00145,5611
-0.0979,8249
0.123,2076
0.0278,3814
-0.171,8694
0.138,3332
-0.311,8723
0.0434,4037
0.0455,4019
0.0108,4942
-0.223,9351
0.12,2256
0.32,1237
0.0445,3780
-0.17,9424
-0.358,10832
0.0279,4347
-0.0133,5532
-0.231,9880
0.0707,3931
0.0743,2908
0.103,2446
-0.059,6017
-0.0992,8746
-0.188,8957
0.315,1299
0.0318,4468
0.443,444
0.0694,3924
0.345,2017
0.0989,3133
0.289,1369
-0.102,8063
0.0336,4273
-0.197,8735
-0.113,7535
-0.299,10067
-0.402,10617
0.264,1368
0.239,719
-0.184,9352
-0.219,6847
-0.0241,5650
0.0413,4528
0.0729,3344
-0.121,8591
-0.13,9529
0.564,6
-0.194,6859
-0.476,6789
-0.0318,6452
-0.00913,5774
-0.261,10938
-0.121,7946
0.15,513
-0.419,10472
0.0117,4884
-0.0817,8522
0.569,470
0.0342,4555
0.0355,4268
-0.109,7712
0.378,496
0.0709,3183
0.367,1004
-0.00436,5269
1.34,215
0.226,2293
-0.0807,8247
0.0408,4754
-0.401,10850
-0.166,9779
0.249,764
-0.351,9413
-0.206,9569
-0.0605,6988
-0.0924,7757
-0.013,5693
1.28,70
-0.134,5602
0.0479,3983
-0.0534,7312
-0.11,8418
0.0361,4353
0.474,111
-0.0328,5527
6.41e-05,5312
0.0706,3366
-0.0242,5711
-0.311,9491
0.0502,4108
0.175,992
-0.00506,5752
0.0602,2738
-0.19,9724
0.184,2521
0.019,4682
0.0292,4588
0.0375,4754
-0.181,10482
-0.238,9985
-0.126,7887
-0.0358,6170
-0.101,6437
0.149,2209
-0.286,10183
-0.187,9415
-0.299,8950
0.219,2067
0.0129,4865
0.122,1593
-0.158,7756
0.104,3847
0.165,2526
-0.0375,5895
-0.0517,6454
0.112,2233
-0.217,9642
0.00138,5250
0.0177,4723
0.633,993
0.0496,4619
-0.0377,6350
-0.0375,7238
-0.0481,6705
0.108,3417
-0.103,8161
-0.0343,5522
0.0579,3452
-0.0204,5953
-0.00999,6604
-0.0143,7716
-0.000969,5496
0.0093,3633
-0.0653,11015
-1.77,10794
-0.254,10165
-0.238,6783
2,296
0.685,1956
0.145,2178
-0.409,10819
0.319,2382
0.552,132
0.0718,4178
-0.25,10804
-0.307,10196
-0.344,6186
-0.00305,5485
0.114,3235
0.0345,3590
0.188,1212
0.185,1627
-0.00554,5462
-0.121,7362
-0.215,7580
0.434,473
0.122,2354
0.316,915
-0.0911,4929
0.0608,4235
0.294,1167
-0.374,6361
0.0435,4405
0.0154,5123
-0.178,8451
0.0832,3503
0.0383,4198
-0.0794,8309
0.0242,4851
-0.0485,5932
-0.097,8078
-0.0343,5342
0.381,287
0.155,1066
0.108,771
-0.0111,5399
-0.0391,6399
0.253,1382
0.264,1960
-0.116,7756
-0.107,8275
0.037,4540
-0.247,10236
0.156,2326
-0.235,10811
0.101,2225
0.299,425
0.133,2196
0.00378,5247
0.267,1645
0.209,2853
-0.138,8793
-0.135,8979
-0.0675,4430
0.151,1518
-0.0497,5918
-0.154,8337
0.414,46
-0.192,9325
-0.0979,6590
-0.0765,8377
-0.187,7926
-0.0619,6956
-0.0974,8589
0.000455,5238
-0.277,10853
0.00861,4975
0.135,2517
-0.262,8830
0.18,608
0.174,703
0.168,3615
0.168,2349
-0.0344,6416
0.131,2741
-0.04,6430
0.0459,3867
-0.804,8553
-0.242,5677
-0.0095,5658
-0.611,10247
0.101,2745
-0.0598,8015
-0.288,9414
0.0707,3274
-0.0294,5821
0.105,1348
0.025,4860
0.0293,4363
-0.282,7385
-0.576,8663
-0.00561,4324
0.101,3465
0.304,953
0.276,846
-0.586,10372
-0.00972,5736
-0.166,10008
0.149,1933
0.0587,3593
0.386,327
-0.255,10055
0.0737,3514
-0.103,8141
-0.0899,7950
0.105,2700
-0.00425,5366
-0.0241,5909
-0.097,6922
0.147,2411
-0.261,10150
0.155,2248
-0.151,6899
-0.349,10047
0.00394,5342
0.0736,3668
0.131,2111
0.0604,3736
0.0621,4103
-0.0105,5562
-0.00923,5410
0.129,1518
-0.0909,8285
0.0949,893
-0.218,9754
-0.119,8431
0.0368,4255
0.126,799
-0.122,8004
-0.0632,8066
-0.496,9985
-0.0431,5791
0.235,2206
0.481,281
-0.0956,9138
-0.243,10032
-0.00951,4849
0.317,392
0.103,2569
0.0249,4824
-0.199,10512
0.00854,5132
-0.229,8402
-0.0518,6596
-0.0128,5447
0.0451,4484
0.0561,2944
0.116,2122
-0.267,9155
0.0922,2906
-0.148,7681
-0.356,9332
-0.329,10184
-0.0169,5846
-0.134,8278
0.427,218
0.0569,3372
-0.149,8198
-0.167,7148
-0.193,8368
0.138,3426
0.0808,2688
-0.251,10234
-0.0876,8259
0.59,451
-0.217,7409
-0.519,8143
0.0876,2160
-0.0847,7877
-0.286,8378
0.0506,4036
0.163,3117
-0.0333,6579
-0.00259,5718
0.0206,4441
0.0956,1452
0.3,1225
0.116,1698
