coef,rank
0.376,1049
0.13,2595
0.214,508
0.164,2846
0.347,2628
1.48,176
-0.283,8132
0.0691,3608
0.00362,5019
0.157,1994
-0.2,9301
0.305,1107
0.0322,4278
1.61e-05,5332
0.144,1800
0.19,1928
-0.25,7935
-0.481,9941
0.215,181
0.0092,5117
0.0298,4411
0.143,1486
-0.137,6988
0.331,1541
0.161,1701
0.0783,3488
0.114,3306
-0.0648,6390
0.0245,4674
-0.162,5983
0.173,2012
-0.0912,8128
-0.294,10402
0.000986,4970
0.98,0
0.0447,4481
0.109,2643
0.00626,5008
0.0629,3594
-0.262,9120
-0.407,10893
0.0779,3621
-0.0205,6032
0.0506,2700
0.161,2163
0.35,162
-0.027,5962
-0.33,9856
-0.116,10061
-0.111,10225
0.0677,4050
-0.17,9772
-0.0686,6583
-0.00352,5328
-0.0643,6410
-0.0481,7244
-0.172,9568
-0.0793,6312
-0.304,9038
-0.0547,6034
-0.0926,9166
0.0689,3343
0.531,222
0.0108,4915
-0.0864,8619
-0.0469,7474
-0.0361,6289
0.00373,5366
0.0129,5086
-0.061,7454
0.11,2735
-0.0286,5222
-0.0469,6645
0.0717,3210
0.19,1612
-0.188,8656
0.615,510
-0.178,10223
-0.12,8701
0.0812,2926
-0.00573,5853
-0.145,8941
-0.112,6615
-0.0836,6377
0.0559,3431
-0.22,10651
0.338,321
-0.168,8209
-0.042,6071
-0.264,9124
0.0383,3946
-0.00445,5629
0.0287,4650
0.00299,5122
0.126,3225
-0.174,8239
-0.236,9479
-0.197,10509
-0.124,6941
0.204,358
-0.246,10272
-0.3,10514
-0.0866,8251
-0.00566,5454
0.149,1614
0.0591,4064
-0.203,8072
0.0541,4267
-0.0332,5963
0.358,338
-0.161,8505
0.00869,4964
-0.457,9217
0.0164,4965
0.12,1808
-0.0704,8548
-0.177,8545
-0.226,10426
-0.00465,5514
-0.125,7980
-0.0838,7440
0.202,344
0.0468,3692
-0.0272,6505
-0.334,10007
0.255,2584
0.0959,2105
0.000499,5301
0.186,2298
-0.0182,5538
-0.144,8189
0.313,1021
0.103,2174
-0.13,9046
-0.146,7686
0.353,48
-0.353,6530
-0.615,10794
0.021,4435
0.00621,5209
-0.0233,5845
-0.00204,5659
0.124,3222
-0.225,9974
-0.0681,7047
-0.00167,5657
-0.154,7763
0.327,527
-0.152,10001
-0.0403,5905
0.233,527
-0.0252,6418
5.45,50
-0.141,8251
-0.154,6988
-0.0634,6733
-0.133,9469
-0.18,9609
0.186,2553
0.26,823
-0.0893,7833
0.207,877
-0.0242,5988
0.0471,3012
-0.198,9660
0.322,534
-0.0201,6093
-0.0152,5945
0.175,2157
0.03,4354
0.221,1351
-0.183,7695
0.0543,3401
0.0238,4251
0.106,731
0.276,317
-0.157,9916
0.48,234
-0.0782,6082
0.0542,2871
0.312,221
-0.153,8801
-0.00594,5481
-0.191,9875
-0.142,9870
-0.0289,7005
0.0632,3374
0.0864,2972
0.291,1122
-0.0739,7713
0.254,2753
0.026,4490
-0.12,9133
0.144,431
-0.161,9843
0.153,2250
-0.0787,6072
-0.0365,6565
0.0171,4958
-0.176,8993
0.0515,3422
-0.0398,5936
-0.0802,7319
-0.0623,6227
-0.192,10733
-0.126,8849
0.709,6
-0.445,10083
-0.0524,6710
0.144,2581
-0.227,10631
0.0399,3717
0.201,1109
-0.0305,5913
-0.139,7948
0.253,1145
0.0981,1166
0.0262,4644
0.126,2500
0.117,2977
-0.153,7648
0.192,2449
0.0405,4459
-0.124,9626
0.0249,4120
-0.107,7313
0.829,59
-0.0182,5996
-0.0384,6795
0.143,971
-0.000487,5479
0.0552,4064
-0.116,8314
0.0281,4771
-0.0665,6391
0.00567,5128
0.284,679
-0.14,8161
-0.369,9970
0.026,4317
-0.0108,5353
0.342,2621
-0.0834,6246
-0.0238,6074
-0.0154,5497
-0.255,10152
0.0853,2532
-0.0411,6514
0.0194,4934
-0.274,10671
1.16,984
0.285,1662
-0.0321,6615
-0.0276,6638
-0.222,8465
0.691,313
0.381,1249
-0.726,10786
-0.0182,5922
-0.187,9994
-0.108,8449
0.0897,3071
-0.161,9014
0.0901,3425
-0.0668,7359
-0.0754,7067
-0.371,9995
0.049,4177
0.258,773
-0.523,10953
0.00181,5534
0.305,8
-0.0734,7273
0.317,485
-0.0482,6397
-0.271,10609
-0.0181,5643
0.275,1161
0.0908,3399
0.00737,5081
-0.102,7447
0.123,2237
-0.035,6271
-0.208,9342
-0.17,8990
-0.324,10308
-0.183,8598
0.263,787
0.000254,5505
-0.132,8721
-0.384,10830
-0.239,9254
-0.0621,6523
0.0334,4585
0.061,3133
0.113,1929
-0.205,8192
0.0459,3939
-0.298,9628
-0.0878,6326
-0.0543,6771
0.0627,3323
0.274,465
-0.0775,6780
-0.0767,7262
-0.00576,4997
0.0827,1904
0.13,2660
0.283,373
0.515,564
