coef,rank
-0.15,7514
0.172,1959
0.138,1483
-0.334,9722
-0.998,9972
0.246,3227
-0.255,7819
0.122,2493
-0.212,10624
-0.0572,6372
0.255,1109
-0.354,10441
0.0549,3649
-0.153,10233
0.00922,5255
-0.261,10226
0.224,2824
-0.571,10449
0.0128,4920
-0.0289,7279
0.189,1158
0.00804,5016
-0.596,10834
-0.187,7926
-0.193,9895
0.189,1691
-0.178,8126
-0.0763,6636
-0.131,9789
-0.618,9905
0.123,2794
0.157,1353
0.107,3271
0.236,2434
-0.208,9345
0.0221,4897
0.193,1209
-0.0873,8869
-0.265,10614
-0.023,5374
-0.177,8942
-0.0107,5427
-0.0357,6591
0.133,422
0.0647,3897
-0.183,9653
-0.0142,5666
-0.0248,5261
-0.00111,5327
0.234,30
-0.0919,7063
0.205,1158
-0.144,8026
0.297,989
-0.101,7191
0.0532,3207
-0.249,10534
0.265,1700
-0.315,9167
-0.064,6205
-0.126,10054
0.0352,4377
-0.483,10937
-0.279,10104
-0.129,9757
0.153,530
-0.0323,6190
0.0207,4680
-0.0425,6790
-0.201,10503
0.325,419
1.23,102
-0.132,9043
-0.168,9721
0.128,2545
0.29,1192
-0.274,8579
0.371,50
-0.216,10381
-0.0101,5778
0.0358,4610
-0.174,9455
0.637,556
-0.00911,5240
0.0556,3441
0.0552,3548
0.00562,5339
-0.116,7318
0.279,719
0.171,2649
-0.0861,8756
-0.0378,7296
0.0618,3958
0.0342,4485
0.223,2024
-0.527,10978
-0.264,9804
-0.0927,8502
0.259,2001
0.0131,5062
-0.00063,5267
0.096,3273
0.108,2266
-0.0528,7079
0.132,1866
-0.191,9306
0.0326,4602
0.142,2897
-0.064,6636
-0.104,7672
0.221,1455
-0.0218,5784
0.738,824
-0.00638,5390
0.118,1846
0.00129,5480
0.0377,4657
-0.168,9696
-0.053,7452
-0.0815,7089
0.139,2358
-0.152,10243
-0.109,9170
-0.0218,6298
-0.0371,5847
-0.543,10405
0.0642,3019
0.0274,4659
-0.331,10460
0.0176,4668
-0.0326,5962
-0.397,10863
-0.0826,8206
0.0156,5035
-0.00346,5161
-0.025,6181
-0.323,6342
-0.546,10592
-0.231,10797
-0.135,9240
0.264,1849
-0.191,10725
-0.313,10011
-0.0492,6650
-0.223,10105
0.0505,4149
-0.173,8055
0.03,4560
-0.155,10060
0.662,99
-0.0437,6774
0.0577,3360
-0.19,5402
0.146,2283
-0.321,8938
0.0159,4875
-0.0546,7272
-0.0379,6466
-0.126,7388
-0.0532,6715
0.0439,4249
-0.205,10327
0.197,1633
0.0739,1993
0.0189,4682
0.0622,4136
-0.00584,5590
0.277,103
-0.0881,7482
-0.0554,7398
-0.311,10647
0.0274,4651
-0.0477,6910
0.0367,3808
-0.0027,5494
-0.295,10877
-0.114,9064
0.302,956
-0.518,10265
0.0111,4749
0.323,190
0.269,1047
-0.0399,6375
0.148,2063
0.00958,4720
0.0723,1538
-0.0103,5658
-0.0857,7918
0.19,2081
-0.0108,5765
1.12,177
0.121,1998
-0.166,10020
0.00358,5372
-0.0564,7102
-0.281,10302
-0.25,8554
0.0617,3522
-0.0929,7206
0.129,2740
-0.114,9340
0.0417,4327
0.0351,4029
-0.214,8390
-0.0232,6171
0.591,5
0.257,1062
-0.578,10710
0.133,2452
-0.0896,7395
0.0378,4028
0.115,1456
0.0427,4103
-0.0313,5931
0.148,2740
0.331,619
0.149,334
-0.0225,6262
0.362,280
-0.0882,7463
-0.273,9432
-0.174,7877
0.103,3196
-0.037,6730
0.0375,3572
-0.283,9913
-0.305,9732
-0.0441,6708
-0.0219,6202
0.0807,2492
-0.0302,6773
-0.144,8573
-0.0834,7603
0.109,3178
0.0596,4210
0.0978,1217
0.137,2282
0.366,422
-0.486,10650
-0.266,10129
-0.226,9291
-0.325,6261
-0.228,8194
0.0939,2851
0.0696,3417
-0.0392,6341
0.078,2741
-0.2,9814
0.118,3036
-0.101,8001
-0.185,6435
0.248,1958
0.122,1398
0.0953,1837
-0.406,10321
-0.0991,6552
-0.233,8313
0.162,3160
0.417,78
0.0794,2927
-0.249,10650
-0.28,10771
0.0827,3760
-0.205,9631
-0.128,8888
0.112,2777
-0.376,10032
-0.12,8647
0.0781,3568
0.0881,3674
0.279,702
-0.142,10568
0.131,2000
0.236,1105
0.283,1173
0.211,1028
0.161,1749
0.252,1372
-0.181,9250
0.071,3671
0.0355,4745
0.305,335
-0.0301,6122
0.103,3568
-0.0419,6244
-0.389,10687
0.0362,4420
-0.0516,6726
-0.0212,6479
-0.0977,7948
0.25,1147
0.217,2030
-0.336,10420
0.00737,5070
0.149,942
0.268,186
-0.315,9506
0.0924,2884
-0.172,7998
0.244,1884
0.15,1835
-0.0712,7498
-0.11,8337
0.463,181
0.0278,4670
0.0291,4507
-0.241,10993
0.0516,4059
0.0576,3644
-0.0071,5290
-0.137,7258
-0.222,10622
-0.012,5779
-0.123,8847
0.0467,4255
0.205,2849
0.0116,5178
-0.137,8248
-0.327,10059
0.109,3510
-0.145,7760
0.315,467
0.174,2379
0.515,1290
-0.0199,6102
-0.118,8529
-0.151,9594
-0.028,5868
0.0126,4655
0.569,552
-0.0626,7875
-0.0461,6937
-0.163,8134
-0.0254,5553
0.0789,3129
-0.0874,6118
0.128,1626
-0.144,9976
-0.0757,7941
0.0969,2418
-0.0829,7768
-0.398,10731
-0.0399,6851
-0.0101,5309
-0.193,7950
0.191,225
