coef,rank
0.37,1078
-0.244,10051
-0.00125,5494
0.159,2895
0.0651,3818
0.58,1614
-0.32,8493
0.0908,3127
-0.183,10325
0.0403,4134
-0.321,10589
-0.263,9709
0.0015,5169
-0.228,10867
-0.106,8562
0.233,1439
0.0319,4639
-0.232,7431
0.0863,2086
-0.0386,7782
0.152,1678
0.11,2127
0.0143,4818
-0.0863,6525
-0.16,9383
-0.333,10674
0.441,569
-0.0352,5793
0.0179,4928
-0.295,7288
-0.186,9190
0.0916,2668
0.135,2815
-0.129,6659
0.0331,4411
-0.383,10476
0.141,1979
-0.116,9659
0.182,1376
0.336,1236
-0.104,7537
-0.0664,6621
-0.0974,8586
-0.0356,7501
0.0933,3302
0.188,1205
-0.282,10097
-0.202,8142
-0.108,9856
-0.0866,9542
-0.366,10594
0.225,938
0.17,2344
0.0193,4853
-0.334,10524
0.062,2865
0.0606,3407
-0.258,9024
-0.104,6469
0.399,604
0.218,129
0.0879,2818
0.563,175
-0.0524,6258
0.0311,4197
-0.141,10405
-0.026,6010
0.0874,2452
0.0736,3444
0.123,1739
0.312,482
0.129,3748
-0.114,8587
0.296,240
0.0567,4061
-0.0264,5701
-0.175,7401
-0.149,9802
-0.00898,5562
-0.204,10505
0.0685,3715
-0.238,10310
0.116,3913
0.236,2151
-0.104,9207
0.145,1432
0.168,1790
-0.206,8761
-0.234,9875
0.434,682
-0.148,10205
0.0894,1738
-0.083,7080
-0.15,8430
-0.22,8667
-0.198,8613
-0.0494,6189
0.103,2152
0.0974,3715
-0.181,10703
-0.153,8888
-0.121,8001
0.0573,3598
-0.241,10740
0.0719,3188
0.044,4389
-0.334,9638
-0.168,8230
0.134,2752
-0.0171,5641
-0.215,9410
0.054,3898
-0.303,7710
-0.344,10340
-0.22,10783
0.118,1268
-0.149,8125
-0.301,10889
-0.0608,7722
0.168,2280
0.0124,5096
-0.0978,9046
-0.0944,8768
0.0152,4917
-0.119,7206
-0.314,8675
-0.129,9628
0.0348,4481
-0.128,7905
0.0132,4771
-0.14,8114
-0.0418,6114
-0.00684,5662
0.108,2590
-0.214,8722
0.226,460
-0.422,7011
-0.259,8355
-0.146,9818
0.326,135
-0.53,10895
-0.0717,8310
-0.399,10609
0.0872,3497
-0.249,10385
0.0774,3404
-0.174,8083
-0.162,8953
-0.131,9590
0.0692,3981
-0.155,9579
-0.159,10234
-0.646,7811
-0.173,8864
0.738,357
-0.0489,6385
0.0154,4926
-0.197,9858
0.347,1103
0.00314,5238
0.00857,5159
0.183,1183
-0.0388,6331
0.059,2551
0.25,782
0.0254,5039
0.0523,3585
0.0219,4483
0.325,664
0.0893,2502
-0.0228,5908
0.367,1283
-0.159,9950
0.0977,2016
-0.127,10650
0.0895,2589
-0.282,10948
-0.0398,6210
0.113,4107
-0.0262,6541
0.371,79
0.0516,4281
0.117,2586
0.0142,4968
0.0599,2910
-0.0334,7245
-0.131,9396
0.0786,3169
0.0305,4526
-0.235,10636
0.342,2163
-0.0337,6480
0.0947,2536
0.2,72
-0.208,10484
0.245,1203
0.136,3052
0.0458,3972
0.137,2816
-0.423,10946
-0.153,10166
-0.132,7741
0.146,1659
0.0238,4927
0.0533,3127
0.141,1964
-0.143,8548
0.124,3637
-0.149,8955
-0.148,8544
0.232,518
0.131,1108
-0.115,8497
-0.188,8830
-0.0552,6301
0.463,177
-0.087,9784
-0.156,9927
-0.283,10582
-0.221,9772
-0.331,10015
0.342,1157
0.376,411
-0.0711,8036
0.0182,4432
0.387,662
0.281,1645
0.269,766
-0.0871,8407
0.0221,4579
0.0797,2479
0.13,2676
0.11,3141
0.339,609
0.465,464
0.0692,2053
-0.0832,7134
-0.235,9705
0.082,4042
-0.0458,5954
-0.0127,5399
-0.541,8362
-0.101,6490
-0.0169,5868
0.304,459
0.0394,4604
-0.197,10540
0.174,1841
-0.147,8473
-0.265,10613
-0.407,7743
-0.342,10038
-0.0562,7524
-0.0724,8435
0.474,846
0.00511,5168
0.151,3166
-0.449,9428
-0.0888,7898
-0.0332,6245
-0.169,9747
0.248,625
-0.18,9327
0.0291,4707
-0.0895,7956
-0.096,7576
-0.454,10526
-0.102,8222
-0.241,10409
0.278,1438
-0.171,9478
-0.0619,8426
0.0872,2871
0.344,364
-0.0158,5739
-0.122,8445
-0.0905,7532
0.0251,4639
-0.0955,7594
-0.105,7649
-0.309,10336
0.111,2469
0.0807,3020
0.34,819
-0.214,9685
-0.131,7772
0.284,1109
-0.251,10375
-0.0292,6837
0.111,2695
-0.181,8825
-0.242,9289
0.664,47
-0.191,8899
-0.043,7441
-0.058,7452
-0.225,8493
-0.0607,6836
0.139,3054
0.0115,4688
0.0563,3776
-0.0773,7712
-0.0445,6625
-0.124,7785
0.147,2226
-0.258,8671
-0.115,9716
-0.157,8297
-0.104,8443
0.286,1770
0.2,2280
0.337,70
-0.0771,8262
0.382,94
-0.17,9583
0.364,1651
-0.173,8281
0.123,3034
0.0717,3927
-0.148,7569
-0.323,10050
-0.198,9827
0.51,245
-0.258,8110
-0.0246,6266
0.174,1598
0.0947,2547
-0.0308,5936
0.00103,5126
0.487,845
-0.0222,6213
0.0198,4755
0.0696,4080
-0.321,10106
-0.0453,6712
-0.319,9130
0.0345,4089
0.0706,2911
0.106,2220
0.246,373
-0.248,10525
0.0869,3584
-0.0588,7544
-0.339,9729
0.406,899
-0.00804,5724
0.05,3194
0.749,11
0.03,4291
-0.147,9005
0.0438,4261
-0.409,8938
-0.738,8645
0.123,3602
0.162,3272
0.351,2526
-0.323,10320
0.256,1312
0.0897,3191
0.0546,3798
-0.0489,7769
-0.152,10650
-0.633,9301
-0.294,10190
0.0572,4032
-0.199,9014
-0.261,10400
-0.138,10187
0.431,1074
0.0323,4594
0.149,2059
-0.248,10110
0.412,602
0.0654,3153
-0.0764,7264
0.15,2726
-0.249,9221
-0.0764,5923
-0.0647,6838
-0.0901,8437
-0.225,8581
0.0271,4030
-0.149,8213
-0.0599,5790
-0.267,10797
0.219,813
-0.036,6293
-0.279,10350
-0.236,7335
0.42,333
0.136,1462
-0.242,10565
0.434,113
-0.366,9957
-0.214,9802
-0.238,8268
-0.0749,7106
-0.194,10473
0.162,3226
0.0787,3208
0.0453,4251
0.231,969
-0.162,9372
-0.00031,5289
-0.291,10520
-0.293,10097
0.165,2437
-0.62,10607
-0.0451,9425
-0.187,10144
-0.16,8654
1.05,10
0.21,1765
0.053,4144
-0.209,10725
-0.0625,9088
0.0593,472
0.158,1926
0.721,401
-0.051,6481
-0.0339,5455
-0.158,10480
-0.0764,6696
0.214,1624
0.234,1500
0.296,2341
-0.109,7607
-0.0253,6426
0.00778,4821
-0.451,10809
-0.113,7413
0.202,1555
0.00624,4813
-0.136,9510
-0.274,10393
-0.261,10355
-0.13,7839
-0.0279,6281
-0.23,8978
-0.103,8846
-0.0084,5835
-0.46,7825
-0.379,9908
-0.101,7202
-0.146,7126
0.0799,2719
-0.146,8455
-0.07,6685
-0.124,6383
-0.248,9371
0.449,896
-0.0623,7389
-0.0913,6353
0.361,1190
0.0834,3121
-0.082,6537
-0.181,9396
0.254,91
0.232,80
-0.0401,6234
-0.124,7934
-0.167,9417
-0.146,9316
0.0631,3101
0.239,1938
0.0158,5016
-0.023,5658
-0.157,9113
0.0278,4775
0.026,4517
0.0344,4361
-0.374,10670
-0.444,10953
-0.0876,8166
0.508,22
-0.155,9052
-0.264,10514
-0.0717,7263
-0.216,8553
0.219,671
0.0322,4622
0.0286,4249
0.00414,4829
-0.171,10217
-0.185,8843
-0.221,8836
-0.216,10241
0.0845,2836
0.101,2201
-0.0441,6568
-0.149,9595
-0.101,7950
0.0237,4690
-0.0205,7640
0.123,2492
0.166,950
0.417,1183
-0.188,7318
-0.0131,6010
-0.0324,6391
-0.081,8321
-0.216,9803
-0.25,9905
0.287,2666
-0.269,10482
0.114,972
0.0165,4608
-0.387,9780
0.0908,3397
-0.265,7961
0.43,361
0.168,2512
0.0918,2216
-0.459,9797
-0.184,7169
-0.119,6750
-0.179,7629
-0.0794,8378
0.0209,4668
-0.206,10583
0.101,2065
0.228,2152
0.161,1950
0.0661,2927
-0.177,9320
-0.0435,5251
-0.225,8730
0.0792,4240
0.438,2296
-0.0948,8625
0.0498,4096
0.278,783
-0.143,8761
0.0263,4488
0.126,3422
0.0282,4198
-0.143,10519
-0.234,6215
