coef,rank
0.0914,3833
-0.119,8064
-0.0565,7434
-0.203,8177
0.177,3239
1.44,207
0.272,2607
0.0308,4568
-0.137,9494
-0.179,8972
-0.0965,7310
0.108,3301
0.0851,2884
-0.0223,6237
0.0792,3244
0.556,97
0.326,2061
0.156,3368
0.136,947
-0.123,10532
0.27,461
-0.302,10967
0.276,1869
0.242,2256
-0.124,8670
-0.324,10620
0.195,2248
0.0513,4029
0.0376,4145
0.938,661
0.312,671
0.129,1851
-0.0642,6745
-0.0263,5326
-0.0567,6340
0.0518,4359
-0.139,9185
-0.0481,7389
-0.258,10564
0.458,631
0.126,2845
0.286,960
0.0686,3129
0.0388,3280
0.0422,4333
-0.227,10267
-0.0288,5990
0.128,2969
0.0204,4170
0.0141,4621
-0.173,8559
-0.0795,7873
0.033,4542
-0.0292,5857
-0.354,10646
0.0479,3415
-0.0916,7752
-0.339,9998
-0.137,6908
0.0314,4540
0.0808,2091
0.0792,3027
-0.173,8480
-0.0186,5518
0.0554,3368
0.0187,4389
0.0704,3517
-0.152,10192
0.0321,4518
-0.0582,7360
0.0933,3055
-0.605,10374
0.197,842
-0.228,10500
0.0972,3168
0.0962,3482
-0.157,7157
-0.0518,7267
-0.0639,7183
-0.104,8714
-0.245,10667
-0.195,9809
0.156,3471
0.0489,4387
-0.0793,8463
-0.127,9262
-0.148,9133
-0.148,7895
0.261,842
0.302,1411
0.01,5020
0.0249,4171
-0.0583,6548
-0.173,8839
0.526,333
0.172,2512
-0.00408,5281
0.101,2193
-0.32,9602
-0.0148,6281
-0.103,7775
0.229,1316
-0.247,10814
0.103,2303
-0.162,9548
-0.239,9923
-0.0654,6065
0.199,2162
-0.263,9998
0.0441,4262
-0.367,10767
-0.105,7954
0.415,2042
0.144,2976
0.156,1125
0.00246,5429
-0.207,8949
-0.268,10733
0.389,5
0.326,734
-0.266,10497
0.0614,2932
0.00154,5330
-0.0635,7795
0.213,2250
0.581,903
0.158,867
0.153,2224
0.006,5304
-0.0691,6795
-0.0369,6051
-0.041,6103
0.159,1142
-0.344,10993
-0.179,8198
-0.0347,6551
1.03,1449
-0.124,6698
0.0408,3764
0.042,4083
0.0853,4152
-0.138,10072
0.179,2512
0.132,2611
0.0267,4561
0.0512,4129
-0.0952,6768
0.0995,3131
-0.0264,6544
-0.17,8147
0.0223,4645
-0.0293,6556
-0.0742,4803
-0.384,10877
0.0286,4761
-0.0474,6339
-0.00572,5625
-0.0643,7159
0.134,3231
0.335,409
-0.0225,6009
-0.138,9262
0.0903,3418
0.00541,5079
0.166,1732
-0.0219,6196
0.0925,2436
-0.0187,6090
-0.187,9372
0.0674,3128
0.214,1428
0.151,3078
0.0263,4265
0.121,1515
-0.0122,6091
0.114,2094
-0.015,5837
-0.0548,6524
-0.349,8990
-0.0393,7140
-0.234,10638
0.0823,3682
-0.0505,6650
0.537,23
-0.0763,8075
-0.095,10015
