coef,rank
0.125,3404
0.178,1855
-0.111,9076
-0.158,7538
-0.177,5258
1.51,166
-0.49,9935
-0.0146,5842
0.0255,4273
-0.0738,6817
0.0426,4217
0.22,1845
-0.153,9300
0.0954,2026
-0.303,10903
0.4,384
0.487,1180
-0.0893,5714
0.0803,2271
0.125,646
0.0204,4705
-0.26,10841
-0.155,7230
0.287,1852
0.00643,5201
-0.16,8585
0.61,173
0.0215,4645
0.17,838
1.54,128
0.0381,4475
0.141,1649
-0.193,9216
0.351,1573
0.61,41
-0.0849,6864
0.0192,4966
-0.0921,9023
0.161,1694
0.0725,3934
-0.236,9800
0.114,2930
-0.174,10176
0.127,503
0.0349,4489
-0.0131,5546
0.0732,3920
-0.0578,5797
-0.114,10009
-0.0516,8171
0.28,1286
-0.147,9345
0.112,3205
0.0882,3535
0.00962,4777
0.142,955
-3.98e-05,5128
0.205,2241
-0.0142,5266
-0.257,9387
-0.0796,8761
0.0726,3221
-0.151,8108
-0.224,9433
-0.0806,8424
-0.0673,8351
-0.0795,7426
-0.214,10818
-0.0446,6849
-0.0961,8537
0.00738,5037
0.0642,4316
-0.0512,6772
-0.00234,5371
0.094,3242
0.301,1113
-0.444,10196
0.0246,4667
-0.0605,7085
0.0618,3429
-0.0641,7556
0.232,1029
-0.111,6609
0.192,2640
0.0798,2667
0.00886,5014
0.32,385
0.245,1872
0.236,1053
-0.0836,6415
-0.018,6194
-0.135,10385
-0.124,7901
-0.202,9309
-0.0734,6319
-0.427,10769
0.0573,4120
0.235,338
0.773,130
-0.0554,7998
0.0134,4919
-0.112,7781
-0.0533,7229
0.237,468
-0.0106,5507
-0.204,9485
-0.441,10428
0.236,1786
0.0705,3824
-0.153,8704
-0.284,10242
-0.00393,5304
-0.763,10745
0.297,1365
-0.0238,6438
0.123,1170
-0.194,8792
0.192,1299
-0.0687,7999
-0.189,9088
-0.00548,5512
-0.026,6344
0.0924,2296
0.153,1000
-0.342,10061
0.292,2292
-0.0755,8137
0.226,1308
-0.00414,5516
0.018,4655
0.126,3033
-0.286,10201
-0.121,9245
-0.077,7811
0.218,2058
0.0203,4601
-0.735,9040
-0.28,8589
-0.0524,7200
0.0896,2731
0.0249,5083
-0.147,10218
0.231,1874
-0.168,9127
0.109,2723
-0.0954,8283
0.329,968
0.218,1394
-0.212,10721
-0.114,7200
0.0299,4410
0.0421,3884
-1.75,10737
-0.0693,6642
0.228,2773
0.0749,3608
0.0135,4983
0.158,1931
-0.0178,5591
0.24,982
-0.231,10306
-0.205,10319
0.000759,5382
-0.117,10169
-0.187,9490
-0.0651,7256
0.0621,3267
0.0877,2323
0.058,4229
-0.193,10526
-0.0158,5723
-0.347,9738
0.0261,4276
-0.0265,6204
0.0434,2895
-0.16,9544
-0.0832,8125
0.191,2037
0.556,1218
0.0205,4310
0.0177,4986
0.124,2897
0.0561,3886
0.123,2487
-0.116,9269
0.0406,2845
-0.0422,6809
0.0918,2856
-0.18,8586
-0.00623,5607
-0.0764,5566
0.0372,4132
-0.136,9527
-0.0459,8143
-0.0311,6302
-0.0871,7164
0.528,469
-0.18,10013
-0.11,7548
