coef,rank
-0.103,6802
0.283,786
0.172,945
-0.309,9448
0.0206,4056
-0.222,6625
-0.176,6937
0.0911,3117
0.117,1682
0.0334,4266
-0.193,9197
-0.124,7551
0.0306,4318
-0.184,10584
-0.0475,6943
0.25,1279
-0.0153,5187
0.401,1721
0.0106,5019
0.0397,3488
-0.0371,6360
-0.0953,8352
0.185,2736
-0.152,7453
0.0197,4834
-0.135,8092
0.498,395
0.781,4
0.0506,3689
-0.769,10529
-0.093,7426
-0.131,9145
-0.191,9184
0.0804,4010
-0.109,7507
-0.238,9167
-0.0644,7359
0.0509,3203
-0.115,8311
-0.266,9180
0.152,2411
-0.0267,5776
-0.0643,7534
0.0846,1462
-0.206,9445
-0.0335,6097
0.267,1262
0.0952,3419
0.109,1089
-0.0325,7178
-0.249,9617
0.118,2609
-0.0917,7050
-0.147,8209
0.0507,3899
0.108,1578
-0.0943,7819
-0.177,7887
0.713,364
-0.166,8057
-0.0637,8167
0.0242,4777
-0.392,10678
0.277,1096
-0.243,10948
0.221,118
-0.173,9456
0.181,637
-0.153,9505
0.00368,5210
-0.0164,5644
-0.0145,5081
-0.191,10107
0.173,1247
-0.287,10640
-0.133,7687
-0.153,7107
-0.133,9490
0.0596,3591
-0.166,10052
-0.178,10013
0.123,2426
0.191,3134
-0.166,7635
-0.0388,7034
0.0988,2362
0.0863,3313
0.191,2492
-0.0697,6714
-0.268,9163
-0.202,10810
0.0906,1715
0.0732,3728
-0.113,7692
-0.135,7337
-0.221,8945
-0.293,10103
0.106,2079
-0.183,7844
-0.00136,5684
0.164,1869
-0.325,10658
0.146,1521
-0.228,10660
-0.0578,6928
0.247,1225
0.375,1244
-0.28,9763
0.316,841
-0.0142,5580
-0.156,8404
0.256,714
0.773,744
-0.247,9370
0.118,1847
0.00362,5372
0.447,429
0.281,473
0.00775,5035
-0.0947,7366
-0.0738,7186
-0.0556,7587
-0.195,10606
0.0654,3121
0.242,1962
0.676,628
-0.105,9051
0.157,2159
0.197,2142
-0.137,8375
-0.0299,5911
0.0308,4616
0.242,342
0.202,1053
-0.385,10474
-0.147,9745
-0.00876,4275
-0.443,10050
-0.0779,8024
-0.145,9413
0.154,3131
0.0214,4715
-0.211,8852
-0.168,9137
-0.219,10059
0.0188,5049
0.362,775
-0.11,7897
-0.145,9882
0.129,3110
-0.118,8809
0.165,870
-0.664,7899
-0.0303,5741
0.0891,4078
-0.00802,5446
-0.0536,7230
0.0414,4405
-0.29,9657
0.153,2082
-0.186,9760
0.0281,4513
0.0582,4081
0.0343,3602
-0.35,10893
-0.196,9798
0.00544,5199
0.153,969
-0.145,8641
0.0363,4123
0.145,2388
0.426,985
-0.107,8793
-0.0148,5748
0.0104,4688
0.134,1717
-0.0971,8555
-0.161,8598
-0.744,10914
0.00729,4936
0.0912,2900
0.13,2772
0.0121,4981
0.0349,4440
0.0447,3405
-0.0348,7326
0.00537,5136
-0.271,10764
-0.169,8413
0.0687,3290
-0.184,6758
-0.238,10693
-0.0303,6467
0.0964,1261
-0.00813,5513
0.139,2468
-0.208,8008
0.189,977
-0.342,10614
0.285,900
0.0561,3267
-0.226,9301
0.0548,3511
-0.368,10005
0.0149,4623
0.28,439
-0.296,10528
1.1,63
-0.175,9384
-0.253,10066
0.00707,5006
0.0104,4936
-0.0473,6680
0.0535,4233
-0.232,9397
-0.18,8790
0.063,2354
0.258,365
0.1,2955
-0.0575,6759
-0.328,9989
0.125,3258
0.193,1819
-0.0243,6250
-0.0193,6207
0.228,1770
0.767,89
-0.035,6458
0.148,1272
-0.169,10601
0.0703,2780
0.0558,4048
-0.227,10070
0.29,903
0.0631,4148
0.0903,1411
-0.155,8751
0.0331,4555
-0.138,7340
0.159,1973
0.101,3297
-0.39,6878
-0.364,9741
-0.0806,7790
-0.0473,6305
-0.0407,6373
0.0266,4312
-0.0133,5831
-0.267,10188
-0.299,10785
-0.799,9581
0.152,3075
0.14,1104
-0.0296,6734
0.416,1111
-0.142,7106
-0.067,5962
1.53,111
-0.0338,6371
0.0262,4397
0.128,2087
0.0742,3382
-0.0665,7089
-0.0491,6532
0.281,452
0.0252,4620
-0.274,8983
-0.000258,5521
-0.172,9509
-0.368,10437
-0.129,8702
0.00923,4983
-0.14,8937
0.195,1555
-0.265,9959
0.315,336
-0.223,10044
-0.0676,6434
0.0957,3300
-0.178,9028
-0.0668,6756
0.01,5159
0.0602,3558
0.0748,4119
0.12,2769
0.177,2417
-0.107,7198
-0.0137,5784
-0.0397,7282
-0.208,10062
-0.135,7947
0.23,1912
0.114,3253
-0.345,10582
0.165,723
-0.0482,7115
0.0695,4249
0.0158,4708
0.497,519
-0.0638,5936
-0.152,9108
0.0561,3520
0.189,1174
-0.0115,5317
-0.236,10080
-0.124,6699
-0.0184,6088
-0.346,10563
0.315,246
0.218,2386
-0.246,8950
-0.106,8478
-0.203,10780
-0.114,8651
0.108,2768
0.304,2049
-0.0347,5986
0.265,1176
-0.158,7904
0.0597,4185
0.141,3150
0.251,898
-0.275,9617
0.543,1182
0.189,474
-0.0347,6355
0.0787,2951
-0.149,8790
0.131,1034
0.18,2928
0.21,264
0.0073,5155
-0.544,10995
-0.0123,5298
-0.0546,6979
0.309,1936
0.0248,4395
0.0475,3649
-0.0791,8039
0.00576,5175
-0.191,9896
0.0297,4585
0.0294,4278
-0.398,10167
0.0666,4144
0.191,221
-0.115,9704
-0.109,7478
0.0076,5000
0.231,984
-0.745,9463
0.0332,4502
-0.435,6513
-0.574,9065
0.301,2051
-0.11,5669
0.137,3026
0.11,3279
0.0883,3219
0.149,2009
-0.0522,7912
-0.0542,7988
0.667,1783
0.137,2841
-0.0401,6026
0.148,2885
-0.0993,7963
-0.0845,8858
-0.0576,5293
-0.226,9670
-0.053,7044
-0.341,10779
-0.261,9465
-0.0591,7363
0.155,2185
-0.416,10631
0.0251,4653
-0.14,6639
-0.243,10025
-0.0434,6956
0.0531,4330
0.0433,3292
0.258,1255
-0.434,9866
-0.0881,8005
0.167,1424
0.206,968
-0.242,9996
0.837,450
-0.0776,6721
-0.214,10589
-0.081,7623
0.021,4978
-0.277,9018
0.096,3247
0.395,1222
0.327,428
-0.0419,6872
-0.224,8068
-0.115,8583
0.253,1199
0.0508,4006
0.154,1811
0.16,1432
-0.264,10333
-0.195,8842
0.0258,4781
-0.285,8124
-0.0237,7854
0.2,850
-0.0779,6981
-0.407,10634
0.308,889
0.31,971
-0.194,10622
-0.0763,9624
-0.0255,8602
-0.135,8454
-0.552,10664
-0.0748,7093
-0.298,8909
0.0538,3050
-0.0903,6959
0.704,18
0.0266,4520
-0.344,9057
0.206,1891
-0.0535,7429
0.0586,3620
-0.109,7228
0.227,1590
-0.00272,5565
-0.02,5847
0.0386,4259
-0.0564,6723
-0.116,8076
0.142,2798
0.0806,3081
0.0888,3723
0.0898,2770
0.12,1189
-0.607,9241
-0.231,8344
0.194,2088
0.073,4235
0.156,1133
0.0215,5034
-0.209,8999
0.773,414
-0.0831,6697
-0.253,8603
0.151,1661
-0.0983,6450
-0.112,7142
-0.134,8800
-0.219,8506
-0.0976,7746
0.0322,3941
0.102,1521
-0.00684,5479
-0.275,10197
-0.11,8262
0.101,2489
-0.0729,8111
-0.362,10290
-0.165,8471
0.221,2045
-0.238,10142
0.126,3198
-0.248,10406
0.0264,4620
-0.342,10484
-0.236,9668
0.155,1233
0.0566,3724
-0.0905,7552
0.0579,4062
0.00525,4930
-0.123,7316
-0.0466,6498
0.0036,5408
0.114,1774
-0.375,10125
-0.166,10140
-0.115,7576
-0.0976,6833
0.215,912
-0.0272,6265
-0.249,10895
-0.045,6603
0.121,2067
0.0777,3473
-0.0792,7510
0.005,5115
0.0611,3900
-0.207,10648
0.382,1375
-0.145,6787
-0.187,10321
-0.147,9479
0.0644,3172
0.0222,4665
-0.208,9361
0.808,523
-0.0854,7336
-0.141,10497
-0.0602,7527
-0.291,8846
-0.218,9871
-0.0467,5393
-0.121,7637
-0.141,7396
0.0794,2581
-0.0944,5995
-0.327,8801
0.0507,4598
-0.0485,5835
-0.135,9994
0.244,325
0.221,522
-0.168,10062
0.176,2688
-0.0593,6577
0.331,41
-0.161,9070
-0.334,8331
0.288,1567
0.371,1220
1.05,654
0.115,1883
-0.208,10165
-0.239,9898
0.139,2587
0.0361,4274
0.326,1319
0.133,1522
0.0144,4763
-0.198,5878
0.935,725
-0.195,6625
-0.262,7130
-0.0337,6407
-0.17,8191
-0.113,8562
-0.0704,6711
-0.327,10545
-0.179,9396
0.188,1046
-0.354,10783
-0.0498,6823
-0.16,9202
0.0548,4506
0.121,4210
-0.242,10547
0.555,75
0.0629,3653
-0.0239,5624
-0.245,10071
0.149,2253
0.0543,3860
0.0869,3475
0.225,966
0.234,532
0.462,215
0.0944,3336
0.183,976
-0.0741,7764
0.000565,5478
-0.171,9690
0.116,3384
-0.117,9360
-0.194,10245
-0.387,10620
-0.211,9775
0.0717,3745
-0.253,10054
0.0939,3439
-0.0945,7992
0.0634,2755
-0.00651,5117
-0.0502,6577
0.12,2853
-0.536,9407
-0.174,9946
-0.016,5684
-0.114,6810
-0.0521,7293
0.0751,2902
-0.128,8064
0.0146,4904
-0.0515,6980
0.0796,3450
0.0645,3100
0.0514,4370
-0.0399,5867
-0.142,10672
0.0796,3630
-0.159,8073
0.29,494
-0.294,10269
0.123,2355
0.0941,3044
-0.152,9486
-0.157,8290
0.401,738
-0.0943,7851
-0.11,7365
0.186,1035
0.0818,2662
0.245,2063
0.0935,1803
0.0936,3958
-0.0936,5416
0.0185,4917
-0.141,9387
0.204,1677
-0.0762,7235
0.0394,4315
-0.193,9193
0.151,1734
-0.136,9661
0.00156,5287
0.691,1
-0.15,9163
-0.0598,6941
0.0995,2444
-0.38,10494
-0.0118,5586
-0.489,10844
0.277,2956
0.0485,4007
-0.0317,6656
-0.0636,8356
-0.00938,5924
0.184,2357
-0.126,7852
0.0726,2719
0.0871,1473
0.341,117
-0.392,10612
0.142,3027
-0.109,6998
0.0526,4224
-0.286,10392
-0.304,9953
-0.0678,6991
0.11,3558
0.0153,4767
-0.0615,7774
-0.0109,5578
-0.592,7950
-0.000875,5585
-0.362,9840
-0.023,5594
-0.00362,5873
-0.19,7696
-0.398,8183
-0.346,5879
0.484,1061
-0.12,6169
0.887,35
-0.0228,5918
-0.0947,8520
-0.136,9082
-0.0417,7076
-0.0244,6918
-0.163,8554
-0.303,9227
-0.156,6839
-0.143,9676
0.0996,2739
-0.00322,5490
0.859,14
0.129,2085
0.0476,4416
