coef,rank
0.172,2827
0.11,2974
-0.114,9139
-0.147,7383
0.372,2544
-0.529,9760
0.0836,4135
-0.285,10722
0.0833,2491
-0.214,9526
0.25,1159
-0.000493,5163
-0.223,10296
0.0217,4453
0.00261,5466
-0.248,10090
-0.4,9472
-0.325,8509
0.0126,4927
-0.108,10258
0.404,82
-0.0573,7175
0.509,617
-0.0191,5563
-0.0541,6913
0.0215,4658
-0.072,6344
0.122,2818
-0.0492,7528
-0.915,10840
0.133,2627
0.021,4686
-0.136,8224
0.211,2660
0.164,2072
0.259,1665
-0.0242,6208
-0.0776,8531
-0.105,8066
0.359,1099
-0.287,10305
0.252,1232
0.127,1696
0.0502,2716
-0.0516,6468
0.158,1616
0.0172,5016
0.0196,4567
-0.0892,9323
0.0543,2696
0.181,2329
0.337,219
0.107,3287
0.0439,4373
0.048,3951
-0.0135,5799
0.0667,3246
-0.128,7094
-0.494,10518
-0.502,10934
0.176,353
0.126,1850
0.406,548
0.0789,3641
0.103,1921
-0.03,6713
-0.21,9993
0.19,547
0.0614,3741
-0.0706,7764
0.0188,4745
-0.0324,5258
0.113,2108
0.0984,2547
-0.199,9775
0.0829,3708
0.237,2520
-0.0373,6803
0.148,1691
-0.0431,6872
-0.191,10171
0.0686,3539
-0.458,10134
0.489,606
-0.14,10040
-0.192,10387
0.15,2076
-0.0217,5725
-0.0387,6002
-0.155,7620
-0.0279,6611
-0.0924,9453
0.222,1470
-0.241,9846
0.361,982
0.152,2787
-0.0586,6381
-0.0243,6203
-0.0697,6114
0.0678,2917
0.0582,3779
0.0275,4654
-0.0539,7247
-0.212,10548
0.116,2169
-0.0283,5901
0.592,406
0.154,2724
0.117,3025
-0.25,10183
-0.0531,6321
-0.126,8446
-0.187,6515
-0.184,8476
0.155,1138
0.0237,4418
0.321,1057
0.125,2390
-0.0467,7215
0.241,1385
0.119,2717
0.0246,4271
-0.175,10374
0.0587,3366
-0.157,7821
-0.125,6429
-0.095,8776
0.166,2048
0.314,1071
0.0848,3187
0.0026,5250
0.0128,4986
0.127,1677
-0.0286,6411
-0.016,5396
-0.259,10865
-0.674,8691
0.295,2194
0.11,1767
-0.086,8035
0.218,2356
-0.0223,6479
0.112,3384
0.054,4185
-0.188,9638
-0.144,9385
-0.156,7794
0.115,2878
0.0736,3132
0.00874,5022
-0.117,8792
0.0264,4417
-0.747,8287
0.274,873
0.275,2374
0.144,2309
0.214,633
-0.14,8918
-0.0524,6179
0.165,1862
-0.296,10756
-0.0277,6292
0.317,570
-0.0308,6994
0.3,462
-0.201,9863
-0.111,9006
-0.0133,5874
0.023,4996
0.141,1440
0.177,1923
0.168,2879
0.0917,2316
-0.167,10198
-0.0695,9203
-0.244,10605
-0.00547,5510
-0.192,9118
0.675,801
0.0696,2329
-0.139,9402
-0.306,10645
0.0296,4519
-0.16,9343
-0.0311,6344
-0.102,10170
0.15,1344
-0.0218,6071
-0.183,8638
0.163,1273
-0.0866,5678
0.0706,3210
0.446,10
-0.0598,8761
0.00675,5014
0.0254,4654
-0.00703,4957
0.0192,4765
0.098,3421
0.123,2838
-0.0552,7552
-0.0959,7047
-0.0501,6484
0.0281,4858
-0.05,7314
0.0412,4280
0.28,875
0.183,3077
0.0361,4498
0.253,1283
-0.187,10227
0.0901,2049
-0.0199,5890
-0.211,9202
-0.0986,7179
-0.518,11011
-0.0302,7283
-0.13,9408
-0.00516,5423
0.139,2629
0.131,3001
-0.228,8673
-0.586,11030
0.0765,2639
0.0178,4456
-0.0293,5810
-0.0402,5767
-0.0777,7554
0.102,2209
0.0318,4173
-0.0878,8905
-0.134,8375
-0.0411,6574
-0.0144,5732
0.418,622
0.0903,1410
-0.0697,6800
-0.00535,5333
-0.411,10280
-0.114,7549
-0.265,9778
0.781,1710
-0.329,9361
-0.164,9687
-0.144,8709
-0.203,9537
0.0841,2568
0.104,3073
0.14,2675
0.0144,4946
0.519,2761
-0.312,9792
-0.0701,7983
-0.132,10019
-0.26,8965
0.0116,5086
0.571,478
-0.332,8307
0.126,2210
-0.044,6579
0.102,2613
-0.00504,5582
0.0945,3515
-0.0315,6138
-0.148,9325
0.244,1015
0.303,1447
0.327,302
0.118,2681
0.0278,4647
0.0219,5050
0.122,877
0.0935,2729
-0.166,8999
0.0455,4514
0.192,1243
-0.0786,7220
0.0271,4590
-0.109,7903
-0.0608,6680
0.333,923
0.13,2064
0.206,968
0.452,338
-0.0645,6798
0.0731,3944
0.14,2668
0.404,166
0.00467,5287
-0.193,9834
-0.184,8880
0.158,2765
0.267,1322
-0.22,9331
0.0706,2780
-0.0953,8653
0.0687,4263
0.174,1519
0.666,169
-0.0226,5220
0.281,485
-0.0922,8136
0.101,2701
-0.0133,5358
0.106,2933
0.138,3099
0.00257,5077
0.0581,3928
0.0625,3533
0.298,1679
-0.154,7537
0.0281,4097
-0.0733,8159
0.0742,3253
-0.112,8470
0.0522,4488
-0.0161,5681
-0.0286,6017
-0.489,10879
0.0251,4678
-0.179,8303
-0.0114,5734
0.246,1598
0.0282,4850
-0.0348,6652
0.177,1535
-0.158,9741
-0.073,7021
-0.0717,8204
-0.393,10120
0.103,1729
0.171,1139
0.201,2384
-0.477,10908
-0.172,9832
0.405,1336
0.0228,4473
0.021,4601
0.0903,2607
-0.119,9041
-0.042,6656
-0.0602,6299
-0.0779,8177
0.439,956
-0.516,10788
-0.00125,5407
0.0234,4293
-0.225,9559
0.072,3084
-0.0846,7592
2.15,182
-0.31,7963
-1.12,10309
-0.603,9268
0.374,1538
0.354,2514
-0.446,10901
0.204,1864
0.0697,3647
-0.0237,5797
0.104,1341
0.0131,4462
-0.873,10412
0.00779,5110
0.0987,3219
-0.164,8457
-0.0403,6533
-0.0865,8924
0.159,2941
-0.0391,6198
-0.00575,5778
0.365,352
-0.098,7004
0.265,212
0.143,2401
0.0285,4570
0.437,574
-0.442,9643
-0.144,8542
-0.0512,7228
-0.108,6824
0.00578,5057
0.416,416
0.0832,4225
0.0921,2776
-0.0402,6547
-0.0863,7715
-0.059,6581
-0.111,5910
-0.225,9440
-0.21,10545
0.0478,3859
0.195,1498
0.00489,5072
0.119,2825
-0.108,6417
0.0239,4735
0.102,2194
-0.381,9704
-0.171,9686
0.0194,4789
0.0789,3322
0.00201,5167
0.112,2349
0.0771,3696
0.0592,3934
-0.231,9482
0.35,2087
-0.0119,6736
0.0561,3473
0.16,2217
0.121,3597
-0.123,7745
0.105,3249
-0.167,10304
0.037,2986
0.0501,808
-0.0733,7030
0.0601,4445
-0.215,9963
-0.162,7205
-0.0978,9227
-0.349,10517
-0.0438,6076
-0.0317,5692
-0.556,10587
-0.0291,6047
0.449,4
-0.0369,5961
-0.00826,5431
0.00277,5118
-0.172,9304
-0.136,9678
0.000486,5507
0.0265,4827
0.234,1071
-0.243,9580
-0.0765,7793
0.00371,5131
0.0697,3310
0.0372,3831
1.16,926
-0.479,10546
-0.201,8886
0.00735,5089
-0.0946,8603
0.133,2930
0.407,659
-0.463,10196
-0.0938,6885
0.036,4613
0.333,189
-0.19,7781
-0.127,7393
0.0661,3525
0.309,1595
-0.209,9855
0.0819,2156
0.0186,4561
0.0428,4384
-0.112,7692
0.0271,4814
-0.188,10063
0.0881,2406
-0.171,8079
-0.269,9873
-0.0277,5744
0.0733,4068
-0.247,9434
-0.129,8605
0.103,2531
0.0608,4051
-0.228,9564
0.0267,4437
-0.194,9750
-0.115,8151
0.0377,4557
0.143,1668
-0.0763,6620
-0.185,9829
-0.221,10219
-0.0558,7330
0.304,1427
-0.169,10180
-0.228,9476
0.204,2388
0.203,1030
0.224,559
-0.0981,8715
-0.185,9989
0.101,2491
-0.132,8672
0.254,719
0.0314,2676
0.0743,3582
0.0678,3061
-0.179,7504
-0.0174,5143
0.0521,3860
0.0612,3395
0.0408,3951
-0.0603,6670
-0.0975,7354
0.0305,4667
-0.292,10669
0.0407,3289
-0.162,10227
-0.188,7566
0.0579,4116
-0.299,8377
-0.304,10247
0.408,692
-0.0196,6342
-0.553,10367
0.33,2119
0.942,169
0.3,2031
0.0851,2087
-0.174,10292
-0.112,9067
-0.00957,5418
-0.188,8137
-0.209,9549
-0.0461,6843
0.0928,3257
-0.388,8880
-0.249,9084
0.0317,4951
-0.124,5750
0.0285,4216
0.103,2857
0.127,2516
-0.232,10112
-0.102,7909
0.287,1630
-0.0457,6757
0.124,872
-0.788,10600
0.504,1886
-0.282,7453
-0.344,7802
-0.0869,8020
-0.147,7816
0.018,4725
-0.0125,5377
-0.0617,6540
0.261,757
-0.174,9717
-0.238,9945
0.104,2950
0.0901,3131
0.0466,4585
0.222,3433
0.000215,5212
-0.278,10093
-0.285,10289
-0.0691,6817
-0.171,8966
-0.0766,6922
-0.121,8383
0.0391,4341
-0.143,8899
-0.341,10994
0.0661,3800
0.256,1071
-0.0413,6862
-0.284,10952
0.0126,5151
-0.0874,7876
-0.129,7484
0.172,727
0.0845,3016
-0.295,9963
0.0486,4166
-0.24,10126
0.0883,3259
0.0559,4294
-0.206,10208
-0.0939,9017
0.0556,4373
0.11,2500
-0.339,10400
-0.246,7215
-0.00323,5508
-0.0405,6368
-0.228,8521
0.00643,5183
0.0829,2673
0.226,1415
0.0335,4285
-0.0151,5829
-0.133,8985
-0.0174,5857
-0.112,6770
-0.443,10410
0.0252,4094
0.146,2493
-0.385,10562
-0.141,8790
0.406,311
0.237,793
-0.179,9684
0.143,1788
0.257,1479
0.25,1756
-0.0852,7659
0.217,2226
0.101,2503
-0.0669,7878
-0.343,9661
-0.0233,6423
0.281,2075
-0.606,10335
-0.0672,7496
0.176,1253
0.0358,4534
-0.0332,6019
0.000706,4891
0.0807,3687
-0.0364,6326
0.0844,2621
-0.0621,8186
0.236,694
0.0161,5047
-0.212,9872
-0.115,8600
0.0428,4491
0.105,1797
-0.265,9306
0.461,2044
0.0667,3479
0.0947,1843
0.177,339
-0.0874,8524
-0.399,10728
-0.313,10435
0.113,1665
-0.00711,5822
-0.0817,7851
0.215,1785
-0.247,9443
0.198,2130
-0.265,10120
-0.0874,7174
-0.0386,5897
0.0364,4394
-0.488,10818
0.159,1606
-0.0263,6420
-0.108,8602
-1.56,10993
-0.019,6279
0.0968,3745
0.0136,4907
0.0318,4280
-0.408,9956
0.73,1415
0.505,2311
0.219,2713
0.0452,4548
-0.133,7190
0.123,3167
-0.0764,7957
0.0649,3861
-0.132,9411
-0.07,9247
-0.0334,6191
-0.308,9281
0.506,813
0.252,394
0.162,1592
0.105,2096
-0.00587,5411
-0.155,9275
0.0901,3756
0.0745,2908
-0.0818,7603
-0.00561,5396
-0.267,8917
-0.00626,5394
0.0466,4429
0.498,263
-0.0266,6417
-0.00982,5932
-0.293,9453
0.0709,3161
-0.0233,5952
0.0927,3855
-0.0522,7171
0.223,1816
0.21,1686
-0.212,7069
-0.26,10299
-0.123,7546
-0.183,9770
0.00836,4978
0.252,1518
-0.0555,6334
-0.147,8053
-0.274,9558
-0.175,8568
0.101,2675
-0.184,9340
1.13,201
-0.132,7610
-0.0205,5809
-0.144,8865
-0.0457,6654
0.0131,4891
-0.0779,7242
-0.634,10537
-0.219,5061
-0.208,10432
0.0291,4107
-0.0569,7548
0.202,1827
-0.0642,8287
-0.0675,6376
-0.0904,7584
-0.258,10940
0.358,1323
0.0143,4910
-0.138,7974
0.225,1559
0.0297,4736
0.18,984
-0.0114,5540
0.43,745
0.79,964
-0.187,8241
-0.0379,6689
0.0334,4927
-0.116,7733
-0.0202,6113
-0.126,8742
0.0889,4002
0.37,351
-0.0288,6155
-0.058,6906
-0.105,8543
0.0147,4670
-0.134,5600
0.00084,5455
-0.0862,8454
0.0736,3194
-0.0332,6180
-0.191,9337
-0.382,10368
-0.12,9097
0.0911,2863
-0.00478,5203
-0.0447,5803
-0.00701,5545
0.156,1299
-0.0207,6246
0.177,381
0.0699,3279
-0.0915,6745
-0.118,9936
0.015,4943
0.305,1454
0.00377,5144
0.138,2431
0.177,1969
-0.277,10240
-0.201,7821
0.0364,4441
0.0694,3966
0.0906,3072
0.351,1753
-0.0659,6312
-0.0369,6122
-0.0774,8183
0.0589,4550
0.241,2520
0.512,213
-0.431,10782
0.205,1927
-0.153,9752
0.38,342
0.116,3383
0.104,1923
0.0307,4615
-0.267,8613
0.327,525
-0.0941,9252
-0.0671,7139
-0.213,9102
0.17,1455
0.14,3008
0.0603,3385
0.175,1194
0.0734,543
-0.00435,5958
-0.0211,7869
-0.0158,8243
0.0202,2109
1.89,847
0.171,1990
0.0205,4451
-1,10608
-1.08,9946
0.00254,5080
-0.309,10336
0.32,2375
0.294,1087
-0.387,9341
-0.126,9123
-0.0952,7031
-0.409,6577
-0.0685,7192
0.339,921
-0.0675,8794
0.301,329
-0.112,7951
0.0187,5086
-0.0666,6447
-0.354,9168
0.286,1227
-0.122,8374
-0.179,8686
0.14,3562
0.0779,3996
0.0631,4075
-0.805,8471
0.0672,3861
-0.189,10066
-0.0203,5628
0.0402,4510
-0.149,10201
0.0528,3365
-0.334,10501
-0.046,5897
0.136,2198
0.104,3737
0.0283,4719
0.0178,4801
0.0292,3762
-0.133,8442
-0.0915,7841
-0.258,10054
0.0892,3905
0.184,1710
-0.0422,6484
-0.253,9627
0.0732,3865
0.145,2505
-0.0792,8219
0.067,3194
0.0587,3820
0.0539,3867
-0.0406,6922
0.123,3220
0.393,1547
-0.167,9303
-0.143,9186
1.39,641
0.0143,4916
0.0394,4312
-0.0133,5522
0.106,2543
-0.0188,5635
0.148,2825
-0.0373,7049
-0.307,9476
0.0708,3228
-0.092,8435
0.0855,2792
0.0855,3012
0.156,1955
-0.0743,6817
0.171,2919
0.0996,2110
-0.125,9606
0.477,1596
0.27,1220
-0.0712,7421
-0.115,7865
-0.0786,7601
0.0187,4826
0.149,3511
-0.628,7654
-0.00281,5443
0.867,770
0.358,219
-0.0566,7903
0.0174,4896
-0.00449,5387
-0.134,7629
0.000741,5633
-0.106,8861
-0.147,9636
-0.247,7018
-1.02,10325
1.13,1118
-0.295,9834
-0.29,10233
-0.218,9734
-0.569,10299
0.0652,3815
0.0099,4852
0.271,589
-0.23,10331
0.418,236
0.172,2052
-0.159,9285
0.227,1146
-0.133,8963
0.0668,3554
-0.205,8752
0.0786,2914
-0.0154,5417
-0.311,10486
-0.185,9171
0.0539,4312
0.517,1076
0.17,2769
0.032,4647
-0.188,8483
-0.0476,6589
0.00641,5219
0.125,3023
-0.192,9859
-0.111,7652
0.0837,2632
-0.113,8909
-0.0592,8855
0.252,1245
0.225,1218
-0.14,8152
-0.0487,7821
-0.0203,5918
-0.0325,6937
0.136,3494
-0.409,10647
-0.125,7252
0.0795,3633
0.0125,4701
-0.117,7924
0.361,2160
-0.00652,5418
