coef,rank
-0.196,8207
0.0567,4024
0.149,1286
-0.403,10240
0.104,3592
-0.146,5886
-0.146,6601
0.191,1440
0.0996,2068
-0.0358,5825
-0.3,10442
0.101,3406
-0.117,8468
0.113,1580
-0.176,9891
0.309,812
0.716,522
0.201,3009
0.055,3110
-0.0308,7379
-0.0981,8073
-0.0543,7078
0.54,515
-0.175,7743
-0.0161,5847
-0.00634,5275
-0.154,7726
0.166,2155
-0.161,10309
-0.263,6951
-0.173,8977
-0.256,10776
-0.261,10117
-0.294,8746
-0.188,9027
0.0457,4462
0.169,1547
0.0358,3786
0.237,806
0.0192,4736
-0.209,9419
0.144,2507
0.086,2651
-0.0856,9677
0.218,1464
-0.0385,6251
-0.338,10534
0.0281,4434
-0.0137,6003
-0.0658,8809
0.159,2655
-0.063,7413
-0.108,7365
0.108,3207
-0.312,10388
0.025,4209
0.089,2755
-0.411,10527
0.451,1157
0.0484,4261
0.0529,3012
-0.017,6209
-0.114,7418
-0.23,9528
0.0335,4109
0.102,1375
0.0234,4653
-0.097,8994
0.0311,4549
0.18,866
0.0997,2937
-0.255,7683
0.305,192
-0.218,10400
0.0956,3194
0.0399,4447
0.514,837
0.328,102
-0.00395,5425
0.071,3198
0.0779,3463
0.0845,3195
-0.0406,5712
-0.127,7043
-0.0429,7194
0.0591,3440
0.153,2016
-0.067,6520
-0.045,6134
0.119,3256
0.205,411
0.0213,4361
-0.0589,6575
-0.222,9621
0.0779,3872
0.443,480
0.337,753
-0.0415,6792
0.401,1042
0.296,41
-0.131,8453
-0.151,8572
0.102,2389
-0.00855,5550
0.0168,4689
-0.0673,6811
-0.113,6780
-0.295,9882
0.0515,4222
-0.116,7958
0.285,886
-0.145,8868
0.226,3133
-0.147,7857
0.0452,3866
0.0882,2027
-0.000667,5397
0.0355,4529
-0.0966,8906
0.312,836
0.285,669
0.0187,4509
0.0503,3564
-0.129,9626
0.0592,4327
-0.000176,4967
0.0144,4774
0.102,3090
-0.175,8730
0.0616,3675
-0.187,8934
0.164,2419
0.244,331
0.27,441
0.335,1107
-0.0156,5855
1.26,1166
0.176,3228
0.0624,3093
0.0679,3307
-0.0841,6873
-0.087,8815
-0.217,8951
-0.0489,6640
0.123,2478
0.114,2536
-0.0616,6114
-0.218,9797
-0.0542,7516
0.618,144
0.0849,2836
-0.0696,8036
-0.0443,4657
-0.0659,6572
-0.0191,5328
0.231,1224
0.0327,4355
0.000925,5399
-0.15,7744
0.169,1818
-0.0295,6227
0.0709,3295
-0.00715,5571
-0.0721,8884
0.349,261
0.162,2133
-0.056,7377
0.219,322
-0.179,9243
-0.0796,8168
-0.144,8625
0.0689,4069
0.0887,2387
0.00974,4792
-0.117,10499
-0.148,9291
-0.0565,7263
-0.0226,5870
-0.325,8752
-0.114,9871
0.132,1966
-0.000813,5461
-0.0467,6556
0.322,386
0.0113,4659
0.102,758
0.192,792
-0.0333,6408
-0.0183,5488
0.213,695
0.719,705
0.142,1584
0.178,1010
0.0477,3037
0.0284,4353
-0.227,9687
0.6,312
-0.0632,7400
-0.13,7925
-0.0511,6420
-0.129,9670
0.00712,5000
-0.155,9158
-0.182,7982
0.00963,4824
0.24,729
-0.127,8199
-0.272,8390
-0.143,8822
0.282,1028
-0.182,10156
0.165,616
0.0284,4482
0.141,2757
0.0659,4072
-0.207,9190
-0.115,10423
0.0868,2825
0.116,2678
-0.0697,7051
-0.000713,5023
-0.202,8295
0.0928,3404
0.0392,3818
-0.0455,7438
-0.238,9389
-0.184,8162
0.0228,4974
-0.163,10131
0.0468,3592
-0.139,10119
-0.341,10784
0.229,1339
-0.151,8661
0.0513,4351
-0.0391,7581
0.0132,4749
-0.233,9682
0.474,799
0.0396,4043
-0.043,5964
-0.382,6803
-0.225,8153
-0.0451,6757
0.169,1631
0.3,818
0.303,102
0.0344,4611
0.06,4106
0.0845,3178
1.47,582
-0.0113,5440
-0.0353,6718
0.0195,4548
-0.379,10131
0.026,4888
-0.0536,5765
-0.317,8132
0.0402,4281
-0.0268,6017
0.0364,4320
0.0178,4882
0.174,2093
-0.124,8242
0.0192,4852
0.0349,4402
-0.293,9200
-0.145,9134
0.0351,4631
-0.199,8545
-0.00968,5807
0.0451,3282
-0.0921,7790
0.0275,4464
0.46,310
0.264,587
-0.18,9381
-0.228,9217
-0.147,8693
-0.0113,5522
-0.142,8197
0.298,358
0.172,1370
-0.129,8142
-0.0442,6304
0.205,2074
0.523,182
-0.141,8785
-0.0363,7130
0.136,2216
-0.0752,6660
-0.0588,6260
0.0501,4361
0.0112,4997
-0.00619,5849
0.015,4869
-0.198,8090
-0.0204,5700
-0.146,7583
0.135,3006
-0.0898,7719
-0.115,8799
0.139,1932
0.482,152
0.0391,4401
-0.0421,5540
-0.00864,5646
-0.234,9512
-0.0549,6992
-0.267,8983
-0.196,8191
-0.0856,7888
-0.111,9305
0.37,107
-0.0308,6390
0.122,3706
0.181,2656
0.16,2443
0.418,622
-0.354,10229
0.0219,4906
-0.213,10013
-0.0564,6079
0.216,3034
-0.147,9979
0.0215,4773
0.0912,2636
-0.128,8351
-0.0316,6513
0.363,1468
-0.145,10133
-0.0646,7535
0.0633,4170
0.49,382
0.109,2418
-0.0349,5453
0.19,742
-0.0623,7777
-0.0345,6605
0.112,2087
0.339,236
0.135,2885
0.0253,4436
-0.167,7644
0.00326,5037
0.00699,5038
-0.0411,7191
0.11,2868
-0.095,8270
0.105,2801
-0.823,9824
-0.00723,4845
0.254,2620
3.82,1
0.0952,3970
-0.4,8432
-0.0556,6393
-0.0266,5948
0.246,884
0.0576,3718
-0.0861,9189
-0.118,10114
-0.457,8048
0.44,326
-0.248,9804
0.0469,4541
0.301,651
-0.0241,6516
-0.461,10228
0.171,2089
-0.0479,6897
0.231,1238
-0.038,5904
-0.0406,6718
0.149,2288
0.154,2685
0.107,3392
0.303,2410
-0.0836,7268
-0.172,10226
0.288,1541
-0.022,6527
0.0471,4273
0.26,2568
-0.0836,7863
-0.0317,6282
-0.136,8917
-0.26,10172
0.517,1267
0.199,1812
0.0265,4292
0.115,2271
0.0951,3220
-0.0607,5992
-0.123,8203
-0.284,8895
0.195,1469
-0.0287,6394
-0.138,7017
0.341,186
0.125,2881
-0.174,9448
0.0277,4490
-0.0147,5742
-0.0117,5704
0.276,1132
-0.175,8665
1.62,27
0.118,63
-0.239,10669
0.0368,4432
-0.0599,6489
0.131,2856
0.0609,4015
0.0783,2751
-0.129,10801
-0.0105,6894
0.397,227
-0.23,8098
-0.112,8027
0.213,2599
-0.065,8135
-0.283,9978
-0.00777,5262
0.107,3070
-0.101,6133
-0.01,5670
0.0422,3944
0.109,2604
0.00217,5232
0.133,2820
-0.0904,7609
-0.183,10484
-0.0581,7477
-0.0359,6272
-0.209,9754
0.0291,4745
0.314,209
0.37,851
0.0998,2524
0.0386,3765
0.973,1203
-0.275,8891
0.226,1718
-0.461,10354
-0.17,10200
0.0565,4292
-0.00552,5474
0.125,3621
-0.0432,5916
-0.221,8187
0.0314,4504
0.285,1780
0.916,47
0.0147,4878
0.0975,3852
-0.21,9865
-0.051,7735
0.0109,4891
0.314,860
0.208,1648
0.0658,3829
0.0894,2730
-0.0588,7639
-0.0347,5775
0.0446,4476
0.778,48
0.124,3080
0.0402,4560
-0.211,10033
-0.118,8931
0.0225,4760
-0.172,8707
-0.128,9285
0.0196,4697
-0.0971,7697
-0.283,10624
-0.00151,5124
0.114,3936
0.0343,4056
0.104,2883
-0.0675,7735
0.0826,3698
0.00729,5163
-0.245,9722
-0.229,8954
0.065,3509
-0.0675,7586
-0.0722,7975
0.0871,2774
0.0768,3055
0.19,1432
-0.0883,7747
-0.0163,7227
0.109,2771
-0.0176,6069
-0.246,8398
-0.482,10204
0.0957,2666
-0.0223,6007
0.119,1789
0.533,41
-0.0408,6045
-0.232,7444
-0.0504,6447
-0.175,10821
-0.0472,7076
-0.26,8479
0.387,262
0.693,509
-0.194,8898
-0.245,8990
0.0385,3959
