coef,rank
-0.129,7175
-0.0458,6431
0.192,712
0.412,908
-0.435,6994
-0.145,5877
0.909,279
-0.0238,6086
0.00479,4979
-0.135,8157
0.107,2974
-0.103,7163
0.0324,4274
-0.111,9351
0.0752,3345
0.768,16
0.333,2004
-0.281,8006
0.244,98
-0.0641,8924
0.0795,3169
0.0799,2852
-0.247,8413
0.405,1100
-0.0508,6825
-0.144,8284
-0.37,10312
-0.00114,5108
-0.0917,8853
1.76,78
-0.0136,5621
-0.0245,6127
-0.389,10884
-0.254,8287
0.227,1322
-0.125,7500
0.259,570
-0.0855,8816
0.234,830
-0.171,7838
0.192,1827
-0.148,8237
0.239,387
0.0407,3170
-0.143,8396
0.156,1652
-0.0599,6591
-0.139,7157
0.0497,2860
0.0291,3832
0.477,313
0.0214,5019
-0.0713,6636
-0.146,8198
-0.179,8729
0.0293,4050
0.0359,4071
0.453,605
0.0143,4940
-0.273,9568
-0.00748,5656
-0.012,6035
0.0225,4842
0.0938,3368
0.0225,4539
-0.0597,8064
-0.0846,7548
-0.0224,6390
-0.217,10430
0.115,1908
-0.0855,7406
-0.283,7996
0.0874,2668
-0.305,10912
0.25,987
-0.0497,6132
0.687,361
-0.00478,5659
0.0626,3518
0.189,879
0.166,1582
-0.0594,6885
-0.624,10759
0.282,1733
0.0292,4415
0.192,769
-0.246,10476
0.537,303
-0.284,10394
-0.319,9746
0.105,1925
-0.105,9772
0.0506,4184
-0.00175,5241
0.17,2636
0.175,2481
-0.527,11004
0.0429,3795
0.168,2882
0.00289,5507
0.0434,4123
0.00364,5193
-0.015,5952
0.00115,5222
0.113,2231
-0.208,9549
0.339,1445
-0.0256,5719
0.00201,5210
-0.136,8388
0.0918,3285
-0.095,7746
0.29,2724
-0.232,9184
0.0318,4327
-0.0115,6079
-0.19,8744
-0.0157,5968
-2.46e-05,5352
0.315,813
-0.0712,7131
0.18,501
0.188,552
-0.0745,8163
-0.146,7639
-0.0829,5924
0.0577,3240
-0.262,10100
-0.278,10037
-0.152,8655
-0.25,9823
-0.104,7410
0.0122,4941
-0.128,9011
-0.0606,6197
0.293,172
-0.73,9016
-0.436,9986
-0.0923,8468
0.164,1280
-0.0199,5784
0.165,803
-0.12,7414
-0.0069,5655
0.00534,5063
0.0953,2916
-0.292,9709
-0.131,8342
-0.016,6152
-0.0961,6889
-0.209,10365
0.0648,3146
-0.431,6692
0.167,2008
-0.0697,5930
-0.0148,5598
-0.0165,5997
0.0919,3234
0.312,1352
-0.13,8489
0.0226,4785
0.327,175
