coef,rank
0.06,4253
-0.00585,5447
0.0159,4876
0.0185,4780
-0.378,6612
-0.862,10932
0.272,2605
0.326,383
-0.171,10168
0.0498,3944
-0.194,9206
-0.369,10532
-0.255,10582
0.11,1650
0.292,312
-0.458,10996
-0.109,6236
-0.152,6460
0.0216,4548
0.0407,3438
-0.0187,5862
-0.0182,5866
0.292,1770
0.192,2772
0.207,1115
0.325,608
-0.0574,6097
-0.3,10221
0.164,901
-0.413,8405
-0.0349,6125
0.17,1166
-0.186,9115
-0.319,9022
0.0413,4242
-0.0951,7021
-0.0901,8086
0.15,756
0.215,1014
-0.115,6946
0.154,2385
-0.106,7462
0.281,206
-0.0482,8118
0.133,2589
0.094,2790
-0.174,8665
-0.107,6639
-0.119,10124
0.0206,4269
-0.0186,5629
0.18,1492
0.175,2283
-0.281,10045
-0.202,9079
-0.118,9555
-0.163,9396
-0.175,7839
-0.165,7325
0.127,2994
0.0251,4176
-0.207,10646
-0.36,10507
-0.103,7312
-0.212,10803
-0.125,10125
0.0369,4344
0.0273,4417
-0.0631,7383
0.337,75
0.0545,3892
0.62,1001
-0.128,8946
0.0437,3985
-0.0524,6782
-0.11,7309
0.193,2955
0.0311,4426
-0.381,11017
0.16,1243
-0.132,9240
-0.232,10246
-0.432,9958
0.0959,3795
-0.074,8291
-0.055,7152
0.114,2715
-0.0428,6083
0.0916,3091
-0.111,6886
0.213,353
0.0494,3092
-0.135,8139
-0.219,9567
0.319,1222
0.371,798
-0.0677,6571
-0.116,9132
-0.401,10293
-0.00354,5776
0.0477,4017
-0.117,7901
-0.0733,7841
-0.0844,8055
0.146,1668
0.0659,3919
-0.144,7238
-0.0354,5904
-0.254,9898
-0.0131,5558
-0.0235,5647
0.0549,3871
0.165,3525
-0.272,9679
-0.0213,6320
-0.198,10857
0.366,756
-0.237,10530
-0.181,10558
0.39,440
0.069,3751
0.0783,2443
0.134,1367
0.115,1684
-0.22,8747
-0.623,10711
-0.122,9468
0.11,2953
-0.0763,6954
0.392,220
0.156,2569
-0.000304,5255
0.085,2622
-0.0645,7443
0.367,926
-0.132,9404
-0.0642,4615
0.37,1695
-0.0655,7644
-0.17,9861
-0.464,10746
0.242,215
0.0806,3865
0.0309,4696
-0.0774,7283
0.295,333
-0.0915,6699
-0.161,8924
0.138,1658
-0.356,10333
-0.169,9847
0.000564,5420
2.66,637
-0.205,9447
-0.0514,5712
0.0943,3218
-0.135,9517
-0.105,8165
0.217,2226
-0.268,10464
0.21,1187
0.0881,2862
0.104,3145
-0.0275,6838
0.179,1536
0.117,2946
-0.133,9526
-0.0515,7387
-0.0671,7001
0.0897,2491
0.0985,3240
0.171,2834
-0.0629,7452
0.0238,4250
0.0569,2263
-0.176,9805
-0.0137,5791
0.0951,3494
0.667,822
0.0174,4447
0.00394,5416
-0.237,10072
0.282,607
-0.0861,7715
-0.0704,7893
0.0327,3232
0.000609,5279
0.134,2050
-0.443,10902
0.0213,4745
0.471,1501
0.16,1262
0.0738,3078
-0.0657,8996
0.228,504
0.0554,4010
-0.00146,4874
-0.224,10521
-0.156,8429
-0.0259,5827
0.0944,2164
-0.332,10400
-0.0561,6664
-0.313,9534
0.115,1428
-0.0133,5829
0.139,2500
0.388,1547
-0.0163,5760
0.152,2478
0.00306,5155
0.0271,4222
0.00887,5015
0.0791,3783
0.118,3203
-0.0932,7034
-0.0711,9258
0.0519,3767
-0.0624,6889
0.089,3510
0.181,2423
0.0507,4272
-0.198,9480
-0.202,10711
-0.0895,9132
-0.304,10089
-0.264,9294
-0.0245,6156
-0.082,8258
0.0902,2190
-0.0496,7551
-0.174,9134
0.0131,5273
0.234,1375
0.432,568
-0.0796,9362
-0.0423,6081
-0.385,10843
-0.2,8220
-0.149,8307
0.163,2370
0.845,1607
-0.934,11032
0.059,3681
-0.0954,7582
0.237,1361
0.181,795
-0.0522,6812
-0.24,9921
0.0556,3871
0.411,3197
0.484,542
0.0236,4397
-0.036,7006
-0.0246,5573
-0.0782,6268
-0.381,9846
-0.144,6127
0.0916,2952
0.12,2036
-0.0163,5919
-0.134,9018
0.224,1466
-0.235,10016
0.118,2354
-0.0681,6897
-0.093,6424
-0.1,8196
-0.222,10205
-0.17,8097
-0.295,10730
-0.147,10629
0.0595,3494
-0.0402,6150
-0.304,10329
