coef,rank
-0.185,8030
0.281,811
-0.0272,6428
0.0469,4386
0.153,3346
-0.301,7471
-0.145,6586
-0.0893,7744
0.0395,3772
-0.0709,6748
-0.24,9860
-0.221,9161
0.00317,5134
0.108,1717
0.108,2499
-0.0284,6097
0.327,2053
-0.122,6059
-0.0142,6144
0.044,3280
0.0033,5226
-0.0817,7936
0.483,721
-0.27,8959
0.35,194
0.00394,5054
0.0616,4057
0.0629,3800
0.0772,2801
0.699,1195
0.377,362
0.0987,2499
-0.0367,6151
0.238,2412
-0.0526,6253
0.114,3371
0.0185,4986
0.0976,1751
-0.166,9406
-0.0393,5666
-0.165,8723
-0.377,10786
0.00309,5226
-0.0326,7326
-0.249,10020
0.0125,4810
0.0415,4530
-0.183,7816
-0.0674,8561
0.0837,1612
-0.00783,5419
0.249,694
0.562,120
0.123,2967
-0.428,10908
-0.0848,8592
-0.166,9466
-0.127,7067
-0.184,7579
-0.268,9515
-0.00745,5653
-0.0585,7635
0.198,2158
0.0812,3595
-0.0814,8455
0.0796,2002
0.00864,5057
-0.022,6368
0.0284,4624
-0.141,9607
-0.0811,7288
0.374,1991
-0.128,8948
-0.134,9043
-0.223,10095
-0.0341,5847
0.347,1671
-0.128,9361
0.022,4627
-0.144,9678
-0.0312,6586
0.154,1954
0.247,2648
-0.0585,6016
0.107,1900
0.0276,4402
-0.0478,6787
0.313,1294
-0.126,7994
0.0144,4770
0.2,451
0.00332,5249
-0.212,9460
-0.256,10018
-0.323,9899
0.199,2203
0.568,124
0.18,799
-0.31,9489
0.0176,4859
-0.0808,7277
0.0638,3920
-0.0747,7887
0.103,2289
-0.0208,5815
0.0671,3891
-0.568,10866
0.345,947
-0.00437,5337
-0.295,10589
-0.0855,6986
-0.033,6101
-0.247,7128
-0.252,9434
-0.0432,7142
-0.00406,5755
0.305,1181
-0.163,9604
0.1,1934
0.0206,4889
-0.151,8986
0.0122,4766
-0.0386,6891
-0.0195,6211
-0.122,7260
-0.161,6892
0.0437,3719
0.129,2579
-0.112,7631
0.136,2212
-0.183,8896
0.0422,4393
-0.157,9965
0.194,1155
-0.0149,5370
-0.00525,5491
1.74,646
0.285,2263
0.188,606
-0.0989,8404
0.399,839
-0.0586,7851
0.00269,5160
-0.104,7898
0.154,1955
0.125,2295
-0.139,7510
-0.0136,5617
-0.0293,6661
-0.129,7463
-0.0198,6039
-0.123,9543
-0.626,7714
0.169,1975
0.474,1137
-0.259,10143
0.169,1120
0.0697,3717
-0.0179,5593
-0.196,9656
-0.0617,7076
0.146,1661
0.0405,4474
0.073,2022
-0.0912,7524
0.059,4214
-0.229,10775
-0.0749,8195
0.188,1965
-0.0117,5866
0.323,568
0.0504,4313
-0.0272,6166
-0.0879,8390
0.0711,1681
-0.0351,6245
0.214,489
0.131,2910
0.613,1010
-0.0897,9194
-0.189,10205
-0.0601,6851
-0.103,7962
0.293,527
-0.0454,6932
0.0627,1901
0.0973,2428
-0.169,9758
-0.292,10072
0.255,397
-0.241,7373
0.188,892
0.0815,2863
0.0183,4593
-0.0821,7891
0.173,1985
0.326,1354
0.0863,2874
0.397,501
0.129,2736
-0.0518,7408
-0.199,8903
-0.159,9242
