coef,rank
0.505,483
-0.116,7992
-0.00946,5798
-0.0803,6324
-1.05,10139
-0.0617,5123
0.0502,4464
0.0283,4625
-0.0211,5876
-0.392,10897
0.215,1510
-0.0614,6353
0.283,424
-0.0577,7639
-0.12,8856
-0.0258,6036
0.466,1255
-0.527,10232
0.0909,1966
0.013,4917
0.161,1545
0.155,1321
-0.412,10048
-0.0422,5898
-0.0912,7897
0.206,1470
-0.116,7096
0.39,388
-0.0547,7710
-0.948,10883
0.206,1563
0.204,765
0.267,1234
0.416,1226
0.00216,5106
0.119,3290
-0.342,10979
-0.0745,8409
-0.241,10421
-0.322,9850
0.505,120
-0.191,9017
-0.106,8813
-0.0653,8894
0.399,297
0.264,514
-0.11,7614
-0.0547,5745
0.00691,4889
0.0629,2326
-0.0316,5890
0.0321,4715
0.19,2085
-0.0454,6189
0.261,1069
-0.0668,7966
-0.0674,7076
-0.198,8187
0.00675,5011
0.22,1843
-0.0797,8762
0.0066,5371
-0.229,9283
-0.107,7396
-0.0424,7055
-0.0726,8554
-0.0107,5581
-0.0246,6468
-0.109,8576
-0.0448,6932
-0.00593,5378
-0.239,7504
0.00472,4973
-0.28,10837
0.136,2417
0.353,792
0.922,108
0.0576,3608
0.0768,3165
0.148,1436
-0.0381,6782
0.0117,4987
-0.298,8848
0.0157,4878
-0.0787,8447
-0.0986,8525
-0.0622,7161
-0.42,10683
0.149,2090
-0.311,9663
-0.165,10443
0.164,407
0.158,2286
-0.0891,7208
-0.291,9558
0.0231,4692
-0.0196,5573
0.125,1674
0.376,1188
0.196,417
-0.238,10178
-0.0865,7251
-0.0793,8026
0.0624,3363
0.0558,3613
-0.138,8329
-0.438,10406
0.136,2971
0.238,1436
0.0195,4809
-0.506,11007
0.0644,3651
1.76,33
-0.161,8084
0.00339,5439
0.0655,2786
-0.0956,7162
0.179,1462
-0.0512,7393
-0.41,10876
-0.128,8523
0.00342,5133
0.00806,5085
0.0979,2130
0.341,1175
-0.376,9317
0.124,1445
0.201,1609
0.16,2654
0.29,632
-0.0546,6427
-0.0806,6938
0.133,1563
-0.0494,7007
-0.3,9800
-0.0847,8212
0.958,1563
0.401,1505
0.0499,3471
0.0201,4754
0.137,3380
0.0665,3028
0.224,1960
-0.0651,7019
0.147,2070
0.159,1653
-0.214,8684
-0.421,10985
-0.113,9215
0.0169,4882
0.123,1938
0.0468,3720
1.9,1066
-0.231,9792
0.435,1304
0.245,1121
-0.22,10656
-0.0994,8031
0.15,3005
-0.262,10408
-0.0242,6066
-0.122,8909
-0.224,9962
0.0379,3412
-0.0345,6061
0.381,272
0.166,1023
-0.00862,5688
0.23,1452
0.166,1016
0.0749,3715
0.0637,4132
0.162,998
-0.159,10085
0.0378,3169
-0.24,10559
0.014,4779
-0.442,10945
-0.296,8464
0.0747,2149
-0.122,9059
0.293,869
0.0253,4640
0.157,1891
0.0514,3194
0.0146,4223
-0.244,10815
0.0147,4977
-0.195,8860
0.122,2038
-0.177,6667
-0.192,10270
0.0142,4927
-0.0271,7128
0.345,80
0.203,1637
-0.323,9493
-0.0293,6342
-0.142,8160
0.154,2364
0.146,1075
0.000377,5131
-0.296,10816
-0.179,7952
0.107,1601
0.0691,3545
0.0591,4084
-0.269,8341
-0.0396,6356
-0.245,9984
-0.158,9770
0.039,3759
0.116,2429
-0.188,8825
-0.0746,6674
-0.222,9416
-0.0267,7102
-0.118,9153
0.0318,4479
0.37,461
0.269,1520
-0.228,8670
0.0768,3688
0.104,1901
0.0214,4301
-0.064,6480
0.553,350
-0.00754,5733
-0.114,9105
0.0194,4711
0.398,1
0.246,1251
-0.0444,6674
0.311,748
-0.0513,6105
0.0335,3632
-0.104,7660
0.268,1022
0.143,3306
0.0131,4614
-0.0505,6087
-0.255,5610
-0.23,8216
-0.191,10091
0.247,835
0.157,2416
-0.191,10465
-0.0907,7756
-0.0822,7208
0.0936,2959
0.237,3997
0.542,390
0.0143,4728
0.0396,3744
-0.446,10555
0.0745,4213
-0.354,9625
-0.0203,4772
0.0724,3404
0.0964,2549
0.136,1933
0.0638,3637
-0.000162,5546
-0.157,8907
-0.0869,7884
0.0508,4025
0.0288,4543
0.188,1439
0.172,1686
0.084,3738
0.265,801
-0.0389,7388
0.155,1620
0.285,687
-0.163,8621
0.268,562
-0.211,9888
-0.389,10703
-0.0213,5890
0.0529,4063
-0.0164,5776
0.351,167
-0.0117,5623
-0.011,5794
0.0166,4871
-0.192,8795
0.561,136
-0.0986,7902
-0.00452,5727
0.092,3095
-0.134,7927
-0.133,7603
0.115,3244
-0.152,8256
-0.0345,7043
-0.144,9833
-0.395,10245
-0.356,10950
-0.122,7197
0.196,2335
-0.0396,6394
-0.0076,5440
0.013,4899
-0.0971,7234
0.0237,4763
0.201,2460
0.00169,5131
0.0345,4415
-0.136,9188
0.184,2716
0.213,2153
0.0478,3484
-0.0385,6813
-0.176,9886
0.0339,4593
-0.22,7956
-0.343,10230
0.0993,3460
-0.135,7481
-0.156,7701
-0.00945,5483
0.108,2951
-0.0477,5928
-0.153,6887
0.08,2464
-0.167,9552
-0.1,8404
-0.0935,7531
0.0358,3662
-0.141,7180
0.148,845
-0.111,8840
0.15,2948
0.146,2769
0.000658,5312
0.204,2810
-0.014,5720
0.0653,3075
0.213,577
0.198,733
-0.107,8368
-0.471,10932
-0.114,9270
-0.32,9540
0.216,2339
0.00575,5089
-0.0495,7528
-0.0493,6179
0.0477,3762
-0.225,10234
0.152,3720
-0.0285,5067
-0.529,7211
-0.451,8101
-0.369,9603
0.229,3165
-0.17,8460
0.213,1737
-0.0305,6223
0.0995,2816
0.116,1077
-0.0366,7121
-0.524,8543
-0.333,10487
0.0379,4407
0.256,1577
-0.322,10789
-0.153,10387
-0.134,6307
-0.0499,6462
0.13,2445
0.000427,5233
-0.0349,5850
0.12,1826
-0.0057,5517
-0.085,6522
0.796,39
-0.225,7652
0.196,1724
-0.0131,5889
0.404,807
0.0132,4697
-0.129,7888
-0.745,10938
0.15,1598
0.186,1184
-0.0107,5562
0.0215,4713
1.01,247
0.0308,4518
0.277,162
0.115,2296
0.116,2762
0.33,1525
0.264,915
-0.15,6987
-0.196,9553
0.00906,5043
0.108,3840
-0.151,9360
0.212,1620
0.0612,3726
0.285,442
-0.0893,8009
0.406,256
0.0394,4299
0.175,2305
-0.667,10739
0.0924,217
0.0175,4669
-0.0107,5502
0.0854,4112
-0.202,9201
0.0349,4480
-0.0293,6560
0.00885,4740
0.0158,3576
-0.0836,7267
0.289,2215
0.17,1663
-0.342,9346
-0.0825,8764
-0.0761,6688
0.0699,3775
-0.297,10164
0.437,1492
0.0268,4887
0.0658,3168
-0.0442,6163
-0.333,10251
-0.112,7375
-0.165,9167
0.191,455
-0.0471,7109
0.02,4990
0.0367,4359
0.119,3166
0.0414,4172
-0.0231,5598
-0.0343,6734
-0.0878,9044
-0.596,9167
0.0357,4821
0.0954,3477
0.514,790
0.24,331
-0.0812,7181
0.211,2127
0.211,2873
0.0906,3471
-0.0308,5508
0.0475,4020
-0.596,10911
0.0169,5082
0.0574,3729
0.225,2368
-0.229,10110
0.102,1617
0.0029,5267
-0.0102,5547
-0.065,6707
-0.278,10655
-0.0411,6570
0.107,1861
0.186,2538
-0.0809,6896
-0.223,8983
-0.152,9022
-0.407,10696
0.196,1262
0.0374,4274
0.165,2418
0.226,1374
0.0636,3273
0.136,2083
-0.138,8696
-0.0262,6184
0.0873,2815
-0.215,8543
-0.0894,7781
-0.0803,7713
0.00289,5218
-0.0747,6074
0.0662,3229
-0.237,9603
-0.256,9294
0.138,1989
-0.134,9302
-0.105,8879
0.292,247
0.183,1055
-0.0883,7684
0.059,3761
0.0365,2291
0.206,1239
0.0519,3528
0.421,1164
-0.182,7246
0.267,353
0.125,1947
0.0682,3060
-0.00772,5385
-0.125,7910
0.609,1018
-0.0119,5468
-0.0495,7628
-0.0563,7392
-0.452,10285
-0.138,8619
0.324,1988
0.0162,5007
0.0162,4609
-0.0738,8392
0.38,1824
-0.00755,5113
0.068,4400
0.000295,5192
0.197,319
-0.143,9796
-0.0503,7290
