coef,rank
-0.145,7423
0.122,2745
0.0308,4365
0.512,532
0.843,1571
0.827,943
0.699,668
-0.103,8068
0.000579,5127
0.0671,3622
0.135,2540
0.0946,3512
-0.096,7960
0.0205,4501
-0.249,10667
-0.215,9684
0.61,759
-0.364,8953
0.166,560
-0.000864,5691
-0.196,10030
0.169,1123
0.109,3568
0.16,3150
-0.127,8736
0.437,210
0.0824,3764
0.309,756
-0.124,9667
-0.339,7734
-0.115,7899
0.294,218
-0.178,8982
-0.244,8170
-0.0306,5767
-0.115,7333
-0.105,8449
0.0197,4461
0.185,1340
-0.0823,6391
-0.283,10274
0.0937,3321
-0.0915,8409
0.0322,3627
-0.0822,7134
0.114,2370
0.133,2909
-0.123,6907
0.189,195
-0.0132,6142
-0.182,8693
-0.186,10015
0.273,1199
0.256,1326
-0.0608,6334
0.194,372
-0.0126,5497
0.287,1517
0.00878,4989
-0.126,7382
0.102,1555
-0.0791,8302
-0.223,9210
-0.0478,6165
0.166,773
-0.145,10464
0.0945,2995
0.00958,5126
0.0592,3803
-0.153,9811
-0.135,8526
0.736,657
0.0933,2537
-0.0888,7904
0.02,4964
0.144,2766
0.0372,4659
-0.0902,8410
-0.0589,7031
0.102,2391
-0.184,10094
0.0592,3752
-0.294,8793
0.0562,4289
-0.161,10363
-0.0128,5726
-0.0247,6148
-0.0128,5546
-0.13,8095
-0.0112,5213
-0.228,10912
0.0946,1591
0.121,2835
-0.028,5834
-0.0891,6578
-0.257,9439
-0.442,10891
-0.0758,7996
0.761,142
-0.0465,7671
0.195,1439
-0.162,8771
-0.163,9970
0.0809,2854
-0.0384,6379
0.319,680
-0.00726,5183
-0.394,10602
-0.22,9431
0.367,311
0.208,1597
0.188,1376
-0.299,7669
-0.276,9724
-0.182,10460
-0.0283,6872
0.154,2815
0.211,1065
-0.109,9262
0.0524,4218
-0.107,7991
0.0275,4149
-0.0525,7420
0.127,1409
-0.145,7622
-0.253,7975
0.0133,4825
0.0372,4429
-0.384,10740
-0.0939,7389
-0.109,7504
-0.154,8402
0.2,650
0.00229,5465
-0.0278,5626
-0.206,10544
1.45,913
-0.0282,5571
-0.0809,8119
0.22,652
-0.0449,6195
-0.104,9322
0.155,2823
0.168,2080
0.0899,3126
-0.232,10537
-0.0676,6219
-0.0446,6371
-0.153,10018
0.19,2350
0.176,1121
-0.00273,5552
2.14,914
-0.313,10554
-0.231,7942
-0.0858,7282
-0.0925,8455
-0.0829,7660
-0.212,8662
0.218,1212
-0.0121,5745
-0.0219,6102
0.0346,4604
-0.0389,7416
0.264,685
-0.139,8850
-0.0371,6710
0.0968,2068
-0.217,9762
-0.101,8778
-0.34,10785
-0.343,9692
-0.0642,7506
-0.0955,8644
0.00222,5197
-0.059,6967
0.031,4187
0.00267,5346
-0.196,7419
-0.064,8255
-0.104,8624
-0.153,8815
-0.244,10355
-0.0198,5890
-0.0668,7743
0.0272,3542
-0.144,9663
0.486,23
-0.335,10434
-0.0523,7061
-0.723,10787
0.0549,3627
0.101,2377
-0.0303,7305
0.00441,5083
0.26,1056
-0.0131,5043
0.257,389
0.11,3226
-0.309,10568
-0.0241,6357
0.0147,4867
0.207,860
0.133,3511
-0.15,10246
-0.0427,6686
0.0054,5261
-0.248,8109
-0.175,9375
-0.0459,6464
0.0843,2793
-0.0381,6952
-0.0788,7536
0.0791,3782
-0.269,9854
0.231,1328
0.031,3855
-0.0623,7590
-0.201,9687
0.251,1227
-0.119,7071
0.105,3504
0.148,2421
0.0348,3978
0.137,770
-0.503,10970
-0.249,9107
0.227,1134
0.137,1444
-0.114,9632
-0.00847,5840
-0.0174,5693
-0.132,8639
-0.0526,6575
0.109,3437
0.136,523
-0.075,6919
-0.341,10644
0.149,3243
0.101,2899
-0.331,10335
-0.676,9412
-0.357,9658
0.00571,5201
0.187,1429
-0.0205,5910
0.145,1284
0.00818,5295
-0.0311,6100
0.387,136
0.554,2608
-0.129,7390
-0.012,5774
-0.0855,8926
-0.122,7064
0.502,818
0.321,1648
0.44,1551
0.135,2010
0.172,1159
-0.13,8984
-0.0346,6465
0.136,2706
0.108,3076
-0.396,11014
0.124,2570
0.000381,4987
0.119,2603
0.421,103
0.276,1450
0.0414,4572
0.0189,4528
-0.044,6374
0.151,2136
-0.335,10557
-0.0896,7651
-0.262,10476
-0.232,9274
0.0812,3599
0.0539,4046
-0.142,8193
0.0172,4942
-0.0618,7047
-0.0394,6379
-0.0636,6782
-0.257,9651
0.5,221
-0.204,9866
-0.0275,6766
-0.0149,5817
0.223,1437
0.32,1131
-0.0973,7255
0.222,1698
0.077,2593
-0.0949,8642
-0.172,7699
0.246,730
0.0479,4380
