coef,rank
-0.223,8556
-0.00403,5391
-0.113,9114
-0.163,7598
1.66,659
-0.691,10574
0.171,3395
-0.283,10712
-0.0983,8464
0.0844,3231
0.0361,4358
-0.174,8423
0.333,230
0.0274,4218
-0.00595,5728
-0.211,9641
0.0611,4303
0.544,1074
0.058,3010
-0.00444,5885
0.129,2073
0.107,2187
-0.393,9927
0.218,2491
0.0329,4478
-0.246,9924
0.209,2119
-0.211,9146
0.0268,4592
-0.243,6752
-0.0364,6162
0.253,403
-0.273,10240
-0.0265,5327
0.0859,3363
0.0702,4058
-0.0109,5814
0.0787,2291
0.17,1571
-0.222,8602
0.321,671
0.165,2190
0.00906,5016
-0.0711,9142
-0.135,8255
-0.0718,7160
0.295,1037
-9.71e-05,4873
-0.0176,6212
0.0542,2700
0.369,714
0.00442,5508
0.115,3142
0.275,1166
0.0103,4753
0.158,706
0.144,1740
0.12,3186
0.797,238
0.23,1761
-0.0541,7801
0.177,996
0.373,698
-0.0742,6697
0.053,3459
-0.131,10255
-0.0678,7081
-0.0353,6865
0.038,4371
0.0489,3688
0.0751,3411
-0.495,9825
-0.301,10945
0.0978,2569
-0.0197,5988
-0.101,7170
-0.381,9737
-0.014,5976
0.0797,3087
-0.0401,6773
0.298,358
0.0542,3889
0.008,5150
0.0115,4952
-0.182,10597
0.192,771
0.242,907
-0.542,10955
0.176,1727
-0.0337,5587
-0.142,10101
-0.0615,8338
-0.15,8442
-0.211,9431
0.157,2806
-0.324,10200
-0.0635,6490
-0.0778,8043
-0.0069,5141
0.0617,3139
-0.0446,6336
0.00566,5153
0.0934,2610
0.228,533
-0.155,9421
-0.186,9199
-0.254,8746
-0.0624,6423
0.0682,3862
0.352,363
-0.173,8733
-0.132,8573
-0.0756,5470
-0.0465,6103
-0.0231,6413
-0.000738,5575
-0.122,7650
0.114,2633
-0.153,10199
0.285,1030
-0.113,8150
-0.0195,6083
0.00697,5126
0.223,328
0.346,1145
0.0481,4439
0.0267,4316
-0.165,8798
0.204,2055
0.261,800
-0.0615,6555
-0.375,10800
-0.212,10643
0.0943,2866
-0.12,7235
-0.0427,6825
-0.516,7676
0.136,3627
0.045,3622
-0.157,9630
-0.0688,6598
0.198,484
0.265,1567
-0.205,9735
0.126,2415
0.159,1651
-0.0979,6808
0.34,466
0.105,2321
-0.108,7089
-0.11,8624
0.173,770
0.164,3711
-0.163,8694
0.0215,4846
-0.0666,6811
-0.0072,5675
0.147,2143
0.156,2923
-0.0134,5679
0.319,378
-0.283,10866
0.0906,3410
-0.0675,8687
0.0788,3335
0.074,3850
-0.211,10660
-0.0389,6866
0.231,1437
0.262,232
0.162,2133
0.364,1309
-0.0501,7000
-0.0864,8346
0.032,3486
-0.047,6606
-0.29,10965
0.0216,4943
-0.0746,6038
-0.0748,8644
-0.0542,7274
-0.16,8946
-0.287,10691
0.0618,3758
-0.091,8567
0.0611,1977
0.0415,4013
-0.316,10921
-0.141,7929
-0.161,9787
-0.176,6651
0.0448,3920
0.289,213
-0.0177,6607
-0.135,9333
-0.0861,7137
0.0397,4272
-0.112,8679
-0.142,8157
-0.128,8084
-0.0111,5815
-0.195,8839
-0.197,9935
0.469,804
-0.0489,7266
0.168,1556
0.0529,4213
-0.00719,5144
-0.0419,6410
0.558,70
-0.062,7319
0.000404,5356
-0.155,9353
-0.0735,6731
0.57,149
-0.2,9105
-0.154,10854
-0.0791,8082
0.131,2411
0.331,655
-0.235,8924
0.148,2973
0.116,2939
-0.0353,6661
-0.0658,8291
-0.0611,6414
0.274,1705
-0.264,10574
-0.208,10658
-0.0106,5919
-0.0636,8109
-0.0935,7453
0.0327,4783
0.413,292
-0.181,8342
0.0866,1539
0.0278,4421
-0.16,8533
0.366,1331
-0.101,7276
0.443,362
-0.151,4693
-0.166,7404
-0.0627,7264
-0.0039,5189
-0.00317,5532
0.089,2436
0.0347,4602
0.526,107
-0.0207,5865
0.413,3190
-0.452,10701
0.232,223
-0.00241,5494
-0.17,7740
-0.28,8917
0.499,719
0.863,536
-0.0762,7576
-0.135,8996
-0.176,9857
-0.0446,6742
-0.0619,6983
0.168,2101
-0.0776,7634
0.0799,3404
0.0907,3666
-0.189,9914
0.0617,3973
-0.058,6099
0.0124,5276
-0.0121,6027
-0.355,10977
0.174,1823
0.171,2406
0.158,1690
0.0889,3002
-0.44,10860
0.54,54
0.202,1528
-0.421,10856
0.132,2022
-0.13,8833
-0.112,7852
-0.213,9674
0.0673,4033
0.166,2332
-0.201,9824
0.0147,4851
0.0547,3979
0.242,1239
-0.0239,5676
0.314,936
-0.0823,6898
0.188,476
-0.158,10059
-0.561,10862
-0.0806,7360
-0.0202,5533
0.315,1329
0.189,1270
-0.168,9864
0.149,1765
-0.102,7333
0.394,226
-0.274,8879
-0.149,10389
-0.228,9441
-0.108,8530
-0.214,8286
-0.117,6919
-0.202,10438
0.0528,3204
0.0193,4778
-0.172,9604
0.706,418
-0.197,8642
-0.188,9163
-0.0286,5619
0.161,2849
-0.289,9709
-0.168,9345
0.408,547
-0.173,7122
-0.0244,6260
-0.0864,7763
-0.278,10883
-0.139,8600
0.184,423
-0.213,8179
0.0548,3097
-0.114,8907
-0.162,8127
0.365,840
0.256,452
-0.0758,5977
-0.0602,7298
0.0533,3461
0.125,1808
-0.176,10160
0.18,1410
-0.0945,6951
0.266,167
0.265,2041
0.0448,4445
0.0896,1748
