coef,rank
-0.264,9019
0.222,1322
-0.0868,8407
0.102,3622
-1.51,10876
-0.435,8935
0.25,2762
0.0447,4204
-0.0303,6204
-0.335,10703
-0.439,10969
0.393,596
-0.16,9409
-0.0189,6113
0.206,962
0.0364,4616
-0.327,8766
-0.0216,4972
-0.194,10871
-0.0364,7666
0.187,1191
-0.158,9872
0.0295,4603
0.375,1273
0.0107,5080
0.193,1645
-0.179,8142
-0.158,8272
0.0149,5040
-0.0886,5287
0.00717,5156
0.193,879
0.268,1222
-0.259,8363
-0.0603,6417
0.0421,4515
0.0467,4198
0.143,834
0.0815,3198
0.335,1248
0.138,2644
0.572,85
-0.0294,6372
0.109,859
0.213,1512
-0.291,10773
-0.016,5704
-0.00241,4903
-0.0053,5549
-0.0166,6342
0.255,1544
-0.259,10682
-0.0566,6357
0.103,3301
0.11,2853
-0.0666,7960
-0.194,9927
0.375,961
0.635,530
-0.244,9240
-0.0952,9268
0.156,1325
-0.121,7558
0.111,3070
-0.0457,7176
-0.0523,7727
0.117,2535
-0.00488,5695
-0.154,9554
-0.106,8814
0.0206,4704
0.336,2215
0.0691,3143
0.236,556
-0.023,6064
0.104,3359
-0.508,10543
-0.098,8635
0.233,656
-0.0541,7231
-0.0854,8121
0.105,2758
0.406,1496
-0.291,9337
0.0719,2893
-0.319,10994
-0.28,10702
0.405,757
0.208,1330
-0.403,10419
0.0249,4447
-0.138,10442
0.0216,4798
-0.268,10137
0.2,2282
-0.164,8085
0.202,1919
-0.102,8780
0.241,2162
0.0128,5071
-0.0696,6988
-0.258,10128
0.147,1502
0.0705,3135
0.107,2341
-0.0797,7083
0.258,2029
0.457,429
-0.101,7374
0.285,711
-0.178,8801
0.252,734
-0.0784,5505
-0.0832,6758
-0.0145,6090
0.0715,2589
-0.287,9913
-0.139,9135
0.0456,3616
-0.489,10993
0.426,133
0.0455,3481
-0.14,9836
-0.0543,7459
0.0638,4263
-0.103,6177
0.166,750
0.158,2143
0.398,596
-0.123,8080
0.135,2905
0.122,3011
0.0587,3395
-0.146,9399
0.284,1467
-0.00575,5510
-0.623,8373
-0.237,8099
0.103,1931
-0.299,10924
-0.116,7400
0.0727,2834
0.274,1490
0.13,2639
-0.0707,7119
0.131,2192
-0.0533,5965
-0.0912,7479
0.121,1987
-0.0872,6713
-0.0589,7232
0.00528,5221
2.96,520
-0.0957,7261
-0.113,6458
-0.103,7635
-0.334,11010
-0.263,10550
-0.299,9760
0.0604,3847
-0.145,9053
0.0503,3880
-0.144,8720
-0.0485,7903
-0.221,10010
0.0191,5176
0.17,968
-0.0953,8798
-0.096,7658
-0.145,9796
-0.194,9504
-0.216,8182
0.066,3029
-0.0997,8775
-0.00327,5534
-0.122,8694
0.173,898
-0.0576,6579
-0.486,10094
0.117,1058
-0.0583,7393
-0.0873,7461
0.247,864
0.0361,4406
-0.0398,6707
0.118,523
-0.0294,6314
-0.0288,6295
0.105,3220
-0.168,9892
0.122,3756
-0.0898,8224
-0.284,10919
0.0448,3172
0.17,1055
0.0279,4595
-0.222,8190
-0.0468,6895
0.382,552
-0.243,9954
-0.0972,8901
-0.196,8855
0.0478,3686
0.0544,4502
0.0692,2582
-0.00544,5579
0.000108,5381
-0.764,10992
-0.187,9582
-0.284,10350
-0.256,10809
0.027,4223
0.256,607
-0.273,9972
-0.369,10652
-0.198,9082
0.231,24
-0.185,10329
-0.115,8126
-0.181,9254
-0.348,10137
0.246,1897
0.0721,3789
0.0647,2996
-0.172,10717
-0.183,8564
-0.194,8329
