coef,rank
-0.152,7536
0.0678,3810
0.0238,4610
-0.26,8911
-0.059,4515
-0.322,7718
0.311,2349
0.0475,4150
0.27,178
-0.0153,5344
-0.248,9963
-0.227,9253
-0.126,8701
-0.112,9360
0.203,990
-0.033,6227
-0.463,10007
-0.518,10178
0.0908,1969
-0.113,10360
-0.203,10111
0.158,1265
0.237,2236
-0.584,10857
-0.258,10581
-0.0918,7197
-0.122,7194
-0.0924,6971
0.0624,3268
0.985,575
0.172,2047
0.116,2096
-0.114,7768
-0.134,6716
0.0449,4162
0.236,1872
0.325,259
0.00059,5256
-0.0445,6537
0.245,1964
0.424,271
0.109,3021
-0.174,10180
0.124,545
-0.0412,6215
0.0176,4673
0.0324,4720
-0.279,9270
0.0505,2828
-0.0436,7780
-0.39,10718
-0.025,6330
-0.195,8854
-0.0773,6892
-0.0257,5541
-0.0219,6152
0.365,122
0.369,994
-0.149,7084
-0.37,10447
0.00366,5124
-0.0633,7779
-0.21,9007
-0.0753,6720
-0.00405,5554
-0.0729,8564
-0.136,8754
-0.197,10709
0.00729,5253
0.32,105
-0.309,10728
0.0812,4171
0.0919,2564
0.144,1643
0.221,1258
0.191,2194
0.421,1220
-0.0178,6108
-0.103,8292
-0.0518,7164
-0.0721,7772
0.215,1187
-0.126,6818
0.159,2995
-0.101,9135
0.107,2171
-0.218,10211
-0.0823,6779
-0.268,10223
0.579,271
-0.0667,8083
-0.0425,7511
-0.0318,5963
0.244,1196
-0.294,9592
-0.223,8972
-0.208,9099
0.187,716
0.173,2836
-0.17,10632
0.0562,3830
0.0664,3866
0.111,2193
-0.119,8939
-0.0448,6571
-0.103,7593
-0.289,9148
-0.208,8843
-0.163,8572
-0.162,8893
0.0613,3859
-0.0129,5559
0.678,979
-0.187,8525
-0.106,9107
0.0939,1880
0.0799,3918
0.303,357
0.0455,3621
0.402,383
-0.243,10292
-0.166,10436
-0.0433,7083
-0.0702,8018
-0.389,10409
0.0819,4073
-0.058,7515
0.0109,5073
-0.197,9075
0.0774,3340
-0.0286,5876
0.0641,3970
0.221,479
0.181,1325
-0.0192,5455
0.175,929
-0.000256,4224
0.00959,5105
0.218,373
-0.239,10639
-0.138,7734
0.105,1912
0.0716,4010
-0.108,8009
-0.339,10863
-0.334,10967
-0.0907,6680
-0.0387,6231
-0.106,9056
0.0909,3648
0.196,883
0.068,3056
-1.16,9812
-0.18,9002
-0.000604,5094
-0.0504,6417
-0.184,10311
0.0556,4074
0.126,3334
0.0651,3736
0.00728,5190
-0.238,10606
-0.332,10779
-0.0815,9209
-0.00432,5270
0.00673,5498
-0.161,10071
0.00258,5243
-0.188,9387
-0.0556,7407
-0.11,7921
0.101,3688
0.000238,5207
0.161,859
-0.0279,7037
-0.014,5550
-0.0767,7933
-0.298,10358
-0.383,9302
0.0365,3624
0.0654,3579
0.207,1606
0.0924,3071
0.245,856
-0.043,6846
-0.0296,7053
-0.12,9144
0.108,2519
-0.103,7180
-0.154,9660
0.233,2881
0.106,2316
0.148,1420
0.0547,2740
0.0647,3254
0.218,1468
0.155,2852
-0.0222,6124
-0.272,10042
0.228,1399
