coef,rank
-0.119,7028
-0.0292,6040
-0.113,9113
-0.078,6291
0.18,3234
0.372,2542
-0.177,6944
-0.0889,7736
-0.0899,8249
-0.248,9981
-0.0848,7057
-0.00994,5371
-0.0241,5917
0.0194,4545
0.0787,3259
-0.0401,6384
-0.000687,5031
-0.212,7166
-0.0463,7529
0.00272,5491
-0.0663,7169
-0.000509,5270
0.94,43
0.0102,5145
0.226,909
-0.0412,6041
-0.179,8144
-0.153,8182
-0.0282,6737
-0.324,7581
0.216,1471
-0.135,9228
0.0484,4392
-0.0848,6071
-0.392,10878
-0.189,8532
0.19,1256
0.02,4445
-0.0155,5713
0.296,1514
-0.371,10788
0.02,4725
-0.105,8771
-0.0342,7400
0.424,233
-0.103,7995
0.109,3302
0.0823,3600
-0.0652,8476
-0.0183,6436
-0.0724,6679
-0.0601,7323
-0.067,6551
0.106,3244
0.221,1423
0.0481,3397
0.0185,4560
-0.107,6759
-0.0967,6358
0.198,2068
0.0655,2593
-0.195,10546
-0.0951,7066
-0.128,7804
0.132,1259
0.2,186
0.137,2161
-0.0959,8958
0.0223,4805
0.0616,3279
0.161,1884
0.0912,4083
-0.0565,6951
-0.083,7742
-0.19,9652
-0.271,9738
0.834,166
0.00324,5383
0.233,653
-0.0892,8300
-0.0813,8014
0.256,796
0.0577,4541
-0.141,7248
-0.0576,7713
-0.0966,8475
0.146,2120
0.152,2966
-0.188,9226
0.0773,3826
0.0641,3066
-0.133,10340
0.549,85
0.0487,4138
-0.249,9063
-0.0078,5263
0.269,1226
-0.142,9680
-0.186,7874
0.145,952
-0.0368,6150
0.0541,4125
0.034,4321
-0.0835,8030
-0.0637,7090
-0.181,9117
-0.162,7501
-0.07,6547
-0.164,8596
0.0869,3333
-0.247,9805
-0.0291,5990
-0.21,6728
0.333,1094
0.14,1401
-0.0355,7184
0.476,340
0.245,723
0.18,597
-0.0205,5797
0.222,1200
-0.118,9534
-0.0905,8663
0.0307,4330
0.304,1413
-0.222,7609
0.123,1453
-0.19,9220
0.165,2575
0.146,2035
-0.0868,7085
0.122,3010
0.0164,4797
-0.158,9637
0.232,1918
-0.0672,7665
0.299,2959
0.239,2644
0.126,1443
-0.0166,5944
0.185,2764
0.022,4687
-0.2,8717
0.0757,3732
0.058,3846
-0.0153,6038
0.0044,4927
0.182,1833
-0.0575,7610
0.0763,3869
-0.0234,6165
-0.153,10140
-0.377,6406
-0.0688,6632
0.7,416
-0.104,7663
0.0111,5070
0.357,270
0.227,2130
0.231,1085
-0.0121,5747
-0.0336,6470
0.0761,3719
0.0382,3393
-0.0625,6813
-0.0731,7431
0.173,924
0.0233,4429
0.452,199
-0.138,9662
-0.137,8476
0.0883,3829
0.000623,5188
-0.0916,8523
-0.0603,8799
-0.235,10512
-0.242,10786
-0.125,7938
-0.51,10218
-0.119,9972
-0.0813,8025
-0.256,10283
0.0475,4088
0.153,1968
-0.0578,7404
0.156,186
0.0635,3362
-0.103,8421
-0.00746,5262
0.148,1518
-0.361,8697
-0.101,8539
-0.00516,5602
-0.127,10556
0.0922,2554
-0.245,9923
0.0172,4619
-0.0845,7988
0.0516,4278
0.0233,4752
-0.133,9747
0.131,2812
-0.0171,5478
-0.125,7148
-0.0376,6788
0.137,2050
-0.317,10657
-0.0732,5863
0.17,1874
-0.205,9457
0.236,497
-0.0606,7855
0.159,1674
0.0202,4902
0.411,539
-0.0797,6752
0.0729,1974
-0.0838,8224
0.135,2329
0.0367,4593
-0.479,10802
-0.362,10131
0.00879,5178
-0.151,10112
0.0302,3874
-0.23,9280
0.359,1139
0.0237,4950
-0.0647,7712
0.0812,2475
-0.039,7118
-0.0898,7371
0.233,1278
-0.213,9663
0.261,1598
-0.062,8689
0.233,1100
0.000871,5201
-0.342,9749
-0.209,9389
-0.0172,5488
-0.352,6507
-0.257,8593
0.326,205
0.162,1751
0.0205,5019
-0.0168,5953
0.0933,3289
0.132,2826
-0.0737,7312
0.797,1820
-0.0105,5415
-0.0194,6108
-0.0323,6843
-0.141,7313
-0.0655,6094
-0.131,6917
0.167,3112
0.17,1483
-0.0756,7486
-0.0249,6183
-0.161,9484
-0.0791,7402
0.301,744
-0.157,9501
0.00774,5064
-0.196,7994
0.00455,5402
-0.171,9502
-0.352,10341
0.152,2180
-0.0453,7690
-0.0617,6895
0.235,1111
0.0764,3951
0.0972,2819
0.0334,4246
0.287,1077
-0.118,8098
0.444,165
-0.0531,6497
0.0495,4000
-0.103,8172
-0.289,10247
0.213,1490
-0.219,9172
0.236,1492
0.11,2867
0.0352,4031
0.0168,4964
0.379,393
-0.258,9478
0.0614,4164
-0.0356,5970
0.0243,4519
0.116,1850
0.392,1175
0.0169,4671
0.53,415
0.00791,4745
0.191,1246
-0.147,9499
-0.106,8235
-0.151,8297
0.112,2828
-0.186,7616
0.00514,4958
-0.0995,7176
-0.175,9858
-0.0136,5390
-0.42,10565
0.0919,2328
0.0179,4513
0.275,417
0.0513,4114
0.88,187
0.137,3228
-0.207,9433
0.0743,3876
-0.227,8804
0.16,2903
-0.142,8892
0.174,2374
0.675,775
0.108,1756
-0.153,9296
0.221,611
0.0422,3994
-0.0603,7758
-0.283,9062
-0.0867,8720
-0.152,9693
0.593,347
0.164,2533
0.108,2445
-0.279,8652
-0.0656,7469
-0.274,10978
-0.0437,6903
-0.12,9083
0.145,1953
0.128,2981
0.0935,2262
-0.189,7934
0.0822,3919
-0.047,7596
0.06,2845
-0.201,9196
-0.146,9540
0.0135,4953
-0.585,8554
-0.646,10481
-0.229,4953
-0.239,6210
-0.244,8204
0.509,1829
-0.102,7248
-0.236,9730
-0.0123,5706
-0.203,9683
0.0734,2218
0.1,1059
-0.898,10485
-0.00749,5431
0.0189,4782
0.434,481
-0.0895,7760
0.0583,2975
-0.000199,4539
-0.269,10158
-0.163,9507
0.609,20
-0.107,7169
0.137,1500
-0.00904,5612
0.391,729
-0.307,9892
0.0608,4471
-0.218,9736
-0.0453,7011
0.148,3027
-0.171,10810
0.22,1657
0.0653,4397
0.206,874
-0.149,9381
-0.133,8850
-0.209,9569
0.197,3110
-0.128,7811
-0.0116,5600
-0.0211,5822
-0.354,10916
-0.132,6996
0.283,775
0.159,3019
-0.0683,6917
-0.112,9042
0.122,3663
0.264,504
0.0417,4345
0.167,1686
0.0103,4972
-0.208,10351
0.0116,5173
-0.145,7990
-0.0979,7279
0.108,3886
0.0675,682
-0.0621,7249
-0.00222,5301
-0.476,10872
0.219,1667
0.0543,4123
-0.0553,7490
-0.0492,8436
0.027,2401
0.0228,4657
0.4,1490
-0.159,9096
-0.0679,5914
0.131,1016
0.0976,3405
0.0497,4155
0.13,2758
0.128,3696
0.0421,4601
-0.0437,7113
-0.0517,6361
0.227,1874
0.111,3145
-0.178,9421
0.0175,4385
-0.125,9298
-0.23,9946
-0.221,9899
0.0403,4549
0.126,2081
0.232,1909
-0.00736,5807
0.08,2239
-0.127,4304
-0.0131,5464
-0.0222,5624
0.0675,4318
-0.208,10624
-0.0754,7069
-0.36,10505
-0.274,8305
0.506,260
0.145,3256
0.0624,3643
-0.26,8716
0.593,320
-0.3,10785
-0.22,8511
0.222,1225
0.0413,3568
0.00432,5208
0.0679,3877
0.242,1308
0.0129,5181
-0.141,9238
0.0596,3214
-0.015,5437
-0.0861,6986
0.0408,4524
0.204,1842
0.0942,3684
0.0328,4337
0.291,271
0.33,867
0.0184,4656
-0.185,10298
-0.154,9079
-0.267,10571
0.0306,4740
0.354,102
-0.203,8414
-0.0635,7004
-0.063,7212
0.164,880
0.0191,4623
-0.0716,7873
0.0373,4460
-0.272,9496
-0.041,6516
0.0968,2524
0.0238,4549
0.232,552
-0.00971,5686
0.059,3909
-0.276,10706
0.0537,1280
0.0121,5194
-0.0431,6986
0.091,3956
0.16,3200
0.244,505
-0.0382,6588
-0.0229,6272
-0.0829,7215
-0.0172,5490
-0.132,6312
-0.0606,6731
-0.111,9887
-0.0107,5639
-0.0327,5484
0.0339,4696
-0.751,10914
-0.0994,7261
-0.0834,6375
-0.0798,8571
-0.237,7667
0.424,1553
-0.201,7832
0.298,2040
0.0214,4275
-0.0801,8211
-0.0393,6899
0.149,1146
-0.146,7458
-0.0977,7457
0.0862,2342
-0.0714,7153
0.327,2489
0.225,2129
0.266,2017
0.993,760
-0.158,10024
0.00672,5298
0.0261,4433
-0.0788,7478
0.0618,3631
-0.21,8727
-0.155,9775
-0.082,9122
-0.164,5590
-0.164,6086
-0.367,8144
2.07,64
-0.0398,6600
0.0961,3687
-0.0955,8153
0.114,2844
-0.0317,5875
-0.101,7924
0.0821,2866
-0.234,9906
-0.0858,7722
0.211,1123
0.393,1728
-0.608,9943
0.0224,4554
-0.127,7876
0.12,2600
0.132,2273
-0.0368,6124
-0.0772,6940
0.135,2199
-0.414,10855
-0.191,9735
-0.112,8636
-0.0759,6769
0.59,31
0.0462,3919
-0.117,8949
0.0458,4240
-0.137,9054
-0.193,8484
-0.194,10655
-0.2,10323
0.103,3535
-0.132,8441
-0.125,8362
0.0688,3645
0.0112,5241
0.0662,3435
-0.115,9595
-0.198,7578
-0.0173,5660
-0.016,5300
-0.434,8744
0.138,1796
0.367,150
-0.294,9361
-0.237,10822
-0.00159,5456
0.0915,3353
-0.111,8797
-0.152,9593
0.218,1075
0.0676,3013
0.941,50
-0.181,7900
0.144,396
0.32,690
-0.284,9811
0.00456,5149
-0.206,9253
0.122,2381
