coef,rank
-0.303,9458
-0.197,9495
-0.0899,8501
0.136,3163
0.227,3045
-0.0979,5440
-0.21,7324
0.0845,3258
-0.193,10456
-0.329,10666
0.164,2117
-0.222,9174
0.019,4657
0.0608,3007
0.0239,4780
-0.0187,5839
2.71e-05,5020
0.452,1470
0.099,1736
0.157,280
0.381,116
0.224,549
-0.419,10094
-0.376,9980
-0.305,10823
0.00133,5114
0.159,2683
-0.000139,5087
-0.0349,6997
0.957,628
-0.467,10990
0.0773,3000
0.0917,3547
0.309,1850
0.148,2318
-0.156,8013
0.338,215
-0.0156,5991
-0.1,7967
-0.397,10445
0.0689,3873
-0.262,9931
-0.0421,6809
-0.056,8471
-0.322,10625
0.1,2639
-0.0123,5624
-0.226,8509
0.0197,4206
0.181,164
-0.0193,5645
-0.000735,5672
-0.101,7220
0.0497,4277
0.316,689
0.0537,3179
0.37,114
0.0177,4690
-0.239,8278
-0.104,6950
-0.00954,5748
-0.0425,7130
0.173,2462
0.489,170
-0.0367,6829
-0.0372,7026
0.0142,4896
0.0549,3417
0.0949,2911
-0.1,8655
-0.277,10517
-0.151,6506
-0.101,8270
-0.0632,7185
-0.168,9336
0.00884,4998
-0.356,9486
-0.00141,5551
0.167,1363
-0.0824,8118
-0.0296,6529
0.0101,5037
0.242,2688
0.069,4131
-0.107,9282
0.0972,2401
-0.194,9940
-0.208,8800
0.274,746
0.395,853
0.235,228
-0.0157,6222
0.209,1604
-0.195,9208
0.125,3236
0.326,1064
0.0204,4805
0.148,1251
-0.0724,6155
-0.015,6288
0.158,1936
0.103,3154
0.0794,2944
0.132,1698
-0.204,10211
-0.448,10984
-0.232,8447
0.0322,4633
-0.0543,6428
0.00868,5049
-0.3,10369
0.0512,3966
0.0965,4023
0.496,366
-0.065,7888
-0.00354,5721
0.122,3260
-0.282,10800
-0.0821,8487
-0.368,10748
-0.292,10664
-0.0213,6155
-0.0624,7770
0.023,4616
-0.0169,5522
-0.489,10123
-0.0295,6464
0.161,2110
0.123,3219
0.15,1988
-0.253,9869
-0.141,8144
0.0121,4946
-0.12,8868
0.064,4078
0.0454,3736
-0.654,8563
-0.248,8244
-0.127,9415
0.0801,2964
-0.0528,6333
0.0165,4887
0.195,2333
0.0998,3203
0.00905,4968
-0.108,8600
-0.295,9755
0.392,264
-0.218,10769
0.176,2513
-0.141,9301
-0.0165,6097
-1.11,9691
-0.235,9836
0.897,183
-0.262,10182
0.0699,3181
0.261,761
-0.344,10149
0.00618,5154
-0.135,8863
-0.111,8633
0.00876,5190
0.0459,3067
-0.0909,7517
-0.0825,7628
0.0785,2801
0.0547,3285
0.182,2055
0.0537,3539
0.0637,3948
0.103,3649
-0.14,9615
-0.151,9955
-0.0938,9989
0.874,0
-0.0063,5541
-0.0856,7165
-0.211,7567
-0.0521,7717
0.0102,5195
-0.0903,7538
0.00346,5197
-0.172,9569
0.0776,2357
-0.0307,7101
-0.0166,5883
0.0937,2816
-0.228,9357
-0.0529,7076
0.0245,4614
0.262,311
-0.229,10660
-0.122,10495
-0.0993,8379
0.222,1419
-0.16,7326
0.26,379
-0.0813,6982
0.0234,4748
-0.0991,8961
0.0593,4005
0.148,1624
0.322,1633
0.00727,4928
-0.132,8962
-0.243,10070
0.243,2555
0.0843,3375
-0.265,10172
0.0197,4599
0.167,597
-0.064,7156
0.273,1204
0.07,4009
0.167,2081
0.00135,5519
0.199,773
0.148,2125
-0.273,10329
-0.208,8523
0.37,1007
-0.302,10547
-0.0534,7370
0.0967,1534
0.241,1630
-0.18,8087
-0.022,6084
0.107,2075
0.0608,3126
-0.0125,6010
0.0721,3754
0.0714,3942
0.0584,4140
0.158,2699
0.0446,3089
-0.187,9323
0.327,618
-0.183,7994
0.414,232
-0.0606,6295
-0.689,9500
-0.239,8370
-0.0983,8241
-0.109,7912
0.0457,4483
0.0878,2461
-0.194,9725
0.0724,3859
0.204,1141
-0.0763,5756
-0.00951,5397
-0.22,10830
-0.0732,8460
0.394,1219
0.323,1806
0.436,960
-0.125,5921
0.127,2181
0.0763,3008
0.0441,4099
-0.007,5651
-0.277,10394
-0.0164,5763
0.035,4398
0.074,3538
0.191,2434
0.0695,3682
-0.175,9584
-0.209,8708
-0.0342,6459
-0.0618,8425
0.294,342
0.0146,4794
0.0229,4953
-0.0904,7669
-0.023,5788
-0.0418,5921
0.0478,4320
-0.219,9699
0.0695,4137
0.0663,3551
-0.0277,6068
-0.0465,6554
-0.196,9436
0.203,2098
0.231,1540
-0.143,8831
0.116,1461
0.0577,3893
0.225,1416
0.805,31
0.156,2620
0.146,2621
-0.0119,6099
0.0201,4665
0.185,2812
-0.163,9221
-0.292,9575
-0.191,7995
-0.261,10565
-0.273,10865
-0.102,8147
0.43,249
-0.22,9902
-0.0294,5342
0.0259,4003
-0.0853,6878
-0.174,9849
0.178,2778
0.106,3411
-0.0231,5799
-0.00391,5439
-0.168,9737
0.21,1164
-0.191,7579
0.00284,5334
0.149,2597
0.0904,3620
0.448,680
0.152,2996
-0.115,8339
-0.154,7820
-0.151,6841
-0.0297,6451
0.318,365
0.184,990
0.167,1690
0.128,1097
0.16,3119
-0.0694,8147
-0.099,8522
-0.227,9085
0.176,2385
0.00911,5063
0.32,1860
0.0783,2779
0.119,1699
-0.251,10840
-0.111,8807
0.225,913
-0.047,6071
0.0896,2373
-0.3,9331
0.389,1003
-0.06,8102
-0.0565,7833
-0.118,7660
0.00139,5191
-0.174,9503
-0.0995,5098
-0.618,10374
-0.534,7256
0.127,3582
0.0145,4924
-0.514,9376
-0.212,9089
0.421,347
0.198,1358
0.189,1439
-0.0624,8351
0.0203,4086
-0.432,7851
-0.333,10480
0.128,2774
0.17,2584
0.262,953
-0.00279,5538
-0.0366,5019
-0.111,7762
-0.0667,7436
0.0659,3744
-0.166,8198
-0.0556,7257
-0.213,9901
-0.356,10275
-0.15,7631
0.026,4804
-0.0509,6500
-0.148,9836
0.176,2687
-0.0559,8133
-0.0852,6985
0.779,406
-0.0129,5767
0.114,2319
0.38,108
-0.0597,6594
0.131,3646
-0.117,7573
0.0156,4637
-0.0524,6748
0.00235,5400
0.12,3550
-0.00626,5488
-0.488,10594
0.069,3675
0.0924,2422
-0.501,10465
0.0801,3173
0.394,380
0.339,290
0.132,2157
0.1,2593
0.117,2930
-0.03,5687
0.00696,5160
0.217,2971
0.0598,979
0.0649,3250
0.341,538
0.496,506
-0.339,10593
0.46,326
0.00312,5353
0.0867,996
0.0402,1338
0.104,2827
-0.0397,5702
-0.234,10183
-0.515,10546
0.136,962
0.12,3038
-0.123,7740
-0.092,6942
0.189,3153
-0.139,8151
-0.016,6062
0.097,2811
0.174,2513
0.256,1294
-0.0471,6603
-0.00466,5237
-0.101,8741
0.304,736
-0.166,9080
0.564,141
-0.208,10390
0.61,164
0.035,4323
0.0771,2352
-0.756,10213
0.143,3570
0.144,2750
-0.0256,5517
0.316,80
-0.355,10775
0.0256,4899
0.0951,3930
-0.024,5549
-0.0957,6435
0.691,1
-0.538,10773
0.455,725
-0.108,8189
0.146,3239
0.141,2331
-0.141,10329
-0.0155,6201
-0.173,8933
-0.0189,5689
0.315,412
0.258,443
-0.0784,8268
-0.199,8481
-0.0166,5615
0.617,166
-0.104,8099
-0.16,8151
-0.415,11002
0.0832,2993
-0.168,8445
0.209,1535
-0.142,9617
-0.0469,6537
-0.0249,5748
-0.0122,5855
-0.165,9488
0.423,1129
-0.0874,7726
-0.177,9651
0.106,1919
0.202,2289
-0.163,10079
0.129,2828
-0.122,7235
-0.166,9546
-0.0116,5757
0.256,268
-0.106,8366
0.168,1238
-0.195,9773
-0.0248,6063
-0.04,9203
-0.056,7089
0.0656,3135
-0.128,6796
-0.00722,5018
-0.0238,6336
-0.0102,5627
0.0943,2359
-0.0744,6994
-0.116,7718
-0.0832,5805
-0.0908,7480
0.0478,2961
0.0266,4216
0.0642,4224
-0.0756,7391
0.0791,4048
-0.0969,7214
-0.258,9178
0.129,1354
-0.374,9113
0.498,1204
-0.511,10593
0.525,850
-0.0848,8578
0.204,599
0.233,446
0.147,1180
-0.13,7220
-0.328,10681
-0.142,9773
0.136,2429
0.276,2787
0.121,3333
0.0582,4548
0.85,1015
-0.087,8391
-0.277,10769
-0.25,10019
0.188,1803
0.155,1772
0.139,3244
-0.205,10483
0.0188,4559
-0.681,10253
-0.204,6484
0.665,1414
-0.159,6228
-0.0583,7190
-0.128,7511
0.154,1480
-0.0758,6842
0.0472,4193
0.0328,4502
0.103,2371
-0.0121,5526
0.00242,5415
-0.0509,6693
0.518,1105
0.838,742
-0.0662,7234
-0.00333,5179
-0.127,7967
0.16,1843
-0.216,9715
0.109,2915
-0.0428,6422
0.11,3044
-0.165,9317
-0.171,9826
-0.255,9846
-0.248,10101
0.00901,5115
-0.119,9011
0.0299,4672
0.17,1465
-0.197,8552
0.0479,3545
-0.0963,8390
0.0882,3776
0.232,1077
0.179,1843
0.0596,3841
0.0632,4134
0.266,521
0.0775,2327
-0.195,7536
0.111,2478
-0.0254,5486
0.065,4509
0.0625,3580
-0.0168,5710
-0.171,7688
0.0647,3238
-0.107,8938
-0.335,10669
0.236,476
0.125,1937
-0.0535,7025
-0.0579,7260
-0.484,10681
0.306,1824
-0.0587,8436
0.132,2709
0.034,4586
-0.268,10555
0.212,1617
-0.072,7458
0.00677,5257
0.133,1979
0.0376,4624
0.129,3157
-0.244,10363
-0.222,9138
0.271,364
-0.102,8994
-0.0732,6046
-0.0624,8078
0.359,1513
0.128,3564
0.0707,3468
-0.157,9687
-0.319,10656
0.0439,3937
0.186,2290
-0.175,8873
0.125,2158
-0.158,10056
0.106,1330
-0.0816,7896
-0.0833,7684
-0.0862,7580
0.0525,3615
0.609,154
-0.0381,6630
0.463,699
-0.0251,5021
-0.0598,7467
0.0477,3276
-0.0127,6028
0.141,1663
0.292,1222
0.106,3166
0.136,1203
0.0934,1294
-0.0167,5736
-0.298,9936
0.238,1843
-0.213,8708
-0.0883,7340
0.463,129
-0.123,7396
-0.325,10768
-0.101,6854
-0.158,9341
0.0287,4317
-0.0537,6958
0.758,1905
0.0649,3360
0.0721,4087
-0.0501,6087
-0.107,9667
-0.512,10553
-0.483,8794
4.36,93
-0.704,10933
-0.187,6842
-0.13,7129
0.427,458
0.0495,4083
0.185,1489
0.0706,3428
-0.067,9122
-0.111,7659
-0.27,8842
0.449,1060
-0.0866,8323
0.0178,4769
-0.0378,6727
-0.16,8376
-0.15,9153
0.651,142
-0.0324,6316
0.146,2168
-0.0519,6490
0.0425,4138
0.15,2712
0.0697,3935
0.292,1173
0.0409,3973
0.038,4312
0.0988,3629
-0.232,10765
-0.0298,6084
0.187,2528
-0.124,9148
0.433,477
-0.236,9923
0.296,2333
0.0237,4786
-0.098,7063
0.142,1877
-0.16,9387
0.361,769
-0.187,8872
0.0529,4211
-0.166,7984
0.0972,3480
0.396,95
0.271,941
-0.197,6606
-0.183,8483
0.0449,4457
0.0713,3371
0.152,1820
-0.122,9348
0.0502,3831
-0.487,9803
-0.472,6759
-0.0151,5939
-0.018,6169
0.168,951
0.0255,4861
0.0893,1626
0.396,1144
0.112,2583
0.00637,5438
0.229,2319
0.0406,4438
-0.217,9336
-0.0687,6868
0.0243,4841
-0.0966,8625
-0.495,10869
-0.116,7077
0.311,2912
-0.316,9750
-0.0326,6466
-0.0245,6209
