coef,rank
-0.167,7762
0.048,4215
0.196,664
0.215,2331
-0.438,7020
0.209,3441
-0.112,6212
-0.126,8583
0.0143,4640
0.259,879
-0.119,7771
-0.0051,5255
-0.045,6507
0.189,452
0.146,1772
-0.195,9417
-0.15,6727
0.235,2749
0.11,1481
-0.0616,8834
-0.135,8904
0.143,1492
0.401,1090
-0.123,7038
-0.118,8545
0.164,2038
-0.211,8604
0.115,2901
0.0179,4924
0.775,1005
0.0895,3377
-0.175,9963
-0.111,7712
-0.135,6735
-0.0222,5591
-0.0189,5662
-0.122,8826
-0.052,7569
-0.0665,7108
-0.0347,5576
0.0592,4086
0.0489,4164
-0.00997,5664
0.15,261
-0.222,9645
-0.029,5978
-0.0605,6612
-0.281,9291
-0.0354,7133
-0.00245,5515
-0.212,9144
-0.0624,7394
-0.0338,5909
-0.143,8124
-0.0239,5509
-0.0873,8675
0.0204,4513
0.115,3252
0.616,578
0.262,1473
0.0141,4666
0.0575,3665
0.0407,4504
0.266,1192
-0.0746,8229
0.0737,2206
0.187,1429
-0.264,10974
-0.215,10416
-0.0927,8452
-0.0558,6648
0.415,1798
-0.0283,6063
0.0022,5247
-0.0535,6813
-0.203,8853
0.461,1043
-0.0823,8195
-0.215,10368
-0.223,10656
0.0808,3396
-0.136,8742
-0.224,8025
-0.0177,5358
-0.0436,7223
-0.0143,5775
0.0971,3085
-0.489,10877
0.298,591
-0.479,10749
0.12,1560
-0.0361,7220
0.00711,5105
0.332,593
-0.155,7687
-0.478,10902
-0.00919,5377
-0.0413,6784
0.133,3276
-0.0403,7412
0.042,4157
0.0138,4953
0.0673,3317
0.111,2133
-0.0789,7529
-0.122,7992
0.334,1468
-0.0372,5935
0.555,111
0.11,2868
-0.208,9289
0.381,168
0.266,2876
-0.00318,5327
0.0424,3966
-0.062,8232
0.29,1319
-0.0214,6146
-0.16,10315
-0.15,8448
0.0153,5015
-0.124,9674
-0.0319,6639
-0.192,10604
-0.439,10660
-0.354,9101
-0.0145,5879
0.197,1660
-0.311,10326
-0.294,10557
0.229,1649
-0.208,9278
0.221,478
-0.153,9544
-0.102,6933
0.19,772
-0.427,7044
-0.268,8443
0.0549,3310
0.00916,5122
-0.0616,6486
-0.138,10076
0.0627,4159
0.237,1238
-0.0717,7148
0.0931,2976
0.149,2705
0.222,1342
-0.0438,7163
0.0218,4787
-0.105,8506
-0.0575,7616
2.66,636
0.292,746
0.201,2975
-0.165,8846
0.027,4546
-0.228,10210
0.377,932
-0.197,9677
-0.0631,7130
0.0985,2614
-0.245,10166
0.00417,5143
-0.0516,6526
-0.0467,6797
-0.0361,6676
0.2,456
-0.0974,7693
0.261,237
-0.0854,7366
-0.262,8810
0.0481,3600
-0.031,6384
-0.0228,6759
-0.0277,6021
0.179,831
0.327,794
-0.16,6975
-0.0875,9125
-0.146,9551
0.0644,4033
-0.115,8254
-0.000873,5369
-0.017,5788
0.0373,3003
0.014,4877
0.114,2391
-0.0511,6159
0.175,1120
-0.151,6359
-0.137,9370
-0.014,5913
-0.0889,9767
-0.0468,6784
-0.269,10177
0.0728,3812
-0.0336,6488
-0.0863,7079
-0.114,7803
0.00226,5262
0.183,2102
-0.251,10557
0.184,2885
-0.127,9818
0.144,1929
0.0132,5087
0.171,3188
0.0932,3202
0.015,5090
-0.0406,6624
0.18,457
0.078,3277
-0.219,9321
-0.198,8936
-0.0331,5697
0.13,545
0.0358,4275
-0.00804,5498
0.236,1393
0.12,3140
0.0874,3738
0.126,2750
0.0627,3054
-0.00997,5739
-0.0478,6149
0.299,1514
-0.221,10143
-0.0584,7483
0.0237,4499
-0.052,7657
-0.214,9720
0.603,21
-0.173,9073
0.409,673
-0.071,9074
0.0474,3992
0.0952,3312
0.519,621
-0.152,8359
0.221,1729
1.78,427
-0.348,9567
0.0924,2887
0.185,1449
0.472,147
0.0163,4659
0.181,1752
0.747,11
-0.0243,5964
-0.306,7133
-0.404,10459
-0.00857,5637
0.0207,4497
-0.0836,6481
0.0658,4324
0.203,2617
0.172,3075
0.238,727
0.0744,3060
-0.0142,5854
-0.136,9055
0.151,2445
0.142,2491
-0.0705,7457
-0.0185,5716
0.257,1833
-0.0472,6796
0.375,201
0.248,1686
0.42,132
-0.129,10379
-0.0625,6923
-0.0515,6439
0.219,1814
0.0223,4635
0.142,2058
0.252,1368
0.11,3052
-0.199,9397
0.188,2286
0.0443,4148
0.211,911
0.2,2127
0.0544,4062
0.191,2235
-0.277,9901
-0.0981,7890
0.0951,1974
-0.131,8717
0.0291,4466
-0.147,7845
0.0587,4214
0.466,278
-0.151,10400
-0.0675,7761
0.404,1110
0.0664,3440
-0.117,7109
0.452,637
0.204,1087
0.285,237
-0.0162,5784
-0.134,7973
-0.264,10359
-0.541,10864
-0.113,9662
0.0602,3871
-0.174,9842
0.0414,4588
-0.145,7394
-0.124,8960
-0.121,9562
