coef,rank
0.349,1207
-0.148,8652
0.015,4910
-0.196,8095
0.487,2220
0.352,2647
-0.671,10730
-0.0931,7848
-0.0683,7556
0.0269,4407
-0.312,10535
-0.222,9180
0.371,135
-0.0251,6348
0.372,98
-0.128,8247
0.311,2181
0.926,267
0.0414,3695
0.00237,5511
-0.0319,6218
-0.11,8783
0.44,898
-0.284,9124
-0.214,10166
-0.248,9951
-0.204,8502
0.152,2356
0.00986,5229
1.29,264
0.341,519
-0.146,9463
0.0597,4153
-0.392,9722
-0.0807,6884
0.552,254
-0.0911,8108
-0.0764,8487
-0.0541,6799
-0.166,7763
-0.158,8614
-0.0553,6405
-0.115,9042
-0.00635,5830
-0.171,8930
-0.114,8271
-0.00944,5570
0.159,2623
0.00863,4807
0.0717,1983
-0.222,9292
-0.0995,8354
-0.0987,7181
-0.283,10081
-0.462,10970
-0.0463,7168
-0.0782,7387
-0.0716,6182
0.783,255
-0.169,8118
-0.0722,8487
-0.0628,7762
0.41,538
0.175,2120
-0.106,9194
-0.0524,7733
-0.0569,6810
-0.0411,7091
-0.22,10465
0.0986,2284
0.064,3664
-0.401,9092
-0.121,8779
0.124,2023
-0.219,10047
-0.193,8720
0.286,2103
-0.115,9056
-0.0803,7687
0.0265,4566
0.108,2767
-0.13,8603
-0.164,7291
-0.00801,5215
-0.0789,8450
0.00944,4990
-0.143,9051
-0.0849,6817
-0.164,8792
-0.119,7037
0.0166,4753
-0.0853,9228
-0.23,9702
-0.25,9939
0.0756,3900
-0.255,9423
-0.0979,7178
0.00499,5125
-0.383,10168
0.199,399
-0.14,8630
0.0189,4832
0.111,2189
-0.206,10486
-0.133,8967
-0.0261,5857
0.665,268
0.388,696
0.0338,4575
-0.145,8551
0.282,908
0.103,2812
0.366,2313
-0.225,9073
0.239,320
0.041,3699
0.271,1484
0.29,423
0.14,1112
0.315,807
0.181,1693
-0.0753,8322
0.214,355
0.0988,2110
0.537,326
0.616,801
0.0397,3857
-0.0267,5912
-0.0237,5959
-0.131,8261
0.0222,4889
-0.0491,6285
0.197,688
0.0507,3975
0.376,869
-0.125,9256
-0.442,7176
0.321,2000
-0.0311,6368
-0.139,9320
0.146,3239
-0.215,10871
-0.0381,5907
0.538,56
-0.0671,7023
-0.0043,5735
-0.0784,6420
-0.103,7744
-0.271,10967
-0.333,10147
-0.183,10046
-0.0494,7341
0.0484,4236
-0.248,9988
0.0665,4325
-0.143,8482
0.121,1976
-0.138,8870
0.0785,4007
0.0263,4682
0.207,1220
-0.0191,6026
-0.108,8007
-0.078,9093
-0.186,9483
0.165,2085
-0.106,8901
0.101,1955
0.271,1055
-0.0981,8702
-0.26,10284
-0.0895,6314
-0.0147,5721
-0.12,9286
-0.00016,5344
0.0594,3346
-0.0835,8136
0.109,3264
-0.249,7977
0.126,878
-0.133,9269
-0.0803,7304
-0.047,6564
-0.111,8314
0.132,1130
0.0745,1465
0.0189,4730
0.196,1119
0.233,1593
0.0754,3121
-0.057,5385
-0.164,9903
-0.122,9201
0.0481,3024
-0.00338,5348
-0.103,7515
-0.454,10559
0.106,2355
0.19,2065
0.16,2268
0.0464,3601
0.604,90
-0.129,8611
0.0189,5012
