coef,rank
-0.102,6794
-0.0441,6393
0.13,1623
0.83,66
-1.4,10779
-0.113,5586
-0.367,8967
-0.169,9414
-0.0207,5862
-0.332,10680
-0.331,10643
-0.306,10115
-0.119,8529
0.0876,2218
-0.119,8844
-0.152,8686
0.571,885
-0.282,8026
-0.393,11034
-0.0228,6919
0.163,1515
-0.124,9162
1.25,3
0.276,1946
-0.0467,6710
-0.181,8982
0.182,2391
-0.171,8519
0.0715,2968
-0.275,7077
0.342,511
0.126,1908
-0.16,8687
-0.168,7145
0.0998,3116
0.195,2292
-0.056,7127
0.231,147
0.107,2631
0.104,3532
0.106,3176
0.239,1357
0.352,65
0.0476,2843
-0.0889,7288
-0.0494,6575
-0.31,10333
-0.607,11000
-0.0201,6329
0.0124,4730
0.0962,3577
-0.0772,7812
0.26,1310
0.228,1590
-0.0562,6217
-0.0981,9013
-0.123,8552
-0.453,10707
-0.478,10439
-0.103,6940
0.06,2769
0.0425,4132
-0.13,7736
0.187,1961
-0.0765,8281
-0.126,10144
0.355,236
-0.0862,8652
-0.172,9861
0.0555,3476
-0.239,10187
-0.0721,5651
0.0689,3150
0.032,4362
0.0295,4737
-0.155,8068
0.215,2719
0.175,1087
0.0804,3074
-0.119,9111
0.309,295
-0.138,8779
-0.299,8860
-0.205,8215
-0.0709,8193
0.381,40
-0.0405,6566
-0.0198,5688
-0.00573,5211
0.348,1105
0.15,1012
-0.082,9102
-0.1,7405
-0.444,10947
-0.19,8244
0.179,2443
-0.0834,6874
0.0473,3651
-0.123,6929
-0.0229,6646
0.201,1367
0.324,619
-0.00697,5654
-0.047,6869
-0.0907,7901
0.268,1061
0.0958,3717
-0.144,7887
0.0434,4370
-0.168,8994
0.091,3300
0.218,1035
0.0643,4280
-0.15,7896
0.203,563
0.00684,5213
0.141,2990
-0.206,10220
0.018,4654
0.316,803
0.701,3
0.0556,3141
-0.192,10574
-0.0187,6181
-0.109,7040
0.0258,4684
-0.12,9438
0.0906,3323
0.424,489
0.295,604
0.357,709
-0.125,7838
-0.25,10864
0.167,1555
0.58,219
-0.144,9697
0.338,2827
0.359,1766
-0.0171,5827
-0.0351,6514
-0.0705,6634
-0.109,9457
0.0336,4643
0.0336,4643
-0.39,10974
-0.196,10198
-0.0727,6301
0.127,2675
-0.0696,7996
0.00208,5164
-0.119,8842
-0.222,10833
0.818,1992
-0.289,10393
-0.251,8166
-0.21,9568
-0.0165,5998
0.0112,5145
-0.352,10220
0.000414,5308
0.29,518
-0.101,8357
-0.262,10342
0.202,88
-0.177,9357
-0.128,8641
-0.00259,5483
-0.0781,8291
0.0646,4080
-0.0493,7169
-0.0188,5815
-0.427,10334
-0.0561,7214
-0.0111,5588
0.0458,2769
0.176,1100
-0.0811,8069
0.457,283
0.596,1061
0.00183,5203
0.143,1779
-0.132,8390
-0.014,5701
-0.0373,6417
-0.00706,5367
-0.00427,5449
-0.227,10717
-0.132,9081
0.134,2753
0.326,131
-0.372,8801
-0.126,9162
0.262,312
-0.306,11034
-0.181,10179
0.0037,5097
-0.17,7476
-0.183,10051
-0.242,9719
-0.000963,5269
-0.0499,7339
-0.0273,5685
-0.13,8635
0.104,3841
-0.102,9176
0.118,2388
-0.151,8679
-0.192,7356
-0.0646,7014
0.189,1951
0.195,872
-0.113,9530
-0.202,10102
-0.159,8350
0.23,1794
-0.147,8150
0.128,564
-0.291,10953
0.716,4
-0.209,9641
-0.452,10712
-0.0617,6062
-0.178,9179
0.0691,2852
-0.00458,5469
-0.269,9768
0.332,1290
0.206,1368
0.0205,4704
0.0422,3743
-0.101,9260
-0.189,9353
-0.157,9096
-0.268,10287
-0.312,10031
0.0277,3922
0.172,1779
-0.104,7467
-0.257,8916
0.551,40
-0.00897,5324
-0.85,10318
-0.0128,5342
-0.0125,5742
-0.0112,5391
-0.25,10106
-0.162,10083
0.421,159
0.208,1744
0.424,74
-0.0126,5379
-0.574,10960
0.167,740
-0.0106,5884
0.537,624
-0.546,10825
-0.0388,5559
-0.169,6423
0.0236,4735
-0.111,8443
0.135,1958
0.248,628
0.226,1444
-0.197,9522
-0.0393,6553
-0.186,9386
0.0126,4796
-0.223,10321
-0.11,8326
0.349,938
0.114,2866
0.152,494
-0.00836,5333
0.198,1508
-0.305,10336
0.417,93
-0.206,9796
1.13,0
0.256,1037
-0.0311,5972
-0.283,10089
-0.0505,6920
0.00455,5126
-0.065,6883
-0.0309,5977
0.699,59
-0.0932,6910
0.0876,3326
0.0618,3035
-0.0834,7588
-0.205,9203
-0.349,10343
-0.279,9938
0.0592,4089
0.0665,2921
0.0562,3413
0.542,557
-0.137,8695
-0.00909,5331
-0.233,8599
-0.0526,6718
-0.0149,5694
-0.187,9845
-0.24,9734
0.0486,4170
-0.0657,5882
-0.0659,8109
0.109,3009
0.0582,3633
0.0285,4781
-0.173,7861
0.141,1392
-0.105,9131
-0.124,8881
-0.148,9163
-0.0153,5353
0.7,138
-0.0223,5893
-0.12,7250
-0.192,8254
-0.0543,6283
0.000835,5413
0.0692,3872
0.159,3566
0.0544,3211
0.0085,5118
-0.172,9960
-0.121,8159
-0.144,10216
-0.0403,5780
-0.16,10367
0.124,1944
-0.0248,5656
-0.235,9136
-0.17,9805
0.663,473
0.0563,3390
0.298,84
-0.161,9983
0.204,669
-0.0756,7563
0.761,28
0.171,804
-0.331,9651
-0.099,6558
-0.0232,6473
-0.266,11011
0.274,947
0.196,802
0.171,1691
-0.694,9192
-0.147,6247
-0.141,4327
-0.0332,4578
0.395,1408
0.055,4301
0.0652,4145
0.209,1807
0.298,518
-0.199,9629
0.00981,4913
0.0136,4431
-0.895,10477
-0.219,9309
0.235,1413
0.0725,4074
-0.165,9226
0.061,2884
-0.214,7401
-0.0345,6096
-0.0856,7944
-0.268,10307
-0.146,7857
0.194,705
-0.108,7993
-0.309,9814
0.231,1915
-0.531,10171
-0.276,10325
0.0109,4977
0.216,2227
0.202,126
-0.205,9151
-0.201,7428
-0.0521,6946
-0.0618,7196
-0.035,6259
0.218,1444
0.385,1871
0.178,2086
-0.217,10606
-0.11,8399
0.119,2712
-0.0932,6464
0.376,309
-0.45,10421
-0.167,9069
0.0143,4843
-0.136,6979
-0.266,10696
-0.0831,6976
0.169,1642
0.366,153
0.6,5
-0.188,9512
0.152,2396
0.673,34
-0.131,6357
0.0876,267
-0.146,9430
0.253,1152
-0.173,8350
-0.166,8558
0.263,1332
-0.0334,6711
-0.00154,5475
0.0603,450
0.42,174
0.0681,4339
0.0788,3251
0.491,893
0.0199,4433
-0.163,8314
0.226,1494
0.0493,4068
0.578,888
-0.0103,5674
0.0257,4470
-0.172,9123
0.0223,4848
-0.0508,6199
0.0197,5049
0.0352,3728
-0.0216,6247
0.497,109
-0.0183,5698
-0.0641,6587
-0.0313,6380
-0.239,9097
-0.0467,7156
0.21,174
-0.0208,3659
0.824,202
0.102,3368
-0.477,10451
0.378,21
0.2,2020
-0.15,8094
0.0404,4510
0.0652,3876
0.771,155
-0.0819,7966
-0.037,5623
-0.238,8951
