coef,rank
-0.305,9474
-0.0472,6469
0.0732,3004
-0.19,8019
0.577,2021
-0.646,10392
-0.175,6924
-0.305,10826
0.0795,2577
0.0829,3261
-0.0969,7320
-0.0794,6696
-0.0234,5899
-0.00839,5686
0.101,2670
0.139,2660
0.119,3746
1.15,112
-0.104,9550
-0.125,10568
0.0828,3081
-0.0388,6579
0.267,1961
-0.0979,6686
-0.0132,5765
0.369,412
-0.382,10405
0.123,2790
0.0663,3128
-0.549,9447
-0.212,9552
-0.219,10512
0.00155,5340
0.178,2978
0.124,2686
0.225,1974
-0.171,9747
0.0419,3557
-0.0568,6871
0.0248,4644
0.0644,3978
-0.445,10952
0.142,1442
-0.0391,7677
-0.261,10159
-0.000531,5188
-0.101,7443
-0.257,8979
-0.0268,6701
-0.0918,9701
-0.125,7704
0.0396,4503
0.0406,4401
-0.101,7343
0.0987,3037
-0.145,10102
-0.11,8240
-0.383,10340
-0.657,10955
-0.0867,6638
0.174,375
-0.109,9128
0.22,1933
-0.265,9964
-0.207,10777
-0.0588,8016
-0.287,10697
-0.0612,7838
0.0259,4701
-0.0528,7186
-0.051,6527
0.104,3964
-0.045,6574
0.0484,3875
-0.0295,6208
0.142,2791
0.201,2861
-0.146,9732
0.101,2575
0.062,3425
0.12,2494
0.153,1966
-0.162,7269
-0.217,8375
-0.153,10247
0.0919,2525
0.18,1620
0.16,2865
-0.111,7688
-0.352,10051
-0.00643,5729
-0.159,10695
-0.00821,5441
-0.171,8807
0.29,1449
-0.194,8558
0.13,2914
-0.104,8814
0.318,1536
-0.0513,7833
-0.0715,7055
0.276,919
-0.0988,8617
0.193,830
-0.0249,5956
0.176,2030
0.298,1710
0.0282,4718
-0.0574,6484
0.0131,4942
-0.292,10304
-0.156,9066
-0.473,9341
-0.18,8423
-0.0281,6610
0.044,3586
-0.252,9512
-0.186,9968
-0.0215,6213
0.144,2634
0.0666,3807
0.0502,3328
-0.0463,7180
-0.0225,6322
0.0389,4636
0.137,3537
0.194,473
-0.13,8183
-0.397,10792
-0.123,8087
0.366,654
0.0528,4219
0.0682,3129
-0.109,8585
0.345,1051
-0.00158,5364
-0.427,7046
0.342,1872
0.00528,5002
-0.0437,6771
0.0785,4246
0.125,1474
-0.142,7773
0.403,236
0.0297,4498
-0.0278,6410
-0.199,8468
0.017,4852
0.087,2752
0.482,428
-0.0748,7727
-0.0952,8864
-0.872,8845
-0.116,7700
0.0612,4373
-0.0159,5618
0.164,1190
0.0134,5092
-0.496,10890
0.0544,3973
0.19,1453
-0.0247,6195
-0.0534,6716
-0.00154,5434
-0.0483,6446
0.129,2727
0.107,2048
0.0413,3766
0.00769,5338
0.0494,3680
0.0553,4144
0.134,3264
-0.0392,6620
0.0997,1956
0.0602,2122
0.334,129
-0.133,9446
0.0314,4750
0.298,2574
0.228,79
-0.101,8533
-0.173,9185
-0.0505,6651
0.241,881
0.242,178
-0.12,10508
0.141,1513
0.251,589
-0.061,6382
-0.0302,6392
0.772,582
0.104,2346
-0.00189,5488
0.00904,5106
0.108,2204
-0.151,8486
0.0975,3504
-0.0483,6942
-0.188,8941
-0.0642,6755
0.0982,2064
-0.279,9909
0.0919,2639
0.648,301
0.113,1455
-0.28,10803
-0.447,10982
0.00403,4990
-0.167,9262
0.177,2102
0.137,1653
0.0902,2045
-0.0809,7595
-0.106,7381
-0.126,7715
0.153,2248
0.217,36
0.129,1837
-0.0539,6686
-0.00778,5566
-0.247,9082
-0.403,10407
0.11,3068
0.11,1770
0.00681,4955
0.357,789
0.376,1059
-0.118,8470
0.105,2130
0.115,1528
0.116,1525
-0.0131,5585
0.429,178
-0.101,7635
0.191,2307
0.0635,2276
0.259,864
0.0876,3455
-0.167,7768
-0.253,9988
-0.168,8306
-0.55,8443
-0.00763,5268
-0.267,10771
-0.0798,7168
-0.142,8528
-0.187,10438
0.272,752
0.0815,3688
0.133,2196
1.8,267
-0.331,9946
-0.0139,5851
-0.102,9381
0.252,2243
0.395,1322
0.0758,4054
-0.0237,4809
0.0525,3932
-0.0406,6484
0.0338,4385
-0.00638,5626
0.236,1318
-0.106,7816
-0.0251,6136
-0.0321,6048
-0.294,9212
-0.0245,6216
0.143,2172
-0.241,9146
0.0299,4857
0.133,723
0.191,1112
0.194,1574
-0.0223,5861
-0.0682,7069
-0.0652,6882
-0.00907,5277
-0.0715,7074
-0.2,9413
0.0247,4950
0.0895,2972
0.0174,4780
-0.261,9985
0.202,1601
-0.211,9070
-0.0379,5801
0.0714,3693
-0.00259,5617
0.0327,4551
0.00613,4925
-0.306,9994
0.224,1737
0.117,3079
0.0105,5106
-0.0515,7236
-0.193,8031
-0.19,9689
-0.000408,5180
-0.397,10322
-0.16,9252
-0.102,8423
0.062,3579
-0.108,7446
0.195,1542
-0.0759,6043
-0.0411,7103
-0.119,7579
0.0201,4734
-0.469,10662
0.0274,4528
0.00662,4792
-0.0327,6561
-0.107,8471
0.231,947
-0.201,7704
-0.466,10816
0.178,2183
0.0506,4274
0.279,1667
0.21,2295
0.102,3066
0.0621,3991
-0.0286,5446
0.056,3162
-0.135,8923
0.156,1358
-0.0105,5392
-0.0308,6480
0.195,2783
-0.0282,6479
-0.0212,6113
-0.0218,5604
-0.0555,6090
-0.0529,6936
0.141,3403
-0.137,9437
0.0614,3206
-0.174,10185
0.0899,2596
-0.143,9119
-0.101,7092
-0.000502,5389
-0.263,8868
0.0804,3942
0.125,952
0.206,226
0.348,526
0.237,481
-0.187,9721
-0.173,5611
-0.239,7190
-0.0234,3673
-0.583,9125
0.133,3577
-0.86,10803
-0.125,7663
0.15,2598
-0.348,10942
0.159,1837
0.0518,3022
-0.111,9963
0.139,3605
0.347,708
0.212,1642
0.388,679
0.0195,5061
-0.00528,5649
-0.431,10011
0.236,1371
-0.168,9624
-0.245,10069
0.216,1982
0.047,3689
0.0761,3652
-0.294,9636
-0.192,8356
-0.499,9997
0.129,2721
0.242,325
-0.386,10268
-0.145,10592
-0.0902,7088
-0.11,6344
0.19,1031
-0.109,8476
-0.201,10033
0.285,845
-0.481,9803
-0.191,8924
0.0111,4793
-0.0569,6892
0.209,1344
-0.0841,6321
-0.157,8896
0.0665,4106
-0.0145,5659
0.0311,4251
-0.0834,6299
-0.0198,5919
-0.268,10010
-0.0635,6949
-0.166,9438
-0.0738,7534
-0.00982,5654
0.386,501
0.116,3159
0.74,611
-0.0632,10237
-0.0221,5955
-0.146,8389
0.072,4317
-0.122,7722
-0.0879,6976
-0.0631,7754
-0.0173,6526
-0.0116,7054
-0.167,9043
-0.288,8765
0.0106,4898
-0.115,6518
-0.0698,8307
0.0221,4763
-0.0995,7273
-0.405,10802
0.615,764
-0.251,9857
0.296,99
-0.0822,7153
0.00783,5120
0.337,702
0.104,3143
-0.0612,7460
-0.0614,7578
-0.0864,7446
-0.0888,7448
-0.152,8225
0.135,1916
-0.0711,6410
0.0105,5168
-0.0765,8627
-0.147,4479
0.181,3165
0.0639,4016
0.22,2615
0.0195,4704
0.145,2738
-0.0322,5976
0.198,2983
0.136,2812
-0.192,7791
-0.0476,6936
0.89,56
-0.218,8685
-0.184,9744
0.517,562
-0.135,8507
-0.132,10189
0.116,1224
-0.167,8848
-0.183,9019
-0.105,8154
-0.0942,8093
0.082,2557
-0.138,7542
-0.343,10501
0.0719,4029
0.225,1592
0.407,654
0.212,1079
0.248,509
0.0362,4494
0.183,1862
-0.141,9597
0.273,535
-0.151,8976
-0.164,9278
-0.0508,6667
-0.0408,6093
0.0717,3086
0.159,1885
-0.358,11030
0.0358,4370
0.139,1531
0.109,3159
-0.147,7642
-0.0254,6029
0.018,4819
-0.0848,8356
-0.178,9903
0.359,67
-0.0188,5921
0.0372,4328
0.0294,2839
-0.00548,5712
0.00653,5166
-0.597,10846
0.134,3437
-0.202,10493
-0.148,9501
0.121,1728
-0.0583,6604
-0.0863,7114
0.814,510
-0.173,9312
0.104,1183
-0.1,8871
0.0974,3833
0.0909,3394
-0.411,9499
-0.484,10967
0.499,366
0.0381,3969
0.0382,4549
0.263,2607
0.0983,4078
0.51,896
-0.108,9330
-0.00356,5519
0.174,1012
0.129,1457
-0.366,10202
-0.241,9971
-0.106,8885
-0.239,10144
0.22,3184
-0.0615,6179
0.22,2474
-0.117,5691
-0.00964,5610
0.00948,5212
0.112,2768
0.157,2260
-0.276,10622
-0.12,7329
-0.315,10993
0.0371,3654
-0.223,6134
-0.523,9296
-0.611,9808
0.404,2635
0.118,2063
-0.00333,5381
-0.163,9613
-0.0733,6791
0.137,2657
-0.203,9746
-0.0497,6637
-0.0927,7446
-0.123,8591
0.132,2240
0.41,1636
-0.0488,5599
-0.0959,8079
0.395,399
0.288,784
0.0679,3445
0.0198,4795
-0.215,9584
0.107,2695
0.303,841
0.121,2470
-0.0907,8086
0.167,2175
-0.194,9424
-0.0109,5804
0.0656,3326
-0.103,8228
0.417,58
0.0194,4833
-0.0806,8311
-0.0649,7519
-0.191,8652
0.258,831
0.0599,4017
-0.0591,6561
-0.215,9691
0.138,1925
0.0149,4626
0.568,724
0.137,2021
0.0405,4213
-0.369,8233
-0.0929,8226
0.0736,3319
0.28,1699
-0.0927,8513
-0.0562,7413
-0.023,5768
-0.181,10158
0.0559,3589
-0.0221,6195
-0.0467,6874
0.102,3675
0.132,3578
0.0943,1318
-0.0848,7274
0.56,181
0.253,767
0.041,4380
-0.148,9211
0.16,1779
-0.0299,6258
0.23,1755
-0.0458,5861
0.0477,4251
-0.00421,5462
0.0393,4019
-0.0529,7372
-0.319,9426
0.046,3377
-0.225,8101
-0.43,9072
-0.00828,5675
-0.0242,6236
-0.0432,6307
-0.0963,7812
-0.195,8227
0.137,2683
0.317,233
-0.112,9082
-0.115,9840
0.173,1379
-0.0433,6602
0.0888,3265
0.165,1244
-0.099,6970
-0.137,9703
0.0579,4291
0.57,1601
-0.336,11004
-0.114,9584
-0.00183,5517
0.138,1706
0.267,1441
0.0767,3700
0.218,300
-0.0535,8259
0.21,707
-0.12,7298
0.274,1512
0.244,1701
-0.184,9108
0.0769,3516
-0.347,10287
-0.201,9679
0.102,3664
-0.00797,5442
