coef,rank
-0.462,10596
-0.274,10354
0.00645,5222
0.114,3455
-0.642,8337
0.903,797
-0.144,6577
0.101,2888
-0.412,11030
-0.058,6396
0.0226,4657
-0.136,7758
-0.0626,7040
-0.115,9469
-0.0841,7971
0.0855,3637
-0.545,10455
0.0604,4179
0.0433,3613
0.142,404
-0.173,9649
-0.112,8846
0.0567,4194
-0.0454,5956
0.0324,4492
-0.248,9953
0.0326,4512
0.379,420
-0.00616,5841
-0.208,6420
-0.0908,7371
0.138,1698
0.0863,3642
-0.39,9703
0.661,18
0.0394,4571
-0.00656,5680
-0.183,10704
-0.0641,7049
-0.166,7758
-0.0527,6456
-0.0782,6885
-0.0983,8603
0.0594,2362
-0.039,6163
0.129,2128
-0.409,10830
-0.299,9512
0.164,345
0.0102,4841
0.202,2059
0.0792,3481
-0.419,10820
0.446,310
0.0502,3913
-0.0836,8549
0.198,1010
0.192,2367
-0.0204,5353
-0.0655,6241
-0.072,8481
0.132,1739
0.0398,4526
0.151,2459
-0.246,10954
0.0751,2157
0.142,2082
0.314,62
-0.218,10434
0.0614,3285
-0.119,8201
-0.404,9120
0.047,3734
0.101,2498
0.323,510
0.0167,4861
0.0909,4001
-0.131,9430
-0.0518,6829
-0.0687,7687
-0.0513,7197
-0.186,9658
-0.0416,5722
0.101,3723
-0.0228,6409
-0.0147,5791
-0.0329,6358
0.0771,4088
-0.162,8766
0.0141,4780
0.0466,3648
0.0777,2062
-0.197,9227
0.3,770
-0.32,9870
-0.16,8039
0.0329,4575
-0.035,6576
-0.147,7303
0.0887,2265
0.165,1840
0.306,718
0.161,1295
-0.121,8989
0.168,1306
-0.362,10825
-0.0174,5347
-0.197,8679
-0.24,9718
0.00048,5236
0.153,2286
0.00565,5047
0.134,3756
-0.33,10231
-0.00609,5791
0.102,1673
-0.0873,6997
-0.0933,8092
0.0818,2456
-0.238,9763
-0.218,10013
-0.142,10060
0.161,897
-0.052,7374
-0.327,9945
0.304,2202
-0.166,10333
-0.0735,6964
-0.071,6853
-0.154,8703
0.086,3722
-0.231,9626
-0.073,7877
0.0308,4579
0.0495,4303
-0.0699,7744
1.96,460
0.114,3874
-0.0242,6095
-0.159,9664
-0.0145,5698
0.0656,3060
-0.0281,5739
0.417,212
-0.0774,7284
0.13,2209
-0.267,9428
-0.174,9165
0.227,521
0.0236,4753
-0.0365,6567
0.276,135
-0.699,8054
-0.336,10687
0.102,3946
0.0895,3313
0.0957,2556
0.0445,4328
-0.0304,5788
0.0115,5047
0.172,1714
0.0289,4489
-0.0399,6361
-0.127,10373
0.00149,5121
-0.033,6462
0.25,284
-0.0796,8329
0.0333,4767
-0.0952,8621
-0.0154,5717
0.0714,4046
-0.165,10079
-0.00769,5443
0.0114,4624
-0.051,6727
-0.0949,8487
-0.426,10924
0.13,3958
-0.0375,7055
0.0778,3228
0.527,112
-0.401,11003
0.0335,4481
0.151,859
-0.0971,10062
0.0182,4754
-0.0659,7363
0.252,1434
0.0577,3624
1.9,7
0.0874,2753
-0.0247,6268
0.0122,4918
-0.1,8408
0.458,172
0.0674,3890
-0.112,8667
0.0184,4935
-0.254,10073
-0.189,10601
0.455,299
0.0679,3173
-0.0906,6631
-0.0399,6900
-0.0298,6308
-0.342,10766
-0.448,10092
-0.0771,7307
0.288,984
-0.227,10634
-0.114,9572
0.232,799
-0.167,8504
-0.102,7252
-0.336,10590
-0.0283,7186
0.0614,3500
-0.123,8303
-0.187,9330
0.171,2538
0.436,685
0.374,415
-0.14,9934
-0.0109,5781
-0.0336,5887
0.0354,4529
-0.135,8819
-0.159,10064
-0.0899,8956
0.0793,2492
-0.245,10127
0.0696,3986
0.354,532
-0.0549,6166
-0.049,8099
-0.0385,5997
-0.27,10091
0.774,149
-0.088,6978
0.0217,4737
-0.358,6557
-0.0898,6333
0.0148,4919
-0.0956,7587
0.0498,4403
-0.0665,7754
0.116,2846
-0.162,8743
-0.178,9601
-1.01,10182
-0.286,9536
0.169,722
-0.00361,5550
0.214,2569
-0.33,9475
0.909,69
-0.288,7810
-0.0573,7052
0.0899,2695
0.0474,4013
-0.0351,6477
-0.0313,6276
0.149,2384
-0.0151,5838
-0.108,7817
-0.197,8004
0.0409,4404
0.448,67
-0.0515,5983
-0.327,10866
-0.0974,9667
-0.09,7741
0.0835,3248
-0.0752,6967
0.0428,4108
-0.0723,7080
-0.0361,5808
-0.0515,6614
0.14,2436
0.0651,4206
0.335,226
0.0102,4962
0.108,3496
-0.202,9536
-0.0784,6800
-0.249,9560
-0.311,10736
-0.0162,6250
0.126,2382
-0.112,7433
-0.0746,6570
-0.221,9278
-0.106,7374
0.14,1091
0.118,1823
0.286,1851
0.207,1123
0.13,3175
0.214,2159
-0.372,10979
0.133,1715
-0.164,9432
0.0692,3594
0.0567,3995
-0.337,9633
0.0292,3859
0.0565,3950
-0.242,10599
0.201,2534
-0.166,7743
-0.00531,5212
0.0919,2026
0.0137,4938
-0.00661,5739
0.55,780
-0.333,10152
-0.0383,6235
-0.403,10576
-0.315,9857
-0.234,9090
0.108,2946
-0.142,7602
0.416,1760
-0.303,11006
0.218,1040
-0.0534,6993
0.165,1720
-0.0646,7933
-0.197,7972
-0.0179,6025
0.0411,4099
0.495,568
-0.311,10015
-0.0547,6980
-0.365,9609
-0.144,9598
0.276,139
0.136,1604
0.0367,4149
-0.0263,6214
-0.0776,6640
0.214,408
-0.161,7564
-0.391,10197
0.0689,2362
0.0628,2748
-0.133,7974
0.139,1575
-0.317,10847
-0.307,6574
0.0951,3989
0.115,3069
0.251,3014
0.179,3087
0.0623,4266
0.331,1118
0.0265,4869
0.416,126
-0.135,8451
-0.0253,6716
0.0739,1789
-0.649,9409
0.164,2451
-0.194,8985
0.226,1909
-0.163,9182
0.0665,2691
-0.329,8895
0.0191,4895
-0.0351,6570
0.203,1534
0.605,125
0.118,1862
-0.375,10935
0.228,1909
-0.0312,5597
-0.0786,5954
-0.101,7620
0.0901,2490
-0.556,10943
-0.00259,5499
0.232,1499
-0.361,9209
0.0276,4528
0.0937,2750
0.161,1540
0.111,2887
0.091,3994
-0.0861,6925
-0.039,6584
0.0363,4154
-0.0978,7903
-0.229,8386
-0.175,9226
-0.0306,5360
-0.23,10026
-0.00393,5475
-0.333,9258
-0.0587,7101
0.339,625
0.212,1157
0.000272,5212
-0.121,8784
0.0683,3873
0.0818,3511
-0.576,11024
0.877,351
-0.0181,7326
0.2,845
0.19,1827
-0.124,7564
-0.0409,6084
-0.237,9595
0.00865,5151
