coef,rank
0.205,2440
-0.0745,7104
-0.0131,5932
-0.0379,5639
1.67,648
-0.486,9434
-0.167,6828
-0.108,8199
0.0897,2330
0.345,407
-0.371,10827
0.222,1821
0.285,412
0.037,3831
-0.00622,5734
0.0436,4464
-0.446,9873
-0.368,9002
0.087,2068
0.0441,3269
0.0266,4508
0.216,610
0.0464,4353
-0.662,10959
0.117,2489
0.157,2148
0.0766,3844
-0.321,10382
0.131,1484
0.244,3004
0.218,1445
-0.034,6433
-0.0729,6916
0.692,367
0.133,2547
0.195,2285
-0.0526,7042
0.0648,2740
-0.0277,6077
-0.00821,5141
0.204,1668
0.296,893
-0.173,10173
0.0493,2763
-0.156,8664
-0.17,9448
-0.00772,5528
0.232,1883
0.0325,3601
0.0284,3866
0.425,474
0.00891,5370
0.101,3371
0.178,2159
-0.0483,6046
-0.157,10294
0.0922,2674
0.241,1910
0.219,2693
-0.212,8764
-0.0505,7653
0.0204,4905
-0.292,9986
-0.0726,6665
-0.028,6489
0.0381,3505
-0.0622,6927
-0.0641,7936
0.243,649
-0.131,9394
0.0211,4697
-0.322,8393
-0.0314,6170
-0.0628,7170
0.143,2307
-0.0399,5958
-0.111,6555
-0.0529,7302
0.109,2420
0.0132,5019
-0.126,9117
-0.295,10725
0.513,957
0.34,1290
-0.116,9465
0.0988,2363
0.000485,5473
0.0118,5126
0.292,631
-0.239,8788
0.075,2724
0.153,518
-0.0946,7308
-0.0544,6423
-0.442,10692
-0.318,10143
-0.0548,6306
0.0042,5152
-0.0734,6176
0.049,3586
-0.199,9646
-0.169,8892
0.22,623
0.227,543
-0.113,8489
0.0596,4055
0.00139,5043
-0.3,9930
-0.0125,5508
-0.0827,7200
0.139,2516
-0.17,9325
-0.256,7214
0.419,636
0.0403,4032
0.00851,5137
-0.0492,6323
0.104,2835
0.154,909
-0.0135,5653
-0.0919,7633
0.184,464
0.00813,5082
-0.273,10985
-0.126,7318
0.635,745
-0.0899,8613
-0.267,10154
0.0423,4614
0.258,831
0.0799,3834
0.478,348
-0.056,7333
0.0656,3557
-0.111,7093
-0.0956,8562
0.258,3097
-0.134,6816
-0.0225,6030
0.181,1050
0.177,2848
-0.231,10926
-0.236,9223
0.101,3184
-0.107,8032
0.129,2224
0.221,1818
0.0677,3754
0.138,1648
-0.402,10601
-0.0315,6399
-0.000615,5469
-0.826,8637
0.152,2202
-0.0163,5296
0.253,1048
0.0448,3972
-0.0341,6378
-0.219,8749
-0.226,10030
-0.0834,7684
-0.111,8635
-0.0864,7490
-0.0767,9054
-0.167,9149
-0.175,9484
-0.166,10141
0.25,169
-0.206,9607
-0.0243,6312
0.15,2303
0.361,1333
0.00757,4937
0.253,174
0.106,748
0.312,194
0.0257,4370
0.0393,4570
-0.181,7232
-0.065,8294
0.177,1225
0.27,1040
0.211,1205
0.00625,5167
-0.111,9150
-0.036,7395
-0.0184,5952
-0.0322,6389
-0.254,9694
0.117,2148
-0.396,9011
-0.105,8646
0.131,1742
-0.0553,8571
0.115,2046
0.028,4593
0.0788,3717
-0.156,9609
-0.198,9094
-0.0841,7217
-0.136,9830
0.27,1245
0.0474,3700
-0.154,7565
-0.101,9165
0.0763,3359
0.474,127
-0.246,8090
-0.196,9722
-0.0349,6201
-0.0652,7431
-0.0906,8885
0.000575,5278
0.12,3085
-0.0167,5550
-0.102,7250
-0.00261,5753
0.0913,2700
0.0367,4362
0.0946,3397
-0.0883,6526
0.398,856
-0.0301,6073
0.19,503
-0.00903,5691
0.0695,3937
-0.0959,6673
0.0899,3365
-0.0403,6868
-0.0172,6193
0.035,4050
-0.00104,5313
-0.0796,7535
0.294,876
0.332,1084
0.0373,3446
-0.0987,7538
0.237,1311
-0.259,8947
-0.076,6693
-0.154,8051
1.23,973
-0.0882,6309
-0.0679,7407
0.105,2730
-0.0863,7392
-0.0613,7564
0.0713,3763
-0.0453,6399
0.144,2001
-0.519,8357
0.601,259
-0.116,9335
-0.153,10370
-0.238,8692
0.123,3654
-0.159,7319
-0.106,5722
-0.164,9587
-0.147,9275
0.0744,3274
-0.142,9149
-0.248,10171
-0.392,10931
-0.15,9365
-0.204,9653
-0.197,8007
-0.00472,5644
0.139,2239
-0.0877,6648
0.189,1617
-0.132,10433
-0.0243,5804
0.135,2355
0.0348,4711
-0.0752,7265
0.183,1439
-0.304,10116
0.0738,3767
0.0723,3633
-0.102,7438
0.0888,2997
0.0768,3110
-0.114,7886
0.145,2343
-0.245,9508
-0.00703,5227
-0.0701,7209
0.132,1151
0.173,1652
0.035,4357
0.0319,4711
-0.00969,5495
-0.223,9408
0.0227,4596
0.0914,2429
-0.22,8405
-0.262,10499
0.269,1695
0.419,775
0.159,1691
0.228,543
0.0222,4661
0.0678,3617
0.287,699
-0.349,9758
0.0221,4188
0.0219,4692
-0.102,8381
-0.0638,6118
-0.259,9118
0.107,2004
-0.189,10659
0.0951,2730
0.0852,3280
-0.192,7605
-0.11,7279
0.157,2485
0.019,4830
-0.104,6835
-0.0982,7017
-0.234,10264
-0.0812,6547
0.148,3658
0.16,814
-0.149,9206
0.0157,4807
-0.0491,6379
0.0428,3390
0.273,2093
0.274,68
0.121,1995
0.0336,4617
-0.0946,6809
-0.214,10372
-0.249,8271
-0.192,10406
0.105,2008
0.0816,2834
0.0858,2707
-0.0915,7994
-0.22,9110
-0.00305,5463
0.127,3433
