coef,rank
-0.44,10508
0.118,2825
-0.0813,8269
-0.216,8378
-0.867,9485
0.067,4262
-0.166,6817
-0.084,7623
0.00187,5080
-0.35,10771
0.0849,3371
0.0431,4373
-0.299,10836
-0.116,9491
-0.0856,8010
0.224,1531
0.332,2018
-0.0205,4960
-0.188,10834
0.0175,4660
-0.172,9628
-0.0461,6820
0.125,3369
0.0417,4695
-0.012,5720
0.0881,3288
0.172,2519
0.161,2222
0.0519,3643
-0.587,9704
-0.117,7949
-0.0765,7745
-0.104,7580
0.492,915
0.203,1559
0.125,3217
-0.0295,6362
-0.0884,8917
-0.0901,7703
0.0445,4335
-0.18,8976
-0.0885,7115
-0.152,9800
-0.0532,8344
0.105,3065
-0.235,10349
-0.312,10349
-0.00579,4953
-0.00342,5440
-0.12,10396
-0.348,10504
0.0226,4987
-0.102,7236
-0.000709,5272
-0.174,8630
0.0108,4759
-0.179,9679
0.131,3056
0.0738,4236
0.0463,4301
0.255,51
0.275,216
-0.104,7214
0.143,2578
0.0786,2623
-0.0411,7211
0.109,2701
0.0509,3547
-0.0696,7590
-0.12,9166
-0.0112,5513
-0.749,10804
0.134,1702
-0.0215,5915
0.0189,4992
-0.2,8826
-0.0121,5300
-0.189,10365
0.131,2013
-0.0957,8486
-0.123,9048
0.0872,3141
-0.113,6625
-0.135,7162
-0.164,10397
-0.236,10766
0.271,674
0.493,407
-0.148,8492
-0.44,10608
0.147,1064
-0.0164,6264
0.173,2049
0.174,2005
-0.21,8541
0.313,1154
-0.0387,5968
-0.0219,6120
-0.00898,5169
-0.0499,7781
0.238,978
0.141,2501
0.157,1349
-0.247,10779
-0.0296,6118
-0.065,6748
0.0739,3999
-0.121,7470
-0.188,8965
-0.148,8612
0.109,3004
-0.0174,5665
-0.126,5951
0.21,2170
0.253,260
-0.142,10343
-0.363,10474
0.456,55
-0.0236,6298
0.0668,3949
-0.0575,6818
-0.00234,5393
-0.103,8997
-0.107,9131
0.241,1967
-0.525,10315
-0.0308,6509
0.0266,4679
0.123,3234
-0.319,10698
0.0112,5091
-0.0518,6344
0.217,510
-0.07,7622
0.0226,4739
-0.212,10589
-0.749,9104
-0.138,6864
-0.133,9546
-0.0129,5837
-0.0113,5654
-0.135,10017
0.116,3328
-0.088,7543
0.109,2740
0.0425,4380
-0.096,6779
-0.179,9254
-0.0483,7306
0.278,1514
-0.075,7735
-0.0355,6793
4.77,97
-0.18,9011
0.363,1742
0.149,2241
0.303,159
0.117,2677
0.0405,4598
0.0491,4109
-0.00798,5630
-0.0665,7452
-0.0335,6196
0.0564,2648
-0.17,9204
-0.13,8693
0.101,2225
-0.103,9025
0.18,2077
-0.0774,8098
-0.175,9186
0.0994,3704
-0.0301,6281
-0.0766,8021
-0.0112,6026
0.138,1652
0.118,1810
-0.25,9920
-0.258,8072
-0.054,7796
-0.256,10777
0.0261,4820
-0.216,10039
0.155,1928
-0.11,9108
-0.0453,7914
-0.0597,7424
0.0192,4836
