coef,rank
-0.00692,5301
0.0988,3168
0.111,2052
-0.441,10479
-0.629,8255
0.554,1726
0.0727,4233
0.048,4141
-0.0731,7734
0.122,2581
-0.183,9019
-0.0156,5467
0.0789,3025
0.158,814
0.204,987
-0.273,10325
-0.106,6207
-0.0312,5086
-0.19,10844
0.0281,4115
-0.103,8215
0.117,1981
0.567,453
-0.304,9338
0.112,2589
0.149,2267
-0.228,8859
0.281,939
-0.162,10324
-0.22,6548
0.0641,3922
0.0324,4321
-0.204,9393
-0.22,7862
0.0736,3605
0.0842,3835
-0.0509,6989
-0.077,8508
0.393,113
-0.0318,5520
-0.297,10391
0.197,1804
-0.137,9524
0.167,165
0.035,4487
-0.0322,6067
-0.152,8326
0.178,2424
0.151,471
0.154,353
-0.162,8357
-0.139,9204
-0.228,9313
-0.225,9363
-0.0677,6476
-0.124,9697
0.152,1589
-0.207,8321
-0.227,8115
-0.132,7489
3.09e-05,5297
-0.0699,8005
-0.0446,6130
-0.137,7967
-0.000344,5422
0.182,279
0.147,2005
0.103,2026
0.0656,3649
-0.14,9581
0.0798,3307
-0.254,7676
0.00126,5101
0.289,276
0.0504,4240
0.227,1766
0.108,3809
-0.135,9527
-0.166,9699
0.0165,4907
0.471,27
-0.0224,5900
0.862,183
-0.259,8933
-0.0616,7852
0.0367,4127
0.171,1755
0.158,2887
-0.015,5408
0.518,388
0.00536,5196
0.0707,2296
-0.395,10884
-0.159,8595
-0.242,8967
-0.00738,5252
-0.351,10544
0.00796,5017
-0.103,6626
-0.216,10892
0.0143,4905
-0.175,8984
-0.0281,6398
-0.0373,6545
-0.0932,7962
-0.192,9326
0.0703,4049
0.0771,3858
0.0273,4699
0.0477,4169
0.302,774
0.00711,5013
-0.291,7585
-0.204,8788
-0.213,10744
0.0729,2535
0.024,4919
0.0541,4011
0.0428,3740
-0.0527,6462
0.0295,4649
0.126,1261
0.00202,5308
-0.0745,8166
0.598,219
-0.134,6547
-0.178,10501
-0.046,6324
-0.253,9782
-0.135,8335
0.104,3385
0.0334,4547
-0.0193,6082
0.00194,5471
-0.102,6954
-0.0136,5799
0.246,3146
0.808,258
0.00303,5073
-0.176,9952
0.752,79
0.206,410
-0.21,8848
0.0787,3676
-0.197,9759
0.361,128
0.126,3031
0.033,4489
0.0884,2718
0.224,2014
-0.101,8415
-0.229,10882
-1.59,10553
0.0716,3540
-0.0372,5540
0.0315,4531
0.273,251
-0.0965,7954
-0.133,7482
0.0915,3174
0.0198,4853
0.032,4406
0.0324,4658
-0.0762,9041
-0.0939,7585
-0.159,9192
-0.011,5794
0.112,1718
0.283,950
-0.14,9703
0.303,682
-0.227,8354
-0.0694,7685
0.189,560
0.201,36
-0.0532,6801
-0.142,9641
-0.117,7779
0.459,1640
-0.0785,8803
0.0731,3332
-0.101,7762
0.171,1715
0.101,2930
0.347,16
0.0857,1097
0.176,962
-0.0977,8269
-0.167,8381
0.164,1266
0.0256,4603
0.0441,3939
0.377,46
0.0457,3139
0.295,181
-0.099,7440
-0.0444,5543
0.0106,5064
0.368,610
-0.121,7946
0.0585,3196
0.0275,4608
-0.171,9490
0.143,3391
-0.125,9787
-0.0701,7465
-0.0527,6605
0.379,1586
-0.053,6724
-0.174,8963
0.0735,3065
-0.11,9463
-0.187,9926
0.159,2514
-0.218,9225
0.183,1869
0.00676,5207
-0.233,10744
-0.206,9764
-0.0719,7104
-0.112,6954
-0.123,7088
0.322,668
-0.112,9332
0.0334,3742
-0.0129,5483
-0.241,9008
-0.0252,6168
-0.159,10061
0.0318,4170
-0.0093,5880
0.186,1885
-0.319,10747
0.106,3231
0.639,144
0.0626,2320
-0.119,8015
-0.123,7838
-0.154,7581
0.136,2293
0.408,469
0.0204,3617
-0.212,7982
0.12,2280
-0.126,8329
0.347,529
-0.0288,6405
-0.109,8163
0.282,1009
-0.18,9635
1.18,950
-0.183,8207
0.143,1059
0.0256,4284
0.263,2136
0.21,2739
-0.179,7599
0.214,2800
-0.0242,6075
0.0337,4166
-0.154,9484
0.00971,5135
0.225,1452
0.0645,3916
0.203,1059
-0.335,10810
0.58,308
0.0108,5212
-0.0312,6348
-0.179,8227
0.258,861
0.0978,1378
-0.126,8625
-0.234,9951
-0.164,8624
-0.0957,7789
0.269,675
0.301,953
-0.135,8471
-0.0679,6832
0.264,1491
-0.112,8525
0.0271,4494
-0.00934,5758
-0.239,10016
0.0767,3880
0.292,1048
-0.329,10829
0.0579,3173
-0.147,9064
-0.109,7380
0.244,1784
0.073,3952
0.189,2064
-0.0399,7308
0.146,1268
0.133,3396
-0.073,7197
0.161,2780
-0.0257,5281
0.209,1036
-0.0281,6103
-0.0465,6683
0.0896,3218
0.127,2560
-0.235,8318
-0.0823,8687
-0.132,7839
0.0849,2967
0.0592,4347
-0.111,6804
-0.105,8457
-0.0938,8794
0.00745,5135
-0.0457,6755
-0.227,8048
0.0394,4738
-0.261,10050
0.166,2585
-0.245,9041
0.0679,4180
-0.454,11016
0.00216,5031
0.21,3086
-0.189,10524
-0.0662,7234
0.00318,5172
-0.072,6997
-0.0945,8982
0.37,1427
-0.0279,6458
0.114,2126
0.939,58
-0.0511,6019
-0.041,6592
-0.376,9713
-0.0574,7208
-0.103,9028
-0.0112,5773
0.124,1825
0.0147,5030
-0.0633,6364
-0.213,10751
0.113,3602
-0.0249,5458
0.00453,5147
-0.00238,5451
-0.201,9208
0.129,1768
0.102,2857
0.507,2440
-0.385,8717
-0.501,6988
-0.253,6329
-0.326,9143
-0.544,9576
0.163,2685
0.433,322
0.423,118
0.346,310
0.0275,4111
0.134,513
-0.555,8742
-0.089,7085
-0.304,10326
0.00836,5278
0.0311,4788
0.0252,4274
0.0596,3923
-0.312,10492
-0.135,9038
0.142,2348
-0.236,9179
0.0671,3098
-0.169,9208
0.151,2720
-0.126,7224
-0.757,10881
0.13,2683
-0.0876,8359
0.174,2718
-0.131,10385
0.0247,4682
-0.344,9052
-0.0607,7212
0.195,1069
0.0204,4638
-0.128,8123
-0.33,8447
-0.133,7926
-0.117,8956
-0.101,8170
-0.324,10825
-0.301,9292
-0.0306,6112
-0.204,7779
0.445,119
0.188,738
0.118,3712
0.00864,5104
-0.201,9148
0.0442,4167
0.0377,4240
-0.0368,6421
-0.0706,7161
-0.182,8630
0.249,1441
0.926,294
0.00739,4797
0.189,961
0.39,353
-0.431,10736
-0.18,8827
0.251,1430
-0.223,10808
0.0169,4252
0.0641,353
-0.151,8745
0.136,3589
-0.0778,7158
-0.26,8481
0.0992,1697
0.313,955
-0.134,7962
0.0974,3239
0.188,3155
0.179,2240
0.0977,2284
0.429,107
0.00927,5093
-0.0352,5873
0.0757,3761
0.173,624
-0.267,10913
-0.197,9514
0.0424,4228
0.331,874
-0.0892,8148
0.121,3249
-0.0119,5950
-0.127,10060
-0.509,8355
0.198,3003
-0.208,8999
-0.221,8083
-0.237,10800
-0.202,9333
0.287,1394
-0.0204,5184
0.00227,5013
-0.0886,6324
-0.0152,5927
0.732,143
0.296,1647
0.16,1620
-0.272,9149
-0.252,10332
-0.0226,6456
0.0311,3970
-0.269,10240
-0.24,9823
0.00503,5376
-0.011,5618
0.113,1711
0.137,3096
0.116,3269
-0.355,10292
-0.289,10543
0.143,2944
0.109,2588
-0.0663,7492
0.399,538
-0.0623,6460
0.147,1350
0.0473,3972
0.0167,4575
-0.228,10179
-0.0727,7293
0.254,2377
-0.173,9616
-0.103,8221
-0.0725,7905
0.331,1256
0.0544,3571
-0.216,9327
-0.472,10825
-0.194,9979
-0.0141,5839
-0.128,9465
0.164,1260
-0.0886,8200
0.229,1013
0.0339,4424
-0.000543,5691
0.307,423
-0.0054,5620
-0.279,8801
-0.0527,5590
0.185,1042
0.064,3329
-0.039,6863
0.186,1612
0.395,279
-0.335,8604
-0.0511,6471
0.153,431
0.165,712
0.714,281
-0.151,8861
0.547,908
-0.0675,6629
0.0879,3585
0.000197,5520
-0.261,7917
-0.189,7223
-0.234,8245
0.244,2491
0.0386,3594
0.178,852
0.0701,3187
0.0253,4240
-0.459,10708
0.039,4298
0.217,347
-0.176,9308
0.926,414
0.0368,4545
-0.226,8939
-0.303,7431
0.222,435
0.431,60
-0.308,10552
-0.0112,5881
-0.183,9580
0.517,386
0.0373,3933
-0.0167,6333
-0.367,7653
0.941,710
-0.112,5874
-0.794,10368
-0.0696,7539
-0.258,9465
-0.0875,7943
0.0218,4600
0.433,276
-0.193,9628
0.0851,2782
-0.214,9653
-0.259,10560
-0.00799,5565
0.771,395
-0.00331,5202
0.0981,2587
-0.235,9604
-0.0658,6597
-0.0648,6703
0.0495,4137
0.361,373
0.00337,5180
0.205,1738
-0.36,10949
