coef,rank
0.191,2592
-0.00184,5344
-0.0558,7407
-0.048,5805
1.7,631
-0.488,9457
-0.346,8746
-0.0014,5446
0.0765,2642
0.164,1891
0.021,4688
-0.287,9933
0.0292,4354
0.0373,3813
-0.00432,5682
-0.0142,5739
-0.215,7494
0.128,3642
0.0646,2746
-0.0859,9707
0.155,1629
0.0307,4269
-0.27,8692
0.00509,5215
-0.254,10550
0.435,216
-0.038,5717
0.0337,4379
-0.137,9909
-0.434,8569
0.0306,4634
-0.146,9455
-0.264,10156
-0.1,6283
0.152,2251
-0.331,10147
-0.0835,7888
0.0955,1798
0.271,575
0.57,348
0.173,2108
0.341,612
-0.0716,7791
-0.00366,5687
0.00737,5131
-0.182,9640
-0.178,8741
-0.261,9041
-0.15,10614
0.112,875
-0.186,8764
-0.0336,6573
-0.0674,6555
0.432,358
-0.0267,5564
-0.0758,8298
-0.166,9467
0.388,905
-0.0705,5990
-0.1,6880
0.0672,2519
-0.0573,7603
-0.194,8761
-0.0421,6025
-0.107,9213
-0.0903,9168
-0.162,9269
0.076,2776
-0.137,9172
0.137,1483
0.113,2677
0.328,2265
-0.112,8547
-0.0814,7694
0.213,1344
-0.0719,6595
-0.0142,5324
-0.136,9556
0.159,1498
-0.0309,6473
-0.198,10255
0.161,1840
-0.369,9488
0.00772,5013
-0.0458,7296
-0.0621,7411
-0.0487,6811
-0.03,5878
-0.27,10245
-0.000341,5008
0.0735,2776
-0.0239,6650
0.172,2055
0.0447,4230
0.3,1366
0.281,1399
-0.25,9640
0.0212,4530
-0.344,9865
0.0528,3444
-0.0407,6241
0.301,751
-0.0507,7146
0.00354,5146
0.0523,3707
-0.0469,6351
0.0724,4025
-0.209,8867
0.0278,4690
-0.153,8695
0.0235,4649
0.0121,4872
0.0416,4460
-0.249,9395
0.0915,2485
-0.00622,5842
-0.157,8252
0.0656,3704
-0.106,9172
-0.125,7982
0.0806,3520
0.093,2022
0.018,4708
-0.223,10835
0.0546,4398
0.0251,4693
-0.174,10453
-0.268,10170
0.195,2170
0.258,837
0.221,1740
-0.169,8631
0.12,1818
-0.0694,7602
-0.268,9474
-0.249,10831
-0.299,6184
0.33,1954
-0.0422,6817
0.0849,2849
-0.117,7414
-0.00476,5763
-0.0928,6938
-0.065,7018
-0.0282,5980
-0.114,8751
-0.22,8779
0.00572,5107
-0.155,10050
-0.0304,5737
-0.0352,6527
-0.0987,8965
-1.03,9399
-0.0564,6362
0.154,3419
-0.139,8397
0.101,2440
0.0813,3461
-0.0518,6164
-0.0491,6616
0.0199,4852
-0.0531,7076
-0.158,8962
0.0539,2744
0.0795,3319
0.165,2094
0.199,631
-0.00579,5569
0.0186,5082
-0.282,10965
0.321,572
-0.103,6525
0.0794,2640
0.214,349
0.00884,4768
-0.0873,7785
-0.167,10085
-0.186,9036
-0.0315,5579
0.129,839
0.0148,5073
0.333,613
0.0878,3179
0.0347,4446
-0.0526,7213
-0.0575,8573
-0.0273,6249
0.229,772
0.225,1663
-0.0646,7414
0.0811,4101
0.119,2053
0.0334,4270
-0.0243,6957
0.186,877
0.349,486
-0.0828,6132
-0.0983,8322
0.32,879
0.321,669
-0.151,10132
0.074,3742
0.093,2620
0.0302,4838
-0.093,8883
0.249,665
-0.126,8189
0.125,3624
-0.259,10415
