coef,rank
-0.141,7363
0.206,1497
0.0108,5070
-0.0845,6388
-0.112,4850
0.279,3030
-0.355,8847
-0.0356,6397
-0.0137,5623
-0.0128,5288
0.0857,3356
0.368,710
0.0265,4443
-0.302,11018
0.0713,3450
-0.152,8695
0.875,261
-0.0326,5103
-0.0996,9451
-0.1,10070
-0.122,8652
-0.211,10557
0.0917,3755
-0.05,6027
0.236,813
-0.139,8186
0.577,225
0.176,2008
0.0857,2555
0.152,3533
-0.0522,6509
-0.147,9476
-0.205,9401
0.666,424
0.376,380
-0.322,10078
-0.0761,7680
0.097,1764
-0.0602,6951
-0.105,6767
-0.232,9747
-0.0772,6869
-0.214,10636
0.0898,1318
0.399,300
-0.237,10383
0.358,625
-0.142,7206
0.0485,2915
0.062,2363
-0.153,8213
-0.253,10646
-0.287,10023
0.325,828
0.718,10
0.0153,4592
-0.12,8494
-0.364,10196
0.378,1531
-0.349,10311
0.0547,2944
-0.221,10751
0.144,2819
-0.297,10274
-0.0836,8523
0.0272,3974
-0.0145,5689
0.141,1196
-0.148,9401
0.00818,5058
-0.265,10409
0.276,2622
0.0285,4251
-0.0637,7195
-0.225,10120
0.0792,3767
-0.372,9649
-0.184,10302
-0.0491,6756
-0.0221,6181
0.0483,4271
0.00422,5190
0.374,1699
0.104,3671
0.23,282
-0.178,10212
-0.271,10659
0.263,1698
0.159,1948
-0.0734,6268
-0.0212,6314
0.0567,2804
-0.137,8167
-0.314,10511
-0.173,7969
0.232,1870
0.333,778
0.038,3965
0.434,878
0.0632,3092
-0.278,10516
0.141,2515
-0.0709,7775
-0.0315,6364
-0.195,10089
0.109,3127
0.13,3309
-0.108,7230
0.131,2787
-0.144,8525
-0.0971,7221
0.354,238
-0.166,6306
-0.415,10736
0.077,2899
0.063,2866
-0.527,10974
0.18,1457
-0.136,9915
-0.275,10137
0.121,2679
-0.128,9763
0.128,1499
-0.128,9609
-0.156,7806
-0.514,10256
0.056,3296
0.212,1486
-0.268,9942
0.164,1786
0.478,308
0.133,2834
-0.127,9371
-0.0671,7524
-0.0657,6292
0.31,126
1.33,1059
0.29,2227
0.0784,2585
0.17,1188
0.139,3355
0.0395,4008
-0.154,7958
0.0472,4326
-0.0977,7821
0.126,2278
0.363,768
0.249,1066
0.155,1337
-0.193,8514
-0.0831,7986
0.0989,2118
-1.05,9493
0.0083,4865
0.402,1495
-0.415,10954
-0.0308,6456
-0.296,10739
0.208,2320
0.0765,3485
0.0973,3025
-0.0528,7064
0.0858,3513
0.0374,3432
-0.263,10439
0.0708,3936
-0.218,10712
0.286,84
-0.229,9914
0.152,1218
-0.277,10412
0.647,350
0.164,963
-0.101,8804
-0.0999,10139
-0.12,8660
-0.16,9977
0.149,2622
0.455,1659
-0.0816,8914
0.0138,5101
0.311,732
-0.00522,5457
-0.0333,6294
0.0429,3468
0.0208,3888
