coef,rank
-0.501,10768
-0.0384,6272
0.0165,4855
0.386,1061
-0.518,7577
1.1,483
0.321,2277
-0.241,10417
-0.15,9785
0.178,1710
-0.0399,6075
-0.0233,5608
-0.119,8527
-0.00797,5664
-0.0186,6095
0.205,1757
-0.201,7323
-0.405,9330
-0.0818,8938
-0.111,10321
0.394,95
-0.0761,7744
0.246,2145
-0.0875,6547
0.0623,3708
-0.0175,5506
0.545,279
0.202,1682
-0.195,10672
-0.0224,4740
0.00453,5220
-0.00108,5374
-0.0914,7323
-0.34,9226
-0.143,8206
-0.354,10309
0.0884,3082
-0.0329,6742
-0.112,8253
-0.129,7182
-0.0712,6864
0.0154,4842
-0.00691,5556
-0.0388,7658
0.211,1533
0.196,1103
-0.06,6597
-0.213,8317
-0.0469,7668
0.0498,2882
-0.181,8678
0.0877,3283
-0.203,8975
0.16,2416
0.0372,4190
0.0762,2439
-0.202,10037
-0.321,9787
-0.0563,5829
-0.0568,6075
-0.135,10225
0.13,1775
-0.283,9896
-0.23,9538
0.036,4004
-0.0221,6314
-0.178,9536
0.13,1389
0.141,1954
0.0727,2980
0.293,587
-0.371,8821
0.278,301
-0.0304,6219
-0.0838,7565
-0.088,6916
-0.0499,5776
0.217,632
-0.0866,7880
-0.157,9914
-0.184,10083
-0.0821,7487
-0.204,7788
-0.107,6779
0.0412,3942
-0.156,9844
0.21,1254
0.116,3506
0.0226,4546
-0.00723,5139
0.127,1427
-0.133,10344
0.103,3171
0.0258,4655
-0.171,7931
-0.308,10052
-0.303,10201
0.0381,3962
0.0181,4785
0.0979,1999
0.159,1930
0.00399,5184
0.135,1704
-0.0376,6555
-0.102,8211
-0.193,9336
-0.0121,5255
-0.0246,5702
0.0705,3825
-0.0774,7066
-0.257,9943
0.051,3972
-0.557,9935
-0.0799,6701
-0.12,9416
0.0158,4783
0.169,2610
0.258,621
0.0848,2361
-0.033,6041
-0.115,8216
-0.0681,8048
-0.131,9662
-0.192,10608
-0.0885,6701
0.258,2565
0.0645,3011
0.144,2356
-0.0303,6077
0.231,1061
0.263,1341
-0.000185,5250
-0.024,6236
-0.0219,6226
0.157,2768
0.125,1723
-1.03,10207
-0.177,7370
-0.086,8276
0.0635,3431
0.208,2484
0.0728,2830
0.237,1813
-0.201,9682
0.273,661
-0.0215,6222
0.204,2016
-0.203,9612
-0.105,9023
0.0884,3694
-0.282,10879
0.0914,2328
0.479,2672
-0.107,7488
-0.456,10122
0.344,475
0.0485,3833
0.0164,5022
-0.117,7241
-0.0539,6741
0.405,142
-0.307,10943
-0.126,8379
-0.0424,7607
-0.0499,6487
-0.109,8249
-0.219,10720
-0.242,10926
-0.112,8012
-0.00357,5579
-0.0327,6149
-0.187,7752
0.133,1435
-0.0101,5550
-0.0644,8993
-0.0527,6778
0.122,1732
-0.19,9096
-0.217,7641
-0.0358,6980
-0.0297,6514
-0.157,8878
-0.112,8187
0.391,173
0.154,820
-0.0145,6098
-0.132,9427
