coef,rank
-0.305,9478
-0.282,10422
-0.0446,7033
0.303,1573
-1.24,10572
-0.537,9813
-0.21,7325
0.087,3199
-0.0956,8398
-0.103,7479
-0.137,8140
-0.196,8774
-0.0261,5980
0.162,764
0.0573,3817
0.262,1154
-0.362,9127
-0.189,6906
0.114,1377
0.108,982
-0.0402,6450
0.033,4200
0.259,2034
-0.194,7999
-0.071,7364
0.158,2141
-0.356,10230
-0.176,8606
0.0642,3214
0.395,2257
-0.0228,5845
0.0681,3259
0.0126,5117
-0.102,6308
-0.144,8209
0.0872,3786
-0.0646,7366
-0.036,6871
-0.102,8001
-0.338,9995
0.196,1778
-0.275,10076
-0.0664,7627
0.0844,1468
-0.191,9236
0.0528,3767
-0.131,7985
-0.361,10122
-0.0539,7969
-0.0821,9393
0.405,563
-0.0312,6500
0.273,1207
0.285,1092
0.477,145
-0.111,9385
0.0759,3030
0.16,2729
-0.369,9698
-0.23,9047
-0.0151,6019
0.0178,4996
0.251,1595
-0.353,10636
-0.0649,7884
0.13,809
-0.153,9104
0.0235,4557
0.0684,3569
0.0256,4431
-0.0764,7183
0.026,4684
0.149,1464
-0.398,11019
-0.194,9708
-0.0208,5565
0.212,2760
-0.0797,8123
-0.0917,8008
-0.181,10263
0.105,2831
0.256,793
0.0547,4577
-0.101,6673
-0.0543,7582
-0.0839,8090
0.0187,4997
0.631,152
0.169,1828
0.381,916
0.0721,2824
-0.0175,6307
-0.278,10231
-0.091,7251
0.418,689
-0.18,8343
-0.231,9410
0.0982,2257
-0.568,10897
-0.0463,7661
-0.0117,5541
-0.0586,6637
0.0645,3384
0.0478,3800
-0.28,10786
0.0384,4517
0.12,3431
-0.155,8043
-0.278,10135
-0.266,10347
0.423,265
0.116,2522
0.352,2393
0.108,3472
0.0121,5083
0.104,1617
0.255,1613
0.201,1189
-0.107,9200
-0.147,8395
0.0278,4686
0.0236,4309
0.295,82
0.135,1281
-0.0937,6780
0.324,2054
-0.0614,7657
-0.136,8305
-0.0818,7063
0.295,603
0.58,155
0.0504,4263
-0.125,9313
-0.0643,7438
-0.0814,6561
-0.113,9006
0.922,1628
-0.214,7802
0.0401,3785
-0.117,8853
-0.295,9757
0.0904,2319
0.401,663
0.00255,5428
0.204,1269
-0.197,10206
-0.0595,6059
0.0975,3175
0.00909,5280
-0.0143,5443
0.135,1721
-0.141,9926
-1.25,10053
0.221,1363
0.486,1073
0.0569,3989
0.148,1468
-0.032,6308
-0.037,5888
0.0721,3585
-0.205,10013
-0.0796,7820
-0.247,10188
0.0118,4724
-0.124,8284
-0.238,10261
0.0203,4659
-0.0424,7013
-0.163,8954
0.153,1210
-0.167,9051
-0.222,8268
-0.0158,5754
-0.0252,6170
-0.115,10461
-0.076,7471
0.196,659
0.0976,3459
-0.15,6874
0.101,1408
-0.152,9632
-0.101,7776
-0.149,8966
0.0915,3119
-0.0557,7320
-0.0419,7717
-0.0364,6591
0.0454,4079
-0.425,10865
0.0169,4883
-0.345,8543
-0.113,8871
-0.0411,6842
-0.0189,6679
0.00588,5040
-0.0665,6680
-0.426,10403
-0.151,9520
-0.343,10623
0.313,711
-0.175,10466
0.409,437
0.173,1269
-0.195,8158
-0.0342,6649
0.152,1791
-0.0326,6127
-0.424,9914
0.314,465
0.265,1184
-0.0499,6908
-0.0426,7128
-0.162,9511
-0.0154,5615
0.493,294
0.000286,4998
0.0586,2525
0.0992,2504
0.189,1555
0.0444,4408
0.185,2383
-0.0207,5408
-0.287,10424
-0.0328,6577
-0.064,8211
0.516,237
0.07,4024
0.0735,3729
-0.165,10154
0.0789,2550
0.0235,4538
-0.0624,6758
0.162,2213
0.422,261
0.0552,4282
-0.046,7933
-0.0622,6612
0.028,4672
-0.245,8781
-0.31,10486
0.0176,4814
-0.601,8867
0.136,3546
-0.135,9118
0.0102,4811
0.04,4593
-0.115,9121
0.294,615
0.175,2208
-0.229,10279
0.255,3909
-0.509,10849
0.00475,5125
-0.00722,5726
0.282,1994
-0.466,10517
