coef,rank
-0.375,10103
0.081,3551
-0.00629,5681
0.739,127
-0.619,8195
-0.0765,5244
-0.183,7018
0.0694,3603
-0.27,10908
-0.0381,5862
-0.191,9158
-0.0544,6230
0.05,3775
-0.0098,5739
-0.189,10080
-0.229,9873
-0.235,7758
-0.00823,4820
-0.107,9627
0.00982,5085
0.0729,3318
-0.214,10579
0.232,2277
0.167,3069
0.226,910
-0.186,9057
-0.142,7541
-0.282,10053
-0.0533,7650
0.178,3389
0.032,4605
-0.103,8480
-0.332,10651
-0.305,8865
0.262,1018
-0.113,7302
0.0941,2953
-0.112,9570
0.0378,4226
0.29,1561
0.179,2012
-0.0822,6986
-0.14,9598
-0.0341,7395
-0.192,9258
-0.061,6862
0.103,3418
-0.102,6548
0.0269,3869
-0.0301,7056
-0.0291,5838
-0.0117,5981
0.314,902
0.212,1735
0.00355,4911
-0.123,9668
0.109,2337
0.282,1559
-0.306,9057
-0.428,10755
-0.00611,5600
-0.0211,6366
-0.123,7595
-0.0536,6282
0.0143,4854
-0.0481,7530
0.206,1185
-0.1,9083
0.0953,2899
-0.153,9814
-0.142,8689
0.45,1624
0.0157,4638
0.0422,4024
-0.00191,5537
0.158,2580
0.434,1163
0.00663,5263
-0.0394,6472
-0.0762,7926
-0.248,10689
0.287,573
-0.251,8329
-0.193,8013
-0.0773,8399
-0.124,9192
-0.0149,5888
-0.115,7287
-0.235,9878
0.27,1659
-0.215,10863
0.0184,4508
-0.244,9881
-0.222,9617
0.589,222
-0.0709,6467
0.149,2617
0.0501,3572
-0.342,9845
0.0386,4013
-0.0166,5671
0.0778,3619
0.0278,4508
0.0368,4135
0.436,29
-0.00523,5429
-0.414,10278
0.271,1487
-0.0312,5909
0.141,2297
-0.243,9768
-0.229,10171
-0.629,10310
0.208,2188
0.241,310
0.288,32
0.264,1535
-0.335,10971
0.0254,4378
-0.0764,6985
0.153,2120
0.231,191
-0.213,10743
0.0629,3212
0.491,469
-0.395,9470
-0.104,9039
-0.0752,7019
0.309,1104
0.0904,3068
-0.172,8685
0.128,2905
-0.0891,8403
0.0526,3916
0.222,2026
0.0263,4377
-0.655,8574
-0.489,10359
0.0378,3875
-0.119,8892
0.218,2351
0.123,1520
-0.0441,6028
0.508,76
-0.11,8115
0.0477,4230
-0.164,7923
-0.247,10152
-0.0747,8155
-0.301,9848
-0.0764,7772
-0.155,10159
0.457,2731
-0.27,10223
1.1,61
0.0937,3233
0.09,2698
0.251,834
-0.179,8188
0.225,1154
0.244,840
0.0757,3166
-0.145,8723
-0.028,6861
0.103,2840
-0.0281,6345
0.124,1700
0.0138,4811
0.533,80
-0.032,6600
-0.0576,6754
0.0944,3761
-0.183,10322
-0.224,10796
-0.0308,7203
-0.207,10255
-0.0139,5800
-0.0878,7214
1.25,90
-0.122,10030
0.0655,3576
-0.0358,6301
-0.0205,5867
-0.0283,6143
0.138,1033
-0.0495,8142
-0.208,10556
-0.271,10761
0.0857,3535
0.0123,5035
-0.122,6044
-0.0811,7969
-0.085,8213
0.0997,1169
-0.0177,5835
-0.282,10311
-0.216,8106
-0.0747,7723
-0.267,9995
0.101,3202
-0.179,10517
-0.0598,6368
-0.201,9978
-0.287,9236
-0.0187,5962
0.127,2223
-0.0685,6965
-0.442,10066
0.152,2154
0.167,2263
-0.159,9780
0.174,520
0.108,2603
-0.0575,6419
-0.0709,6612
-0.0586,6264
-0.144,10777
-0.0207,6199
-0.0912,7600
-0.208,9610
-0.197,8374
0.147,2988
-0.0656,6930
-0.217,10801
0.0227,4233
-0.4,10709
-0.502,10856
-0.0807,7633
0.099,2291
-0.0266,6608
-0.0763,8538
-0.114,7915
0.227,1351
0.0761,3806
-0.214,8850
0.07,2028
-0.032,5813
-0.301,10386
-0.108,6885
-0.0567,6244
-0.107,7198
-0.286,5913
-0.374,9830
0.0327,4421
-0.0874,7377
-0.377,10851
0.00302,5143
-0.201,9824
0.155,2457
0.01,5050
-0.0576,5645
-0.143,7601
-0.0847,8463
0.112,1453
-0.408,10333
-0.386,9983
0.042,4488
0.193,2934
-0.187,9929
-0.0431,6555
-0.1,8261
0.022,4768
-0.198,9574
0.184,1872
-0.141,9181
0.317,505
-0.0335,5471
-0.155,9365
0.394,150
-0.0302,5619
-0.178,9579
-0.0847,9281
-0.0199,5662
0.0689,3568
0.059,4250
-0.05,6604
0.0514,3829
0.196,1991
-0.262,10308
0.225,1304
-0.0307,6061
-0.256,10665
0.183,1232
0.128,3179
-0.167,8934
-0.123,7604
-0.284,9986
0.0974,3128
0.00733,5158
0.343,293
-0.176,8728
0.0829,3860
0.0358,4622
-0.352,10627
0.133,1231
0.193,640
-0.0481,5905
-0.075,7242
-0.281,9441
0.0869,3638
0.305,368
-0.184,10119
0.103,2648
-0.153,8327
-0.0104,5619
-0.0836,6154
-0.0928,9040
0.13,2657
-0.192,10090
-0.00996,5336
0.165,2650
-0.106,8474
0.115,1500
0.0638,3522
-0.261,10582
0.329,1869
-0.0118,5592
0.0298,4823
0.024,4754
0.582,289
-0.104,7114
-0.0241,6058
-0.363,10422
-0.482,10092
-0.00607,5583
0.0597,3800
0.126,1885
-0.103,7791
-0.145,10228
-0.219,8238
0.129,1177
-0.234,10683
0.502,550
-0.145,7710
0.00887,5070
-0.146,6916
-0.146,9655
-0.0931,8749
-0.0837,8168
0.0499,3733
0.192,1258
0.275,1370
-0.139,9838
0.271,1997
0.242,2065
-0.0585,8037
0.13,1033
0.0108,4872
0.0978,2409
0.131,2326
-0.759,9546
-0.478,9547
-0.163,4471
-0.524,8710
-0.0048,5171
-0.412,8526
0.594,197
0.145,2671
0.279,629
0.273,650
0.128,847
-0.0289,6703
-0.65,9417
-0.086,7031
-0.0596,6435
0.229,1873
-0.17,9298
-0.0409,7232
-0.161,6696
0.155,2317
-0.055,7109
0.374,310
-0.0869,6778
-0.0468,6931
0.0239,4821
0.312,1215
-0.054,5974
0.421,1697
-0.301,10516
-0.217,10705
0.278,1626
0.0123,4750
0.0732,3776
0.334,2061
0.19,1037
-0.151,9428
-0.135,8887
0.0385,4375
-0.281,7859
0.0382,4360
-0.073,7764
0.106,2483
0.281,615
-0.0509,5868
-0.266,10358
-0.0343,5416
0.39,222
0.0607,3285
0.534,795
0.00457,5226
-0.313,10416
0.121,2417
0.116,2464
0.128,1958
-0.159,9003
-0.114,7441
0.165,2443
-0.162,6726
-0.0371,8916
-0.137,9252
-0.235,9765
0.0366,4838
-0.0225,5717
-0.13,7812
0.102,2084
0.0607,1859
-0.00918,6746
-0.0767,7115
0.0384,4717
-0.0624,6762
0.125,3564
-0.109,9549
-0.32,10312
-0.249,9787
-0.0362,5785
-0.272,8259
-0.149,8333
-0.037,6874
0.0823,3131
-0.14,7795
-0.127,7668
0.213,1410
-0.0287,6196
0.0275,4625
0.116,2976
-0.181,9314
0.244,1567
-0.0333,6458
-0.106,7000
-0.0268,6469
0.0123,4912
0.00511,3527
0.169,3287
0.062,4050
-0.433,10171
-0.106,8930
0.0333,4788
0.0777,3999
0.759,436
-0.0111,5293
0.537,563
0.183,1212
-0.279,8937
-0.294,9644
0.0144,4887
0.226,2358
-0.00931,5620
-0.0723,8557
-0.1,9620
-0.0985,7494
0.0378,4486
-0.0608,7080
-0.188,10067
0.04,3842
0.3,1410
-0.0938,7123
-0.0665,6403
0.0839,3856
0.0282,4767
-0.135,8733
0.0649,3478
-0.283,9999
