coef,rank
0.139,3216
-0.0909,7479
0.0468,3818
-0.37,10041
2.01,446
-0.077,5248
0.741,553
-0.0869,7686
0.244,278
-0.0739,6818
-0.08,6963
0.151,2686
-0.149,9233
0.00761,5010
0.0211,4863
0.159,2362
0.224,2827
-0.0837,5645
-0.135,10248
0.0905,1437
-0.218,10285
-0.0655,7416
0.061,4130
0.0017,5258
0.0975,2901
0.0958,3144
0.775,53
-0.174,8573
-0.0438,7331
-0.168,6052
0.137,2561
0.0744,3082
0.0406,4533
0.129,3417
0.082,3439
0.131,3118
-0.00645,5676
-0.0898,8952
-0.0802,7450
-0.164,7728
0.0816,3610
-0.153,8331
-0.138,9537
0.019,4374
-0.326,10654
-0.252,10514
-0.0135,5654
0.542,298
0.0127,4566
-0.0959,9821
0.128,3102
-0.0833,7964
0.0243,4746
-0.225,9364
-0.00962,5198
-0.00849,5587
0.0454,3834
-0.244,8840
-0.198,7768
0.43,477
-0.0551,7841
0.192,813
0.0595,4223
0.385,463
-0.0289,6523
-0.0647,8256
0.00935,5037
-0.0135,6043
-0.0521,7082
-0.0105,5691
-0.133,8491
0.115,3864
0.0336,4090
-0.0191,5854
-0.126,8529
-0.198,8792
-0.672,10947
-0.145,9729
-0.0884,7928
-0.125,9247
-0.0625,7502
0.211,1228
-0.223,8010
0.303,1547
0.197,492
0.0163,4800
-0.193,9915
0.135,3206
-0.189,9243
-0.00445,5084
0.072,2832
0.105,1343
0.462,180
0.0973,3193
-0.0802,6437
-0.255,9415
-0.087,6956
-0.0485,7057
-0.0641,6015
0.156,806
-0.141,8649
0.0223,4759
-0.135,9490
-0.195,10377
-0.0561,6884
0.201,1742
-0.00846,5199
0.0662,4041
-0.228,9550
-0.15,8652
-0.05,6251
0.194,1296
0.474,1752
0.211,2149
0.0763,2910
-0.0409,7413
-0.0692,6679
0.067,3661
-0.105,9156
0.0304,4665
0.111,2880
-0.0024,5394
0.172,753
0.157,944
0.049,4486
0.166,3289
-0.02,6106
-0.0849,7245
-0.293,10192
-0.272,10390
-0.121,7768
0.139,2739
0.04,3997
-0.137,9218
-0.224,8863
0.241,372
1.47,891
0.13,3708
-0.109,8939
-0.355,11003
0.277,1724
-0.00693,5838
-0.278,9667
0.0251,4837
-0.114,8193
0.303,291
0.251,1571
-0.0625,6800
0.0769,3032
-0.149,7799
-0.0432,6762
0.043,3849
-1.01,9356
-0.132,8047
-0.254,8213
0.0941,3224
-0.0838,8202
0.338,334
0.0279,4786
0.123,2580
0.27,635
0.117,2206
0.0601,4047
0.0296,3830
-0.208,9796
-0.26,10463
0.0114,4996
0.301,63
-0.246,10093
0.163,1065
-0.303,10602
-0.0777,6147
0.118,1715
0.15,1000
0.117,541
-0.0305,6101
-0.156,9905
-0.293,10321
-0.175,7153
-0.021,6300
0.0101,5198
0.00361,5360
-0.233,10254
-0.00586,5495
0.164,725
-0.00154,5267
-0.0134,5756
-0.296,10852
-0.05,6129
-0.0695,7553
-0.81,10919
0.0758,3050
0.126,1842
0.086,1564
-0.0196,5907
0.477,141
0.423,823
-0.172,9879
-0.0119,5532
0.297,806
0.00886,4990
-0.035,5825
0.154,1526
0.312,1704
-0.0794,8436
-0.261,10704
-0.113,7908
-0.509,10428
-0.0104,5606
0.303,862
0.0795,2920
0.00786,5034
0.147,1849
0.0423,4449
-0.0883,6966
-0.373,10778
0.0243,4200
0.0868,2822
0.154,2036
-0.269,10283
0.879,16
-0.178,7940
-0.0619,6835
-0.0421,6948
0.0048,5040
-0.124,7577
-0.0713,6272
-0.00302,5618
-0.056,7408
0.0559,3271
0.00913,5077
0.257,1174
0.117,3008
0.288,921
-0.17,8150
0.122,739
-0.146,8604
-0.0358,6009
-0.663,10981
-0.0143,5226
0.0405,4350
-0.695,9552
0.359,1725
0.264,483
-0.0858,7332
-0.14,8488
-0.0719,7919
-0.0063,5652
0.262,1163
-0.148,9060
0.296,3713
-0.55,10923
0.11,1679
0.086,2116
-0.159,7583
0.144,3418
-0.348,9580
-0.221,7061
0.0337,4455
-0.156,9461
-0.0559,7082
-0.2,10079
0.05,4436
-0.000525,5411
0.142,1907
-0.0967,7594
0.548,377
0.267,626
-0.342,10917
0.353,916
-0.178,9565
0.0459,3253
-0.194,9891
0.0437,4108
-0.0331,6075
-0.0979,7837
-0.37,10949
0.385,506
-0.0251,5977
-0.0231,5794
0.0707,4123
-0.252,10633
-0.169,9586
-0.107,7763
-0.108,7765
-0.0624,6500
0.112,3074
0.0698,3720
-0.0836,8886
-0.0854,7647
-0.0533,6226
-0.205,8813
0.504,217
-0.225,9439
-0.0186,6377
0.124,1666
-0.328,9639
-0.104,7910
-0.28,9430
0.0729,3838
-0.0934,7809
0.0878,2678
0.249,620
0.192,1701
0.136,2397
0.307,1598
-0.0889,8912
0.281,962
-0.222,10430
0.229,2287
-0.356,10146
-0.147,9509
0.0287,4086
-0.105,8422
0.135,2257
-0.469,10295
0.203,2403
0.335,685
-0.0215,5491
0.252,1904
0.0853,3924
-0.229,10199
-0.133,7434
-0.323,8832
-0.0253,6286
0.129,2284
-0.145,9472
0.0422,3989
-0.0864,8722
-0.434,10379
-0.167,10457
0.00227,5328
-0.132,7633
-0.36,10442
-0.0856,7908
0.225,2630
-0.104,8656
0.0948,2271
0.169,1090
0.047,3828
-0.219,10253
-0.132,7631
-0.0163,5943
-0.144,7312
0.00624,4997
-0.237,11008
-0.0747,8518
-0.082,6900
0.121,1916
-0.0627,7007
-0.722,9345
-0.397,8826
2.43,435
1.68,232
-0.457,10286
-0.304,7525
-0.0624,6522
0.0201,4995
-0.301,10776
-0.194,9545
0.102,1366
0.0369,3257
1,999
0.143,2742
-0.316,10409
-0.114,7549
-0.156,9077
-0.000787,5454
-0.154,6562
-0.0644,6768
0.0897,3268
0.103,3042
0.25,1651
0.0586,3321
0.0358,4549
0.34,997
-0.0541,5978
0.0685,4394
-0.239,9974
0.0133,4895
0.0217,4761
-0.0799,9057
-0.21,9222
0.714,527
0.286,340
0.223,785
-0.0855,7690
-0.0612,6626
0.515,1276
-0.0438,5975
-0.107,8699
-0.0833,7692
0.0218,4958
-0.205,8059
-0.103,7807
0.307,1735
-0.13,8304
0.129,1604
0.165,3193
-0.0256,6071
-0.0719,6740
0.117,2490
0.329,260
0.0172,4745
0.411,241
-0.341,10458
-0.017,5645
0.148,3517
-0.0618,10184
-0.128,9068
-0.105,7556
-0.0975,7107
0.101,3352
-0.188,8859
-0.0691,7973
-0.0373,7760
0.0475,942
0.0633,3676
-0.00988,5328
0.0474,3993
0.477,942
0.147,802
-0.387,10738
-0.374,10745
-0.207,9049
-0.373,9347
-0.0281,6029
0.0242,4523
0.0584,3624
0.139,2969
0.458,291
-0.0808,7391
0.0618,2839
0.245,405
-0.0281,6073
0.0273,4583
0.387,565
0.0602,3632
0.4,712
0.0389,4216
-0.0844,8930
0.031,3406
-0.324,9393
0.0446,4380
-0.0711,6102
-0.207,10607
-0.201,9323
-0.0558,6431
-0.408,9779
-0.149,7915
0.239,2274
-0.00924,5736
-0.00571,5158
0.23,2276
0.25,639
0.153,3164
-0.164,9099
-0.129,10131
0.0283,4108
0.323,803
0.136,2620
0.123,2562
0.211,771
-0.00115,5379
-0.108,7005
-0.152,8235
-0.0257,5706
0.0969,3602
0.416,613
0.0118,4920
-0.244,10717
-0.199,8919
-0.131,7937
-0.111,8848
0.0518,3861
0.0339,4141
-0.0807,7551
0.0411,3932
0.225,2644
-0.176,9673
0.22,1110
-0.0676,7740
-0.357,9979
-0.0934,8509
-0.00527,5308
0.345,1220
-0.203,10108
-0.0542,7163
0.242,340
-0.232,10550
0.0503,3811
-0.0597,6984
-0.128,8708
-0.0568,10059
0.296,488
-0.0583,7536
0.109,3759
0.0946,3859
0.0659,3474
-0.0459,6831
0.188,694
-0.171,9098
-0.254,9950
-0.244,7590
-0.187,9552
-0.112,9917
-0.171,10347
-0.347,9416
0.053,4231
0.0513,4344
-0.0173,5653
0.244,1726
-0.0874,8804
-0.737,10885
0.253,2693
-0.0156,5399
-0.464,10407
-0.0925,8845
-0.131,9518
-0.00451,5601
-0.00991,5432
-0.103,6799
0.014,4850
-0.0705,7755
-0.19,9500
-0.389,8888
-0.071,6327
-0.414,10552
-0.0512,5153
0.00836,4975
0.211,1086
0.122,2590
-0.235,10156
0.0907,2947
0.0228,4950
0.0584,3284
-0.0875,9290
-0.347,7441
-0.701,10254
-0.338,7913
0.676,1594
0.0108,5020
-0.238,9165
0.124,2004
0.0725,3581
0.00145,5128
0.0747,3506
0.0709,3159
0.09,3351
0.00367,5381
0.0519,4010
-0.0499,5656
0.302,2918
0.0489,3800
-0.365,10697
0.187,1691
-0.0536,6434
-0.154,8627
-0.316,10613
-0.202,9916
0.11,3056
0.119,2516
-0.0875,7996
0.116,2909
0.0563,4142
0.116,2083
0.0581,3557
0.0797,3399
-0.00135,5381
0.0474,4384
0.0223,4423
-0.113,8817
0.316,1160
0.3,563
0.215,1384
-0.19,9208
-0.16,8835
0.0109,5001
0.134,1018
-0.22,7823
-0.29,10710
0.146,2467
0.0148,4907
0.0517,3843
-0.0257,5962
-0.237,8639
-0.0664,7783
0.16,1088
0.0329,4533
0.0644,3343
0.22,637
0.147,2074
-0.0648,7509
0.161,3000
0.159,3275
-0.00243,5581
-0.183,9156
-0.206,8803
0.136,2194
0.0179,4866
-0.11,8458
0.198,1251
0.124,2165
0.0102,5158
0.315,1239
-0.0523,6836
-0.0889,6970
-0.0373,6281
0.0795,2726
-0.443,10418
-0.11,9612
-0.203,7797
-0.327,7993
-0.0412,6695
0.173,1304
-0.0252,5905
0.136,2011
-0.115,6931
-0.249,9902
-0.0791,7511
0.0803,2730
0.051,3069
-0.0924,8177
0.126,2552
-0.0054,5553
0.167,1210
0.18,2492
-0.0772,8032
-0.181,8102
0.34,2612
0.143,1717
-0.0914,8922
0.153,548
-0.107,9018
0.135,3004
0.0823,3589
0.269,112
-0.109,10171
-0.133,9214
0.224,1701
-0.0967,7132
0.242,1710
-0.16,8698
0.307,648
