coef,rank
-0.0249,5554
0.141,2429
0.0636,3301
-0.247,8750
-0.102,4779
-0.219,6602
0.138,3652
0.166,1786
-0.287,10955
0.186,1613
-0.0362,6003
0.121,3132
-0.0075,5400
-0.236,10898
0.0652,3597
0.161,2334
0.458,1292
1.3,66
-0.0241,6603
-0.115,10396
0.189,1166
0.0811,2828
-0.371,9740
-0.173,7709
-0.27,10659
-0.12,7790
-0.315,9865
-0.169,8490
-0.0656,8098
-0.29,7245
-0.037,6184
-0.116,8796
0.0646,4054
0.0752,4080
0.223,1361
-0.0793,6758
0.231,805
-0.107,9428
-0.183,9660
0.902,36
0.0752,3746
0.215,1588
-0.123,9215
-0.0562,8479
-0.11,7745
0.0545,3731
0.00204,5313
0.23,1902
-0.0216,6402
0.165,261
0.000583,5255
-0.143,9265
0.139,2782
-0.175,8654
0.145,2307
-0.101,9099
0.00538,4966
0.657,167
-0.0325,5511
0.403,586
-0.0265,6576
0.0277,4668
-0.0451,6140
0.0713,3775
0.135,1195
0.0597,2654
0.0123,4944
-0.0726,8212
-0.0508,7033
0.0122,4893
0.169,1762
0.155,3562
0.026,4331
-0.0958,8093
0.0526,4179
0.0334,4559
-0.233,8107
0.106,2304
0.105,2514
-0.105,8726
-0.149,9522
-0.0863,7575
-0.188,7586
0.543,432
0.0882,2428
0.279,213
-0.218,10209
0.0236,4925
0.352,345
-0.533,10882
-0.0912,8910
-0.0532,7993
0.0608,3973
-0.0148,5543
-0.326,9932
0.0238,4680
0.00746,5039
-0.0182,5954
-0.0308,5520
0.0622,3119
0.111,2693
0.133,2635
0.163,1253
-0.207,10490
0.00969,4897
-0.181,9128
-0.278,9033
-0.0126,5459
0.368,555
-0.202,9581
0.0589,3923
-0.0704,7079
0.365,2321
-0.269,9636
-0.173,10354
-0.0141,6193
0.423,508
-0.197,10126
-0.0908,8769
-0.104,7558
0.131,2496
0.096,1931
-0.161,10193
-0.198,10657
0.355,1085
-0.121,6375
0.0169,4677
0.153,2226
-0.137,8082
-0.0115,5366
-0.161,8495
-0.371,10789
0.104,2143
-0.157,9612
-0.259,9348
0.0693,2978
0.142,3546
-0.373,9518
0.0249,4309
0.0882,2770
-0.14,7759
-0.0539,7665
0.863,12
0.23,1317
-0.143,8850
0.0603,3866
0.151,2673
-0.0809,7244
0.239,438
0.0273,4688
-0.159,9678
-0.0436,7105
-1.52,10472
-0.188,9147
0.029,4754
-0.0642,6760
0.0871,2765
0.133,2382
0.102,3676
-0.131,8513
0.201,1309
-0.0262,6253
0.115,2915
0.0179,4378
-0.16,9025
-0.0338,6474
-0.0399,6826
0.0645,3001
0.603,41
0.00783,5148
-0.0899,7464
0.848,118
0.245,286
-0.0251,6160
-0.0339,7366
-0.155,9451
-0.0469,6919
0.395,485
0.185,3463
0.156,469
-0.13,9221
-0.184,9373
0.0657,3652
0.179,1550
0.118,1393
-0.0363,7407
-0.0129,5736
0.163,1559
0.164,2379
0.219,641
0.469,1510
-0.0172,5915
-0.104,8747
0.02,4497
-0.0622,7271
-0.0186,5608
-0.0453,5558
-0.0169,5951
-0.157,8439
0.0531,4117
0.0243,4393
0.233,1555
-0.0718,7070
-0.232,8591
-0.0567,7572
-0.23,10458
-0.0391,6278
-0.183,7241
-0.0432,6451
-0.206,9478
0.31,159
0.0443,3547
-0.153,9316
-0.218,9303
0.0321,4662
-0.108,7359
0.11,894
-0.176,10211
-0.211,9838
0.227,1493
-0.168,7915
0.158,2862
-0.0862,7373
0.0355,3950
-0.0316,6798
0.0689,3944
-0.0611,6094
0.0445,4444
0.093,2451
0.054,3332
0.151,909
-0.0197,5735
-0.109,8184
0.0404,4501
-0.0776,6595
0.0419,3224
0.358,339
-0.186,9027
-0.195,8148
0.353,394
-0.172,8385
-0.441,7388
-0.091,6355
0.183,1289
-0.14,8635
0.0515,4373
0.164,1026
0.408,192
0.0992,3366
-0.133,8747
0.725,2043
-0.101,6896
0.0795,2469
-0.0765,8600
-0.0494,5954
0.0155,5034
0.141,3264
-0.578,10308
-0.098,8136
0.125,1921
0.0364,4318
-0.234,10468
0.204,1706
-0.000885,5423
0.29,407
-0.0343,6091
-0.438,10446
0.0102,5234
-0.32,10865
-0.174,8148
0.0255,4970
0.0436,3361
0.21,924
0.0513,3950
-0.143,8266
-0.192,9738
0.285,565
-0.201,8823
-0.00752,5574
-0.165,8786
0.261,1515
0.353,165
0.0239,4581
-0.284,10202
0.109,2969
0.0834,3757
-0.116,7371
0.0281,4707
-0.114,9690
-0.114,8341
0.166,2094
0.00275,5212
-0.0779,6842
-0.308,10315
0.0779,2558
0.162,1015
-0.0661,6176
-0.0102,5424
-0.172,7995
0.0962,3512
0.107,2629
-0.194,10255
0.0118,4936
-0.126,7810
0.142,2301
0.0153,4690
0.0801,1981
0.0324,4460
0.185,1185
0.635,275
0.268,1702
-0.124,8953
0.0122,4755
0.201,1023
-0.0594,7140
0.267,2327
-0.0453,6146
-0.0596,6693
-0.127,7361
0.298,1521
0.196,2461
-0.136,8781
0.244,1619
0.408,1809
0.151,959
0.0402,4302
0.147,1527
0.274,585
0.137,949
-0.19,7884
0.0966,1876
-0.0476,6989
0.0728,4027
-0.284,9756
0.104,2526
0.0785,4082
0.0836,2631
-0.0832,8438
-0.0695,7735
-0.176,10165
-0.0689,7391
-0.151,7971
0.0486,3584
0.467,831
0.338,1304
-0.0748,8707
0.136,938
0.031,4410
-0.00918,5525
0.667,6
1.77,355
-0.543,10021
-0.583,7631
-0.453,8113
-0.0645,5888
1.46,221
0.139,3000
-0.146,8364
0.0443,4238
-0.0743,7015
-0.129,10240
-0.0202,6208
-0.0369,4624
0.0809,3755
0.727,20
0.151,2840
0.0362,4659
0.0718,2539
0.07,3815
-0.165,8770
-0.0598,7219
0.224,1304
-0.02,5589
-0.0416,6753
0.0408,4427
0.102,3410
-0.251,9239
-0.233,7731
-0.0388,6242
-0.132,9501
-0.108,6812
0.026,4088
-0.156,8348
1.27,43
0.199,937
-0.0594,7112
0.0286,4431
-0.198,9416
-0.4,9112
-0.0145,5373
0.00885,4867
-0.00224,5236
-0.136,8724
0.053,4399
0.37,330
0.527,657
-0.0387,6238
-0.18,10289
0.0579,4441
-0.149,9323
-0.22,9433
-0.0732,7214
0.277,491
-0.133,9091
-0.164,9076
0.000464,5080
-0.2,9060
-0.301,8293
0.00274,5260
-0.0583,7116
0.0741,3692
0.34,1273
0.439,325
0.15,2600
0.0503,3642
0.0899,917
-0.0101,6852
0.426,160
0.508,973
-0.234,10193
-0.455,10244
-0.0221,6354
-0.102,7204
0.127,2800
-0.0432,5936
0.263,2588
-0.00316,5509
0.0171,4819
0.142,2050
-0.358,10407
0.472,255
0.0681,3913
-0.18,10444
0.17,1124
0.018,5038
0.137,2322
0.354,736
-0.0188,6005
-0.163,7978
-0.0159,6105
-0.126,10034
-0.184,4772
-0.00935,5422
-0.329,10387
-0.0755,6170
0.215,487
-0.205,9391
0.448,491
0.241,2640
-0.301,9964
0.057,4337
-0.0872,8123
-0.349,9683
0.253,2045
0.256,585
0.00311,5238
-0.0719,7148
0.2,250
0.0949,1697
0.0091,5107
0.591,57
0.181,1603
0.139,1688
-0.0412,6954
-0.0748,6464
-0.219,9302
0.0544,4309
-0.0278,6371
-0.0918,6891
-0.201,9889
-0.103,8527
0.021,4797
-0.243,9757
0.179,880
0.149,1882
0.0198,4489
0.225,1209
-0.0657,7108
0.355,1550
0.16,1350
-0.0107,5772
0.311,69
-0.105,6521
-0.266,10925
0.0665,3919
-0.0297,5631
-0.149,9207
0.266,298
-0.119,9254
-0.0591,6996
-0.000178,5376
0.0935,3123
0.263,663
-0.079,10723
0.12,2558
-0.159,10081
0.578,561
-0.37,9394
-0.00388,5692
0.0984,2465
-0.145,9865
0.0649,3637
-0.392,10868
-0.223,7338
-0.031,5948
-0.0339,6921
-0.0983,8808
-0.0659,5880
-0.0822,7508
0.0593,4258
0.116,3083
-0.239,8909
0.0501,3531
-0.313,8503
-0.117,6389
-0.297,8974
0.0184,4959
0.285,55
0.208,570
0.208,633
0.263,192
0.0686,4076
0.0773,3436
0.135,1317
-0.253,10301
-0.0624,5434
0.026,4747
0.0555,4589
-0.573,9590
0.152,1179
0.102,2875
-0.055,6245
-0.133,8570
-0.12,8347
0.56,289
-0.0256,6076
0.149,533
-0.551,9470
0.281,2898
-0.0385,5282
-0.314,7574
-0.118,8865
-0.199,8648
0.0164,4765
0.287,847
0.0498,4135
-0.0983,7848
-0.0924,7894
-0.118,8002
0.341,315
0.209,1157
-0.0458,5601
0.0922,4405
0.125,2058
0.138,2559
-0.0449,6085
0.288,582
-0.16,8730
0.0487,4068
-0.16,9207
-0.139,7986
-0.168,9379
0.0102,4893
-0.378,10776
0.316,643
-0.0294,6468
0.0858,2786
-0.208,10159
0.053,3858
0.39,787
0.111,1726
-0.0148,5955
0.0543,4329
-0.0299,6035
0.0625,3950
0.373,354
-0.211,9640
-0.288,10821
0.161,635
-0.281,8508
-0.321,10855
0.173,2123
0.578,1466
-0.0182,5975
-0.0625,6994
-0.102,6628
-0.0495,7208
-0.156,9971
-0.000359,5250
0.131,1755
-0.0881,8051
0.264,691
0.0211,4495
-0.0756,6224
0.094,4052
0.000495,5412
-0.0746,7069
0.327,1008
-0.0675,7114
-0.154,8423
0.141,2031
-0.205,10067
-0.0128,5768
0.105,3442
0.037,4473
-0.025,6122
-0.0716,6665
-0.034,6177
0.0999,2155
-0.159,7327
-0.119,9817
-0.292,8878
0.415,1825
0.133,2031
-0.165,9806
-0.0171,5716
0.00568,4945
0.111,3201
0.00891,5139
0.18,1298
-0.187,10455
0.181,324
-0.0998,8371
-0.00397,5574
0.213,1321
0.0316,4210
-0.108,7137
-0.0984,8723
0.0229,4829
0.273,2976
-0.0695,7759
0.0641,2720
0.0197,4468
-0.0826,8391
-0.145,8134
0.0243,4763
0.189,521
-0.0257,6885
-0.0991,8344
0.226,1675
-0.278,9791
0.00814,4875
0.442,239
-0.195,9300
-0.183,8363
0.162,1873
-0.509,10867
-0.0186,5738
0.0133,4921
0.0946,2483
-0.146,4340
-0.085,8502
0.0419,4492
0.195,2162
-0.0498,7781
-0.356,9536
0.907,965
-1.18,10150
-0.52,10474
-0.0197,5168
0.305,1459
0.11,3404
0.304,255
-0.13,8960
0.099,2642
-0.0257,6997
-0.281,10124
0.0446,4437
-0.321,8841
-0.0433,7004
-0.0767,7480
-0.0805,8140
-0.0567,6413
0.0467,3991
0.185,2508
0.0672,3090
-0.157,9204
-0.0474,6379
-0.156,7249
-0.0308,5887
-0.247,10056
-0.181,8534
0.00701,5148
0.274,238
-0.388,10320
-0.0543,7393
-0.0662,6812
-0.192,8689
-0.0606,7429
0.267,1387
-0.388,10882
-0.328,8351
-0.213,9778
-0.0849,6808
-0.204,10066
-0.0115,5531
0.343,852
-0.0438,6059
-0.0388,5972
0.439,637
-0.275,9921
0.0275,4478
0.0159,5087
-0.0966,5540
0.105,3394
-0.0193,5785
-0.189,9720
0.132,2158
0.0464,3748
0.0232,4529
0.658,900
-0.609,7729
0.219,714
-0.0802,8694
-0.158,10101
-0.108,7631
-0.0586,8075
-0.209,8420
0.328,349
-0.132,9760
-0.371,9779
-0.0274,5688
-0.321,10442
-0.0672,6832
-0.157,8632
-0.0905,8447
0.437,667
-0.223,8685
-0.525,9577
0.071,4307
-0.132,9692
-0.123,8436
-0.0202,5629
0.0921,2925
0.0843,3241
-0.751,11003
0.0554,3968
-0.104,8077
0.0107,5144
0.106,2271
-0.279,7888
1.39,432
-0.0255,6345
0.0825,2506
0.126,1997
0.00714,5100
-0.206,9595
0.0739,3876
0.14,1458
-0.181,9739
0.00764,4896
0.301,1668
-0.155,9040
0.0208,4663
-0.0526,7297
-0.149,10455
-0.0207,5766
0.277,1573
-0.171,10734
-0.396,10964
-0.355,10318
-0.0252,6272
-0.185,9213
-0.00522,5304
-0.037,6194
-0.355,9644
0.175,1808
-0.056,6483
-0.0974,7642
-0.0116,5284
-0.167,7976
-0.0255,5833
-0.00282,5457
0.262,2137
-0.302,8813
0.227,1758
-0.102,7082
0.386,539
0.00231,5399
-0.0865,7277
0.415,747
0.0313,4218
0.248,2908
0.126,3764
0.224,1348
-0.061,8188
0.0702,3886
0.272,1521
0.0111,5052
0.141,2988
-0.11,8765
0.0883,2847
-0.0454,9489
-0.0227,8893
0.0319,1944
0.0155,2641
0.00379,4761
0.713,2169
-0.165,8967
0.0212,4447
1.14,1092
5.56,11
-0.0295,5894
-0.218,9394
0.206,3143
-0.257,9818
0.522,1032
0.224,668
0.288,1222
-0.65,7944
-0.144,8939
-0.188,8471
0.0835,1609
-0.000268,4975
-0.0406,6243
0.019,5079
-0.168,8126
-0.431,9853
0.15,2723
0.0636,3594
0.415,421
-0.534,8691
0.0184,4880
0.322,957
0.154,3647
0.248,1081
0.195,1200
0.191,2322
0.103,3118
0.00889,5339
0.276,80
-0.223,9404
-0.511,10903
-0.00136,5465
0.202,2741
0.382,285
-0.0583,7596
-0.145,10860
0.0304,4359
-0.0831,7607
0.242,1483
0.178,2788
0.244,1072
0.0497,3833
0.0557,4214
0.0139,5218
0.25,1156
0.26,276
0.0577,3471
-0.0995,7861
-0.0661,7073
-0.151,9936
-0.0936,6670
-0.198,7635
0.0216,4801
0.0836,2721
-0.628,9377
0.0337,4310
1.1,0
-0.188,8926
-0.168,9784
-0.121,8032
-0.226,8591
0.277,147
0.0697,3954
-0.0988,7950
-0.107,8820
0.154,1423
0.006,5260
-0.0342,6064
-0.0291,5817
0.923,60
0.162,820
0.0792,2520
-0.437,9590
-0.0463,6072
-0.155,9443
0.0711,3805
0.0647,3261
-0.0485,7467
-2.09,10972
-0.238,5652
0.234,509
0.278,3030
0.176,1522
-0.166,10605
-0.361,10114
0.254,471
0.177,2735
-0.0839,9271
-0.282,10936
0.0973,2375
1.02,490
-0.612,8832
1.86,336
-0.118,7239
-0.207,9333
0.151,2296
1.23,108
-0.109,8241
-0.0454,6758
-0.189,9967
0.145,1809
-0.0422,6362
0.164,2175
