coef,rank
-0.407,10329
-0.0238,5915
0.0583,3478
0.0619,4180
-0.216,5542
-0.332,7814
-0.114,6233
-0.295,10774
-0.0847,8083
0.111,2766
-0.106,7518
-0.251,9558
-0.072,7318
0.0787,2484
0.295,298
0.251,1264
0.315,2155
0.0471,4315
-0.17,10708
-0.0415,7905
0.0339,4294
-0.0269,6190
-0.000307,5018
-0.026,5646
0.0306,4542
-0.0774,6888
0.0311,4546
-0.099,7120
-0.0895,8785
-0.373,8048
0.292,791
-0.0427,6721
0.154,2515
-0.175,7239
0.0351,4357
-0.0174,5639
-0.0312,6409
-0.161,10477
-0.178,9605
0.772,88
0.0513,4254
-0.307,10356
0.0642,3267
-0.0533,8350
-0.0172,5668
0.168,1455
0.235,1571
-0.297,9489
0.00914,4773
0.0336,3638
0.167,2536
-0.205,10230
0.308,950
0.118,3038
0.112,2813
0.0473,3431
0.00621,4936
0.463,557
0.443,1197
0.0417,4376
-0.0188,6208
-0.045,7208
-0.195,8770
-0.106,7375
0.16,842
0.232,91
-0.297,10741
0.103,2028
-0.0788,7829
-0.139,9559
0.00381,5125
-0.616,10430
0.0409,3890
-0.0719,7453
0.123,2642
0.071,3894
0.319,1856
-0.0465,7090
0.0611,3559
0.136,1677
-0.106,8652
0.0109,5014
-0.497,10329
-0.0373,5673
-0.0229,6415
0.0824,2753
0.0379,4480
0.129,3304
0.0434,4054
0.00712,4890
-0.11,9408
-0.0329,7078
0.0335,4556
-0.256,10019
0.074,3925
0.107,3391
-0.264,9805
-0.00732,5555
-0.337,9783
-0.135,10176
-0.00586,5402
-0.0417,6261
0.22,619
-0.0824,8003
-0.00144,5230
-0.032,6006
-0.257,8770
0.0828,3764
-0.065,6659
-0.228,9914
-0.197,9119
0.0541,3893
-0.365,8364
-0.334,10271
0.135,1496
-0.124,10034
0.0159,5059
-0.257,10660
-0.0728,8154
-0.0744,6949
-0.168,9296
0.046,3463
-0.065,7860
-0.123,9515
0.0485,4491
-0.356,9130
-0.0585,7532
-0.00461,5423
-0.0363,6206
-0.017,5505
-0.145,8194
0.317,991
0.0742,2932
-0.188,10086
0.584,214
0.238,391
0.125,3631
0.605,682
0.0228,4376
0.304,187
-0.25,9273
-0.111,9498
-0.236,9232
0.241,1209
0.263,732
-0.0353,6624
0.213,1914
-0.215,9772
-6.6e-05,5582
-0.0377,5860
-0.123,8949
0.0381,4021
-0.551,7344
0.267,935
-0.367,9392
0.213,1424
0.264,293
0.51,42
0.264,1750
-0.106,7990
0.0321,4528
-0.127,9023
-0.162,9029
-0.12,10232
0.341,288
0.179,1873
-0.023,6203
-0.112,9311
-0.025,6107
-0.0587,7521
-0.0325,6141
-0.113,6672
0.0342,4007
-0.0961,8667
0.175,103
0.0712,3064
-0.144,9677
0.108,3282
-0.543,10384
0.11,1187
-0.11,8754
-0.164,9005
-0.197,9789
0.174,1628
-0.0117,5578
0.0334,3200
0.414,10
0.142,1892
-0.109,7306
-0.222,10541
-0.375,8829
-0.017,5908
-0.242,10747
-0.00945,6133
-0.133,9272
0.0488,4150
0.232,2092
0.0447,3994
-0.0314,5961
-0.0211,5715
0.181,589
-0.0847,6836
0.0136,4617
-0.166,7753
-0.0481,7239
-0.229,10454
0.0347,4629
-0.171,7094
-0.221,10071
-0.0415,6367
-0.0698,7572
0.178,483
-0.169,9639
-0.323,10410
-0.174,8570
-0.0511,6093
-0.114,10403
-0.0377,6789
0.0128,4977
0.464,199
0.221,1968
0.285,1568
-0.0552,6667
0.111,1749
-0.0729,8556
-0.297,10031
-0.136,7358
-0.233,10263
0.165,997
-0.0759,8520
0.00849,5103
-0.161,8868
0.0467,4476
0.336,627
-0.105,7063
0.0295,3836
-0.271,10409
-0.11,7590
-0.0668,6232
0.2,1420
-0.0342,5791
-0.28,5854
0.502,987
0.0891,2967
-0.225,9993
0.368,413
-0.0683,7796
-0.0452,6628
0.27,1091
0.205,1121
-0.385,7617
0.0886,3899
0.0258,4321
-0.184,10728
0.076,4113
-0.149,7210
0.212,2536
-0.283,7755
0.107,2606
0.0954,2574
0.239,670
0.0356,4392
0.07,4019
-0.00308,5463
-0.174,9795
-0.32,10739
-0.335,9659
0.144,2130
-0.145,9057
0.319,1132
-0.161,9308
-0.0521,8024
-0.217,10183
-0.114,7914
0.175,2350
0.216,995
-0.092,7562
0.0892,3446
0.0398,4493
-0.181,9060
-0.164,8557
0.0789,3247
0.318,235
0.235,1727
0.213,1483
-0.238,9426
0.351,695
0.00322,5319
0.172,587
-0.108,8191
-0.0156,5377
0.223,1976
0.101,3484
0.0358,4537
0.0372,4015
0.236,325
-0.266,8999
0.0401,4083
0.36,1061
0.628,213
-0.0531,6734
0.0238,4427
-0.0868,7728
-0.0244,5625
0.0444,4280
-0.136,6882
0.00658,4891
-0.0922,7027
-0.0114,5672
0.234,2232
-0.0564,5901
0.071,2860
-0.0022,5361
-0.251,10677
0.172,1666
0.099,3962
-0.138,7729
-0.0233,5910
0.163,2639
-0.0598,6049
0.0785,4022
0.127,2560
0.527,222
0.846,414
0.174,640
-0.149,9197
-0.0106,5627
0.0137,4746
0.0164,4487
-0.312,9369
0.00205,5134
-0.0286,6360
-0.0819,6724
0.343,965
0.0119,4968
-0.00116,4985
0.0718,2941
0.0166,4763
0.0697,3142
0.017,4795
-0.0588,7122
-0.00302,5182
-0.0197,6089
0.18,2859
-0.0505,5812
0.171,360
-0.0316,6783
-0.101,7307
-0.0253,6057
-0.0313,6150
-0.0231,4630
0.426,1770
-0.405,6236
0.943,985
0.0685,4296
-0.113,5687
-0.252,9639
-0.0516,6495
-0.222,10138
-0.122,8141
0.0896,1713
0.17,184
-0.341,7103
0.141,2770
-0.359,10662
-0.293,10128
0.147,2405
0.0216,4429
-0.148,6477
-0.219,9581
-0.0554,7121
-0.0886,7285
0.2,2157
-0.0992,8633
-0.123,8312
-0.0916,6624
-0.287,9699
-0.277,8185
0.127,2742
0.17,1017
-0.143,7379
0.0418,3359
0.0206,4764
0.0243,4828
-0.175,9880
0.0462,3988
0.1,2681
0.226,1349
