coef,rank
0.252,1955
0.0879,3409
-0.0298,6515
-0.119,6930
-0.445,7056
-0.548,9893
0.0154,4800
0.404,156
-0.0244,5992
0.0115,4749
-0.247,9949
0.173,2399
0.218,835
-0.107,9234
-0.154,9520
0.0479,4365
-0.368,9174
0.0175,4581
0.128,1087
0.096,1253
0.169,1439
-0.0818,7941
-0.511,10569
0.0535,4527
0.0111,5066
-0.0308,5839
-0.0623,6180
0.16,2240
-0.115,9455
0.176,3392
-0.245,9954
-0.27,10843
-0.236,9825
-0.381,9599
0.204,1543
-0.17,8229
0.113,2544
0.00563,5037
0.273,565
-0.283,9404
0.319,677
0.314,781
0.141,1458
-0.00263,5609
-0.151,8545
-0.164,9318
0.0294,4765
-0.0893,6322
0.0742,1988
-0.0331,7222
-0.0277,5809
-0.0972,8304
0.312,918
-0.116,7616
-0.174,8631
0.122,1298
0.119,2161
0.392,887
-0.199,7776
-0.361,10403
0.0463,3267
0.14,1595
-0.357,10487
-0.262,9928
0.0614,3170
0.0217,4259
0.0441,4189
0.0178,4811
0.198,1082
-0.126,9303
-0.112,8053
0.172,3419
-0.0168,5665
0.0433,3999
0.259,912
-0.32,10209
0.177,3106
0.243,431
-0.109,8413
-0.19,10375
0.031,4762
0.118,2509
-0.341,9259
-0.59,10926
-0.201,10760
-0.0284,6284
0.0258,4808
0.17,2737
0.0929,3058
-0.00775,5152
0.244,192
-0.075,8850
-0.107,7562
-0.191,9143
-0.0155,5340
0.172,2519
-0.324,10377
0.0166,4676
-0.277,9097
0.0779,2582
-0.222,9996
-0.321,10636
0.0363,4244
0.00677,5032
0.0897,2743
-0.177,9062
-0.337,9662
0.378,757
0.00714,5109
0.506,72
0.00353,5087
0.197,1258
-0.182,6476
0.407,693
-0.0824,8434
0.176,431
-0.0524,6379
0.137,2173
-0.261,10965
0.0622,4035
0.248,942
-0.0445,7151
0.196,482
0.00821,5183
-0.101,6911
-0.37,9265
-0.0354,6691
0.388,312
0.439,437
-0.128,8177
0.168,2397
-0.24,9752
-0.177,10271
-0.0603,7326
0.107,3461
-0.149,9790
-0.116,4924
-0.167,7259
-0.0338,6483
0.0785,3012
0.0864,4136
-0.0837,8719
0.701,55
-0.173,9226
0.0505,4007
-0.0321,6535
0.0282,4543
-0.231,9962
0.165,1189
-0.179,8292
0.0217,4661
-0.145,10014
-0.134,5108
-0.521,11023
-0.185,7370
0.352,435
-0.0284,6377
-0.00174,5472
-0.0814,6651
0.225,1151
-0.0722,7382
-0.0653,7418
0.0205,4916
0.0288,3875
0.0319,4372
0.198,1619
0.00932,5053
-0.152,10153
0.057,4262
-0.0677,7824
-0.0974,7620
1.01,51
0.0131,4732
-0.0651,7613
0.0437,2881
-0.158,9505
