coef,rank
-0.104,6818
-0.0421,6352
0.0818,2733
0.23,2176
-0.172,5225
0.525,1855
-0.466,9809
0.032,4532
-0.0596,7252
-0.246,9955
-0.0534,6372
-0.132,7694
0.0816,2957
0.141,1048
0.0233,4797
-0.109,7833
0.413,1512
0.48,1340
-0.15,10485
-0.153,10850
0.0438,4029
-0.0591,7230
0.074,3967
0.0577,4468
0.0826,3205
-0.0371,5960
0.121,3192
-0.111,7387
0.108,1972
0.0658,4079
-0.12,8020
0.111,2219
0.0635,4078
0.215,2620
-0.254,9989
0.0386,4588
0.0662,3638
0.186,360
0.177,1476
0.597,286
-0.187,9092
-0.132,7940
-0.205,10550
-0.0593,8630
-0.214,9545
0.0356,4188
-0.0452,6308
0.117,3119
0.105,1183
-0.113,10260
-0.0751,6739
-0.164,9661
-0.159,8285
0.22,1657
0.0927,3132
-0.108,9287
-0.0256,5868
0.369,995
-0.28,8769
0.225,1805
0.0495,3144
0.11,2246
-0.156,8205
0.323,760
-0.149,10127
-0.112,9824
0.0997,2887
-0.0728,8221
-0.0289,6351
0.0409,3924
-0.144,8735
-0.299,8164
0.00458,4977
-0.201,10187
0.0356,4569
0.219,1864
0.0822,4106
0.253,367
0.135,1929
-0.261,10858
-0.106,8646
-0.284,10651
0.297,2253
-0.206,8225
-0.255,10971
0.00159,5234
-0.0143,5863
0.00609,5217
0.026,4461
0.0259,4610
-0.072,8270
-0.0787,8985
0.0625,3939
-0.0372,6050
-0.0559,6017
0.227,1917
0.0291,4635
0.183,765
0.209,2447
0.0486,3606
-0.299,10655
-0.0581,6621
0.206,747
0.0723,3095
-0.074,7385
-0.0243,5827
0.0648,4135
0.719,39
-0.0979,7316
0.000901,5229
-0.00796,5320
-0.147,8906
-0.263,7291
0.00247,5216
-0.247,10919
0.0514,3279
-0.354,10435
-0.0935,8099
0.0163,4707
-0.0238,5872
-0.207,9869
-0.00752,5599
0.179,670
-0.144,9918
-0.238,8985
0.0803,4087
-0.176,10479
0.0589,3944
-0.233,9546
-0.0424,6150
0.118,3170
-0.0321,5897
0.053,3570
-0.294,10882
0.254,1725
-0.0655,7611
-0.479,7430
-0.117,6617
-0.0212,5986
0.0146,4935
-0.104,7217
-0.0553,7727
-0.164,8145
0.361,384
-0.0548,6697
0.0822,3275
