coef,rank
-0.369,10057
0.112,2924
-0.0429,6975
-0.0361,5611
1.64,674
0.47,2075
-0.0577,5603
-0.0568,6971
-0.0633,7389
-0.141,8265
-0.0448,6186
0.284,1272
-0.0396,6348
-0.0651,7889
0.214,875
0.107,3219
0.0734,4185
-0.296,8192
0.0658,2700
0.00229,5518
0.0121,4956
0.0839,2746
0.11,3555
0.278,1937
-0.027,6174
-0.235,9820
0.399,738
0.316,718
-0.196,10684
-0.117,5554
-0.111,7805
0.0454,3912
-0.222,9655
-0.371,9517
-0.313,10507
-0.178,8351
0.389,106
0.0761,2383
-0.184,9686
0.163,2816
0.286,882
-0.381,10807
-0.228,10735
-0.105,10207
-0.0242,5814
-0.0516,6628
0.35,665
-0.0471,5635
0.0704,2108
0.0305,3769
-0.133,7835
0.0532,4117
0.0702,3852
0.0619,4019
-0.197,9001
-0.0369,6783
-0.123,8570
0.0994,3488
0.0144,4938
-0.0742,6403
-0.0864,8971
0.217,557
-0.399,10710
-0.122,7692
-0.118,9488
0.00867,4849
-0.0702,7142
0.00244,5422
0.0876,3105
0.0758,2888
0.0407,4234
-0.585,10290
-0.203,10273
-0.0361,6398
-0.376,10959
0.219,1857
-0.456,10263
-0.112,8977
0.087,2906
0.0646,3347
-0.121,9017
-0.00921,5524
0.387,1613
0.165,2935
0.0588,3342
0.118,1912
0.186,1529
0.29,1475
0.139,2244
0.308,1356
0.0677,2961
0.173,330
0.241,1258
0.0622,3880
-0.485,10821
0.0814,3760
0.146,2667
0.0264,4349
-0.258,8864
0.000547,5608
0.237,983
0.24,1222
0.0724,3162
0.173,1067
0.171,1269
0.0893,3489
-0.183,7801
0.0879,3676
-3.71e-05,5253
0.0192,4819
-0.165,8596
-0.139,8717
0.149,3633
0.19,2401
-0.131,9680
0.107,1542
-0.0912,7085
0.114,2617
-0.156,10256
0.204,1773
0.088,3363
-0.0227,6219
-0.00172,5474
-0.0365,6841
0.145,3068
-0.586,10579
0.00768,5052
0.0216,4805
0.0728,4079
0.0857,3168
-0.0358,6032
0.251,1487
-0.0834,8236
-0.00636,5716
-0.0502,6027
-0.0781,7996
-0.844,9569
0.00759,5121
-0.0068,5427
-0.0469,6873
-0.0218,5819
-0.0161,6233
0.298,1302
-0.0976,7756
-0.0978,7824
0.144,1919
-0.462,10794
0.15,2282
0.0966,2522
0.243,1834
0.0184,4753
0.0155,4843
-0.98,9250
-0.0612,6474
0.14,3562
0.0732,3635
-0.106,8817
0.207,1221
-0.283,9568
-0.123,8340
0.141,2187
-0.138,9260
-0.096,7726
0.0637,2372
-0.0472,6415
-0.227,10148
-0.0847,8298
0.0694,2839
0.019,5074
0.0854,2602
-0.111,7931
0.197,2563
0.00384,5071
-0.158,10058
-0.00555,5688
0.0813,2802
-0.0617,7427
0.151,2586
0.785,552
0.0314,3865
-0.043,6901
0.317,701
-0.174,9449
-0.174,9606
0.17,661
0.00812,4630
-0.0833,8166
0.128,2162
-0.282,9988
0.015,4927
0.00245,4805
-0.124,9117
0.0477,3862
-0.0975,10007
-0.0763,7708
0.0138,4881
0.376,1061
-0.119,8850
-0.0435,6205
0.155,2361
0.123,1513
0.0434,4295
-0.0749,7158
-0.166,7743
-0.127,9824
0.013,5038
-0.231,9934
-0.0357,5461
0.314,469
0.0718,3893
-0.199,10379
0.11,1555
-0.145,9146
-0.0434,6150
-0.0162,5542
0.273,989
-0.0735,9337
0.061,3513
-0.0987,7776
0.348,552
-0.132,7287
0.294,1491
-0.217,9743
-0.0499,7232
-0.0699,8448
0.0695,3936
0.309,1443
0.117,2758
-0.152,9939
0.0378,3929
0.0117,4982
-0.558,11034
-0.0453,6691
-0.0241,5949
0.0567,4256
-0.041,7677
-0.0584,6506
-0.059,6452
-0.0698,6293
0.229,1158
-0.0795,6659
-0.585,8741
-0.606,10892
0.194,1144
-0.0621,6730
0.259,1166
-0.0542,7307
-0.0159,5910
-0.133,8233
-0.339,10920
1.25,857
-0.0584,6195
-0.134,9757
-0.0806,8741
-0.065,6200
-0.0591,5999
-0.241,8397
0.984,406
0.286,420
-0.186,9979
0.141,1851
-0.00704,5652
-0.325,10700
-0.0393,6299
-0.0213,6024
0.225,1183
-0.172,7643
0.185,1482
-0.07,7361
0.133,2974
-0.0582,7089
-0.0203,6450
-0.0132,5465
-0.0439,6250
-0.25,9801
0.115,2477
-0.0799,7251
0.299,967
0.371,366
-0.046,6313
-0.0167,5779
-0.0707,7503
0.104,2518
-0.14,8307
0.347,457
0.121,3163
0.0144,4830
-0.174,9405
0.15,851
-0.0454,6585
-0.0813,6785
-0.357,10411
0.215,1833
-0.12,7629
0.18,555
-0.226,10757
0.216,2513
0.199,1231
-0.245,9045
0.0635,3956
-0.169,9403
-0.145,9454
0.0392,4194
-0.0461,6097
-0.167,9130
0.682,229
-0.12,9825
-0.101,7211
0.0338,4346
-0.0675,6157
-0.112,6829
-0.105,8442
0.128,1250
-0.023,6020
-0.00286,5620
0.818,247
0.106,3655
0.315,810
-0.0842,6627
1.06,11
0.105,3639
0.145,2259
0.0973,3430
0.453,1560
-0.0179,6033
0.0868,3150
0.222,605
-0.181,9466
0.0351,3697
0.1,3838
0.116,1424
0.0172,4829
-0.103,7093
0.0985,3441
0.0243,4596
0.458,1094
-0.0357,6467
0.0186,4691
0.0475,3810
0.0252,4537
-0.409,11014
0.416,495
-0.0454,7062
-0.213,8255
-0.633,10970
-0.0473,7601
-0.0632,8111
-0.136,8037
-0.0754,7701
-0.0364,6292
-0.419,7418
-0.143,6205
0.832,1698
-0.268,6471
0.0174,4894
-0.392,8369
-0.0637,6548
0.0892,3635
-0.00535,5528
0.0391,4170
0.0156,4630
-0.137,10448
-0.285,6582
-0.0651,6588
-0.0419,6062
0.25,1639
0.123,2809
-0.0358,7021
-0.29,8394
0.145,2478
0.243,841
0.226,1282
0.0929,3614
-0.331,11011
0.0814,3546
-0.031,5563
-0.231,8962
-0.149,6742
0.404,270
0.0623,3263
0.123,3373
0.144,577
0.0484,4255
-0.0873,6099
0.204,891
0.0362,4273
-0.217,10251
0.44,208
-0.724,10831
0.175,2125
0.0291,4220
0.174,1292
-0.148,8957
0.574,448
0.0492,4196
0.682,312
-0.132,8366
-0.0154,5926
-0.0951,6468
-0.197,10061
0.681,22
-0.075,7257
0.0713,3390
-0.0594,7126
0.158,2214
-0.232,9406
0.00916,5123
0.683,756
0.101,143
0.0429,3847
-0.00547,5371
0.275,1804
0.0722,3849
0.051,4177
-0.0287,6537
0.0418,2731
-0.0187,7874
-0.0553,6569
0.146,3494
0.0274,4479
-0.0206,5270
0.0446,3403
-0.0774,6706
0.33,702
-0.204,9004
-0.241,7840
0.0272,4881
0.0207,4675
-0.251,10206
0.385,724
-0.142,7979
-0.276,10529
-0.107,8982
0.123,1984
-0.0716,7104
-0.105,7806
0.017,4978
0.184,1115
-0.258,9355
-0.217,10666
0.242,81
1.37,730
0.107,3990
-0.0297,5760
-0.213,7974
-0.0934,8567
0.0212,5040
-0.198,8858
0.294,2254
0.32,984
0.672,263
0.132,2032
0.203,2508
-0.182,8199
-0.0669,7115
-0.305,9502
0.0347,4495
-0.0711,8502
0.0482,3236
0.301,946
-0.175,8902
-0.0518,6856
-0.156,9527
0.00941,4971
0.213,2227
0.202,2075
-0.0145,5502
0.431,293
0.57,217
0.257,677
0.135,1868
0.113,3155
0.244,1214
0.286,150
-0.0176,5704
0.018,4542
-0.174,9459
0.17,1258
0.106,4048
0.104,2346
-0.0553,6999
-0.218,10733
0.0201,4609
-0.00134,5483
-0.192,8966
0.784,85
0.0347,4301
-0.0421,6778
-0.0456,7043
0.0499,3739
0.141,1685
-0.179,9527
0.175,1529
-0.00483,6115
0.00693,5353
0.0536,3477
-0.153,7149
0.0244,4630
-0.24,10761
0.155,1438
0.211,481
0.0449,4085
-0.288,10284
-0.33,8536
-0.0717,7020
0.0599,2472
-0.00162,5304
-0.28,8725
0.034,4693
-0.0938,5979
-0.284,10051
-0.00924,5031
0.101,1970
-0.51,10150
-0.0636,5756
0.265,2404
0.379,1539
0.308,30
-0.185,10447
0.0234,4636
-0.0265,6048
-0.117,7016
0.0321,4452
-0.0978,8641
-0.0785,7315
-0.122,5984
-0.186,8188
-0.00833,5570
0.892,937
-0.0582,7410
-0.0685,7437
0.232,1186
0.224,1347
-0.00484,5314
0.236,2110
-0.25,10819
-0.0369,7301
3.13,37
0.611,1518
-0.401,8424
0.236,3503
0.0223,4652
-0.468,10867
-0.18,9913
-0.119,7840
0.0675,3829
-0.193,9620
0.086,2766
-0.155,8724
-0.0939,7925
-0.337,10877
-0.148,6738
-0.0789,5870
-0.13,8913
-0.142,8139
-0.246,9900
-0.251,10194
0.256,969
-0.136,8194
-0.0831,7503
-0.142,8030
-0.0476,6610
0.0589,3476
-0.0862,6993
0.325,596
0.0148,4906
0.206,662
-0.143,9129
0.228,806
0.195,2320
0.0211,4468
0.0878,2920
-0.325,10207
0.179,1737
0.0662,3867
0.123,2633
0.0152,5145
0.145,1789
0.15,769
0.0239,4755
-0.0892,7596
0.0469,4067
0.787,833
-0.00843,5654
0.0194,4747
-0.395,10299
-0.0551,7376
-0.101,8788
0.228,1395
-0.0251,6230
0.107,2286
0.159,1867
0.177,837
-0.0695,6158
-0.299,9355
0.0621,2403
0.292,868
-0.461,10822
0.0788,3309
0.18,2013
0.0116,5099
0.16,1777
-0.128,8975
-0.511,10983
0.289,1417
-0.0889,7746
-0.244,9411
0.0794,2995
-0.226,10820
-0.0878,6283
-0.072,8441
-0.059,5854
-0.275,7387
0.0243,4739
-0.0114,5839
0.0147,5012
0.212,911
-0.217,8547
0.0509,4275
-0.153,9261
-0.0437,6977
0.0642,2590
0.0762,3300
-0.0619,7139
-0.413,10995
0.259,350
0.0658,4143
0.0713,2687
-0.178,8065
0.846,782
0.292,281
-0.247,10985
-0.0147,6122
-0.0525,7438
0.0433,4578
-0.00728,5395
0.0461,3622
-0.0905,9698
-0.243,10702
0.138,2782
-0.0908,7022
0.134,2922
-0.0749,7060
-0.118,7839
-0.181,8322
0.183,1593
-0.417,10557
-0.202,10049
0.101,2029
0.0517,3561
-0.796,9333
0.113,2064
0.332,1448
-0.145,7756
0.08,2412
-0.357,9548
0.693,1518
-0.868,8977
-0.0677,5888
0.00832,4876
0.376,986
0.0462,4497
-0.0868,8297
0.086,3360
0.0909,2838
0.115,700
0.104,3603
0.11,3630
0.382,1398
-0.101,8770
-0.0835,7672
0.0882,2552
0.0462,4399
0.0754,3265
-0.192,8463
0.165,1073
-0.0144,5817
0.0959,3240
0.45,638
