coef,rank
-0.0369,5729
0.185,1765
-0.0909,8522
0.356,1215
0.161,3304
0.277,3047
0.451,1564
-0.0913,7799
0.0665,2945
-0.206,9395
0.135,2545
-0.0211,5569
0.213,891
0.13,1220
-0.158,9595
-0.213,9664
0.0949,3982
-0.373,9043
0.151,734
0.0534,2829
0.0824,3092
-0.0556,7124
-0.0899,6309
0.00183,5257
0.0251,4691
0.107,2948
0.0689,3949
-0.0903,6926
-0.0269,6688
0.481,1910
-0.161,8769
0.149,1497
0.0547,4254
0.0967,3810
-0.333,10614
-0.107,7201
0.065,3673
0.145,808
-0.121,8445
-0.156,7603
-0.116,7803
-0.0678,6650
0.0957,2398
-0.0153,6344
-0.095,7418
-0.215,10148
0.432,351
0.231,1896
-0.112,9940
-0.0412,7632
-0.0542,6318
0.365,142
-0.0726,6664
-0.266,9880
0.125,2621
-0.13,9828
-0.0605,6899
-0.0191,5336
-0.449,10276
0.0416,4377
0.0797,2145
-0.137,9702
0.00951,5063
-0.00282,5179
0.00872,5069
0.0431,3283
0.139,2126
0.0909,2356
-0.131,9041
-0.181,10277
-0.286,10594
-0.251,7649
-0.0703,7387
-0.147,9320
-0.346,10903
0.0664,3972
0.031,4744
-0.0168,6073
-0.0241,6010
0.0486,3833
0.0118,5315
0.25,856
-0.241,8216
-0.0916,6501
-0.0625,7884
-0.0512,7034
-0.0433,6647
-0.235,9161
0.279,715
0.358,1045
0.212,361
0.0925,1649
-0.268,10144
-0.0368,6038
-0.374,10322
0.408,616
-0.0528,6275
0.126,1649
0.155,3021
-0.0556,8007
0.217,1182
-0.0905,7334
0.106,2293
0.105,2252
-0.0415,6463
-0.226,9786
0.138,3213
-0.129,7638
-0.104,7428
-0.0496,6447
-0.199,9164
0.286,509
-0.54,9820
0.0706,4024
-0.0627,7806
-0.0671,8447
0.118,3334
-0.0359,6562
0.0123,4866
-0.11,7688
0.42,147
0.0864,2195
0.105,1991
-0.152,10070
-0.167,7982
-0.501,10193
0.0315,4140
-0.0773,7067
0.432,460
0.357,317
0.176,2274
0.0222,4791
0.039,4046
-0.134,9144
-0.0608,6199
0.0428,3814
-0.24,5765
-0.107,6498
0.093,2177
-0.119,8889
-0.181,8337
-0.0941,9035
-0.226,9083
-0.293,10605
0.224,1057
-0.083,7954
0.197,2098
-0.116,8037
-0.0486,7321
0.593,196
0.0278,4483
0.0346,4147
0.344,3066
0.216,1419
0.0266,4787
-0.211,9580
-0.0312,6466
0.0581,4005
-0.226,8853
-0.259,10383
-0.192,9838
0.114,2272
0.147,2380
-0.0905,9507
0.221,1041
-0.219,10072
0.0952,2370
-0.174,10468
-0.0106,5758
-0.033,6630
0.194,1702
-0.0359,5516
0.0455,3678
-0.00146,5226
0.0135,4487
-0.164,9612
-0.138,9561
0.147,2657
0.0106,5132
0.00821,4893
-0.0256,6391
0.264,1096
-0.00273,5366
0.108,2805
-0.0302,6301
-0.0178,6280
-0.0868,8268
0.466,30
-0.195,8859
0.0878,2815
0.339,2181
-0.0294,6316
-0.102,8685
-0.0489,8278
-0.145,9539
-0.228,9704
-0.0983,6380
0.0789,3059
0.147,2664
0.0462,4281
0.0092,4981
0.121,2968
-0.208,10071
0.198,2739
-0.113,9496
-0.299,10868
-0.175,9114
0.0558,4375
0.0343,4551
-0.118,7977
0.153,1377
0.155,744
-0.203,10114
-0.127,7767
0.0607,4166
0.26,1094
0.063,2355
0.156,1321
-0.0544,6699
-0.086,7406
0.0175,4734
-0.0545,5967
-0.0367,6240
-0.0185,6028
-0.00709,5592
-0.355,10491
-0.109,6913
0.0535,4232
-0.0661,7761
-0.0143,6062
0.095,2033
-0.145,8587
0.227,1357
0.413,291
0.287,1387
0.0805,1715
-0.0693,6793
0.316,673
-0.305,9436
0.288,706
0.128,2888
-0.23,5361
-0.227,8170
0.0287,4531
-0.222,9953
0.00071,5445
-0.00712,5581
-0.296,10679
-0.154,8588
-0.000152,5317
-0.785,9530
-0.383,10322
-0.0266,6392
-0.134,10062
0.0558,4374
-0.149,7202
-0.184,7663
-0.129,5966
-0.00291,5489
0.0604,3434
-0.0695,7467
-0.21,10213
-0.0228,6072
0.15,2374
0.35,160
0.0099,5016
-0.0908,6387
-0.00257,5595
0.163,1833
-0.118,7164
0.0123,5278
-0.0122,6032
0.247,615
0.103,2881
-0.138,8194
-0.126,8536
-0.0763,7168
0.269,1219
0.173,2010
0.0189,4825
0.214,1961
0.0311,4513
-0.0847,7682
0.308,1046
0.173,1953
0.0649,4071
-0.105,7169
0.0461,4260
-0.0285,6801
0.174,1638
-0.142,8085
-0.174,8304
-0.232,9403
0.374,602
-0.0701,8465
-0.195,10516
-0.0361,5706
-0.0785,7322
-0.236,8920
-0.284,9273
-0.122,8518
-0.151,9598
-0.0106,5605
-0.0326,5782
-0.0236,5950
0.119,3300
0.156,526
-0.0528,6217
-0.098,8275
-0.407,10320
0.131,3100
0.133,1515
-0.119,9503
-0.213,10350
-0.0487,6837
-0.355,9502
