coef,rank
-0.253,8894
-0.246,10073
-0.0321,6580
0.131,3224
-0.546,7760
-0.474,9314
-0.327,8561
0.0674,3657
0.0683,2883
-0.112,7669
0.205,1619
0.0218,4755
-0.139,9027
-0.135,9908
0.00279,5456
-0.131,8309
1.27,40
0.537,1105
0.0211,4564
0.0431,3318
-0.134,8894
0.018,4676
-0.037,5543
0.508,676
-0.0615,7096
-0.108,7560
-0.00291,5117
0.128,2703
-0.173,10453
-0.251,6827
0.363,417
-0.153,9580
-0.00967,5588
0.139,3304
0.034,4381
-0.175,8311
-0.0451,6814
-0.0164,6015
-0.187,9740
-0.269,9228
0.0153,5021
-0.117,7682
-0.0882,8305
-0.11,10304
0.143,2433
-0.197,9900
-0.0442,6291
0.217,2032
-0.0639,8425
-0.098,9894
-0.0199,5659
-0.094,8213
0.233,1584
-0.0782,6904
-0.0189,5395
0.227,192
0.128,1985
-0.19,8077
-0.443,10249
0.0971,3451
0.137,823
0.0751,3149
-0.365,10538
0.165,2240
0.00106,5374
0.0607,2617
0.0609,3768
0.0984,2146
-0.0616,7334
0.0953,2355
0.151,2022
0.821,491
-0.0593,7061
0.0728,3178
-0.129,8579
0.0066,5035
-0.353,9461
-0.142,9660
-0.00486,5452
-0.00633,5674
-0.0272,6449
-0.182,9593
0.14,3621
-0.231,8578
0.0384,4078
-0.248,10821
-0.302,10812
0.0104,5155
-0.057,6422
-0.336,9913
-0.0366,6973
0.0576,2759
0.293,838
0.225,1391
0.104,3535
-0.0715,6481
0.548,139
-0.139,9625
0.0641,4135
-0.0292,6925
-0.149,8820
-0.249,10025
-0.0645,7580
0.202,745
0.403,51
-0.00244,5360
0.0757,3975
-0.168,8237
-0.494,10990
-0.011,5507
-0.191,9023
-0.0486,6510
-0.212,6758
0.128,3205
0.108,2062
-0.0458,7600
-0.377,10563
-0.114,8583
0.054,3304
-0.261,10023
-0.19,9636
0.275,63
0.102,2076
-0.101,8953
0.0207,4908
0.276,2412
-0.0832,8408
-0.0556,6555
0.441,431
-0.106,7683
-0.132,7970
-0.209,9297
0.0924,2444
-0.18,9999
-0.00334,5156
-0.099,8653
-0.172,5293
0.72,378
0.0919,2204
0.0251,4585
0.512,400
-0.0981,9152
-0.042,5982
-0.0166,5888
-0.0903,7620
-0.204,10297
0.0675,3904
-0.0945,7549
0.109,2238
0.195,2292
-0.223,10512
0.221,356
-1.43,10352
0.0737,3498
0.452,1228
0.0652,3794
-0.00253,5518
-0.176,9541
0.284,1560
-0.117,8220
-0.198,9924
0.111,2350
-0.0271,6061
0.00942,4864
0.272,632
0.0746,3834
-0.0222,6167
0.0507,3427
0.0103,5277
-0.127,9394
0.0159,4978
-0.284,9055
0.0567,3340
0.0774,2536
0.0847,1277
-0.149,9320
-0.0488,6982
-0.0288,5997
-0.169,7073
0.0286,3981
-0.168,9913
0.56,77
0.15,2056
0.0613,3774
-0.0848,8368
0.0806,1247
-0.159,9922
-0.134,9108
0.166,2363
0.174,1150
-0.0697,5496
-0.171,10019
-0.143,9652
0.0282,4056
0.0415,3985
-0.199,9299
0.149,2898
-0.114,8717
0.55,136
0.568,54
0.0106,4917
-0.118,7473
-0.162,9316
-0.0197,5605
-0.172,10543
0.0137,5018
-0.104,7740
-0.339,9127
-0.0386,6331
-0.0229,5936
-0.00883,5566
-0.128,9915
-0.0699,7321
0.243,1469
-0.263,9779
0.181,1886
0.0674,2177
-0.126,9315
0.213,1245
-0.0959,7631
0.316,1188
0.0459,4350
0.00194,5330
-0.145,10001
0.0801,1995
-0.265,9717
-0.221,8739
-0.104,8141
-0.108,8955
0.0136,4939
0.134,1170
-0.174,9131
-0.0653,7189
0.309,771
-0.2,8628
0.0812,1693
0.153,2024
-0.308,10435
-0.158,7639
0.135,2320
0.0748,3749
-0.115,4428
-0.0494,5824
0.304,278
-0.177,9291
0.213,1619
0.13,1511
0.0218,4928
-0.00914,5613
0.306,378
0.109,4672
0.0747,4095
0.0395,3793
-0.0996,9329
0.0419,4570
0.141,3449
-0.349,9596
-0.108,5740
-0.136,9032
0.0274,4364
-0.0278,6256
0.13,2222
-0.17,9185
0.203,1634
0.00315,5307
-0.253,10260
0.466,590
0.0294,4710
0.209,1217
0.37,827
-0.221,10155
-0.0247,6681
-0.189,9821
0.0236,4570
0.491,225
-0.0891,7627
0.167,1660
0.00333,5035
-0.041,6386
-0.0512,6440
0.377,661
-0.279,10779
0.155,1621
0.18,2374
-0.282,10430
0.145,2828
0.333,806
0.0754,3590
0.118,1404
-0.347,10937
-0.0492,6140
-0.321,10110
0.0831,3786
0.0141,4947
-0.0549,7912
-0.0596,7507
0.221,2477
-0.0641,6937
-0.0658,6258
0.257,1779
0.423,59
-0.0958,8231
0.0215,4681
0.0329,4332
0.422,176
-0.141,6957
0.124,976
0.0729,3637
0.0095,5048
0.27,1915
0.00698,4838
0.0144,4540
0.0707,2607
0.214,875
0.126,2415
-0.193,7611
0.756,99
-0.0932,7384
-0.398,10553
0.00472,4987
-0.228,9016
0.0955,3225
0.297,1164
-0.269,8230
-0.0089,5676
-0.196,9981
-0.131,9198
0.195,1338
0.0977,1725
0.513,741
0.0566,3043
0.137,1684
-0.0585,6306
0.767,36
-0.205,10272
0.489,975
-0.167,10059
0.00592,5154
-0.177,10212
0.253,341
0.282,473
0.492,284
-0.129,9602
-0.42,10316
-0.278,9078
-0.112,9827
-0.000946,5394
-0.0345,5857
0.223,554
-0.134,8733
1.29,796
0.0792,4100
0.0839,3187
-0.201,5858
0.316,1952
-0.42,8600
0.088,3759
0.498,179
0.175,1669
0.165,1763
-0.0993,9583
0.0689,1954
-0.471,8156
-0.368,10681
0.161,2271
0.651,71
-0.176,9400
-0.031,6813
-0.389,9593
-0.179,8993
0.0184,5119
0.153,2184
-0.252,9362
-0.0352,6521
-0.242,10204
-0.127,7260
-0.0107,5231
0.0291,4767
0.0559,4139
-0.0534,7310
-0.018,5364
0.0356,3631
0.00601,5061
0.0436,4624
0.104,2474
0.00516,5172
-0.0152,5701
0.801,3
0.208,3036
-0.276,10045
-0.0705,7672
-0.0182,5741
-0.0423,6532
0.0241,4806
-0.327,10763
0.215,2458
-0.105,7807
0.0667,3119
0.46,1090
0.171,1450
-0.0532,6352
0.297,477
-0.0315,6134
0.123,2089
-0.122,8314
0.386,492
-0.128,7826
0.564,1087
0.0663,740
0.409,34
-0.224,9625
0.289,1689
-0.0274,5804
-0.11,7420
-0.174,10389
-0.0834,9876
0.0445,1086
-0.15,8729
0.0739,4266
0.161,1789
-0.0381,5512
-0.106,9450
0.164,2398
-0.337,10579
-0.224,9313
0.204,3027
-0.074,6941
0.0858,2601
0.0253,4399
0.26,1557
0.116,3070
0.00349,5423
0.0186,4339
0.0368,4304
-0.133,8432
-0.144,8632
-0.229,9413
-0.287,10896
0.507,338
-0.109,8996
-0.0949,9269
1.08,1028
-0.405,10095
-0.0145,5481
-0.157,7242
-0.0206,6140
-0.266,10166
-0.154,8166
0.249,2584
-0.0551,6133
-0.172,7475
-0.13,9120
-0.219,8181
0.287,1728
-0.0217,5885
0.0596,4382
0.323,482
0.0304,4023
0.117,1204
0.222,1611
-0.155,8552
0.107,2870
0.166,1305
0.257,154
-0.32,9971
0.161,2618
-0.203,8691
0.185,2084
-0.123,7479
-0.278,10645
0.07,3340
0.0306,4613
0.195,1722
-0.0971,8448
-0.133,8656
-0.00956,5311
-0.233,10244
-0.0227,5764
0.326,1753
-0.12,8557
-0.0366,6493
-0.13,9519
1.04,16
0.0158,4869
-0.0608,6445
0.0866,3849
0.147,1827
-0.00765,5652
-0.0359,6686
-0.0804,7658
0.141,1673
0.0545,4026
0.0985,2857
-0.00362,6014
-0.00958,5821
0.0784,2740
-0.376,9776
0.0599,4226
0.161,1363
-0.0932,8231
0.107,2064
-0.314,10705
0.302,681
-0.415,9361
-0.0326,5995
0.151,446
-0.037,6678
-0.607,10852
0.492,80
0.31,2082
0.213,1813
-0.269,9309
-0.0311,6803
-0.497,10063
0.246,2745
-0.129,6887
-0.0963,6517
0.0609,2842
0.0175,4776
-0.177,10253
0.0095,4770
0.209,2345
0.121,2586
-0.0595,7330
0.0204,4842
1.29,125
-0.201,8395
0.392,1094
-0.502,9129
-0.0526,7220
0.26,632
-0.253,10072
-0.0619,7093
0.125,2295
-0.107,7099
-0.174,10106
-0.00586,5777
-0.442,8483
-0.3,7382
1.86,57
-0.304,7494
-0.17,9899
-0.0575,6301
-0.234,10579
-0.288,10343
-0.0862,7040
0.0857,3248
0.0648,3308
0.125,2712
-0.0328,6367
-0.0562,6854
-0.0494,5644
-0.00223,5188
-0.205,10186
-0.304,10341
-0.251,9959
0.182,1556
-0.0628,6743
-0.409,10923
0.0701,3497
0.268,1100
0.0607,3726
0.0716,3125
-0.151,8298
-0.00801,5610
