coef,rank
0.0644,4202
0.0747,3667
0.141,1426
-0.324,9610
0.0994,3613
-0.283,7264
0.284,2518
-0.0764,7467
-0.0723,7712
0.0225,4493
-0.101,7416
0.303,1122
0.137,1908
-0.14,10018
0.275,396
-0.29,10459
-0.127,6448
-0.237,7492
0.103,1652
-0.077,9423
0.143,1834
0.122,1860
-0.0182,5260
0.202,2665
-0.0621,7109
-0.0347,5922
-0.00194,5102
0.103,3086
0.173,803
-0.18,6176
-0.175,9008
-0.0583,7208
-0.132,8139
-0.16,7039
0.197,1633
-0.0537,6300
0.179,1401
-0.164,10503
0.133,2170
0.439,712
-0.24,9836
0.134,2633
0.253,316
0.131,453
0.223,1418
0.0267,4439
0.0539,4278
0.487,418
-0.133,10403
-0.0368,7407
-0.0729,6689
-0.0864,8036
0.167,2373
-0.0872,7059
-0.264,9953
0.259,86
-0.37,10979
0.31,1346
0.379,1526
0.0915,3558
-0.0211,6309
-0.171,10269
-0.0238,5707
0.242,1402
0.151,964
-0.00301,5389
0.116,2545
-0.0745,8285
-0.187,10066
0.145,1333
0.011,4937
-0.316,8341
-0.15,9447
0.0144,4871
-0.266,10503
0.396,597
-0.164,7262
-0.135,9531
0.228,699
0.494,4
0.265,526
0.171,1710
-0.129,6853
-0.0513,5907
0.0556,3440
0.0971,2404
-0.179,9706
0.342,1092
-0.188,9216
-0.107,6818
-0.057,7739
-0.0326,7068
0.0145,4942
-0.279,10258
-0.0519,5941
-0.303,10001
-0.228,9372
-0.114,9061
-0.0153,5280
0.155,813
-0.269,10451
0.119,2877
0.363,64
0.0708,3129
-0.204,10212
-0.0102,5539
-0.188,7864
-0.0541,6260
0.444,298
-0.203,9608
-0.0556,6360
-0.0744,7193
-0.159,6245
0.107,3482
0.17,896
0.203,248
0.172,2570
-0.0137,5917
-0.0565,7590
-0.125,7969
-0.0915,7618
-0.0122,5792
0.083,2565
0.0688,3010
0.158,2916
0.519,1127
-0.133,9723
0.03,4585
-0.00938,5653
0.0856,3173
0.41,496
-0.29,10238
-0.111,9028
0.379,115
-0.266,9449
-0.123,9228
0.0529,3976
-0.37,9480
-0.106,8875
0.0569,3616
-0.13,7607
0.0916,2276
-0.272,9605
-0.0765,7283
-0.108,8072
0.00152,5569
0.304,1127
-0.111,7917
-0.108,9079
-0.273,9527
-0.083,7982
-0.0116,5904
-0.282,5876
0.0099,4835
-0.104,6365
0.128,2589
-0.0668,7678
-0.0494,6756
-0.208,8609
-0.166,9162
-0.159,9312
-0.154,9591
-0.14,8614
0.0463,3048
-0.0442,6334
-0.0849,7693
-0.129,9447
-0.0573,7584
-0.137,8483
-0.173,10269
-0.0531,6656
-0.226,8333
-0.0618,7414
-0.144,9809
0.0393,3085
-0.0688,7250
-0.144,9683
-0.215,9434
-0.232,7798
0.152,501
0.021,4887
-0.105,7870
0.29,567
0.0649,3692
0.141,995
0.0837,1158
-0.0618,7495
-0.0562,7069
-0.205,9010
0.199,825
-0.217,7138
0.166,1166
0.065,3353
0.0545,2748
0.0666,3212
0.269,987
-0.391,10156
0.213,736
-0.228,9538
0.169,2124
-0.213,10780
-0.0395,5923
0.116,2169
0.278,1965
-0.0565,7563
0.0469,4115
0.146,2391
-0.14,6713
-0.137,8694
-0.0425,6387
-0.15,9621
-0.0177,6073
0.0414,4136
-0.235,9526
0.0142,4974
0.0224,4563
0.0814,1651
0.108,2303
0.266,768
-0.109,7921
0.276,1478
0.108,3474
-0.214,9703
0.0583,3167
-0.026,6541
-0.147,8004
-0.272,9402
0.0727,3744
-0.0619,7609
0.0502,3469
0.107,1733
0.0757,3677
0.284,822
-0.0549,6631
-0.0772,6592
-0.0284,7014
0.0775,3366
0.0764,3652
0.397,1148
-0.0345,5718
0.131,2837
-0.516,8120
-0.275,8796
0.0961,2804
0.0922,2976
-0.152,8733
0.12,1699
0.0119,5200
0.111,3138
0.123,2371
-0.765,9453
-0.392,10381
