coef,rank
0.317,1427
-0.205,9587
-0.135,9615
-0.156,7511
-1.14,10394
-0.381,8366
0.831,388
0.000877,5382
-0.172,10178
0.199,1467
-0.0877,7118
-0.198,8811
-0.101,8089
-0.136,9944
-0.231,10541
-0.0682,7009
0.134,3619
-0.159,6532
0.0989,1738
0.0317,3913
0.144,1816
-0.0125,5664
-0.0418,5608
-0.104,6767
-0.183,9741
-0.147,8342
0.0274,4602
-0.265,9877
0.104,2088
0.0827,3956
0.0188,4901
-0.104,8510
0.0237,4887
-0.0391,5495
-0.0524,6243
-0.0424,6073
0.0318,4597
0.163,580
-0.0166,5745
-0.203,8306
-0.203,9356
-0.167,8606
0.0793,2825
-0.000432,5481
-0.124,8032
-0.134,8740
-0.106,7531
-0.152,7344
0.0661,2234
-0.066,8819
-0.14,7956
-0.184,9988
-0.0586,6391
-0.164,8485
0.109,2872
-0.0228,6196
0.0213,4492
-0.241,8794
-0.0901,6257
-0.374,10477
0.052,3048
-0.112,9192
0.462,361
-0.311,10369
-0.126,9691
-0.0415,7234
0.0231,4656
0.143,1145
0.15,1800
0.0112,4929
-0.0075,5416
-0.115,6133
-0.0312,6154
-0.183,9949
-0.0795,7468
-0.153,8029
0.237,2525
-0.00788,5757
0.223,725
0.245,398
0.0371,4576
0.139,2178
0.0937,4142
0.111,3577
0.102,2018
-0.0987,8531
0.133,2338
-0.146,7852
-0.164,8786
-0.0203,5372
0.00511,5209
-0.0582,8205
0.0807,3580
0.0963,3214
0.151,2895
-0.301,9977
0.775,23
-0.0527,7200
0.196,2590
-0.118,9848
0.425,135
0.101,3194
-0.0568,7345
0.00988,4949
0.021,4564
-0.259,10135
-0.176,7700
-0.248,9389
-0.184,8918
0.0169,4873
0.0804,3483
0.285,511
0.109,3929
-0.0245,5703
0.232,357
0.00131,5479
-0.251,9502
-0.0275,6306
-0.0862,8636
-0.0797,7046
0.0693,3742
-0.267,11009
0.115,1763
0.059,3350
0.423,728
0.0851,4037
0.147,1015
0.12,2744
-0.0465,6406
-0.196,9436
0.184,2184
0.0768,3738
0.103,2175
0.0292,4626
-0.117,7187
0.0825,2640
-0.581,8121
-0.00215,5235
-0.146,9834
-0.017,5955
-0.0126,5677
0.00714,5280
0.0562,4247
0.112,2983
0.0231,4637
-0.214,10388
0.287,1256
0.346,442
0.162,1234
-0.171,8185
-0.102,8451
0.0134,4922
0.57,2434
0.081,3379
-0.354,9266
-0.247,10019
-0.0338,6561
0.00261,5360
0.117,3456
-0.0346,6259
0.215,1129
0.191,1075
0.0856,3517
-0.1,9784
0.397,159
0.142,2467
-0.0729,7946
0.139,1190
0.151,2490
0.02,4689
0.183,1843
0.367,1285
0.0508,3501
0.294,77
0.034,3366
0.0857,2689
0.127,1623
-0.095,7349
-0.273,8222
0.00868,4869
-0.212,10446
0.159,2272
-0.0983,7858
-0.176,9639
-0.181,10462
-0.0233,6626
-0.282,10938
-0.24,10574
0.157,2466
0.354,94
-0.35,8585
-0.243,10723
-0.158,9903
0.0278,4082
0.028,4365
0.332,580
0.104,3437
0.0763,3136
-0.459,10958
-0.167,8824
0.00813,5034
-0.188,8734
0.11,2293
0.0934,3968
-0.0108,5670
-0.123,8779
0.0181,4986
0.194,3003
0.166,1937
0.12,2962
-0.0373,6498
-0.0221,6274
0.0139,4874
0.0782,3802
-0.109,7372
0.015,4716
0.0882,1445
-0.255,10846
-0.0339,6157
0.0242,4864
-0.162,7812
0.00358,5002
-0.174,9112
-0.201,10701
-0.00489,5484
-0.185,8593
0.261,1823
-0.184,9669
-0.000439,5419
-0.0377,7069
0.0401,3838
0.0928,3360
-0.205,9794
0.12,2972
0.0245,4789
0.0344,3593
0.505,55
-0.0104,5458
0.219,2485
0.0737,3393
-0.137,7741
-0.0968,4303
0.266,2392
0.0859,3042
0.0413,4037
0.0415,4565
0.0261,4322
0.0552,4121
0.0335,4674
-0.0529,6738
0.107,4680
0.46,635
0.0147,4714
-0.026,6571
-0.439,10513
0.0982,3935
0.0926,3850
0.176,3053
0.0101,5128
0.0952,2582
0.0707,3370
0.0425,4205
-0.0952,7756
-0.167,9098
-0.0395,6562
0.0453,4152
0.27,1726
-0.0945,8060
0.186,1480
-0.0664,6252
-0.112,8361
-0.0696,8760
-0.138,8897
-0.207,9628
-0.0576,6576
-0.161,9212
-0.143,8733
0.123,2951
0.178,1930
0.0788,3507
0.102,3569
-0.215,10269
0.219,839
0.224,1854
-0.14,8428
0.166,2569
-0.0987,7013
-0.0546,6810
0.0473,3574
0.0104,5132
-0.0231,5542
-0.0489,6077
-0.0695,6677
0.449,327
0.224,248
0.0673,3089
-0.231,8566
-0.0982,7790
-0.292,9571
0.0796,3736
0.0294,4451
0.00397,5026
0.209,968
0.163,2060
0.196,1529
0.0515,4187
-0.0859,8813
-0.153,8229
-0.0269,6140
0.2,2548
-0.307,9709
0.119,1772
-0.0657,7874
-0.0892,8025
-0.0337,6461
-0.359,9534
0.332,1257
-0.382,10843
-0.309,9908
0.124,3307
-0.247,9251
0.0996,3127
-0.188,8356
0.247,2806
0.157,862
-0.109,8335
-0.0483,6795
-0.227,10142
0.0185,4396
-0.191,7890
0.0554,3080
0.0136,4938
-0.112,7249
-0.184,8397
-0.102,8330
-0.24,8181
-0.116,8973
-0.0722,8100
-0.0537,7198
0.0733,3048
-0.0644,7265
0.0623,3995
-0.0984,8820
-0.453,10502
0.173,2795
0.058,2773
-0.0168,6141
-0.111,7502
0.132,1687
0.047,4093
-0.215,5909
-0.723,10731
0.513,2094
-0.274,6530
-0.205,7733
-0.541,9550
0.103,3516
-0.11,7704
-0.0272,6129
0.172,1657
-0.00712,5808
0.106,934
-0.335,7045
-0.177,8658
0.53,136
-0.039,6165
-0.232,10148
-0.0606,8034
-0.47,10283
0.161,2254
-0.236,10440
0.275,833
-0.0734,6536
0.0957,2344
0.0203,4920
0.0295,4555
-0.0224,5431
0.429,1659
-0.328,10674
-0.0369,6732
0.124,3352
0.0337,3727
-0.125,7799
-0.524,10388
-0.0287,6249
-0.0457,6727
0.115,2378
0.24,1213
-0.0826,5609
-0.189,8892
-0.0259,6110
-0.017,5699
0.218,1215
-0.219,8234
-0.0344,6212
-0.346,9614
0.179,1666
0.146,1294
-0.15,7176
-0.113,8539
0.0104,4970
0.183,1456
-0.252,10536
0.00267,5193
0.0965,3304
-0.197,8886
0.156,2571
0.402,1803
0.0176,3805
-0.0193,5854
-0.072,6870
0.216,2382
0.00366,5213
-0.192,8923
-0.0204,6238
0.0326,3253
0.0327,1890
-0.0843,7287
0.0945,4044
-0.243,10281
-0.143,6936
0.0465,3334
0.185,2112
0.391,421
0.0694,3725
-0.27,8234
-0.31,10405
0.0175,4808
-0.0273,5734
0.139,2971
0.225,1612
-0.149,8873
-0.00169,5114
0.169,1139
-0.208,9698
-0.0244,5849
-0.211,9151
-0.147,9461
0.17,2559
-0.0499,7263
-0.114,9770
-0.255,5449
0.139,3613
-0.101,7198
-0.325,9292
0.156,1126
-0.136,8287
0.25,1728
-0.172,6995
0.00325,4996
0.839,101
-0.155,9597
0.139,3253
-0.267,9319
0.0217,4709
-0.127,7223
-0.0877,7536
-0.0431,7393
-0.172,10756
0.365,589
-0.0296,5928
-0.247,10452
-0.0694,7406
